Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txdata[31:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt1_txcharisk[3:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_2_tx_aresetn
0,0,0,bcbcbcbc,bcbcbcbc,f,f,99c2cbff44c6020a69cbf613e7d1681d93d919263be2d02da6eb5b3496f58f39,0,1,0,0,1
1,1,0,bcbcbcbc,bcbcbcbc,f,f,8d2930dd402111d51a180cce560e4ec83404fdc3f6f935c1e0ef0ac034e681c0,0,1,0,0,1
2,2,0,bcbcbcbc,bcbcbcbc,f,f,d1f7813a0c02e53d390cb33f1716df3f631f693ee227593b5b2fc4369e35c830,0,1,0,0,1
3,3,0,bcbcbcbc,bcbcbcbc,f,f,28e4d4c052db46c36dd346c7abccbacc3bc77ed33ec366dbd0c03ee400c0cced,0,1,0,0,1
4,4,0,bcbcbcbc,bcbcbcbc,f,f,d0364c2f623bd0276e3e4f1fe13f0116b13f220cdf3df401783ab9f79135b5ed,0,1,0,0,1
5,5,0,bcbcbcbc,bcbcbcbc,f,f,0bc0f7ef3ac10efa05c44c0459c86d0e1bce301823d5552144dd9f2949e6d830,0,1,0,0,1
6,6,0,bcbcbcbc,bcbcbcbc,f,f,4d3490ebc02d26e2062680d9531dd6d1e0135bcbea093ac6b4ff93c27ff57ec0,0,1,0,0,1
7,7,0,bcbcbcbc,bcbcbcbc,f,f,5de8443227f2f1374dfc2f3c8a06e33e9c10fa3f421a6e3f3b23423d4e2b8439,0,1,0,0,1
8,8,0,bcbcbcbc,bcbcbcbc,f,f,48f341c071e929c02de0b4c1b9d7d8c44ed07fc91cca8bcf4bc5d6d6fbc12edf,0,1,0,0,1
9,9,0,bcbcbcbc,bcbcbcbc,f,f,ef2c7e38a133f9320039252cea3c3024443f4e1bff3fb911173faf07913c74fd,0,1,0,0,1
10,10,0,bcbcbcbc,bcbcbcbc,f,f,76c122e118c079ea5cc05cf442c28dfebdc5c608b6cac6120cd14b1c96d81725,0,1,0,0,1
11,11,0,bcbcbcbc,bcbcbcbc,f,f,cd3b34fb673715f1943159e77d2a3ede4f2200d64119d6ce8c0feec872056fc4,0,1,0,0,1
12,12,0,bcbcbcbc,bcbcbcbc,f,f,62dae72620e3832e9beced3495f6fd39cd00913d000b913fea14f03f4c1eac3e,0,1,0,0,1
13,13,0,bcbcbcbc,bcbcbcbc,f,f,3303a5c3f6f806c1e7ee03c049e5a4c059dce4c254d4b5c66ccdfdcbd1c79bd2,0,1,0,0,1
14,14,0,bcbcbcbc,bcbcbcbc,f,f,43202e3eaa28f73a07303d3629362030e83ac728253e6320ca3f2b17cd3f5b0d,0,1,0,0,1
15,15,0,bcbcbcbc,bcbcbcbc,f,f,c6c638d4efc23adca9c027e502c0c3eeffc0d1f899c30d03bfc7360d55cd0817,0,1,0,0,1
16,16,0,bcbcbcbc,bcbcbcbc,f,f,953f250b9b3df3000d3abaf60335bfec9c2e41e3052780da6d1eb5d20e1513cc,0,1,0,0,1
17,17,0,bcbcbcbc,bcbcbcbc,f,f,bdce1e19e4d52f221ede612a36e77c31f1f054370efbc03b4c05a53e680fef3f,0,1,0,0,1
18,18,0,bcbcbcbc,bcbcbcbc,f,f,ea12cbcaec08cdc5b2fe4cc281f460c09cea16c043e16ec1b3d861c425d1dac8,0,1,0,0,1
19,19,0,bcbcbcbc,bcbcbcbc,f,f,9511ff3f2c1b4a3f1124f53c0a2c1139e232b7336d380a2d853c3625113f6d1c,0,1,0,0,1
20,20,0,bcbcbcbc,bcbcbcbc,f,f,a4cf08ca93c935d0e6c49cd7bdc10ce02cc04de93ec023f3f1c14efd3cc58a07,0,1,0,0,1
21,21,0,bcbcbcbc,bcbcbcbc,f,f,693f641afb3fc110ea3eaf063c3c72fc03384cf25c3280e86a2b4edf5b23f3d6,0,1,0,0,1
22,22,0,bcbcbcbc,bcbcbcbc,f,f,29c6c50946cbbc13bcd1321d62d9e82504e2a52d6ceb38345af574398eff373d,0,1,0,0,1
23,23,0,bcbcbcbc,bcbcbcbc,f,f,75213fd5531832ce920e6cc8710412c433fa41c11bf00cc06ce67ac064dd88c2,0,1,0,0,1
24,24,0,bcbcbcbc,bcbcbcbc,f,f,cf01d53dfd0bad3fdd15e33f2e1f763eb227703b322fe4367d35f030693abb29,0,1,0,0,1
25,25,0,bcbcbcbc,bcbcbcbc,f,f,85db32c399d329c7d0cc95cc57c752d351c333dbdac006e400c091edcac094f7,0,1,0,0,1
26,26,0,bcbcbcbc,bcbcbcbc,f,f,4b3b0028603e841fdd3f3a16b73f5e0cef3d3102913af6f7b335f0ed752f60e4,0,1,0,0,1
27,27,0,bcbcbcbc,bcbcbcbc,f,f,2ec1d1f9f0c30e043bc8310ef4cdf717f5d4202111dd702911e6b030bcefb136,0,1,0,0,1
28,28,0,bcbcbcbc,bcbcbcbc,f,f,ea2d5ce23726b1d9891d01d21a147ecb270a54c6f1ffa4c2bcf586c0caeb08c0,0,1,0,0,1
29,29,0,bcbcbcbc,bcbcbcbc,f,f,ecf1d3370ffc1a3c4d06d73e6110f83f0a1a763f0823543d212b9f391e327134,0,1,0,0,1
30,30,0,bcbcbcbc,bcbcbcbc,f,f,aae925c062e0a6c1e9d7c0c477d05fc93dca63cf63c5a7d60ac2f9de47c024e8,0,1,0,0,1
31,31,0,bcbcbcbc,bcbcbcbc,f,f,7d331e33e438522cd73c63243b3f861b0040f411213fec07a53cb1fd9b3884f3,0,1,0,0,1
32,32,0,bcbcbcbc,bcbcbcbc,f,f,1bc03fea56c020f432c24ffea4c58a0894ca8c12e2d0141c65d8e524ece0c42c,0,1,0,0,1
33,33,0,bcbcbcbc,bcbcbcbc,f,f,853751f1bb3191e7ab2a72de83222ed67919fdcec80f0dc9af0585c471fb83c1,0,1,0,0,1
34,34,0,bcbcbcbc,bcbcbcbc,f,f,e9e2582e60eccb3458f6e3399000803dc30a8a3fb014f33f161eb93eb626e33b,0,1,0,0,1
35,35,0,bcbcbcbc,bcbcbcbc,f,f,33f911c122ef04c081e59bc08cdcd2c281d49ac692cddacbeec770d2bac330da,0,1,0,0,1
36,36,0,bcbcbcbc,bcbcbcbc,f,f,7b280e3bdf2f5e3608364830d03af728163e9820c53f6417d23f970d3c3e7003,0,1,0,0,1
37,37,0,bcbcbcbc,bcbcbcbc,f,f,02c307dcb2c0efe401c088eef4c094f885c3d002a2c7fa0c30cdcf160cd40e20,0,1,0,0,1
38,38,0,bcbcbcbc,bcbcbcbc,f,f,ac3d3001273af7f62535f9ecc62e78e33527b2daa31ee1d2481537cc610be1c6,0,1,0,0,1
39,39,0,bcbcbcbc,bcbcbcbc,f,f,b5d5fc21eadd332afee65631b5f03537d1faaa3b0f05983e2c0fec3fe5189c3f,0,1,0,0,1
40,40,0,bcbcbcbc,bcbcbcbc,f,f,2809e6c5effe5dc2bef467c0d6ea13c079e161c1e4d84bc44fd1bbc8edca96ce,0,1,0,0,1
41,41,0,bcbcbcbc,bcbcbcbc,f,f,f51a533fdf23083dde2b2d39bd32db335038362d713c6725063fa41cfe3f2513,0,1,0,0,1
42,42,0,bcbcbcbc,bcbcbcbc,f,f,b3c90dd0fec46dd7cbc1d7df31c014e939c0e7f2e2c111fd24c54d07e7c95a11,0,1,0,0,1
43,43,0,bcbcbcbc,bcbcbcbc,f,f,fd3ffc10f53eec06513caffc213888f28132b9e8962b83df8e2322d79c1acccf,0,1,0,0,1
44,44,0,bcbcbcbc,bcbcbcbc,f,f,23cb821392d1fb1c31d9b625cee17a2d32eb14341ef5593951ff253d8909613f,0,1,0,0,1
45,45,0,bcbcbcbc,bcbcbcbc,f,f,8c1859cecd0e8bc8ae0428c470fa4ec157f00ec0a4e672c098dd77c26dd50fc6,0,1,0,0,1
