Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc2_a1_1[15:0],u3_adc_analysis/adc2_a2_1[15:0],u3_adc_analysis/adc2_a3_1[15:0],u3_adc_analysis/adc2_a4_1[15:0],u3_adc_analysis/adc2_a1_2[15:0],u3_adc_analysis/adc2_a2_2[15:0],u3_adc_analysis/adc2_a3_2[15:0],u3_adc_analysis/adc2_a4_2[15:0],u3_adc_analysis/adc3_a1_1[15:0],u3_adc_analysis/adc3_a2_1[15:0],u3_adc_analysis/adc3_a3_1[15:0],u3_adc_analysis/adc3_a4_1[15:0],u3_adc_analysis/adc3_a1_2[15:0],u3_adc_analysis/adc3_a2_2[15:0],u3_adc_analysis/adc3_a3_2[15:0],u3_adc_analysis/adc3_a4_2[15:0],u3_adc_analysis/adc4_a1_1[15:0],u3_adc_analysis/adc4_a2_1[15:0],u3_adc_analysis/adc4_a3_1[15:0],u3_adc_analysis/adc4_a4_1[15:0],u3_adc_analysis/adc4_a1_2[15:0],u3_adc_analysis/adc4_a2_2[15:0],u3_adc_analysis/adc4_a3_2[15:0],u3_adc_analysis/adc4_a4_2[15:0],u3_adc_analysis/time_4s_1
0,0,0,4698,2186,-4598,-2514,4426,2698,-4278,-3010,8,-24,6,10,-24,40,-12,10,2382,-4664,-2616,4460,2996,-4260,-3162,4072,-8,20,-10,12,-8,-14,8,12,0
1,1,0,4068,3290,-3874,-3510,3670,3728,-3404,-3928,8,-40,6,-24,-24,8,6,10,3436,-3860,-3680,3640,3930,-3394,-4096,3124,56,4,-10,28,-56,-14,8,12,0
2,2,0,3198,4144,-2882,-4334,2602,4464,-2392,-4640,24,8,22,10,8,8,6,10,4288,-2876,-4468,2540,4640,-2240,-4816,1866,-24,4,-10,28,-8,20,8,-6,0
3,3,0,2088,4724,-1760,-4822,1450,4914,-1170,-4980,-8,-8,-12,10,24,-24,6,10,4864,-1694,-5024,1320,5064,-1012,-5136,638,-56,20,-26,28,8,4,-10,-6,0
4,4,0,852,5060,-510,-5076,174,5060,124,-5044,8,-8,-28,-4,8,-8,22,10,5208,-316,-5232,-22,5176,362,-5184,-708,-24,20,-10,-6,-24,-14,-26,-6,0
5,5,0,-432,5060,722,-4996,-1082,4882,1402,-4800,8,24,6,10,8,8,-12,26,5128,998,-5072,-1350,5032,1644,-4928,-1962,8,20,8,12,-40,4,8,-6,0
6,6,0,-1722,4654,1994,-4556,-2302,4386,2562,-4208,-8,8,6,-4,24,8,6,-4,4720,2250,-4664,-2632,4496,2816,-4292,-3108,-40,70,-44,-6,-56,4,-26,-6,0
7,7,0,-2838,4066,3096,-3848,-3374,3648,3600,-3384,-24,-8,38,26,8,8,6,10,4122,3366,-3904,-3640,3644,3892,-3466,-4144,-56,-14,24,-6,-8,-14,-44,28,0
8,8,0,-3844,3160,4036,-2914,-4226,2636,4442,-2370,8,8,-12,-40,24,-8,-28,-4,3204,4336,-2942,-4548,2638,4734,-2392,-4846,-40,20,-10,-6,-40,4,42,-6,0
9,9,0,-4546,2072,4650,-1772,-4826,1524,4874,-1196,8,-8,-28,10,8,-8,6,-24,2046,4988,-1810,-5092,1408,5222,-1136,-5256,8,20,-10,12,24,4,8,12,0
10,10,0,-5002,884,5058,-540,-5134,244,5106,106,-8,-8,-28,10,24,-8,6,-4,808,5320,-464,-5364,154,5354,148,-5306,-40,4,8,28,-40,-24,-10,-6,0
11,11,0,-5118,-360,5106,714,-5086,-1032,5024,1342,-8,8,-12,-24,-24,-24,6,-4,-522,5288,812,-5224,-1138,5190,1450,-5076,-56,4,-10,-6,-24,-42,-10,-22,0
12,12,0,-4922,-1638,4842,1960,-4722,-2180,4618,2500,-24,-8,-12,-4,24,-8,-12,10,-1812,4972,2048,-4814,-2408,4686,2638,-4530,-40,20,-10,-22,24,-24,-26,-22,0
13,13,0,-4450,-2712,4244,3068,-4068,-3258,3840,3562,8,24,22,26,8,24,6,10,-2960,4320,3160,-4110,-3480,3836,3664,-3608,-72,-14,-44,-6,8,4,-44,-22,0
14,14,0,-3630,-3724,3440,3970,-3158,-4128,2936,4318,-24,-8,-12,-4,-24,-24,-28,10,-3928,3348,4118,-3092,-4318,2784,4468,-2530,-40,-14,24,-6,-8,4,-26,-22,0
15,15,0,-2638,-4446,2368,4608,-2080,-4724,1778,4862,24,8,6,10,8,8,22,10,-4620,2180,4762,-1962,-4892,1612,4970,-1318,24,4,8,-22,-8,-14,-10,-6,0
16,16,0,-1482,-4902,1162,4982,-858,-5062,514,5078,-8,8,6,26,-24,8,6,-20,-5076,912,5142,-676,-5172,298,5206,28,-24,-24,24,12,-40,36,-10,-38,0
17,17,0,-224,-5094,-102,5062,436,-5062,-742,4982,8,8,6,10,-8,8,-28,40,-5188,-348,5190,688,-5108,-1096,5078,1336,-40,36,-10,12,-24,4,-44,12,0
18,18,0,1092,-4936,-1370,4816,1706,-4660,-1984,4546,8,-8,22,-4,-8,-24,-12,10,-4996,-1694,4858,1974,-4796,-2306,4618,2606,-8,-14,-26,12,-40,20,8,28,0
19,19,0,2302,-4382,-2554,4270,2826,-4082,-3094,3864,8,8,6,10,-8,8,6,-4,-4460,-2930,4308,3198,-4126,-3444,3888,3640,-40,4,-10,-6,-24,-24,-60,12,0
