Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u3_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u4_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u2_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync,adc2_sync,adc3_sync,adc4_sync
0,0,0,0,ff100000,9affdaff,0,00fcfffe,4,2,1400fcff,1,1,1,1
1,1,0,0,000000e0,0a00eaff,0,ff0e001e,0,8,fcfff4ff,1,1,1,1
2,2,0,1,00f0fffc,dafffaff,0,ffeeffde,0,0,04001400,1,1,1,1
3,3,0,0,00f0ff10,0a001a00,0,000e00fe,0,0,f4ffe4ff,1,1,1,1
4,4,0,0,00f0ff20,eafffaff,0,fffeff1e,0,2,0400fcff,1,1,1,1
5,5,0,0,00f0ff00,cafffcff,2,fffeffee,0,2,1400fc00,1,1,1,1
6,6,0,4,ff7c0000,eaff1a00,0,00fcffee,4,0,f4ff2400,1,1,1,1
7,7,0,0,ffe0fff0,cafffcff,2,ffdeff0e,0,0,0400e4ff,1,1,1,1
8,8,0,1,ff0000fc,1a00daff,0,ff2e00ee,0,2,e4fffc00,1,1,1,1
9,9,0,0,00e0fff0,cafffc00,2,00eefffe,0,0,f4ff1400,1,1,1,1
10,10,0,4,00fc0000,faff2a00,0,00eeff2e,0,0,0400e4ff,1,1,1,1
11,11,0,0,ffe0ff20,daff2a00,0,00feff0e,0,0,e4fff4ff,1,1,1,1
12,12,0,4,fffcfff0,fc001a00,8,00fc001e,4,8,fcfff4ff,1,1,1,1
13,13,0,0,001000e0,0a00eaff,0,fffc000e,4,0,14000400,1,1,1,1
14,14,0,1,ff0000fc,1a002a00,0,ff0e00ee,0,0,0400e4ff,1,1,1,1
15,15,0,0,001000e0,2a00fc00,2,ffeefffe,0,8,fcffe4ff,1,1,1,1
16,16,0,0,00e0ff00,eafffaff,0,ffeefffc,1,0,f4ff2400,1,1,1,1
17,17,0,4,fffc0010,0a001a00,0,fffefffc,1,0,f4ff0400,1,1,1,1
18,18,0,0,000000f0,0a00daff,0,00eefffc,1,2,f4fffcff,1,1,1,1
19,19,0,1,ff0000fc,daffbaff,0,ffeeff0e,0,0,f4ff0400,1,1,1,1
20,20,0,0,00f0ffe0,faffcaff,0,ffeefffe,0,8,fc000400,1,1,1,1
21,21,0,0,00100020,faff0a00,0,ff0e00fe,0,0,0400e4ff,1,1,1,1
22,22,0,4,00fc0000,eafffcff,2,ff7cfffe,4,2,e4fffc00,1,1,1,1
23,23,0,4,00fc0000,0a00baff,0,000e00fe,0,0,e4ff0400,1,1,1,1
24,24,0,0,00100000,aafffaff,0,fffeff1e,0,0,e4fff4ff,1,1,1,1
25,25,0,0,ff000020,daff0a00,0,00fcffee,4,0,1400f4ff,1,1,1,1
26,26,0,0,000000f0,eafffaff,0,fffc001e,4,0,0400f4ff,1,1,1,1
27,27,0,0,00f0ff20,eafffcff,2,ff1e00ee,0,2,f4fffc00,1,1,1,1
