Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac4_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac4_int/tx_tdata[255:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac1_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac2_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac2_int/tx_tdata[255:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txcharisk[3:0],int_dac_top/top_dac3_int/i_jesd204_1_support_block/gt0_txdata[31:0],int_dac_top/top_dac3_int/tx_tdata[255:0],int_dac_top/top_dac4_int/syncb_buf,int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac2_int/syncb_buf,int_dac_top/top_dac3_int/syncb_buf,int_dac_top/top_dac3_int/syncb_logic,int_dac_top/top_dac4_int/syncb_logic,int_dac_top/top_dac1_int/syncb_logic,int_dac_top/top_dac2_int/syncb_logic,sysref_logic,sysref_o,u_ila_2_tx_aresetn,u_ila_2_tx_aresetn_1,u_ila_2_tx_aresetn_2,u_ila_2_tx_aresetn_3
0,0,0,0,d006f3c4,e0cdd917ddd40421f5dc5729f3e59a309cefa036b0f93e3bed03593e110edb3f,0,903d5322,47e16dc1b7d85fc428d1d8c8cdcabacecfc5e0d54ec21ade61c032e716c0ecf0,0,a031e334,fbf936c1e5ef0ac038e681c034dd98c215d542c60fce66cb50c8e3d1ffc38fd9,f,bcbcbcbc,70c3e6dae9c0b2e301c037edbbc037f715c37001fec6a10b5dcc85150ed3db1e,0,0,0,1,0,1,1,1,0,0,1,1,1,1
1,1,0,0,141df03e,391491cb470a62c61200adc2dcf58ac0e9eb07c079e228c1cbd9e4c318d22bc8,0,e2c2c800,6a380d2d843c3925103f711cff3fef124a3ff008f73cb7fe143986f4ba33a0ea,0,5ac06ae7,de275b3b582fc7369c35cb30803a9029e43d4521b33f1f18e03f5b0e6a3e3904,f,bcbcbcbc,063e9002b63a54f8e6354aeeb42fb5e44928d2dbd61fddd3921609cdbb0c83c7,0,0,0,1,0,1,1,1,0,0,1,1,1,1
2,2,0,0,7cc8a5d1,4110f73fec197a3fed225d3d082bad390a328434c337012e0f3c5226d13ea71d,0,cb285ddc,3dc01ff3f0c149fd3ac5850705ca901132d0281b99d70d2408e0072c49e9df32,0,f8384af4,40c362dbd1c039e400c0c7edd3c0ccf744c3070243c7350cb7cc12167ad35f1f,f,bcbcbcbc,b0d4cf20c2dc2829bbe5733061ef7f3673f9273bb0034b3ed50dd63fa017bf3f,0,0,0,1,0,1,1,1,0,0,1,1,1,1
3,3,0,0,e53fb20e,8dd04ec94fca4ecf71c58ed612c2ddde4ac006e823c0ccf19fc1eefbb4c42c06,0,ccf8e63a,5e3285e86d2b52df5f23f6d6691aa7cfc51095c9b406e8c477fcbec151f22cc0,0,3de0332c,e03df9017a3abef79435b9ed4f2f2de4d32756db531f70d30516aecc270c3dc7,f,bcbcbcbc,840a7dc64f00bfc219f692c023ec06c0b0e21cc1fcd9d0c342d20dc8b4cbbacd,0,0,0,1,0,1,1,1,0,0,1,1,1,1
4,4,0,0,81ccbe15,363fa31b00401312273f0d08b03cd2fdaa38a5f33233c9e9692c7fe07e2403d8,0,45e3fec0,67eb353455f5723989ff363dc009683fb813fb3f2d1deb3ee4253e3ca22d0638,0,3afcb0c1,1fd5512140dd9b2945e6d530f2efce3609fa603b47046d3e690ee03f2c18b13f,f,bcbcbcbc,b419823fb9226e3ddb2ac839e331a634a5372c2efa3b8326c53edd1df53f7314,0,0,0,1,0,1,1,1,0,0,1,1,1,1
5,5,0,0,5916e4cc,96c5690882ca6c12ccd0f71b4bd8ca24cfe0ac2c20ea693300f4d5382efecd3c,0,5137a02e,20f00cc070e679c068dd87c242d527c635ce43cb6ec8b9d114c45ed942c100e2,0,1526293c,ef093cc6b9ff94c284f57fc094eb0ac02ae239c184d903c4dad157c85ecb18ce,f,bcbcbcbc,70ca26cf89c55fd622c2a9de50c0cde71fc090f191c1b1fb9dc4ef052ec90610,0,0,0,1,0,1,1,1,0,0,1,1,1,1
6,6,0,0,110edb3f,9f2247d6971912cfe80f1ec9d00591c492fb8ac171f11dc0b0e753c08ede2ac2,0,16c0ecf0,2f2fe6367a35f330673abf29d43d7921ac3f5718e33f960e773e7604723b38fa,0,ffc38fd9,3e1a6f3f3723433d4a2b863941325034ef37c32d2e3c0a26e23e571dfa3fe413,f,bcbcbcbc,00404e12313f4a08c33c0ffec738e1f3563302ea952cb4e0b02433d8da1bb7d0,0,0,0,1,0,1,1,1,0,0,1,1,1,1
7,7,0,0,18d22bc8,6f00773da30a863f9114f43ff91dbf3e9c26ef3b422e9537b834d031d539c32a,0,ba33a0ea,dbc002e400c08cedc9c08ff731c3ca0127c7f90b92ccd9154ed32a1f30dbae27,0,6a3e3904,1eca88cf4dc5d2d6fcc12adf41c059e829c023f2b3c148fcd6c485067cc99810,f,bcbcbcbc,60ca3112a3d0c01b1bd898249ae0802ce6e94533c4f3b938f1fdb93c2c082c3f,0,0,0,1,0,1,1,1,0,0,1,1,1,1
8,8,0,0,d13ea71d,a8dcc8c299d48bc6a6cdc7cbfec758d2c5c316da17c1cce205c041ec97c038f6,0,49e9df32,933afbf7b535f4ed782f64e4032888db881f9cd33f16d3cc630c59c7360253c3,0,7ad35f1f,ff3fbd11183fb407933c78fd81384df3fc3275e9292c31e03424bdd7521b51d0,f,bcbcbcbc,cf193acf23103dc90d06a8c4cffb98c1adf121c0e9e74dc0c2de1ac276d67dc5,0,0,0,1,0,1,1,1,0,0,1,1,1,1
9,9,0,0,b4c42c06,c33a10290e3eb420c23f8317d43fb70d443e91031b3b54f96f3642ef5e309fe5,0,51f22cc0,0ddd6c290de6ad30b7efae36ccf9493b0a045f3e2d0edd3ff317b73f1c21f03d,0,270c3dc7,b3cac21208d1471c92d813251ee1ec2c74ea9e3358f4fe3888fee83cc208433f,f,bcbcbcbc,660a7e3f5714f63fc31dcb3e6b26043c172eb4379534f631bb39f12a663dd222,0,0,0,1,0,1,1,1,0,0,1,1,1,1
