Sample in Buffer,Sample in Window,TRIGGER,u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxcharisk[3:0],u2_adc_top/u1_adc_module/u_adc_jesd204b/gt0_rxdata[31:0],adc1_sync
0,0,0,0,16000600,1
1,1,0,0,0600f6ff,1
2,2,0,8,fc001600,1
3,3,0,0,f6ff0600,1
4,4,0,2,0600fcff,1
5,5,0,2,e6fffc00,1
6,6,0,0,06001600,1
7,7,0,0,0600f6ff,1
8,8,0,8,fcfff6ff,1
9,9,0,0,f6ff0600,1
10,10,0,2,0600fcff,1
11,11,0,0,f6ff1600,1
12,12,0,2,f6fffcff,1
13,13,0,2,0600fcff,1
14,14,0,8,fcfff6ff,1
15,15,0,0,f6ff1600,1
16,16,0,8,fc000600,1
17,17,0,8,fcfff6ff,1
18,18,0,8,fcfff6ff,1
19,19,0,0,f6ff1600,1
20,20,0,2,f6fffcff,1
21,21,0,2,1600fcff,1
22,22,0,0,0600e6ff,1
23,23,0,2,0600fc00,1
24,24,0,0,0600f6ff,1
25,25,0,2,f6fffc00,1
26,26,0,0,f6ff0600,1
27,27,0,0,16000600,1
28,28,0,8,fcfff6ff,1
29,29,0,0,d6ffe6ff,1
30,30,0,8,fcfff6ff,1
31,31,0,0,f6ff1600,1
32,32,0,2,f6fffcff,1
33,33,0,0,f6ff0600,1
34,34,0,2,1600fcff,1
35,35,0,0,f6ffe6ff,1
36,36,0,0,f6ff0600,1
37,37,0,2,1600fcff,1
38,38,0,0,e6fff6ff,1
39,39,0,8,fc000600,1
40,40,0,8,fc000600,1
41,41,0,0,f6ff0600,1
42,42,0,0,f6ff0600,1
43,43,0,0,f6ff0600,1
44,44,0,0,f6ff0600,1
45,45,0,0,16000600,1
46,46,0,0,06002600,1
47,47,0,0,06001600,1
48,48,0,0,0600e6ff,1
49,49,0,2,e6fffc00,1
50,50,0,8,fcfff6ff,1
51,51,0,0,0600f6ff,1
52,52,0,2,f6fffc00,1
53,53,0,0,f6ff0600,1
54,54,0,2,1600fcff,1
55,55,0,0,0600f6ff,1
56,56,0,8,fcfff6ff,1
57,57,0,0,06001600,1
58,58,0,8,fcfff6ff,1
59,59,0,0,16000600,1
60,60,0,0,1600f6ff,1
61,61,0,8,fc000600,1
62,62,0,0,f6ff0600,1
63,63,0,0,f6ff0600,1
64,64,0,0,f6ffd6ff,1
65,65,0,2,1600fcff,1
66,66,0,2,f6fffc00,1
67,67,0,0,f6ff0600,1
68,68,0,0,e6ff1600,1
69,69,0,8,fc000600,1
70,70,0,8,fc000600,1
71,71,0,8,fc000600,1
72,72,0,8,fcfff6ff,1
73,73,0,0,0600f6ff,1
74,74,0,0,1600f6ff,1
75,75,0,8,fcfff6ff,1
76,76,0,0,d6fff6ff,1
77,77,0,8,fc001600,1
78,78,0,0,0600f6ff,1
79,79,0,8,fcfff6ff,1
80,80,0,8,fc000600,1
81,81,0,0,1600f6ff,1
82,82,0,8,fcfff6ff,1
83,83,0,0,f6ff0600,1
84,84,0,2,0600fcff,1
85,85,0,2,0600fc00,1
86,86,0,8,fcfff6ff,1
87,87,0,8,fc000600,1
88,88,0,8,fcfff6ff,1
89,89,0,0,16000600,1
90,90,0,2,0600fc00,1
91,91,0,2,f6fffc00,1
92,92,0,2,2600fcff,1
93,93,0,0,06001600,1
94,94,0,0,2600f6ff,1
95,95,0,0,0600e6ff,1
96,96,0,2,f6fffc00,1
97,97,0,0,0600c6ff,1
98,98,0,2,f6fffc00,1
99,99,0,0,f6ff1600,1
100,100,1,0,16000600,1
101,101,0,0,e6ff0600,1
102,102,0,0,06001600,1
103,103,0,8,fcfff6ff,1
104,104,0,0,0600f6ff,1
105,105,0,2,1600fc00,1
106,106,0,8,fc000600,1
