Sample in Buffer,Sample in Window,TRIGGER,int_dac_top/top_dac1_int/tx_tdata[255:0],int_dac_top/top_dac1_int/syncb_buf,int_dac_top/top_dac1_int/syncb_logic,sysref_logic,sysref_o,u_ila_3_tx_aresetn
0,0,0,9035da30773aa129de3d5721b03f3318e13f700e6f3e4f04633b11fad236faef,0,1,0,0,1
1,1,0,00c0b2edcfc0b6f73dc3f10139c71f0caaccfe156bd34c1f50dbcd2726e4492f,0,1,0,0,1
2,2,0,a035cfed5d2f40e4e52768db661f80d31a16bbcc3c0c47c70f0247c3d4f7d4c0,0,1,0,0,1
3,3,0,31e6c630ddefc336f3f9583b3104683e530edf3f1718b33f3e21e63d8a29833a,0,1,0,0,1
4,4,0,9af582c0a9eb0ac03de235c195d9fcc3e9d14cc86bcb0ace45c60fd59ac22edd,0,1,0,0,1
5,5,0,3a2b903934325d34e437d22d263c1c26de3e6b1df93ff913723f050a4a3dcfff,0,1,0,0,1
6,6,0,01c217df43c044e828c00df2aec132fccdc46f0671c983107acf2a1ac1d62523,0,1,0,0,1
7,7,0,9a3c8efd8b3863f309338ae9392c44e04624ced7661b60d0d3112acaca0755c5,0,1,0,0,1
8,8,0,80d801250ae1dc2c5fea913342f4f43872fee23cac08403fad120040331c1c3f,0,1,0,0,1
9,9,0,8d0578c44ffb7cc12ff119c071e75ac054de3bc214d6b2c5e7cea7cafbc8fad0,0,1,0,0,1
10,10,0,341eb23ed226d73b702e7437de34a531f239912a8a3d66228e3f5919f13fa60f,0,1,0,0,1
11,11,0,ddc788d2aec34cda0ac108e303c081eca0c07bf6dcc2b200a9c6e50aeecbd114,0,1,0,0,1
12,12,0,cf3f750d343e4d03013b11f94b3601ef323061e5dc2870dc7a2067d444177dcd,0,1,0,0,1
13,13,0,45cdef1625d42c2024dc96280ee5f52fa9ee1b36b6f8de3af3021e3e1c0dc83f,0,1,0,0,1
14,14,0,271523cc3f0bd2c60d01f7c2d5f6adc0d8ec02c059e3fac096da90c3c8d2b2c7,0,1,0,0,1
15,15,0,4e0fed3f0519983f1922a33d4d2a193a6c3112354637af2eb63b1a279f3e851e,0,1,0,0,1
16,16,0,37d1cdc8d9caacced8c5cfd553c207de63c01de714c0d7f069c1f4fa57c43205,0,1,0,0,1
17,17,0,0c3f851cff3f04134e3f0609fe3ccdfe1d399cf4c733b5ea1d2d5ae14b25c8d8,0,1,0,0,1
18,18,0,31c56f07f9c97b1124d0141b88d7fb23f5dff72b34e9d23209f3603833fd7c3c,0,1,0,0,1
19,19,0,712307d77d1ab6cfdb10a1c9ca06f0c48dfcc3c166f22ec099e83bc065dfebc1,0,1,0,0,1
20,20,0,73ff2f3dab09653fa313fc3f1a1def3ed225453c932d103828346c3268397d2b,0,1,0,0,1
21,21,0,7add81c253d51ec643ce37cb79c8aad11cc44cd947c1ede10dc053eb77c040f5,0,1,0,0,1
22,22,0,5e3acf29cf3d8c21aa3f6c18e53fac0e7c3e8c047a3b4efaf23635f0013184e6,0,1,0,0,1
23,23,0,c6c07af72ac3b4011dc7e30b85ccc4153fd3171f1edb9d27eee3202f77ed6e35,0,1,0,0,1
24,24,0,872f78e414289bdb9b1facd35316e0cc790c64c74c025ac311f8dec009ee00c0,0,1,0,0,1
25,25,0,a2efa336b6f9413bf4035a3e170edb3fdf17b93f0921f53d5c299b3a9f30c135,0,1,0,0,1
26,26,0,e3eb08c074e229c1c6d9e7c313d22ec88ecbe4cd60c6e2d4acc2fadc8ac0f9e5,0,1,0,0,1
27,27,0,0e328034c637fd2d113c4d26d23ea11df83f3314793f410a5b3d0c00ab39d6f5,0,1,0,0,1
28,28,0,49c00ce823c0d2f1a0c1f5fbb6c4320651c9471052cff21992d6f222e2de0d2b,0,1,0,0,1
29,29,0,a7389ff32e33c3e9652c79e07924fed79e1b89d00d124cca07086ec5cbfd11c2,0,1,0,0,1
30,30,0,d5e0b12c26ea6d3306f4d83835fecf3c6f08373f72120040fc1b263fcf24ae3c,0,1,0,0,1
31,31,0,8cfb89c16bf11dc0aae753c089de2bc242d699c50ecf85ca1bc9d0d08fc450d8,0,1,0,0,1
32,32,0,a126ed3b462e9237bc34cc31d839bf2a793d9922873f9119f43fe10fbe3eca05,0,1,0,0,1
33,33,0,c3c31bda16c1d1e205c047ec97c03ef6cac275008ec6a90acacb97145dd2fe1d,0,1,0,0,1
34,34,0,423e8b03193b4df96c363cef5a3099e50b29a3dcaf2094d47d17a2cdb10dfbc7,0,1,0,0,1
35,35,0,f8d3f71ff1db6628d7e4cd2f6eeefa3579f8c53ab5020f3ee00cc33fb616d43f,0,1,0,0,1
36,36,0,7b0bedc64b010ac311f7b6c013ed01c090e3f0c0c8da7cc3f4d295c747cc20cd,0,1,0,0,1
37,37,0,cd189f3fe521b33d1f2a323a453134352737d92ea03b4a27923eba1eea3f6115,0,1,0,0,1
38,38,0,fcca86cef1c5a1d564c2d3dd6ac0e5e612c09bf05cc1b7fa41c4f504aec8120f,0,1,0,0,1
39,39,0,fe3f3e13573f4309103d0aff3939d8f4eb33efea482d90e17d25f9d8bc1c61d1,0,1,0,0,1
40,40,0,d9c94011fbcfdc1a58d7c823c0dfca2bfbe8ad32cdf24338f6fc683c3307023f,0,1,0,0,1
41,41,0,b41adecf1611c1c9070708c5cafcd2c1a2f233c0d2e836c09adfdcc136d719c5,0,1,0,0,1
42,42,0,6e095d3f6813fd3fe31cfa3ea1255a3c672d2e38053492324d39aa2b1d3da423,0,1,0,0,1
43,43,0,81d504c66ace14cb98c880d131c41cd953c1b7e110c019eb6fc003f570c236ff,0,1,0,0,1
44,44,0,bf3dc021a43fa418e83fe70e893ec904903b8bfa113771f02831bde6fe29aedd,0,1,0,0,1
45,45,0,17c3770101c7a70b61cc8a1513d3e11eecda6d27b7e3f62e3ded4c353df7443a,0,1,0,0,1
46,46,0,4428cddbd11fd8d38c1605cdb50c80c789026ec34ef8e8c044ee01c0afe4bcc0,0,1,0,0,1
47,47,0,79f92a3bb7034c3edc0dd73fa617bf3fd520053e2d29b43a7730e2358336b02f,0,1,0,0,1
48,48,0,aae21ec1f7d9d2c33ed210c8b1cbbecd7ac6b5d4bdc2c7dc92c0c1e506c067ef,0,1,0,0,1
49,49,0,a837282efc3b7e26c73ed71df63f6e14813f7e0a6c3d4900c53913f6a3341dec,0,1,0,0,1
50,50,0,1fc096f193c1b8fb9fc4f50531c90c102acfba1964d6be22aededf2ad3e7e731,0,1,0,0,1
51,51,0,5333fce9912cafe0ab242ed8d51bb2d048126dca430887c509fe20c2dbf34fc0,0,1,0,0,1
52,52,0,ece94833caf3bc38f7fdbb3c32082d3f37120040c51b303f9d24c13c852cc438,0,1,0,0,1
53,53,0,a7f121c0e3e74dc0bdde1cc271d680c536cf64ca3ac9a7d0a6c420d897c19fe0,0,1,0,0,1
54,54,0,1c2eb1379934f231be39ec2a683dcd227f3fc919f63f1d10ca3e0706023cc9fb,0,1,0,0,1
55,55,0,21c19be206c00dec8fc001f6b8c2380073c66d0aa7cb5d1432d2c81dead97026,0,1,0,0,1
56,56,0,303b8af98c3677ef8230d1e53a29d6dce420c1d4b617c8cdec0d19c8c803d8c3,0,1,0,0,1
57,57,0,bfdb37289fe4a42f34eed9353cf8ad3a7802003ea40cbd3f7c16d83fc21f503e,0,1,0,0,1
58,58,0,88011cc34ef7bfc04ded00c0c7e3e5c0fada68c31fd378c76bccfbcc09c7ccd3,0,1,0,0,1
59,59,0,b121c33df1294b3a1d3156350837022f8a3b7b27853ef01ee73f9b15a63fb80b,0,1,0,0,1
60,60,0,0bc674d575c29fdd71c0ade60fc060f050c17afa2bc4b8048fc8d70e5fce9418,0,1,0,0,1
61,61,0,5f3f7f09223d47ff543914f50f3429eb742dc6e1af2529d9f31c8bd179131ecb,0,1,0,0,1
62,62,0,d3cfa51a29d796238bdf9d2bc2e8873291f22638b9fc543cf606f73e0511fd3f,0,1,0,0,1
63,63,0,5111e2c9440720c507fde0c1def238c00be931c0cfdfcdc165d701c506d0b8c9,0,1,0,0,1
64,64,0,2e13fe3fac1c053f6f256e3c3c2d4b38e133b7323139d72b0b3dd723543fec1a,0,1,0,0,1
