Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/adc1_a1_1[15:0],u3_adc_analysis/adc1_a2_1[15:0],u3_adc_analysis/adc1_a3_1[15:0],u3_adc_analysis/adc1_a4_1[15:0],u3_adc_analysis/adc1_a1_2[15:0],u3_adc_analysis/adc1_a2_2[15:0],u3_adc_analysis/adc1_a3_2[15:0],u3_adc_analysis/adc1_a4_2[15:0],u3_adc_analysis/adc1_b1_1[15:0],u3_adc_analysis/adc1_b2_1[15:0],u3_adc_analysis/adc1_b3_1[15:0],u3_adc_analysis/adc1_b4_1[15:0],u3_adc_analysis/adc1_b1_2[15:0],u3_adc_analysis/adc1_b2_2[15:0],u3_adc_analysis/adc1_b3_2[15:0],u3_adc_analysis/adc1_b4_2[15:0],u3_adc_analysis/adc_en_vio_2
0,0,0,-24520,-24256,-21808,-17250,-11004,-3720,3790,10760,24,22,-4,4,8,22,-20,20,0
1,1,0,16878,21288,23756,24102,22236,18120,11966,4676,-8,22,-4,-14,24,22,14,4,0
2,2,0,-3548,-11156,-17864,-22380,-24536,-24288,-21824,-17298,-36,-12,-4,20,8,-12,-4,4,0
3,3,0,-10956,-3720,3838,10708,16862,21324,23788,24086,-52,-12,-20,36,-8,22,-20,4,0
4,4,0,22188,18104,11950,4628,-3596,-11156,-17832,-22396,-8,6,-20,-30,-8,22,-36,-48,0
5,5,0,-24584,-24256,-21792,-17202,-10940,-3784,3870,10676,8,22,30,-48,8,6,-4,4,0
6,6,0,16862,21304,23820,24118,22204,18120,11998,4660,8,6,14,4,8,38,-36,4,0
7,7,0,-3564,-11272,-17832,-22380,-24536,-24336,-21744,-17250,24,6,-20,4,-8,6,-20,-30,0
8,8,0,-10988,-3832,3806,10692,16814,21224,23788,24102,8,-28,-20,-30,8,22,-4,-30,0
9,9,0,22236,18136,11982,4628,-3612,-11224,-17816,-22364,-52,6,30,-30,-36,6,14,4,0
10,10,0,-24568,-24288,-21728,-17234,-10940,-3752,3838,10724,-8,38,14,-14,-8,-12,-20,-14,0
11,11,0,16862,21272,23788,24086,22236,18184,11934,4660,8,6,14,4,24,38,-36,-30,0
12,12,0,-3516,-11156,-17832,-22364,-24536,-24304,-21760,-17282,8,6,-20,4,-8,6,14,-30,0
13,13,0,-10956,-3752,3838,10760,16878,21240,23804,24150,-8,-12,14,-14,8,6,-4,4,0
14,14,0,22268,18168,11982,4676,-3532,-11188,-17832,-22364,-8,22,-20,-14,-24,-12,-20,4,0
15,15,0,-24536,-24272,-21792,-17282,-10940,-3768,3790,10708,8,6,-20,36,-8,38,14,36,0
16,16,0,16894,21304,23820,24150,22188,18136,12026,4676,8,6,-4,36,-8,-12,-4,36,0
17,17,0,-3548,-11188,-17832,-22412,-24552,-24240,-21712,-17250,-24,38,-4,20,8,-12,-4,20,0
18,18,0,-10924,-3784,3886,10724,16894,21288,23804,24118,-8,6,-20,36,-8,-12,14,-14,0
19,19,0,22236,18136,11950,4660,-3596,-11256,-17832,-22380,-8,-12,-4,-14,24,-12,-36,4,0
20,20,0,-24536,-24304,-21776,-17266,-10972,-3784,3854,10708,24,-12,14,4,-24,-44,-4,4,0
21,21,0,16830,21272,23852,24150,22204,18152,12010,4676,-24,6,-36,4,8,22,-20,-30,0
22,22,0,-3628,-11204,-17832,-22380,-24552,-24256,-21824,-17266,-8,-12,-4,-30,-52,-12,-54,20,0
23,23,0,-10940,-3768,3854,10708,16846,21324,23788,24118,24,6,-36,-30,-8,6,14,-14,0
24,24,0,22220,18152,12042,4676,-3580,-11188,-17832,-22380,8,6,-4,20,24,-12,-4,4,0
25,25,0,-24552,-24288,-21776,-17282,-10988,-3752,3822,10724,8,38,-20,20,-8,-12,-36,4,0
26,26,0,16878,21304,23788,24118,22236,18136,11982,4628,-8,22,-4,-30,-36,6,-20,36,0
27,27,0,-3580,-11188,-17848,-22396,-24584,-24288,-21776,-17218,-8,6,-4,36,-8,6,14,4,0
28,28,0,-10940,-3720,3854,10692,16878,21324,23788,24118,-8,-28,-4,4,24,-12,-4,4,0
29,29,0,22220,18136,11978,4644,-3564,-11172,-17816,-22396,-8,6,-20,-30,40,6,14,-14,0
30,30,0,-24584,-24288,-21776,-17282,-11004,-3752,3838,10708,-8,22,-4,20,-8,-12,-4,4,0
31,31,0,16894,21272,23804,24134,22236,18104,11902,4660,8,6,-20,-14,-8,-12,-4,-14,0
32,32,0,-3564,-11240,-17832,-22428,-24584,-24320,-21792,-17234,-8,22,14,20,8,6,-20,4,0
33,33,0,-10924,-3720,3870,10708,16846,21272,23772,24086,-8,6,-4,36,-8,6,-20,4,0
34,34,0,22204,18104,11934,4628,-3580,-11188,-17816,-22396,-8,22,-20,-14,-36,6,-4,4,0
35,35,0,-24552,-24320,-21808,-17250,-10972,-3752,3790,10676,8,22,-20,4,-8,6,30,4,0
36,36,0,16814,21304,23804,24086,22156,18088,11982,4644,8,-12,-4,-30,-8,-12,-36,4,0
37,37,0,-3516,-11236,-17832,-22380,-24552,-24288,-21792,-17234,24,6,-20,-14,-8,38,-20,20,0
38,38,0,-10972,-3720,3822,10692,16894,21240,23804,24134,8,6,-4,4,-24,-12,-20,4,0
39,39,0,22204,18136,11934,4628,-3660,-11272,-17800,-22380,-36,38,-20,-14,24,38,30,4,0
40,40,0,-24584,-24272,-21808,-17282,-10956,-3752,3822,10676,-36,-12,-4,-30,24,22,-4,4,0
41,41,0,16878,21272,23772,24134,22204,18072,11950,4676,8,6,-4,20,-52,22,-4,4,0
42,42,0,-3596,-11204,-17832,-22396,-24552,-24288,-21744,-17234,8,-28,14,-30,8,-12,-4,-14,0
43,43,0,-10972,-3784,3838,10724,16910,21256,23756,24118,-8,22,14,4,-8,-12,14,-14,0
44,44,0,22252,18104,11918,4660,-3516,-11256,-17848,-22348,8,6,-4,-14,8,22,-20,36,0
45,45,0,-24488,-24288,-21776,-17266,-10972,-3704,3838,10644,8,22,14,4,-8,-12,-20,-14,0
46,46,0,16862,21340,23772,24086,22188,18168,11950,4660,8,6,-4,-14,-24,-12,14,-30,0
47,47,0,-3564,-11224,-17816,-22396,-24568,-24272,-21792,-17298,8,-12,-4,-14,-8,6,-20,4,0
48,48,0,-10940,-3736,3838,10724,16830,21304,23772,24086,-8,6,-20,-14,8,-12,-4,4,0
49,49,0,22204,18120,11966,4676,-3564,-11188,-17800,-22380,-8,38,-4,-30,8,22,14,-14,0
50,50,0,-24552,-24320,-21728,-17202,-10900,-3752,3822,10740,8,6,14,4,24,-12,-4,-14,0
51,51,0,16894,21340,23756,24070,22220,18136,11950,4660,-36,-28,14,4,24,38,-4,4,0
52,52,0,-3564,-11156,-17832,-22412,-24568,-24272,-21792,-17298,24,6,-20,4,24,6,-20,20,0
53,53,0,-10956,-3736,3838,10724,16846,21304,23724,24134,-8,6,-4,4,8,22,14,20,0
54,54,0,22140,18120,11934,4708,-3548,-11256,-17848,-22412,24,22,14,4,24,6,-20,-30,0
55,55,0,-24584,-24288,-21760,-17234,-10940,-3752,3822,10756,24,22,-4,4,-24,6,-4,4,0
