Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,926e44ebac5a78c4fe3ad4a4a81428910800f6ff1a001a0012001200dafffaff,f6ff08000c010c01e8ffc8ff0c001c00deffeeff00002000160016000800f8ff,f8ff16000a00f8ff2400f6fff6ffe6ff00000e00d6ff0200020002000600f6ff,0a00fcfff4ff0200f0fff0ff1a00faff0800f6ffdeff0c00020002000e00ceff
1,1,0,18a1e035d8be4e564ce57c6c680ed87418001800f8ff0a00120002001a000a00,0800e6ffc2fc0c01f8fff8fffcff2c00deffeeffb4ff00000600160008002800,f8ff06001a000a00e6ff14001600060000000e00d6ffb6ffe0ff020026000600,fcffdeff120002000e0000001a001a00f6ff0800feffeefff0fff0fffeff2e00
2,2,0,6c4624aef621509636f84c8b08d0588fe6ff1800f8ff0a0012001200eaffeaff,e6ff08000c010c011600f8fffcff0c00200000000000300016000600f8fff8ff,060006000a000a0014001400e6fff6ff0000e0ffe4fff4ff3200f0fff6ff0600,fcffdeff2200220000000000daffeaff080018000c001c00f0fff0ffdeffdeff
3,3,0,3ad8c4667c00a873c4293a72f84c786218000800f8fff8ff42000200eaffeaff,080008000c010c01d8ff16001c001c001000200000000000e4ff060018001800,160006001a00e8ff24001400f6ffe6ff1e004c00e4ffd6ffe0ffe0ff06000600,ecffecff0200e4ffe0fff0ff1a000a000800f6fffeffdeff0200e0ffdeff0e00
4,4,0,0e066e8d34dd728c1cb8169a989ca8b4e6ffe6ff1a002a0012000200daffeaff,e6fff6ff0c010c01e8ffe8ffdcff1c00deffeeff100010001600f4fff8ff0800,6eff60fff8ff1a00f6ff4200e6ffd6ff1e000e00f4ff020012000200e6ffe6ff,0a00deffe4ff12000e000e000a00fafff6ffd6fffeff0c00f0ff32000e00deff
5,5,0,d81c407442420a69d25f66503871582e380008001a00e8ffe0ffe0fffafffaff,18001800d2fc0c01e8ff16001c001c0020000000300000000600060008002800,f8fff8ff1a00e8fff6ff1400f6ff06004c003c000200b6ffe0ff020006001600,ecfffcffe4fff4ff000000000a004a00180008000c00feff020002001e00feff
6,6,0,80c32c948ea45caaaa90d6cb088b78f3f6fff6ff0a001a00320012000a00faff,f6ff180000fdf0fce8ffd8ffecff1c00deffeefff2ff10001600e4ffd8ffe8ff,160060ff0a002a00040004000600e6ff0e003c00c6ff02000200e0ffd6fff6ff,fcfffcff020002000e000e00fafffafff8fff8ffeeff1c00020002000e00feff
7,7,0,7857c859aa6c723ada740c13686e08ea0800f6ff1a00e8fff0ff0200eafffaff,2a0018000c0110fdc8ffe8ff1c003c00eeff10004000c2fff4ff1600f8ff0800,e8ff06000a00f8fff6ffe6ff060006003c003c00f4fff4ffe0ffe0ff06002600,ecff0a0022000200e0fff0fffaff0a001800f8ff0c00feffd0ff0200fefffeff
8,8,0,3c9520c0828b12e66a8f9e0f18a2c836e6ff0800f8fff8ff020002000a00eaff,e6fff6fff0fc0c0106000600fcffecff00001000200010001600f4fff8ffc8ff,d8ff1600f8ff1a00f6ff0400060016002c002c00e4ff0200e0ff02001600e6ff,fcff0a00e4fff4ff00000e000a00cafff8ffe8ff0c00eeff020002002e00eeff
9,9,0,20748620e8716ef7c06114cfa84538ad080008000a00f8ffd0fff0ff0a00eaff,0800f6ff0c01c2fc3600f8ff0c001c0000000000100000000600260008001800,d8ffd8fff8ff0a00c6ffe6ff0600060078007800b6ff0200e0ffe0fff6ff1600,fcff0a00e4ffd4ff0000e0ff1a001a00e8ff08000c00defff0fff0ff1e00feff
