Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0c00fafff2ffe2ffe6ff08000c00fcff0c000c00ecfffcff0a000a00faff0a00,d436d5365f360040aa36ac369d369c36dd36de3656385238df36e136d236d036,160016000200120014002400e6fff6ff040014000400e6ff1400f2ff0400f4ff,d236d236eb36ea36a936aa36a136a236163716379b36983607370937e036e036
1,1,0,1c000c00f2fff2ffe6ff08000c00fcfffaff2c00fcffecff0a000a00eafffaff,d336d53600400040ac36a9369e369d36dd36dd362f385538e036e136d236d136,f4ff06000200d0fff6fff6ffd6fff6ff44003400f6fff6ffe2ffe2fff4ff1400,d136cf36ea36e736ab36aa36a436a336163714379a369d3609370937e236df36
2,2,0,1c000c00040004000800e6ffecff0c00faff2c00fcfffcff38001a000a000a00,d336d53600405f36aa36ad369f369e36dd36dd3630382f38dd36de36d036d236,f4fff4ffd0fff0ff0400f6ff0600e6ff04000400040014000400f2ff0400e4ff,d036d236eb36ea36aa36aa36a436a636163716379b369a3606370737e336e336
3,3,0,0c000c000400f2fff6ff0800380048001c00fafffcff0e00fcffecff2a00eaff,d536d43600405c35aa36ac369c369c36dd36dc3657385538df36df36d236d136,0600f4fff0ffe0ff040004000600160014000400e6fff6ff0400140004001400,ce36d236eb36e736cf36aa36a636a436163715379c369a3608370837e336e036
4,4,0,eaff1c00f2ff0400f6ffe6fffcffecfffaff1c00fcff0e000a00fcfffaffdaff,d536d53660365e36ab36ae36a0369f36de36df3631382f38df36df36d136d236,f4fff4fff0ff120014000400e6ffe6fff6ffd6fff6ff140014000400e4fff4ff,cf36d136e936ea36ab36a936a336a436163716379a369a3608370737e036e236
5,5,0,faffeafff2ffd2ff08000800fcffecff1c000c00fcff0e0038001a000a00faff,d436d53600400040aa36ab369f369e36de36dd3656385438e136de36d136cf36,0600e4fff0ffe0fff6ff04000600f6fff6ff0400f6fff6fff2ff0400d4fff4ff,d236d036ea36e936cd36cf36a636a636163716379b369b3609370937e136e136
6,6,0,faffdaff24001400f6ff1800dcffecff0c00fafffcfffcff28000a003a00eaff,d436d33600406236ac36aa369d369f36de36dc3654385538e036de36d136d136,d4ffd4ff0200120014003200f6ffe6ffb6ffd6ff140024002400f2ff04000400,d236cf36eb36e736a736a836a636a436163715379836993608370937e436e036
7,7,0,0c00eaff0400f2fff6ffe6ff0c000c001c000c00fcffecffecff28000a000a00,d536d23600400040ad36ac369e369d36dd36dc3655385538e036df36d236d036,f4ff160022000200e6ff2400f6ff2600f6ffc6ff0400f6fff2ff040004000400,d236d236eb36ea36a936a936a436a536153716379a369b3609370937e136e236
8,8,0,faff1c00240004000800f6ffdcfffcff0c003c00fcff0e0028000a000a000a00,d636d53600400040a936aa369d369c36de36df3657385638e136e036d336d236,e4ff4600120002000400e6fff6fff6ffd6ffe6ff040004000400f2ffd4ffe4ff,d036d236ea36e836ce36ce36a436a536163715379a369a3607370837e236e036
9,9,0,0c00eafff2fff2ff18001800ecffecfffaffeafffcff0e000a00fcffeaffeaff,d436d43600405e36ac36ac369f369c36dd36de3654385438de36dd36d136d036,160016000200e0fff6ff2400f6ffd6fff6ffc6fff6ffd6ff140004000400e4ff,d136d436e836e936aa36a936a536a536163714379b369a3608370737df36e036
