Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f6ff0800fcff1e00fcffecff1400f4ffe8ff0a00f2ff2400000000000600e6ff,d536d43661360040aa36a9369c369d36de36de3655383038de36e036d036d036,0a001a0006002600f0ff0e001400f4ffd8ff0600f2ff00001a00ecff10000000,9214ef041e194f5a16690e5548344d04173715379a36983606370937e336e336
1,1,0,f6fff6fffcffecff0c00fcff04001400f8fff8ff1400f2ff0000eeff06000600,d436d33600400040a936aa369c369c36dd36dd3656385438df36e036d036d036,f8ff0a0016000600f0ff0e00140004001600a8ffd2ff0000ecff0a0000000000,1f69cf54a736b0049106173b085a4368153716379d369c3609370837e036e036
2,2,0,08001800fcff0e00dcfffcff040014001a00f8fff2ff0400000000000600e6ff,d236d33600405d36ac36ab369b369f36dd36db3655385538e136e236cf36cf36,e8ffe8ff06001600d2ff000014000400e8ffe8fff2ff0000fcffdcfff0ff1000,1505da385357ec68d152e3124604e1181437143797369b3609370837e236df36
3,3,0,f6ff0800fcffecffecfffcfff4fff4ff0a001a00f2ff04000000eeffe6ffe6ff,d436d43600400040ad36a8369e369e36db36de3656385338e236df36d236d036,f8fff8ff06000600f0ff000004000400d8ffd8ffe2fff2ffecfffcfff0fff0ff,d454a814b0041c17173b5d6948681634143715379936993608370937e036e136
4,4,0,18001800fcff0e00ecfffcfff4fff4ffe8fff8ff0400e2ff000010001600e6ff,d236d23600400040ac36af369b369c36dd36dc3655385838e036e036d236d236,e8ffe8ffe4ffe4ff2c000e0004000400e8ffc8ff1000e2fffcff0a0000001000,e9382569e5689436d3129506eb18165a1537133798369b3607370a37e236de36
5,5,0,080008000e000e001c00fcff040004000a000a000400e2ff0000eeff2600f6ff,d536d43600400040ac36aa369c369e36dd36dd3655385438de36df36d136d036,0a00f8ff060006002c000e00e4ffe4ffe8ffd8ffe2ff10001a00fcff1000f0ff,9d141c054d175f57616aa14ae0324804153717379936983607370937e036e036
6,6,0,080008000e00fcfffcfffcfff4ff1400f8ff1a000400f2ffdeffcefff6fff6ff,d336d53600406036ac36ac369c369b36dd36dd3656385538e036df36d036d036,f8ff1a000600f4ff3c00f0fff4ff0400e8ff26000000d2fffcff0a0000002000,2769a5548c36ac049e061f3b1c5a1e68153714379b369c3608370737e036df36
7,7,0,0800f6fffcfffcffecff0c00f4ffe4ff0a00e8ff14000400eeffdefff6ffe6ff,d236d53600400040ac36ac369e369e36dd36dd3655383038e136df36d336d136,e8ffe8ff0600060000000000f4fff4ffd8ff160010000000ecffecffe0ff1000,1c0513396457e268974aa8124504161a173714379936983607370937e336e036
8,8,0,e6ff08001e00fcff0c000c00f4fff4fff8fff8ff0400f2ff0000eefff6ffd6ff,d636d43600400040aa36ab369c369e36df36de3655385638de36e036d036d336,f8ffe8fff4ff06000e00e0fff4ff0400f8ffc8ff000010002a001a000000d0ff,9c549414aa04561750445e691c68da32163716379936993607370737df36e136
9,9,0,f6ff0800ecffecffecff0c00e4ff2400f8ffe8ff0400140000003000e6ffe6ff,d236d43600400040ac36ad369f369e36df36de3654385638e036df36d236d036,f8ff1a00e4ffe4ffd2ff0e00f4ff0400e8ffd8ff0000d2fffcffdcff10000000,22392869df6861369e0aa1061b1a455a143715379c369c3608370737df36df36
