Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,2e000c00f4fff4fffafffafff4fff4ff12000200eafffaff1e000e0022001200,d436d33600400040ac36a8369e369e36de36dd3657385638e036df36cf36d036,f8ff0a00ecfffcff0c002c000200f2ff0a002a00180008002800fafffeff0e00,1c11461018259f5c54692354e626e002183718379b36993606370837e036e136
1,1,0,fafffafff4ff0600faff0c00e4fff4ff12000200fafffaff1e000000f2ff1200,d236d53600400040aa36a8369c369e36de36df3656385938de36de36d136ce36,1a00d8ffecffecffeefffeff120002000a000a00faff1800faff08001e000e00,8f6a9f48482748038305a13a665c1f65133715379a369b3606370737de36e036
2,2,0,1c00eafff4ff2600eaff0c0024001400f0ff02000c00eaff1e002e00f2fff2ff,d236d43600400040a936aa369e369f36de36de3654385538de36de36d136d036,f8ff0a00ecff0c000c00cefff2ff12004800fcff0800eaff1800eafffefffeff,4b105746b0646266e6521713df02dc24153715379b369b3609370837e336df36
3,3,0,faff1c00060016000c00daffe4fff4ffe0fff0ff2e000c000e00e0ffd2ff2200,d436d13600400040a736aa369e369d36dd36de3654385738de36dd36d136d136,f8fff8ffecff0c00eefffeff0200d2fffcffecff18000800faff0800feff1e00,9748ea104a034d25cf3a52691a65dc26153714379d369a3607370637df36e136
4,4,0,faff1c00f4ff16001c001c00040004001200f0ffd8fffaff00000e000200f2ff,d536d53600400040a736a7369c369f36de36de3655385738de36de36d236d136,0a000a00ecffdcffeefffefff2ff1200fcfffcff080018001800fafffeff0e00,5f46946a5e661a270e135e05e4249264123714379a369b3608370937e036dc36
5,5,0,0c000c00f4ff0600eaff0c0004000400020002001c00eafff0ff2e0012000200,d536d03600400040aa36a9369e36a036df36df3655383038e036de36d136d136,f8ff1a00fcffecff2c002c00020012000a00fcff0800080028000800feff0e00,e91054104b25ab5c5569e752d226df02163715379b369a3606370637e136df36
6,6,0,faff0c000600f4ff1c00eaff14000400e0ff0200faff0c00e0ff0000f2fff2ff,d336d23600405d36aa36a836a1369f36df36df3654385638dd36e036d036d036,e8ff1a001c00ecffceff0c00f2ff02001a00fcff0800dafffaff1800fefffeff,946a9148ee2646036906d43a99641565143715379f369c3607370937dd36df36
7,7,0,fafffaff0600f4ffdafffaff1400f4ff02001200fafffaff0000f0fff2fff2ff,d236d23600400040aa36aa369e369c36df36df3630385638e036e036cf36d036,b6ff0a00ecff1c00eefffeffe2ff0200fcff1a00080018000800fafffefffeff,57108f46da5c5766d452e812df021a25163714379a369b3607370937e036e036
8,8,0,eaffeaff06001600eaffeaff440004000200e0fffafffaff0e00f0ff1200d2ff,d536d03600400040aa36a8369f369c36de36de3658385638de36de36d036d036,e8ff0a00fcffecffeeff0c00020002004800ecffeafffafffaff18001e000e00,5f48e21047035c250f3b5769eb64a026163716379d369b3607370737e036df36
9,9,0,fafffaff060006000c000c00e4ff040012001200eaffeaff0e00000002001200,d436d33600400040ab36aa369f369f36e036dd3657385338df36dd36d036d036,e8ffe8fffcff0c002c00eeff1200120048002a00faffdafffafffaff2e000e00,9a46946a4d65e226dd126b061f259f64173715379b369b3608370837df36df36
10,10,0,0c00faff0600f4ffeafffaff0400f4fff0ff1200fafffaff0000000002000200,d236d33600405b36a936a836a0369e36df36de3657385538de36de36cf36cf36,0a001a00fcffccffeeff1c0002001200fcffdcff0800faff1800eaff1e00eeff,dc1066106925e4645b69d4528f26df02153716379d369a3607370837e336e136
11,11,0,faffeafff4ff1600daffdaffe4ff0400f0fff0ffeaffeaff1e001e0002001200,d436d63600400040ab36ab369e369f36e036de3657385538e036de36d136d236,1a001a000c000c000c00eeff1200e2fffcfffcfffaff080018000800feff1e00,946a2b47b02646039706173ba764de64143716379c369c3608370737de36df36
12,12,0,fafffafff4ff0600faffeaff04000400220002000c00faff000000002200f2ff,d436d23600400040a736a8369e369f36df36dd3654385638dd36dd36d136d136,f8ff0a00fcffdcfffeffeeff0200f2fffcff1a0028000800faffeafffeff0e00,dd10cc46ed644d65a04ad512df024e251737163799369b3606370937e236e336
13,13,0,faff0c0016000600faff0c00f4ff440002000200eafffaff1e000e00f2ffe2ff,d536d1365a360040ac36a8369d369e36de36df3656385638df36dd36d036d036,c8ffc8fffcff0c00feffeeff22001200ecff4800eaff0800fafffaff0e00ceff,5b4991115403502994466b6aab641425173717379d369b3607370837df36df36
14,14,0,eaffeafff4ff16000c00faff0400e4ff020002000c000c000000000012000200,d336d43600400040aa36aa369d369f36dc36e03655385638df36de36d036cf36,e8ff0a00fcfffcffeeffeeff0200020038000a00faff0800fafffaff1e001e00,9b44676a185b5b23d30852079026e064153715379e369e3608370937de36de36
15,15,0,0c000c0006000600faff1c00f4ff0400e0fff0fffaff0c00f0fff0ff12000200,d436d23600400040a936a8369f36a036dd36dd3656385738dd36dc36d136d036,1a00f8fffcffecff2c00eeff02000200dcffdcfffaff08001800faffeefffeff,9612d1064629db668f6a57474a25e002173717379936983605370a37e036e036
16,16,0,eafffaff060006001c00daffe4ff1400f0fff0ffeaff0c0000000e0012000200,d336d53600400040a836a7369f369f36de36dd3655385538de36dd36cf36cf36,1a00f8ffecff0c00feff0c001200f2ff1a00fcffeaff0800180008001e00feff,8e6a52495523550359079046e264a864163714379e369f3608370837e036e136
17,17,0,fafffaff1600f4ffdaff0c00f4fff4fff0fff0fffaffd8fff0ff1e00e2ff0200,d436d43600400040a936aa369e36a136de36df3656385438de36df36d236d036,f8ff1a00ccff1c001c00fefff2ff0200dcfffcff0800faff0800faffdeffeeff,de06a744e466185b1e47d108de029a26163716379a369b3607370837df36df36
18,18,0,fafffaff0600f4ffeaff1c000400f4ff02001200fafffaffe0ff000002001200,d536d23600400040a836aa369d369e36df36e03652385538df36e036cf36d036,f8ffe8ff1c000c00feffdeff02002200ccffccff0800faff080018000e00feff,2349641156034c29a746916aa4642325163716379a369a3607370737e036e136
19,19,0,daff0c00e4fff4fffaffdafff4ffe4ffe0ff1200eaffeaffe0fff0fff2ff1200,d536d43600400040a936a536a1369f36df36e03656385438df36de36d036d236,0a001a00ecffecffdefffeff220022000a00ecfffafffaff18000800eeffeeff,d4448d6aeb5a4a23a508840799261165143715379a369a3609370637e036df36
20,20,0,daff0c00f4ff06000c000c00040004000200f0ffeaff0c001e00e0ff02001200,d436d4365c360040aa36a8369e36a036df36de3654385638df36de36d136cf36,f8ff0a00ecff0c00feff1c00020002001a00fcff08001800faff0800feffeeff,5c11e506622aea66916a1b47e424df02163716379c369b3606370837e236e136
21,21,0,faff0c0016000600faff0c000400e4fff0ff0200faff1c001e000000f2fff2ff,d636d53600400040a836a8369f369c36de36de3654385438de36de36d036d136,0a00e8fffcffdcfffefffeff020022001a001a000800daff080008001e001e00,8e6a1949142358036c08cf46ed649c64153715379b369d3609370937e036e136
22,22,0,fafffafff4ff0600eafffaff04000400f0ff1200faffd8ff0000f0ff12001200,d236d33659350040aa36ae369f369f36df36de3655385538df36de36d036d136,0a00f8fffcff0c002c00feff320002002a001a0008002800eaff0800deff0e00,e806de44eb66e35ae6469f08df02d626163714379936993607370737df36e036
23,23,0,faff0c000600e4ff0c001c004400f4ffe0ff0200eaff1c002e00f0ff0200d2ff,d136d33600400040ac36aa369f369f36df36df3654385638df36de36d036cf36,1a000a000c00ecff0c00deff1200f2ff1a00fcff08000800080018001e001e00,ed48591158038d2ae446916a9164e824173716379b369b3607370737e136e036
24,24,0,fafffaffd4ffe4fffaff0c0004000400e0ffe0fffafffaff0000f0ff0200e2ff,d636d33600405d36a636a9369e369c36df36df3655385538de36df36d036d136,0a000a00ecfffcfffefffeff12001200380068000800faff18001800feff0e00,eb448e6ada5ae21a97089108dd261965143714379c369b3609370737e136e036
25,25,0,faff0c0016000600eaffbafff4ff04000200f0fffafffaff00000e0002001200,d536d43600400040a936aa369c369d36de36e13654385538df36dd36d136d036,0a00f8ff0c00fcffeeff1c002200020038003800080008001800faffeeffeeff,5411f006922a1967916adf46da24e102183716379c369a3605370937e136e236
26,26,0,faff0c00f4ff06000c00eafff4ffd4fff0ff02001c00fafff0ff0000f2ffd2ff,d636d4365d360040aa36a9369e36a036df36df3656385538dd36de36d036d036,f8fff8ffecff4c000c00deff120002000a001a00eaff0800180018000e000e00,8f6ae648da1a5b03a208e34620656764133716379b369b3607370737dd36e336
27,27,0,eafffafff4fff4ffeaff0c002400040002000200fafffaff1e00f0ff02000200,d436d53600400040a736ab36a1369f36df36e03656385738de36de36d036ce36,0a000a000c000c001c00defff2ff120058002a000800eaff0800faff0e000e00,441017451d67b15ad0469708df02e1261437153799369d3608370737e236de36
28,28,0,fafffaff16001600eaffeaff14000400f0ffe0ff0c000c000e000e00f2ff0200,d436d23600405c36ab36ac369c369e36de36df3656385538dd36de36d236d036,1a000a00fcff0c00feff0c00120002001a001a00daff2800080008001e001e00,d44824115d03a03120476b6a5f64d124183719379b369d3607370637e036e036
29,29,0,eaff0c00f4fff4fffaffeafff4ffd4ffe0ff02000c00faff1e000000f2fff2ff,d436d43600400040aa36a9369f369f36df36df3655385638df36de36d136d036,0a000a000c003c000c00fefff2ff1200ecffecff0800faff080018002e001e00,4846916aa55aa81a86079f081c274f66143716379b369d3607370837de36e036
30,30,0,eafffaff060006000c001c00f4ff1400f0ff12001c00faff0e00000012000200,d336d53600400040aa36ab369d369e36de36de3656385538de36de36d236d036,0a00f8ff0c00fcffeefffeff4200f2ffecff0a00180008001800fafffefffeff,20111e07af324667906aa046a124de02163715379a369c3607370937e136e136
31,31,0,faff1c00f4ff0600eaff0c0004000400f0ffe0ffeaffeaff1e00e0ff0200e2ff,d436d2365a360040aa36a9369f369c36df36de3656385638de36df36ce36d236,0a000a00fcff0c000c00eefff2ff0200fcff2a00fafffaffdaff08001e000e00,926ace489b1a5d03d008224758665864143716379c369e3609370737df36e136
32,32,0,0c00eaff1600f4ff0c00faff24000400f0fff0fffaff0c001e000e0002000200,d236d33600400040a936aa369f369f36df36e13654385738de36de36d136cf36,f8fff8fffcffecffdeffeefff2ff32002a001a001800faff0800faffeeffdeff,4c1050464a67a15a97468107e2024827163715379a369a3607370937e336e036
33,33,0,fafffafff4ff0600fafffaffe4ff3400f0ffe0ff0c00c8ff1e00000012001200,d536d6365f366036a936aa369b36a236de36df3656385638de36de36d236d036,1a00f8ffecfffcfffeffeeff02002200ecff1a00faffcaff180018000e000e00,974815115e03e03251476b6a4c5b95241537153799369b3607370837df36e136
34,34,0,faffeaffe4ff0600eaff0c00f4ffe4ff120002000c00eaff000000000200f2ff,d636d4365d360040a936a836a0369c36de36dd3656385538de36de36d036d036,1a000a00fcff0c00deff1c00e2ff22002a000a0008001800080008002e001e00,5f46926a975a961a5307d2084e285a66153714379b369c3607370937e136e036
35,35,0,fafffaff16000600faffdaff04000400e0ff1200faffeaff00001e000200f2ff,d436d53600405c35aa36ab369e369f36df36de3654385538dd36dd36d036d136,e8fff8fffcfffcff0c000c001200e2ff2a002a00faff08000800fafffefffeff,ea10541014334f676c6a91466324e102173715379c369b3605370737e236e136
36,36,0,0c00eaff1600e4ffeaff0c000400140002001200faff1c001e000e00d2ffe2ff,d536d23600405b35a836ab369d369e36dd36df3654385638df36de36cf36cf36,f8ff1a000c00fcffeeffdeff0200f2ffecff0a00eaffdaff1800faff0e000e00,936a9348651a6003dd085e4860664d64153716379d369e3609370737de36e136
37,37,0,eaff0c00f4ffd4ffdafffaffe4fff4ff12001200fafffaff000000000200f2ff,d436d43600400040ac36a6369e369f36de36df3654385838e036df36d036ce36,e8ff0a00fcff0c000c00feff0200f2ff2a00fcff18001800fafffaff0e000e00,651092465567925a5f465107e1026228133715379b369d360b370b37e136e036
38,38,0,faff0c00160016000c00faffe4fff4ff020002000c00fafff0fff0ff0200e2ff,d336d43600400040aa36ac36a0369c36df36de3656385438de36e036d036d036,0a000a00fcff2c00defffeff1200f2ffecff1a00faff18000800eaff0e00feff,9d48ed105f03ec322a45696a475b5124153717379d369d3606370637e336e136
39,39,0,eaff0c00160006000c00eaffe4ff0400f0ff1200fafffaff1e000000e2fff2ff,d436d63600400040ac36aa369c369d36dd36de3655385638e036de36d136d236,f8ff1a001c000c00eeffeeff120002002a00fcff2800daff080008000e00feff,6746926a985a961a1509190766286266143714379b369d360a370737df36df36
40,40,0,0c000c00e4ff1600eaff0c00e4ff4400020002000c00faffe0ff0000f2ffe2ff,d436d13600400040aa36ad369f369f36dc36de3656385738de36de36cf36ce36,f8fff8ff0c00dcfffeff3c00f2ffe2ff1a001a000800eaff08000800feff2e00,e3105e1016335167696aa0485a24e002163714379c369a3608370737e036e336
