Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,000010000000deff2600f4ff0600e6ff1e00fcff1000100010001000d4ff2400,d436d43600400040ab36ac369e369c36db36df3657385638e236e236d036d236,180018000e000e002a002a00d6ffe6ff4400340004001400ecfffcff06000600,30056539565bae669d5693161e041c1a163716379a369a3608370637df36df36
1,1,0,1000eeffdeff2000f4ff0600260006001e000e000000eeff00000000f4ff0400,d536d43600400040aa36ac369f369e36dd36de3656385738e036e036d136d136,f6ff1800fcff0e003a00feff1600f6ffe8ff16000400d6fffcff0a0006001600,585359134e039a24e136d7681868aa32133715379a36993607370737de36de36
2,2,0,0000eeff1000deff0600f4fff6ff0600fcfffcff0000deff000000000400f4ff,d136d43600405735a936ab369e369c36dd36dd3656385538e036df36d236d336,080038000e000e003a000c00e6ff0600e8ffcaff14000400fcff1a0006001600,9b3a5669ae66ab286716a5044f1a4c5a1437153799369a3609370837df36de36
3,3,0,eeff0000deffeefff4fff4ff1600f6fffcff1e00eeffeeffeeff00001400f4ff,d236d73600405a36a936a7369e369b36de36dd3657385638e036df36d036d236,f6fff6fffcfffcff1c000c001600f6fff8fff8ffe6ff0400fcff0a001600e6ff,2b135705a7245d5cde689a5697321c041837153799369a3607370b37df36e136
4,4,0,eeff0000eeff20001600f4fff6ff16001e00fcff000000000000000014001400,d236d43600400040ac36aa36a0369f36de36de3657385438df36e036d236d236,180008001e00fcffdeff0c003600f6ff16001600f6ff1400fcff0a0006003600,57692b53a0284e03cf04e436595aeb66153716379936993607370837df36df36
5,5,0,000000001000200016000600f6fff6ff1e000e00100000000000100014000400,d336d43600400040a936a9369e36a036dd36dc3656385538df36e036d236d236,08002800fcfffcff0c00fefff6ffe6ffe8fff8fff6ff1400ecffecff16000600,5e06a7428a5ca16662565b151b03541a153717379836993607370837df36e036
6,6,0,10000000eeffeefff4fff4ff0600e6ff0e00fcffeeff1000deff1000f4ff0400,d636d43657350040aa36ac369c369d36dc36de3654385638df36e036d136d036,2800f6ffecff0e000c000c0016001600f8fff8fff6ff0400fcff1a0016001600,1e5322134d03af242037e068e4666432163715379936983608370837e136e036
7,7,0,eeff000000001000f4ff1600f6fff6fffcff0e00000000000000000004001400,d236d43600400040aa36aa36a0369c36dd36dd3656385738e036df36d136d336,180018000e00fcfffeff3a00f6ffe6ff160006000400f6fffcffdcff06003600,23435a6a9c666f272815d104641a635a1537143799369a3609370737e036e036
8,8,0,deffeeff20000000f4fff4ff06000600ecffecff100010001000000004000400,d436d3365b360040a736ae369e369e36dd36dc3657385738e036df36d436d036,080018001e00fcff1c000c00f6ffe6fff8fff8ff04000400fcffdcfff6fff6ff,2015dc04ef249d5c276949545c311403143714379a36983606370837e236e136
9,9,0,eeff20001000eeff0600060026002600fcff1e00eeffdeff10000000f4ff0400,d436d43655350040ad36a9369f369f36dd36dd3659385738e136df36d236d036,f6ff1800fcff0e000c000c002600e6fff8ffdaff14001400fcff0a00f6fff6ff,ef6854565c2752032b055939695ae266143714379a36993607370937dd36de36
10,10,0,deffeeffeeff0000f4fff4ff0600f6ff1e000e00000010001000eeff3400e4ff,d136d43600400040a836a9369e369e36dd36de3658385438df36e036d236d236,f6ff1800ecfffcff0c00fefff6ff16002400e8ff0400e6ffdcffecffe6ffe6ff,e0046838985c8f66265454141503921a153715379936993607370737df36de36
11,11,0,000000001000eefff4ff1600160016000e000e00eeff00000000000014001400,d236d43600400040a936ad369f369c36dd36de3655385738e036e036d236d136,0800f6fffcff0e00deff1c003600f6ff16000600f6ffe6ff1a00fcff16000600,41561a154e031625963a2969d8664d31123716379b36983606370737dd36df36
12,12,0,eeff10000000ceff260006001600f6ff0e00fcff00001000eeff000004001400,d436d23600400040ac36ac369d369e36df36df3658385738df36e136d236d236,e6fff6ff0e00fcff1c00eefff6ff060024004400f6fff6ffccfffcff16000600,9b38196960664c27201351059c1a985a1437143797369c360c370737e036df36
13,13,0,eeffeeff10000000160016000600f6fffcff0e00000010000000000004001400,d236d23600400040ad36ac369c369c36df36df3656385738e036df36d236d136,180008001e00fcff3a000c00f6ffe6ff2400060014000400ecfffcffe6ffe6ff,1515e3044725a55c516920541e311203153714379a36993606370737e136e036
14,14,0,deff0000100010000600f4ff0600f6ff0e00fcff000000000000eeff0400e4ff,d236d43600400040aa36aa369e369e36de36de3657385738e036e136d336d236,e6ff08000e001e00feff2a00e6fff6ff1600f8ff0400f6ff0a00ecfff6ff0600,1a691b5549274c035d05933a9c5ad866133716379b369b3608370537de36dd36
15,15,0,0000eeff10001000f4ff2600160006002e00fcff000000001000100014001400,d236d4365a360040aa36ad369f369e36de36dc3657385738de36de36d436d336,f6ff08000e00ecfffeff2a001600f6ff2400160014001400dcfffcfff6ff1600,e8049b38af64616619541e131003cc1a153714379836973609370837e136df36
16,16,0,deff100020002000f4fff4ff060006000e00ecff0000eeffeeff000024003400,d536d53600405d36a936ad369b369e36dc36de3654385638df36df36d236d236,1800e6ff1e000e00feff4a00d6fff6fff8ff1600f6ff0400fcfffcff06000600,f154e01450035025d03a5269d1661a31143718379a36993606370737de36e236
17,17,0,eeffceff1000deff0600060006000600fcff0e00deffdeff000030001400e4ff,d436d53600405936ab36ac369e369c36dd36de3658385638e036df36d136d436,e6ffe6ff1e001e003a000c00f6fff6ff240006000400d6ff0a00ecff0600f6ff,ce381d695b66162717135d05d41aa55a1437133798369a3608370737e236dd36
18,18,0,000000001000000006001600f6ff1600fcff0e000000eeff10000000e4ff0400,d336d53600400040ab36ac369d36a036de36dd3657385538df36df36d136d036,f6fff6ff4000ecff3a00feff26002600f8ffdafff6ff1400ecfffcfff6ff1600,d914ef046025b16454690d53e730ec021a3716379836983608370737df36e036
19,19,0,eeff0000eeffdefff4ffe4ffd6fff6ff0e000e000000eeff000000000400e4ff,d636d43659350040a936ab369f369f36dd36df3655385638e036df36d436d236,0800e6ff0e00fcff2a00fefff6fff6ff24004400d6ff0400fcffecff16000600,1d69e454ee264c038505cf3aa75aa466123714379a369b3606370537dd36dd36
20,20,0,1000eeff1000eefff4fff4fff6ffe6ff1e001e0010000000deffeefff4ff0400,d236d03600400040ac36a7369c369a36de36dd3657385638e036e036d336d136,0800f6ff1e001e00eeff0c0006000600f8ffcaff34001400fcfffcff0600e6ff,f004db38e1645566d6520b13eb02e01a1437153798369a3608370837df36e136
21,21,0,0000eeffeeffeeff0600e4ffd6ff1600fcff0e0010001000ceff10000400f4ff,d536d53600400040aa36a9369d369c36dd36de3655385638e236e036d036d236,180018000e00ecff0c002a00e6fff6fff8ff1600d6ffe6ff0a00ecff1600f6ff,dd54d3144f0367250b3b5669a066dc30163716379936993606370837df36e236
22,22,0,0000deff0000eeff060006000600f6ff0e00fcffeeffeeff1000eeff2400f4ff,d236d53600400040ab36ac369c369f36de36de3657385638e036e036d236d236,f6ff28001e000e002a002a000600f6ff0600f8fff6fff6fffcff0a00c6fff6ff,eb3822694565e126dc126806e51add5a153715379a369a3608370737dd36de36
23,23,0,eeff000010001000060006001600f6ff0e000e00eeffeeff1000000004000400,d536d23600405835aa36a9369f369f36dd36de3657382f38e036df36d036d236,180008001e001e002a002a00e6ffe6fff8ff2400040004000a000a0006000600,a2141a059d26e6645869d652ac30e802163716379936963607370837e036e136
24,24,0,00000000eeffeefff4ff0600f6ff06001e000e000000100010000000e4ffe4ff,d536d23600400040aa36a9369c369f36de36df3655385438e036df36d136d136,f6ff08001e0040002a001c00160006001600dafff6ffe6fffcfffcff06000600,2569cd54ad264d0396060e3be35a9a66143715379836993607370537de36df36
25,25,0,eeff1000eeff1000f4ff060006001600ecfffcff1000eeffeeff100004000400,d436d5365c360040ad36a9369e36a136dc36dd3654385738e036e136d236d436,280018001e001e000c00eeff06000600160006000400e6fffcffccfff6ff1600,1f051b3913651b65a152d812e8024424163715379736993608370837e136de36
26,26,0,0000eeffdeff0000060006001600e6fffcffecffeeff0000eeff0000f4fff4ff,d436d13658350040aa36ac369f369e36de36de3655385538e236df36cf36d136,1800f6ff0e000e001c001c000600f6ff2400e8fff6fff6ff1a002a00f6ffe6ff,9e5495145003ac261d3b596990669e28153717379a36993607370537df36e036
27,27,0,1000eeff0000eeff16000600060016001e00fcff0000eeffeeff10000400f4ff,d436d43600400040aa36ab369e36a036de36de3657385638e036e136d336d136,0800f6ff0e000e00eeff0c001600060016000600140014000a00fcff0600f6ff,2839286915659926a71297064e24e75a1537143798369a3607370937e036de36
28,28,0,0000eeff20000000f4ff060016000600ecfffcff0000deff0000400004000400,d436d33600400040a936a8369b369c36dd36de3655385538de36e036d136d236,180008001e001e000c000c000600160006001600e6ffe6ff1a00ecff0600f6ff,92142405d7261a655c699e4a9728ea021637143798369a3606370737e136e136
29,29,0,deffdeff100010000600060016001600fcfffcffeeffdeff0000000014000400,d436d43658360040ac36ac369d369e36dd36de3656385638e036de36d136d236,0800e6ffecff40002a002a001600f6ff0600e8ff0400e6ff0a001a001600f6ff,2a69975493264d039f064b44135b65661637143799369b3607370737de36df36
30,30,0,0000eeff1000eeff06000600f6ff1600ecfffcff0000deff2000eefff4ff1400,d236d23600400040ac36ad369e369d36de36de3656385538e036e136d236d036,180008005000ecff0c00feff06001600e8ff1600f6ff14000a00fcfff6fff6ff,2b0556392065ee648949a312e50256241737153798369a3608370737e036df36
31,31,0,000010001000eefff4ff2600f6ff1600fcfffcff2000000020000000f4fff4ff,d236d43600405b36a736ac369c369e36dd36dd3656385738e036df36d036d036,08000800ecff1e000c00feff0600e6ff060024001400f6ff0a00fcff06001600,625467135003ea265e445b6964666828153717379d369a3606370637e136e236
32,32,0,0000eeffeeffeeff06000600f6fff6fffcff0e000000000010000000f4ff1400,d436d53600400040ac36aa369e369f36de36de3656385538df36de36d436d136,180018000e0040000c001c002600f6ff24002400040014000a000a0016002600,cf422f69e2648d2690099f066724205b1337173799369c3609370837e136de36
33,33,0,eeff0000eeff2000f4ff1600f6fff6fffcffecff0000100000001000e4ffe4ff,d436d43600400040aa36ac369d369e36de36de3656385638e236e036d036d236,f6ff0800fcffecfffefffeff0600060016002400f6ff1400fcff0a00e6fff6ff,9214290592245f5c216967546a28e502163714379836963606370837e136e036
