Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,6aab8c9e8a5c7a5f0aa09aa4b6607658f8ffd8ff24000400fcffecff1e001e00,0a000a0016fc8400e6ffe6fffaffeaff10001000faff18000c000c001000f0ff,9e369d36de36df36e036e036d036d23658375737dd36dc36dc36de36e736e736,00000000eaff280008000800eaff1a000800e6ff1a001a000400140018000800
1,1,0,bafaeaccc4182843c2d958b3862d06510a000a00140004000a00fcff3e000e00,e8ff0a00840084001400f6ffeaff0a001000eeffbeff08001c000c0010001000,9d369c36dd36dd36e036df36ce36d23658375a37dd36de36dd36dd36e836e636,0e00000018000800fafffaffcafffaff08001800ecff0a00e2fff2ff1800f8ff
2,2,0,084f082a2ebeb2e856369c08a6d036ff2a001a00240004003a001a00deff0e00,f8ff0a0084008400f6ff0400faffeaff10000000080018000c000c0010001000,9c369d36dd36de36e336e036d136d03657375a37dc36dd36df36dd36e636e836,1e00e0ff0800faff1800faff0a001a00f6ff08001a000a001400f2ff0800f8ff
3,3,0,465a86600ca0bca300617256f69e96ad1a000a00f2ff04000a003a00eefffeff,f8ffe8ff84008400f6ffe6ff0a000a0010000000faff08000c000c0030000000,9c369c36dc36de36e136e136d136d23657375837dd36dd36e036db36e736e736,0000f0fffafffafffaff0800faff1a000800f6ff0a00fcffe2ff0400f8ff0800
4,4,0,9812d83db0da5eb44632e253d6c666a81a001a0004000400fcff0a001e00eeff,f8ff0a008400840004000400faff2a0000000000faff18002c00fefff0fff0ff,9e369f36e036dd36e236e036d236cf365b375a37dc36dd36dc36dd36e836e836,0e00d0ffeafffafffafffafffaffeaff2a0018000a00fcff0400f2ff1800f8ff
5,5,0,5ab95ae26837540a62d52c04862376f30a000a0014001400fcff0a00fefffeff,e8ff0a0084008400f6ff2400fafffaffeeff1000fafffafffefffeff10000000,9c369936dd36de36e136e336d236d13658375937d936dd36de36de36e636e636,0e000000faff180046000800daff1a000800f6ff2a00dcfff2ff040008002800
6,6,0,6ca1dca12a619a561a9f98b0565fa64a0a00e8ff0400e2ff0a000a00feff0e00,e8fff8ff84008400f6ffe6ff0a00faff10001000faff18000c00feff00002000,9d369d36de36df36e036de36d236d1365c375837dd36db36db36db36e736e736,f0ff0000eafffaff1800eaffcaffeaffe6ff1800ecfffcffe2fff2ff0800f8ff
7,7,0,aae19ab8b6301a53f6c228a64643865c0a000a0014000400ecffecff0e001e00,e8fff8ff840084000400e6ff0a000a00000010001800faff0c00feff0000f0ff,9d369b36df36de36e036e036d236d0365a375937dd36dc36dc36dd36e836e736,f0fff0ff08001800daff0800faff1a000800e6ff1a000a00e2fff2ff08001800
8,8,0,e83c381120d4b402b81e90eeb6e806191a001a00e2fff2ff2a00fcffdeff0e00,f8ff2a0084008400e6fff6ff0a000a0010001000aeff0800feff1c0000000000,9f369d36de36de36e336e236d536d03658375a37dc36dd36dd36df36e836e836,0e000000faffeaffeaff3600eaff0a00f6fff6ff0a000a0004000400f8ff0800
9,9,0,6660b6591c9f7caf505ea447d6a396be2a000a0014000400fcff0a00eeff0e00,e8ff1a0084008400c8ffe6ff0a00faffeeff1000faff1800deffeefff0ff0000,9c369e36de36de36e336e236d236d23657375837db36dd36dc36dd36e736e836,e0ff0e00faff08004600daffeafffaff08001800fcfffcfff2ff3400d8ffd8ff
10,10,0,182b984f0ec46ca6e446205e36b406a00a000a00040004000a001a00eeffeeff,e8ff0a0084008400e6fff6fffaffdaffeeff00001800faff0c00feff00001000,9d369b36de36dc36e036e036d336d1365a375637dc36dc36df36dd36e836e736,00000e0018001800faff4600fafffaffd4fff6ff0a00fcfff2fff2ff08000800
11,11,0,3ace1afcd61f82efe0edda1d360ab6daf8ff0a00040014001a00fcff1e002e00,e8fff8ff84008400e6fff6ffeafffaff30000000faff0800eeff0c0000000000,9c369a36df36df36e336e236d336d03657375a37dd36dc36dd36de36e836e736,f0ff1e001800fafffafffaff0a00daff08000800ecff0a00040024000800f8ff
12,12,0,ac9eeaab7a5e8848b8a5b6c2e6561637f8fff8ff14000400ecfffcff1e001e00,e8ffe8ff84008400140004000a00eaff100010001800faff1c00feff20000000,9f369d36df36dd36e036e236d036d4365a375837dc36dd36dd36dd36e536e736,e0ff0e000800fafffaff4600faff0a00f6ff0800fcfffcfff2ff040018000800
13,13,0,bac9cca9a8458a5dd8b09a9f16532661f8ff0a00040014000a00fcff1e000e00,f8fff8ff84008400e6ff04000a00daffeeff0000180026000c000c00f0ff0000,9c369b36de36df36e136e136d036cf3656375737dd36dd36db36db36e736e736,0e00e0ff3800faff36004600faff0a00f6fff6ff0a002a00e2ff2400f8ff0800
14,14,0,9826eaf662ec961c2c0592d5260306312a000a00240036001a000a000e001e00,e8fff8ff84008400d8fff6fffaff0a001000eeffccff0800eeffeeff10001000,9b369c36de36de36e336e136d136d13658375a37dd36db36dd36de36e736e536,0e0000001800faff0800eaffeafffafff6ff0800fcff1a0014001400f8ff0800
15,15,0,0660b84c3ca5bec09254663376af56d41a002a00040004001a001a00eeffeeff,f8ff0a0084008400040014000a00eaff10000000faff1800eefffeff10000000,9c369c36dd36df36e136e336d236ce3656375637dd36dd36de36db36e736e736,2e00000008000800faff56000a00faff0800f6ff0a001a00f2ff0400e8fff8ff
16,16,0,1841865bccb17c9fa2551061c6a6169f0a000a00f2ffe2ff2a000a001e00deff,f8ffe8ff84008400f6fff6ff0a002a0000001000faffeafffeffeeff00001000,9b369b36df36dc36e236e136d036d33658375637db36df36db36dd36e636e636,f0ff0e000800faff080008001a00faffe6ff1800fcff0a0014000400f8fff8ff
17,17,0,cae53816740670d73c086635a6efe6c30a001a00140014000a00fcff0e000e00,0a001a0084008400040004000a000a0000001000faff08000c000c0010000000,9c369d36df36dc36df36e036d136d03657375a37dd36db36dd36de36e936e836,0000d0fffafffaff0800faff1a00faff18002a000a00fcffe2fff2ff28002800
18,18,0,0ca3eabb2a550834c8b282d98648c61ff8ffd8ff24000400ecfffcff2e00feff,1a000a0084008400e6ffe6ffeaffeaff0000eeff080018000c00eeff00001000,9e369b36dd36de36e236e236d136d13655375637dc36df36db36dd36e836e936,e0ffe0ff0800eaffeaff4600faff0a00080008001a001a0014000400f8ffe8ff
19,19,0,2ab6aca00a551a618aa4ea9f965da65ed8fff8ff2400f2fffcff0a00fefffeff,e8ff0a0084008400f6ff04000a000a0020001000beffeaff0c000c00e0ff0000,9d369e36de36de36e136de36d236d2365a375537dc36db36dd36dd36e636e736,0e000000faffeaff460008000a00dafff6ff0800fcfffcfff2fff2fff8fff8ff
20,20,0,580ddadd9406283410ebd6bf061d9645f8ff1a00040004001a001a00feff1e00,f8ff0a008400840014003200faffeaff10001000180008002c001c0010000000,9d369d36de36dc36e036e436d236d33653375a37dc36dc36dd36df36e736e736,00000000180008000800faff0a00fafff6ff18001a000a000400f2ffe8fff8ff
21,21,0,1658383accb170d704451a1bc6c046ec0a000a00040004001a002a00deffeeff,f8ff0a0084008400f6fff6fffaffeaff100000001800beff1c00eeff00001000,9b369b36de36de36e236e036d136d43658375837dc36dc36dd36db36e836e836,00000e000800faff08000800faff0a00f6ffe6fffcffecffe2ff040008000800
22,22,0,4851c6605ca59c9fe05e505d969f46a50a001a00f2fff2ff0a002a00cefffeff,1a000a0084008400f6fff6ffeaffeaff00000000fafffaff1c00feff00002000,9a369d36dc36df36e036e036cf36d03658375737dc36dd36dd36dd36e736e936,00000e000800180046006400fafffaff1800f6ff1a00fcfff2ff0400e8fff8ff
23,23,0,aaff382e12ec6ec1e821544936d7e6b1f8ff1a00140024000a001a00feffeeff,1a00f8ff84008400d8ff04001a00daff10000000fafffafffeff0c00f0fff0ff,9d369d36dd36dd36e036df36d036d1365a375a37d936dd36dd36de36e636e836,0e00e0fffafffafffaff0800fafffaff1800f6ff0a00fcff0400140008001800
24,24,0,1aae9ad1f845661cd4c4eef106347606f8fff8ff2400e2fffcfffcff0e000e00,0a000a00840084003200c8ff0a00faff000020001800faff0c002c0010001000,9d369c36e036dd36e036e136d336d33658375737dc36db36de36dd36e736e836,e0fff0ff0800fafffafffafffaffdafff6ff08000a00dcfff2fff2fff8fff8ff
