Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e8ff2a0000001000100010000a00cafffcffecff1400f2fffcff0c00ecfffcff,f8ffd8ff4c03c2fef4ff0200f6ff06000400f2ffeeff0c00f0ff020006000600,1800e6ffdeffdeffecff1a00dcffecffe8ff160004000400eeff1000f8ff0800,eefffeff14001400d4ff0000faffdaffec51d48c80ed825204cb3ced426842ca
1,1,0,e8ffe8ffeeff100000001000faffeafffcffecff04000400ecff0c003c000c00,f8ff0a004c03c2fe020012000600060004000400c0ffeeff1200f0ff06000600,f6fff6ff0000deff1a001a00dcffdcff2400dafff6ff04001000eeff1800f8ff,deff2a006200d6ffe2ff0000eaff0a0056cad8ee1468e0cab88ca4671252d28c
2,2,0,e8ff0a001000000010001000faffdafffcff0e0014001400ecffecffecfffcff,0a000a0002ff4c03e4ffd4ff06000600040004000c000c001200e0fff6ff3600,0800080010000000fcff0a000c00dcffe8ff0600f6ffe6ff0000eefff8ff0800,eeff0c001400f6ff00000000eaff2a00a48c4e684252ae8c8cedf05202ca22ee
3,3,0,f8ffe8ff1000deffeeff0000eaffdafffcff0e001400f2fffcff0c000c001c00,e8fff8fff2fe4c031200220006001600e2ff04000c001c000200f0fff6fff6ff,18000800eeff10003a000a00ecff0c00f8ffdaff0400f6ff0000deff0800e8ff,eeff0c00e6ff14003e00f2ffeafffaffd8ee9c5120cb00ee4468f4cbb28c0268
4,4,0,f8ff1a000000100000002000eaffeaff0e00fcff040004000c00fcff0c003c00,e8ffd8fff2fe22ff32001200f6ff06000400e2fffeff0c00f0fff0fff6ff0600,f6ff08001000eeffecffdcffdcffecffe8fff8fff6fff6ff00000000e8ff0800,0c00eefff6ff1400f2ffe2ff1a00eaff9e6806caae8c7468b052a88c22eed251
5,5,0,0a00d8ff10000000000010004a00faffecffecfff2ff04000c00fcff3c00fcff,e8ff0a0022ff32ff02000200e6ff1600f2ff0400d0ffc0ff0200f0fff6fff6ff,f6ff180020000000fcff4a00ecffdcffe8ff060004000400eeffdeff18000800,0c00d0ff2400e6ffd4ff10000a00daff1c52c48c80ed425284cbecec426862ca
6,6,0,f8ff0a00eeff1000eeff00000a00cafffcfffcff040026000c000c00fcff1c00,f8ffe8ffe2fe4c030200e4ff0600060014001400eefffeff12001200e6ff1600,0800080000000000fcffecfffcfffcfff8fff8ff1400e6ffdeff100018000800,eeff1c002400e6ff00000000faffeaffa6ca88eed46710cbb88cb4671252b28c
7,7,0,f8fff8ff0000100010001000fafffaffecff0e00e2ff04000c000c002c000c00,e8ff0a004c034c032200e4fff6ff0600f2fff2ffeeff1c0022001200f6fff6ff,f6ff08000000eeffecfffcffecfffcfff8fff8ff0400e6ff10001000f8fff8ff,0c00fefff6ffe6ff10000000eaff0a00c48c3e6862527e8c0cedb05352cad2ed
8,8,0,f8fff8ff0000000000001000faffeaff0e000e000400f2fffcffdcffecff1c00,e8fff8ff12fff2fee4fff4ffe6ffe6ffd2fff2ff1c00feff02001200f6ff1600,18000800deffdeff0a00dcfffcfffcff520034001400040000000000d8ff0800,0c000c00e6fff6ff2000c4ffdaff1a0088ee1c5250cb80ed046894cbe28c6268
9,9,0,e8fff8ff10000000eeff00000a00eafffcffecff0400f2ff0c000c000c001c00,f8fff8ff12ff4c03020002000600f6fff2fff2ffb2ff1c002200f0fff6ff0600,08000800deff1000fcff1a00dcffecff2400060004000400eeffeefff8fff8ff,2a00feffc6ff2400f2ffd4ff2a00eaff4e6816caae8c54685052988c12ee4252
