Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,eeff0000e2ff14000c000c00e4ff04000800f6ffe6fff6ff1a00f8ff0200f2ff,02000200dafd8802e0fff0ff0600f6ff020012000600e8fffaff0c00faff0a00,f8ff0600ecfffcfff4ff0200eaff0a003200f6fff0ff00001800080010001000,1600d8ff08003600daff080020000000c473c89922ac5a73be14beabb6310616
1,1,0,eeff1000040014001c00faff0400e4ff0800080008001800d8ffe8fff2ff0200,120012008802fafdf0ff0000f6ff0600f0ff0200e8ff06001c00faff1a001a00,1600f8ff1e000e00200002001a00eaff32001400e0ff00001800fafff0fff0ff,e8ff16001800faffdaff18001000f0ff3216b4aa0c33a6142a99d231c673b699
2,2,0,0000ceff1400f2ffeafffaff1400d4fff6fff6fff6ff0800e8fff8ff02003200,f0fff0ff8802880200000e00f6ffd6ff020002000600a8ff2c00faff0a00faff,e8ff06001e003000300020002a00eaff42002400f0ffe0fffafffaff0000e0ff,160034000800faff1800180000001000089a0a311a731899deabbe73c61506ab
3,3,0,eeffeefff2ff1400eaff0c00140014001800f6fff6ffd4fff8ff0a002200e2ff,12000200fafd88021e003c00d6fff6ff0200f0fff8fff8ff0c000c000a001a00,060006000e001e003000e4ff0a00faffd8ff240000000e00faff0800e0ffe0ff,f8ff1600daff18000800fafff0ff1000d4aab473d614c2ab32321e15b6999631
4,4,0,eeffeeff1400f2fffafffaffe4fff4ff2800f6fff6ff0800f8ff0a002200f2ff,340002005afd880200000e002600060002001200e8ffe8ff0c00caff0a00faff,0600d8ff0e00fcfff4ff0200faff1a00c8ff140000000e00eaff0800f0ff0000,2600d8ffdaff2800faffdaff20000000fa3092166899dc328e736a9976abf673
5,5,0,deffeeff0400e2ff0c00faffe4fff4ffe6ffe6ffe6ff08001a001a000200f2ff,02001200fafd0afe00000000f6ff060012001200a8fff8ff0c000c00faffeaff,16001600ecff0e00020012001a00daff1400f6fff0ff0e001800faff00000000,1600caff18002800080028001000f0ff8473e899a2ab2a731e157eab3631e615
6,6,0,00000000040004001c001c000400f4fff6fff6ffd4ff0800e8ff2a00f2fff2ff,02000200eafd8802f0ff0e000600e6ffe0fff0fff8ff16001c00eafffaff0a00,f8ff4effecfffcffe4ff4e001a00faffd8ffe6fff0fff0fffaff180000000000,1600e8ff08001800eaff2800300000004216a4aa1c3356142a991232e673c699
7,7,0,ceffdeff14001400faff0c0014001400e6ffe6fff6ff0800e8ff1a000200f2ff,12000200eafd8802e0ff0e00f6fff6ff0200f0ffe8ffe8ff0c001c000a00daff,e8fff8fffcffecff12000200daff3a00f6fff6fff0fff0ff0800080000001000,d8ff4400daff080008000800f0ff0000f8992a314a730899feabbe73a61506ab
8,8,0,00000000040014001c00faff1400f4fff6ff18000800e6fff8fff8ff2200f2ff,02000200eafd2afe00000000f6ffe6ff020002000600f8fffaff0c001a001a00,0600f8ffdcffecff0200d6ffdafffaff0400e6ffe0fff0ff0800dafff0ff1000,e8ffe8ff180028001800faff0000100094aab473c614a2ab22328e1586998631
9,9,0,0000deff14002400eaffeaff04000400e6ff0800e6fff6ff0a00f8fff2ff3200,0200f0ff8802fafd0e000000f6ffd6fff0ff12000600f8ff1c00eafffaff0a00,d8fff8ff0e001e00300030001a00daff32000400f0ff00001800faff0000f0ff,16001600080018001800baff100010009a31721618999c329e739c9956abd673
