Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0]
0,0,0,1200f0ff1e00fcff1600d2ffe8ffe8fff4ff1600fcfffcfff2ffe2ff10000000
1,1,0,1200f0ff0e001e00f4fff4ff1800f8ff1600160030001e000000100000001000
2,2,0,12001200ecffdcff1600e4ff380038000600f4ff0e00fcff1000100000003000
3,3,0,220012000e000e00160028001800e8ff06000600ecff0e002000e2ff00000000
4,4,0,12000200fcfffcff060016003800f8ff0600f4ffecff0e00d4fff2ff20000000
5,5,0,020012001e00ecfff4fff4ffe8fff8ff160006000e000e001000f2ff10001000
6,6,0,020022001e000e002800f4fff8ffe8ff06001600fcfffcfff2ff00001000f0ff
7,7,0,22002200fcffdcfff4ff06003800f8ff06000600ecfffcfff2fff2ff0000f0ff
8,8,0,02000200dcffdcfff4ff1600e8fff8ff16001600ecfffcff00002000e0ff1000
9,9,0,120022002e000e000600f4ff08000800f4ff0600dcff0e00f2fff2ff00001000
10,10,0,f0ff22000e001e00f4ffe4ff3800f8ff1600e4fffcffecfff2ff00001000e0ff
11,11,0,120022000e00fcff060016001800f8fff4fff4fffcff0e001000100010001000
12,12,0,02001200fcff1e00f4ff06000800f8ff060006000e000e000000f2ff10001000
13,13,0,12002200fcff0e0006000600e8ffe8ff1600f4ff0e00fcff1000f2ff10003000
14,14,0,f0fff0ff0e00ecff16001600f8ffd8fff4ff0600ecffdcfff2ff000000002000
15,15,0,020012000e00fcff1600f4ffc8fff8ffe4fff4ff3000ecfff2fff2ffe0ff0000
16,16,0,020022000e00fcff06001600e8fff8fff4fff4fffcff0e00100020000000e0ff
17,17,0,2200f0ff1e00ecff06002800f8fff8ff0600f4ff0e000e00f2ff000000001000
18,18,0,020002000e00fcfff4ff1600f8ff0800f4ff06000e00dcff1000100020002000
19,19,0,12000200fcfffcff16001600e8ff5800f4ffe4fffcfffcfff2ffe2ff3000f0ff
20,20,0,e0ff12000e000e00280006004800f8fff4ff06000e000e001000f2fff0ff1000
21,21,0,12003200fcff1e00f4ff0600e8ffd8ff060006000e00fcff0000000020001000
22,22,0,2200f0ffecff0e002800f4fff8ffe8ff06001600fcffdcfff2fff2ff00002000
23,23,0,f0ff02000e00fcff060006000800080006000600fcffecfff2ff10000000f0ff
24,24,0,f0fff0ff1e00fcff28001600f8ffe8fff4ff0600fcffecff2000100010002000
25,25,0,f0ff1200ecfffcfff4fff4ffe8fff8fff4ff0600fcffdcff1000e2ff10000000
26,26,0,120002000e00ecff16001600f8ffe8ff1600f4ff3000fcff1000e2ff10000000
27,27,0,02000200fcff0e00f4fff4fff8fff8fff4fff4ffecffecfff2ffe2ff30002000
28,28,0,020012000e00fcff2800f4ff1800c8ffe4fff4ff0e00ecffe2ff000010001000
29,29,0,12001200fcffdcff28001600f8ff0800060006000e00ecff0000e2ff20002000
30,30,0,f0ff12000e00fcfff4ff1600f8ff3800f4ff06000e00ecff1000000010002000
31,31,0,e0fff0ffecffecff1600f4ffe8ff4800e4ff0600fcfffcfff2ff0000f0fff0ff
32,32,0,02001200fcff0e001600f4ffe8ffe8ff0600e4fffcff0e000000f2ff00002000
33,33,0,f0ff02000e000e00f4ff06000800f8ff06000600fcffecfff2fff2ffe0ff0000
34,34,0,02003200fcffdcff06001600e8ffe8ff0600f4fffcfffcfff2ff1000f0ff0000
35,35,0,f0ff2200ecff1e00280006000800f8ffe4fff4ff0e00fcfff2ffe2fff0fff0ff
36,36,0,02000200ecff0e00060006000800080016000600fcff0e002000e2ff00002000
37,37,0,1200f0fffcfffcff2800060038000800f4fff4ff1e000e00f2ffe2ff20003000
38,38,0,f0ff02000e00ecff06001600f8ff3800f4ff06000e000e002000f2ff10000000
39,39,0,e0fff0ff1e00dcff28001600f8fff8ff060006000e00ecff000010000000f0ff
40,40,0,0200f0fffcffecff16001600e8fff8fff4fff4ff0e001e001000100000000000
41,41,0,32001200fcfffcff0600f4ff28001800f4ff06000e00ecff1000f2ff20001000
42,42,0,02001200fcfffcff160028001800f8ff26000600fcff0e00f2ff100010001000
43,43,0,f0ff2200ecffecff16000600e8ff3800060026000e000e000000e2ff00000000
44,44,0,f0ff1200dcfffcfff4fff4ff3800f8fff4fff4fffcfffcff0000f2ff1000f0ff
45,45,0,12000200dcff0e00160016000800f8fff4ff16000e000e000000100020000000
46,46,0,020002000e00fcff1600f4ff3800f8ff1600d2fffcff1e000000000010000000
47,47,0,02001200ecfffcff16001600e8ff2800160006001e00fcfff2fff2ff10000000
48,48,0,f0ff0200fcfffcff28002800f8fff8ffe4ff3800ecff0e00f2fff2fff0ff1000
49,49,0,f0fff0fffcffdcfff4ff1600e8fff8fff4ff06000e00fcff10001000e0ff0000
50,50,0,0200f0ffdcfffcfff4ff06000800f8ff26001600ecff1e000000200010001000
51,51,0,f0ff0200fcfffcff2800f4fff8ff080006000600fcff3000e2ff100010002000
52,52,0,1200f0fffcff0e00280028003800f8ff060026000e001e001000f2ff20000000
53,53,0,e0ffe0fffcffecff160016003800d8fff4ffe4fffcffecff2000100000001000
54,54,0,0200e0ffdcfffcff280016000800f8fff4ff0600ecfffcffe2ffe2ff0000f0ff
55,55,0,220002000e000e000600e4ffd8ff48000600f4ffecffecffe2ff100000001000
56,56,0,f0ff12000e000e00060016000800f8ff0600f4fffcff0e000000f2ff10002000
57,57,0,02001200fcfffcff060016001800f8fff4fff4fffcffecffe2ffe2fff0fff0ff
58,58,0,0200f0fffcff0e00160006000800e8ffe4ff06000e00fcffe2fff2ff30000000
59,59,0,02000200fcffdcffe4ff1600f8fff8ff1600e4ffecfffcfff2fff2ff00000000
60,60,0,0200e0fffcff0e0016000600f8fff8ff0600e4ffecff0e00f2ff000000001000
61,61,0,2200f0fffcff0e0016000600f8ff3800160006000e000e0010000000f0ff0000
62,62,0,0200f0ffecff0e0016000600e8ffe8ff06000600ecfffcff0000e2fff0ff0000
63,63,0,12000200fcff0e00e4fff4ff0800f8fff4ff16000e00fcfff2fff2ff40000000
64,64,0,0200e0fffcfffcffe4ffe4ffd8fff8ff1600f4fffcff0e001000000030000000
65,65,0,12000200fcfffcfff4fff4fff8ffe8fff4fff4ff0e00dcfff2fff2ffe0ff1000
66,66,0,f0ff0200dcfffcffd2ffe4fff8ff3800d2ff06000e00fcffe2fff2ff00000000
67,67,0,0200e0ffdcfffcfff4ff1600f8ff08002600f4ffecffdcffd4ffe2ff2000f0ff
68,68,0,f0ffe0fffcfffcff2800f4ff0800e8ffe4ffe4fffcfffcffe2fff2ff30000000
69,69,0,120002000e000e00060016000800f8ff060006000e000e001000f2ff1000f0ff
70,70,0,f0ff1200dcfffcfff4fff4ff3800f8ff0600f4ffecfffcfff2ffd4ff00000000
71,71,0,0200f0ffecfffcff1600f4fff8fff8ff06001600fcfffcfff2ff000020001000
72,72,0,020002000e00fcff16000600e8ff0800060006000e00fcff1000f2ff00000000
73,73,0,0200f0ff0e00fcfff4fff4ff0800f8ff160006000e00ecfff2ff1000e0ff0000
74,74,0,0200f0ff0e00fcff16001600d8ff080006000600fcff0e00f2fff2ff1000f0ff
75,75,0,1200f0fffcfffcff38000600e8ffe8ffe4ff06000e001e00f2ffe2ff1000f0ff
76,76,0,020002001e000e00f4ff1600f8fff8ff0600f4ff0e000e00f2ffe2ff10000000
77,77,0,120002000e00fcffe4fff4fff8fff8ffe4ff0600fcfffcfff2ff1000e0ff2000
78,78,0,02001200ecff0e00f4ff0600e8fff8ff06000600fcffecff1000e2ff1000e0ff
79,79,0,0200f0fffcfffcff06001600d8ff080006000600fcfffcffe2ffe2ff00001000
80,80,0,f0ff0200ecfffcfff4ffe4fff8ffe8ff060006000e00fcff0000f2ff00003000
81,81,0,22000200fcfffcfff4ff1600f8fff8ff160006000e000e001000d4ff00002000
82,82,0,1200f0ffecffdcff1600f4fff8fff8fff4fff4ffecffecfff2fff2ff10001000
83,83,0,f0ff0200fcff1e00e4ff28002800d8ff060006000e00fcfff2ff000010001000
84,84,0,020012001e00fcff16002800d8ffe8fff4ff0600ecff0e00e2ff200010000000
85,85,0,22003200fcffdcff28001600d8ff3800f4fff4ff0e000e00e2fff2ff20001000
86,86,0,220002000e001e000600f4ff28004800f4ff1600fcff0e00f2ff000020002000
87,87,0,02001200fcffdcff16000600280038000600e4ff0e000e001000f2ff00001000
88,88,0,f0ff02001e000e001600e4ffe8ffd8ffe4ff1600fcfffcffe2ffe2ff10000000
89,89,0,12001200dcfffcffe4ff1600f8ff3800f4ff06001e000e00e2fff2ff00001000
90,90,0,02003200fcfffcfff4ff0600080008001600e4ff1e000e00f2ff000000001000
91,91,0,120012000e00fcffd2ff0600f8fff8ffe4ff1600fcfffcff0000f2fff0ff0000
92,92,0,1200f0fffcfffcff280006000800d8fff4ff1600ecff0e00f2fff2fff0ff1000
93,93,0,020002000e00fcff16001600f8ff0800f4ff26000e000e00f2ff100010002000
94,94,0,e0ff22000e00fcff0600f4fff8fff8ff06000600ecfffcfff2ff000000002000
95,95,0,f0ff22001e00ecffe4ff06001800f8ff1600f4fffcff1e00f2ff100000002000
96,96,0,12000200fcfffcff16001600f8fff8fff4ff0600ecff0e0000001000f0ff1000
97,97,0,22000200dcfffcfff4ff1600e8fff8ff060006000e000e0010001000e0ffe0ff
98,98,0,f0ffe0fffcff0e00d2ff0600d8ffe8fff4ff06001e001e00f2ff0000f0ff0000
99,99,0,f0fff0ffecffecff16001600e8ff380006000600fcfffcfff2ff200020001000
100,100,0,120012000e00fcfff4ff16003800f8ff0600e4fffcff0e001000f2fff0ff1000
101,101,0,22001200fcffecfff4ff2800f8fff8ff160016000e000e002000e2fff0ff2000
102,102,0,22001200fcff0e00e4ff0600e8ff0800060006001e00fcfff2ffe2ff10003000
103,103,0,f0fff0fffcffecff06001600f8ffe8ff0600f4fffcff1e001000f2fff0ff0000
