Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0]
0,0,0,b8ff1a00bcff2e00d0ff2200000020004eb4685b16e2084abc19cc1cca485ae4
1,1,0,e8ff0a001e001e003200f0ff3000b0ff2616f81f5646e8e7745b40b85a4c8aa4
2,2,0,3a00d8ff1e00ccff2200e0ff0000b0ff285bc0ba184ec2a45e2330b26aebdadd
3,3,0,3a00d8ff0e00ecfff0ffe0ffd0ff1000aa256eb17aeeb4dbb2bccc131aa57a44
4,4,0,d8ffd8ffccfffcffd0ff0200c0ff500040bf261062a55442f0ae945a3ad8ca4f
5,5,0,b8ff0a00ccff3e00f0ff220010002000ccad285a52d51a510a0c7e287a3fdaf1
6,6,0,e8ff4a001e000e00120012006000d0ff0409ec2be23cbcf4c45982c2ca523aa6
7,7,0,2a00f8ff1e00ccff1200a0ff3000d0ffc85832c43a54e2a6ee2e40ac3af80ad2
8,8,0,2a00d8ff1e00ccfff0ffd0ffd0ff0000ee315cab6efb40cff2c66a05daa71a3a
9,9,0,f8ff0a00ecff0e00c0ff2200d0ff700074c9a20292a8e237eea95458cacb0a56
10,10,0,b8ff2a00dcff2e00d0ff520010001000bca8e656aec9bc5698fe30357a34baff
11,11,0,d8ff0a000e002e001200f0ff2000d0ff50fbae3700326002d455a2cbda57eaa9
12,12,0,1a001a002e00ccff1200b0fff0ffc0ff765404cfac5814ab003a9ea7ea068ac6
13,13,0,3a00e8ff1e00fcff1200e0ffe0ff0000b03cfaa6e2090cc464d238f81aac0a2f
14,14,0,f8ffd8ffdcff1e00d0ff1200d0ff200006d5cef454ad7e2c0ea6f2525ac1ba59
15,15,0,e8fff8ffccff2e00e0ff3200f0ff00007aa5e6511abfdc59d8f0c03e1a29da0c
16,16,0,d8ff3a00fcff1e00120002006000f0ffdced82418c26d40fe24f74d8aa5a2aaf
17,17,0,0a002a001e00dcff4200d0ff3000c0ff844e48dbdc5ac6b052445ea52a148abc
18,18,0,2a00b8ff2e00ccff0200e0ffe0ffd0ff5246daa42617a8ba26de76ea8ab26a23
19,19,0,1a00e8ffecff0e00e0ff2200c0ff7000fae12ae746b44a20aea4524d8ab85a5b
20,20,0,d8ff0a00ccff3e00d0ff4200f0ff20004aa4044b66b66c5bc6e3d2482a1c5a1a
21,21,0,c8ff4a001e001e000200f0ff1000f0fffae0c44a5819e81da24826e47a5bdab6
22,22,0,0a00f8ff2e00ccff5200e0ff5000e0ff9246dae76c5b38b8b24c8ea44a211ab4
23,23,0,3a00c8ff2e00ccff2200e0ffe0ffe0ff744edaa45a2466b2a6eb26deaabada15
24,24,0,0a00e8ffdcfffcfff0fff0fff0ff6000eceea8da1abd06130ea5b0438ab0fa5a
25,25,0,e8ff0a00ccff2e00e0ff2200e0ff20006aa5c24154af6c5a14d702508a0f7a27
26,26,0,0a001a00ecff1e00020042007000f0ff36d4b651d20bac29a03f38f26a5a4abf
27,27,0,f8ff3a003e00fcff5200f0ff6000f0ffd03c0ef6bc59bac14253fea53a2d0aad
28,28,0,2a00f8ff2e00dcff1200d0ffd0ffd0ff7654eaa6ee2ff4ab58f944d08ac47a08
29,29,0,4a00c8fffcffdcffd0ff2200d0ff500070fc54ceacc65005aea7903a9aaafa58
30,30,0,d8ff0a00ccff0e00e0ff420000001000aca8ce37c2a9ec57d2ca24568a012a33
31,31,0,b8ff3a00dcff2e00f0ff52001000f0ffc4c8e6566efef035c03408ffda56aac9
32,32,0,0a001a001e00ecff1200b0ff1000d0ffce3142030c565ecc3458bea9ca387aa8
33,33,0,3a00e8ff2e00ccff2200e0ff0000f0ffc8582cab923b62a71a0742c6eacfaafa
34,34,0,0a00e8ff0e00fcffe0ffe0ffe0ff5000040a82c3c0d1ccf710ac9e2ecaa6da54
35,35,0,d8ff0a00acff1e00d0ff2200c0ff6000acadac2ce2a51a5302c164598af3da3d
36,36,0,d8ff2a00fcff2e00d0ff12005000100030be685a4af0b440be28da0dba519ad5
