Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,1000eeff140014000400140012002200100000000a00f8ff1c00eeffeafffaff,0600f4fff0ff0e001e001e000a00fafff2ffe2fff4ffe4ffecfffcff0200f2ff,eeffeeff280008000c00feffccff0c00eeff0c001200e0ff0600f4ffceff0e00,0e003e00220002004000c2ff4e00daff7c3bd4fdf65dcac4b45c24a2b237a2a3
1,1,0,0000eeff1400040014000400e2ff12000000deff0a00e8fffefffefffafffaff,f4ff2600e0ff84035e000000faff3a00e2ff14004200f4ffecff0e00f2fff2ff,eeffeeff0800e6ff2c00feff0c00ccfffefffefff0ffe0ff0600e4ff0e00eeff,3e00ecff1200aeff4000d2fffaffdaffd05c2aa24038f4a2acfee6c802c5d201
2,2,0,000020001400e2ff24000400e2ff2200eeff0000f8fff8ff2c003c00faffeaff,16000600000000000000f0ff2a000a00f2ff0400f4ffe4ffecff0e00f2fff2ff,eeff0c00e6fff6ffeeff0c002c00dcfffeffc0fff0fff0ffe4ff16000e00feff,2e00acff0200d0ff00003000daff1a0054fdfec75ac5c60104a2863a42a3c25d
3,3,0,deff1000f2ff040004001400e2ffe2ff0000eeff0a00f8fffeff1c000a000a00,f4ffe4fff0ff0e0000005e00faff0a00f2ff0400f4ff4200fcffecffe2ff0200,2c002c00f6ffd6ff2c00eefffcffecfffeff4a00f0ffe0ff160006001e000e00,0e00fcffd0ff2200c2ff4000faff1a002aa22c3b44a3b65dc6c8445ce201a237
4,4,0,00000000f2ff040004000400e2ffc2ff00001000f8ff1a001c000c00fafffaff,0600f4ff0e00f0ff00000e001a001a002400f2ff0200f4ffecfffcfff2ff0200,feff1c00f6fff6fffefffefffcffccff2a00feff1200220006000600eeffdeff,ccff0e00e0ff4400200030005e00eaff3ec8805c9601e037463b8cfdd25d92c4
5,5,0,000000000400040004000400120022001000eeff0a00f8ff1c002c00eaffeaff,0600f4ff0e001e000e0000000a000a000400e2fff4ff0200fcfffcff12000200,deff0c00f6ff0800feff1c000c00fcff1c000c00f0ff22000600e4ff0e00eeff,bcff2e0034000200300000006e00eaff0c3b24fec65d5ac5a45c14a2e23772a3
6,6,0,1000eefff2ff04001400f2ff120022001000eeff1a00f8ffeeff1c00faffeaff,2600e4ff00000e001e001e00faff0a002400040012000200ecfffcffe2ff0200,feff0c000800f6ff3c00feff0c00dcfffeffeeff1200f0ff160006001e00eeff,1e00fcff2200e0ff1000c2ffcaffdaff805c1aa2603854a3dcfd36c8a2c4b201
7,7,0,000010000400f2fff2ff1400e2ffe2ff100000000a001a000c000c001a000a00,06000600f0fff0ff0e000e000a001a00f2ff140012001200ecff1e0002001200,2c00fefff6ff1800fefffefffcff0c00feff1c00f0ff1200f4fff4fffeff0e00,3e00ecfff0ff1200d2ff2000daff5e0094fd3ec80ac5960124a2663b82a3c25d
8,8,0,0000deff14001400f2ff1400e2ff2200eeff00001a001a00eefffefffafffaff,f4ff0600f0ff84034e000000daff0a00f2ff0400f4ffe4ffecff0e00f2fff2ff,eeffdeffc6fff6ff0c001c002c00fcffeeffdeffe0ff0200f4fff4ffeefffeff,0e000e0012002200b2ff4000daff5e002aa27c3b14a3065e16c8a45cc201a237
9,9,0,deffeefff2ff140004001400d2ff220000001000f8fff8fffeff1c00faff0a00,260006008403e0ff0e000e000a000a000400f2ff0200f4ff0e00ecff02000200,feff2c00f6ff08000c00fefffcffecff2a00eefff0ff1200f4ff26000e000e00,dcff3e00e0ff4400100020001a00eaff5ec8805c16023038563a0cfdd25dd2c4
10,10,0,eeffdeff04001400f2ffd2ffe2ff22000000deff0a00f8fffefffefffafffaff,f4fff4fff0fff0ff0e0000000a001a000400f2ff02004200dcff1e00f2fff2ff,eeff0c000800f6ff2c00feffecff0c00eeff2a00120002001600f4ffeeffceff,0e000e00220002007e00c2ff5e00faff4c3b34fec65d1ac5b45c14a2323872a3
11,11,0,eeff10001400e2fff2ff1400e2ff220000000000e8ff0a00feff0c000a000a00,16000600000000000e0000002a000a000400f2ffd4fff4ff0e00ecfff2ff0200,feffdeff1800e6ff1c00feff0c00ecffeeffd0ff3200020006001600deffeeff,2e00dcff440002002000c2ff1a00daffa05c4aa2903814a3acfeb6c8f2c4c201
12,12,0,10000000f2ffe2fff2ff0400e2ffe2ff0000eeff0a00f8fffefffeffcaffeaff,e4ff06000000d2ff0e000e001a001a00f2ff1400f4ff0200ecffecff02000200,eeff2c00180018000c002c00fcffecffeefffeffe0fff0ff0600f4ffeeff0e00,1e00ccff12000200d2ff3000daff5e0084fe5ec80ac5660124a2563b52a3b25d
