Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f4ff06002e00d8ff24000400eeffeefff8fff8ff100000000c00eaff0e001e00,0a00ecff40014001f8fff8fff0ff10000c00faff1400f6ff1000eefffcff0c00,a4ffc2fff4ff06000e001e0032000200e0ff0e0008000800feff0e00f2fff2ff,eeff1c00120022001800faff2600060058e35c4c6a1d9a1cfc4ccee1485f88b2
1,1,0,16001600faffeaffe2ffe2ff1e00fefff8ff1a00eeff00000c000c00eeffceff,fcffecff40014001f8fff8fff0fff0fffafffaff04001400000000000c000c00,c2ffc2ff1600f4fff0ff0e00120012000000000018000800eefffeff1200f2ff,1c000c00420002007400daff1600f6ff3c4d68e10a5ffab25c4df2a0c81ca8b3
2,2,0,0600f4ff0c001c00e2ffe2fffeff0e00e8ff0a00000000001c000c00deff0e00,ecffecff400112fc06000600f0ff10000c00eafff6ff1400100000000c000c00,b4ff5e00f4ff16002e00d0ffe2ff0200000000000800eafffeffeefff2ff2200,0c00eeff0200e4ff0800cafff6ff16004c4cf0a08a1c9ab38ee220e4b8b2b81d
3,3,0,e4fff4fffaff1c00f2ff0400fefffeff0a00e8ff200000000c00eafffefffeff,0a00fcff40014001f8ff06000000e0ff0c00faff04000400000020001c00fcff,b4ffc2ffe4ff160000000000f2ff020000000000eaff08000e000e00e2ff1200,0c00eeffe4ff1200caff5600e6ff360078e148e3dab23a1ef2a07c4d78b3585f
4,4,0,f4fff4fffaffd8fff2ff04000e000e001a00f8ff00000000eaff0c00eeffdeff,0a000a004001e2fbf8ff1600f0ff00000c000c00f6fff6ff000000001c001c00,5e00c2ff0600d4fff0ff1e0032000200e0ff2c00eaff1800eeff0e00f2ff2200,eeff2a00f4ff3200daff660016002600f0a03c4d2ab3ea5e1ee30c4cb81d881c
5,5,0,0600e4fffaff0c00e2ffe2ff0e000e00f8fff8ffeeff0000cafffaff1e00ceff,0a000a00400112fc1600d8ffe0ff10000c00fafff6fff6ff000020000c000c00,d2ffc2ff0600060000003c001200f2ff2c00e0fffaff0800fefffeff22001200,d0ff3a0002005000faff180026000600a8e36c4c1a1e9a1cbc4cbee1f85eb8b2
6,6,0,f4ff2600faff0c000400f2ff0e00feff0a00f8ffeeff10001c00eaffeefffeff,fcff0a0040014001e8ffd8fff0fff0ff0c00fafff6ff3400100000001c00fcff,b4ffc2ffe4ff1600e0ffe0ff120012000e002c000800fafffeffeefff2ff0200,e0ff0c00500002002800eaff4600d6ff4c4d88e10a5fbab2dc4cf2a0881c28b3
7,7,0,1600f4fffaff1c000400f2ffeeff0e001a000a00100020000c00daff0e00feff,ecfffcff40014001c8ff1600f0ff00000c00eaff140014000000eeffecfffcff,d2ffb4fff4fff4ff00000e00220002001e000e00faff08000e00cefff2ff0200,2a00d0ff320012000800caff060026008c4cb0a07a1cbab3fee190e3c8b2481e
8,8,0,0600f4fffaff1c00140004000e00eeff0a00f8ff10002000eaff0c000e000e00,ecff2a004001400116002600f0ffe0fffaff0c0024001400eeff1000fcfffcff,d2ffd2fff4ff06002e000e0002001200d2ff2c00eaff1800fefffeffe2fff2ff,0c00d0fff4ff1200daff1800d6ff160038e1a8e37ab25a1e02a1dc4d88b3385f
9,9,0,2600f4fffafffaffe2ff14000e000e000a00f8ffeeff1000faff0c00fefffeff,fcff0a0040014001e8ff0600f0ff20002c00eaff2400140000001000fcffdcff,4e00c2fff4ffe4fff0ff0e00020002000e001e000800fafffeff0e00f2ff0200,e0fffeffe4ff3200caff6600f6ff4600f0a04c4d8ab30a5f8ee2bc4cf81d081c
