Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
0,0,0,3200e0fffaffeafff0ffe0ffe4ffe4ffa424fead16eae6da18b89615f2a0f247
1,1,0,0200e0ffcaffeaffd2ff2c00d4ff6800ecb75615d6a0884874aefe5e02db5251
2,2,0,e0ff4200eaff2c00f0ff5a00140024006eaef05e16dbc85176156c255248f2e9
3,3,0,020012002c00faff3c003c006800e4ff66150425884836eafe5e28b7d251e2a0
4,4,0,2200e0ff0c00caff4c00c2ff0400c4ff005fccb79851c6a02c25a4aea2e932db
5,5,0,2200c0ff1c00baff0000e0ff0400040024251eaeb6e986db18b81616e2a04248
6,6,0,12000200daff1c00d2ff0000c4ff68001cb86615d6a0884804aefe5ea2dab251
7,7,0,a0ff2200baff2c00e0ff3c002400e4ff4eae205f46db98514615ea23a24872ea
8,8,0,f0ff1200faffdaff3c00e0ff2400d4ff7615c424984816ea1e5f38b8d251f2a0
9,9,0,220012002c00eaff3c00b2ff0400c4ff105f8cb77851f6a06c2554ae72ea92da
10,10,0,2200f0fffaffdaff0000f0ffc4ff1400a4246eaef6e926dba8b7061692a05248
11,11,0,22000200caff1c00b2ff2c00e4ff2400bcb7b615d6a05848f4ad0e5f42dad251
12,12,0,d0ff3200caff2c00f0ff3c00040004004eae005f46dbc851a6155c25124872ea
13,13,0,020042002c000c003c00f0ff6800f4ff46150425784826eaee5e68b7d25102a1
14,14,0,320012001c00baff4c00c2ff2400c4ff005ffcb7b851c6a04c2524ae12ea12db
15,15,0,3200e0ff0c00caff3c00e0ffc4ff0400e4246eaee6e996dbc8b7261602a16248
16,16,0,f0ffe0ffcaffeaffb2ff3c0004007800ccb77615a6a0884824ae1e5f42dba251
17,17,0,c0ff1200caff1c00d2ff2c00040024004eae205f16dba85156150a24224802ea
18,18,0,e0ff32001c001c005a00f0ff5800c4ff8615c4245848f6e9fe5e78b7c251e2a0
19,19,0,3200f0ff2c00aaff3c00c2ff1400c4ff005f0cb8b851d6a07c2584ae52eaf2d9
20,20,0,4200c0fffaffeaff2c00e0ffe4fff4ffe4240eae06ea66dbb8b7a615e2a00248
21,21,0,f0fff0ffeafffaffd2ff2c00c4ff7800dcb78616e6a0384854ae0e5ff2dab251
22,22,0,d0ff2200aaff2c00e0ff3c00240014006eae005f46dbc8516615fc24424872ea
23,23,0,e0ff52000c001c005a00e0ff6800f4ff0616e4245848c6e90e5f48b7d25102a1
24,24,0,2200f0ff1c00eaff3c00c2ff58000400305fbcb79851c6a05c2554aea2e942db
25,25,0,1200e0ff1c00eafff0fff0ffe4ff240074246eaee6e956db18b84616f2a05248
26,26,0,2200e0ffeafffaffc2ff2c00e4ff7800ecb76615e6a0b84884aefe5e82daa251
27,27,0,d0ff2200daff3c00e0ff2c00040004008eae105f06db985196152a24624802ea
28,28,0,e0ff42001c00faff4c00f0ff6800f4ff9615b4247848d6e9fe5e38b78251e2a0
