Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
0,0,0,2e00c8ff400020006800c0ff3000ccffb6581ace585f76ab76323ea7500570c3
1,1,0,2e00eaff2000eeff0400d0ffdcffecffb63edca1a812b6b9f6c16a0750a64034
2,2,0,faffeaffceff2000c0fff2ffccff50003ace1af8c6ab8828aea6925df0c3405d
3,3,0,daff2e00deff3000aeff3600bcff30002ca2c658b6b9a85f2a07163290349004
4,4,0,daff2e0000004000f2ffe2ff4000fcff2af8963ec828b811825d56c1e05c30a6
5,5,0,0c00faff4000eeff3600c0ff4000bcff76584acee85f06acd632fea6d004c0c3
6,6,0,3e00daff200000000400d0ffccffccfff63efca1481286b916c2ea0740a6e033
7,7,0,1c00eaff20000000aeff3600bcff4000facd1af8c6ab2829eea6825da0c3405d
8,8,0,eaff1c00ceff4000c0ff46004000fcff3ca2c658f6b9985f4a07d6318034a004
9,9,0,eaff1c00300030003600f2ff5000fcff0af8d63e98280812825d06c2505d20a6
10,10,0,2e00eaff300020005800aeff5000bcffd6588aceb85f56abb6320ea7e004a0c3
11,11,0,4e00c8ff1000cefff2ffc0ffdcfffcffb63efca1f811b6b906c26a0740a69034
12,12,0,0c00faffdeff1000d0ff0400acff40001ace5af8c6ab38281ea7825da0c3305d
13,13,0,b8ff0c00deff2000c0ff6800ecff30003ca2c65896b9b85f18077632d0340005
14,14,0,daff2e0000004000360036005000bcff5af8763e28293812625d66c1005d30a6
15,15,0,0c000c00200000004600c0fffcffbcff96582aceb85fa6ab66321ea7900460c3
16,16,0,2e00b8ff2000cefff2ffc0fffcffdcffa63ddca2b80436ba18c9ca0760a5b034
17,17,0,fafffaffeeffdeffc0ff0400ccff40004acedaf8a6a628333ca3805ab0c3e05c
18,18,0,eaffeaffdeff40009eff6800dcff30003ca2165976c2685d36fc183bb034b004
19,19,0,eaff2e00100020000400e2ff6000fcffbaf8663e88323806205a98ca305d40a6
20,20,0,1c00faff500010005800aeff4000acffd6584acec85d86a6983b3ca3100580c3
21,21,0,1c00eaff10000000e2ffc0ffecffecff763e3ca25806b6c2a8ca26fc00a66034
22,22,0,1c00c8ffbeff1000e2ff0400bcff40008acd0af966a6f8324ca3605af0c3d05c
23,23,0,c8ff1c00deff4000c0ff3600dcff40007ca2065996c2785dd6fc483b20346005
24,24,0,faff3e00eeff30004600f2ff6000dcff5af9463e68330806605a98c9f05cf0a5
25,25,0,2e002e00400020004600c0fffcffbcff06597acd885d56a6883b7ea3500420c4
26,26,0,2e00daff4000deffe2ffd0ffdcffdcff963e5ca2780636c298ca56fcf0a53034
27,27,0,fafffaffeeffeeffc0ff0400ccff40004acd9af876a628332ca3605ab0c3f05c
28,28,0,daff1c00deff2000d0ff5800ecff50004ca2d65846c2985da6fb783a80346004
29,29,0,daff3e0000002000460004006000dcffbaf8363e08335806605a78ca505d00a6
30,30,0,1c00eaff200010005800c0ff0c00dcff46597acd785d96a6483bcea3d004c0c3
31,31,0,2e00c8ff5000eeff4600e2ffdcffbcff363e5ca2a806a6c2b8ca66fc20a64034
32,32,0,1c00eaffeeffeeffc0ff2600bcff40006acdbaf866a6d8332ca3705ab0c3f05c
33,33,0,daff0c00eeff5000d0ff3600ecff30007ca2265996c2985d76fc383b6034d004
34,34,0,eaff2e00eeff3000f2ffe2ff7000fcff2af9563ed832b806505af8c9d05ce0a5
35,35,0,1c00faff2000eeff6800d0fffcffccfff658dacd685d66a6283b6ca3f00430c4
36,36,0,3e00eaff3000deff3600c0ffccffdcff763e4ca2480676c2d8ca46fd40a66034
37,37,0,eafffaff00001000d0ff4600ccff5000bacdaaf886a618334ca3705af0c3f05c
38,38,0,daff3e00eeff3000d0ff6800ecff40003ca20659c6c2585d06fc583a90349004
39,39,0,daff2e00000050004600f2ff0c00dcffeaf8d63da8327806505a38ca005df0a5
40,40,0,1c000c00500000006800d0ff4000bcfff658aacd785db6a6483b7ea3a004e0c3
41,41,0,2e00daff0000deff0400c0ffdcff2000b63e5ca3581176c2d6c096fcb0a5c034
42,42,0,0c000c00ceff2000c0ff4600acff60000acebaf7b6ab9828bea6a25dd0c3405d
43,43,0,daff1c00eeff2000d0ff580020004000fca19658c6b9c85f280676324034d004
44,44,0,eaff7000eeff30005800f2ff4000dcff0af8b63e68283812625d86c1305d40a6
45,45,0,2e00faff200020004600c0ff3000ccffb6583aceb85fc6ab7632eea6900570c3
46,46,0,3e00eaff3000cefff2ffaeffccffecffb63e1ca2b81236ba36c26a0760a6f033
47,47,0,1c00c8ffdeff0000aeff4600bcff7000aace7af8f6ab3829fea6725d90c3405d
48,48,0,faff2e00eeff3000d0ff5800dcff40001ca29658b6b9b85ff806a43190347004
49,49,0,1c004e0010000000460004004000dcff8af8d63eb8282812625dd6c1e05c40a6
50,50,0,1c003e003000eeff4600c0ff5000acffa6585ace985fc6abd632fea6900490c3
51,51,0,1c00daff4000eefff2ffd0ffecffdcffb63e2ca2e811b6b926c2f80630a67034
52,52,0,1c00eaff0000deffc0ff5800dcfffcff1ace7af8e6ab18290ea7b25dd0c3e05c
53,53,0,faff1c00eeff3000c0ff6800dcff40002ca2f658d6b9b85f6a07063230349004
54,54,0,daff2e00eeff3000460004004000dcff4af8b63e88281812425d16c1f05c30a6
55,55,0,2e002e00400000004600c0ff3000ccffb6580acec85fe6ab76321ea7f004f0c3
56,56,0,2e00daff4000deffe2ffe2ffdcffdcff063f2ca24812e6b9f6c12a0840a66034
57,57,0,1c001c00eeff2000c0ff3600bcff50007ace2af8e6ab9828dea6725d80c3305d
58,58,0,fafffaffdeff2000c0ff5800dcfffcff4ca2c658f6b9a85f5a0716324035d004
59,59,0,faff3e00eeff20003600f2ff5000dcff3af8c63eb8282812925db6c1f05c50a6
60,60,0,0c00faff3000eeff6800c0ff4000ccffc658aacdc85f46ab16327ea77004d0c3
61,61,0,6000daff3000beffe2ffd0ff9cff3000c63e3ca27812e6b9a6c1ba0730a69034
62,62,0,fafffaff00001000e2ff4600acff40002aceaaf836ab2829fea6925db0c3f05c
63,63,0,eaff0c00ceff3000c0ff3600ecfffcff0ca2b658c6b9c85f4a07863200357004
64,64,0,daff2e00ceff20003600e2ff6000ccff5af8763e98283812625d96c1f05c30a6
65,65,0,3e003e003000ceff4600aeff3000ecffd6581ace985f26ac36320ea7c004d0c3
66,66,0,3e00daff1000defff2ffc0ffdcffdcffd63dbca2e804e6b918c9ba0870a57034
67,67,0,0c000c0010000000d0ff0400dcff40003acebaf886a6c8333ca3905ad0c3d05c
68,68,0,eaff3e00ceff3000d0ff4600ecff40005ca2165936c2785d76fc683a50346004
69,69,0,daff3e0010003000f2ff36004000fcff4af8363e3833d805405a98caf05c20a6
70,70,0,2e00eaff4000eeff6800d0ff4000ccff16599acd985d86a6d83b8ea3e00430c3
71,71,0,4e001c003000beff2600d0ff2000ecff963e3ca2a80626c2a8cae6fb00a60034
72,72,0,eaffeaff000010009eff5800dcff50003ace5af866a628332ca3705ac0c3405d
73,73,0,b8ff1c00ceff4000d0ff4600ccfffcff6ca21659c6c2985d36fcd83a7034d004
74,74,0,faff2e0010003000f2fff2ff5000bcffeaf8763ea832e805305a58c9305d00a6
