Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out4[255:0]
0,0,0,0e009cff1c000c00dcff0a00ccff1c0002fc24c9e0c5060070a5123748a67859
1,1,0,e0ff0000ceffdeffaeff7800dcff3c00f8a21c3efea9bc5b34d0525878087833
2,2,0,00002c00eeff2c001a002a000c001c0054d85c543611482b584352f2d85d18bf
3,3,0,2c00e0ff2c00eeff1a000a000c00ccffbc49d2ea7c5ea0b95e50cea19823f8ad
4,4,0,4c006eff3a00c0ff0a00ecfffcff1c002c4b48a1881bceb19ce2eae0b8b39819
5,5,0,2c00f0ff1c00feffdcff0a00bcff3c0014da12e8ceaec8218ea12e4fe8b7985e
6,6,0,f0ff0e00feff1c00ecff0a00fcff4c00c8a25c5380bd1c5e32f15845482af811
7,7,0,00000e000c001c001a000a000c000c0012fb6c3e5832f609625744d1385c98aa
8,8,0,3c00f0ff4a00deff2a00aeff2c00ecff4c5a14cafc59cea6243810a5480118c5
9,9,0,0e007cff1c00eefffcffecffdcffdcffae30c6a784f890cb5cc3ba0348a4c839
10,10,0,0000d2ffdeff0c00befffcffecff2c00c6bc800cbea2aa4032abd45c98d39856
11,11,0,8cfff0fffeff3a00fcff1a00ecff1c00c6af0c5ee2db8c524214ac28484698ef
12,12,0,00003c000c000c006800ccff3c00ccff801d7e20ca4b94e6865ee6b6c84d88a1
13,13,0,0e000e002c00eeff1a009eff1c00dcff7c5e06b1ea48bea1741856b468def8e3
14,14,0,f0ffd2ff1c00eeff0a00ecffdcffecffb00e46bae2d524ecf2ac1a2648a2d850
15,15,0,e0ff0e00ceff4a00dcff1a00fcff0c00c6a84e2e6ea33c55ccc0145d38f55842
16,16,0,9cff3c00c0ff2c001a00fcff3c00ecff84c71c5b74fe9a3b32359c05c85828ce
17,17,0,9cff2c002c00feff2a00beff3c00acff4e3cf2fc9c5b90c6c258aea5a834f8a5
18,18,0,3c0000001c00fefffcffdcffecffacffdc5466a3882c7ea994f4f2cf78c0b806
19,19,0,e0ffe0ff0c001c00dcff0a00fcff2c00a2eb44d720ba56101ea24843e8ac985d
20,20,0,7cff0000eeff2c00dcff3a00bcff3c0046a12c49aeb18c5e8ade5e5068187824
21,21,0,d2ff2c00deff0c000a00fcff1c00dcffb2e7ec4b0821481c2e4e8ce2885e28b4
22,22,0,0e003c004a00defffcffdcff1c00ecff3c5334da3c5e0eafca458ca1081418b7
23,23,0,1e00d2ff2c000c00fcffecffccff1c003e3fc6a2760a60bda4d2b2f0b8aac829
24,24,0,0e000000deffeeffbeff2a00ccff4c00f4cae2f92ea748315ea44257e8c3685c
25,25,0,d2ff3c00eeff4a00ecff2a00ecff1c00b6a72c5a10cb4c5afa014438b8381802
26,26,0,f0ff2c002c002c001a00fcff0c00ccff600b4e317a3f04f8845c8cc3185768a4
