Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e836e636db36da36ce36d1360d370b37cd36cc36ec36ed36de36dc3661366236,9e369e360a370a371037113719371937153713371c371c37e536e2360a370b37,e8ffb8ff8e002800deffbeff10002000825530e44cc12c39aa204aad4afda266,db36da361a371737e436e536e936e836973694361f371f3711371137e636e336
1,1,0,e836e836dc36da36d036cf360c370b37cd36cd36e9361437dd36dc3664366336,9d369f3609370a37123711371d371c37143714371c371c37e536e5360d370b37,26000600daffdaff1c001c00e0fff0ffde1ade7180c9b48994518073389b3897,da36db3618371737e436e336ea36ea36963697361d371d3712371137e436e536
2,2,0,e736e836d936db36cf36ce360b370d37cb36cc36ec36ec36dd36dc3664366336,9f369f360a370837113712371a371a37153715371d371e37e536e4360b370c37,d8ff06002800daff1c001c00f0ffd0ff148f02a92c76e43ff68c5cddb0674205,dd36dd3617371737e436e536e636e636953695361e371a3712371237e536e436
3,3,0,e636e736db36dd36d036ce360b370b37cc36cc36ec36ec36db36de3662366336,9e369e360a3708371037103719371a37153714371c371c37e536e4360b370b37,0600d8ff28002800deffeeff1000000046588ee608bfe835f423b8af18fbe264,db36da361a371937e336e536e936ea36953697361e371e370f371037e436e636
4,4,0,e836e936d736d936d336d0360b370b37cc36cd36ec36ec36de36de365d356236,9e369e3609370a370f37103719371b37163715371f371d37e236e43608370a37,36002600daff2800feff1c00f0ff1000ce178470cecbb489164f00744a9d8896,db36dc3617371a37e636e336e936e936963694361e371d3710371137e336e536
5,5,0,e636e636db36d936c936d036e5360d37cb36cd36ed36ea36dc36da3663366336,9f369f360a370a371137103719371937153716371d371c37e336e5360c370c37,f8ff2600fafffaff1c003c000000d0ff769052a7cc75c842128cd0d916698206,dd36dc3617371837e636e636e936e936953695361c371c3711371137e336e336
6,6,0,e736e736db36db36c936d0360c370c37cd36cc361437ed36dc36db365f356436,9f369e3609370937103711371c371a37153715371a371d37e636e53609370c37,c8ffaaff38002800defffeff3000f0ff465ac8ea86bb4232d027dab238f67062,d936dc361a371937e436e536e936e936943695361f371b3711371137e436e536
7,7,0,e436e636d936db36a736d0360d370b37cb36cc36ed36ec36de36da3662366236,9e369d3609370937113711371a371a37143714371e371d37e336e4360b370a37,2600f8ffdaffeaff1c001c00e0ff20000e13646f98cf1c8a864b92744a9fa094,dc36da3618371937e236e1361037e936953695361b371e3711371237e536e436
8,8,0,e636e836dc36db36ca36d3360b370b37cb36cd36e9361337dd36de3665366236,9f369e3608370837113711371a371937153714371d371d37e336e5360b370b37,f8fff8fffaffeaffceff0c000000d0ffac91a0a49c759e450e8ba8d5ce6ac40a,dc36dd3619371937e536e636e736e836953694361a371d3710371237e336e336
9,9,0,e736e736dc36db36d036d0360c370b37cc36cc36ea361337db36dc3665366136,9e369e36093709371037113719371a37153714371d371e37e336e5360c370c37,f8ffaaff08009e00ceffceff30001000e05c24eea0b8ce2eb42b9ab5e6f2b860,d936da361a371737e336e436ea36e8369636953620371f3710371137e436e636
10,10,0,e736e436dc36db36d036c9360c370b37cf36cd361337ed36dd36db3663366336,a0369d360837083710370f371b371937133714371d371c37e436e3360b370c37,26003600dafffaff2c001c00e0ff10001410246f16d4cc8af24836751ea22693,d936db3618371b37e536e336e836e936943697361d371e3712371037e336e336
11,11,0,e736e636d936db36d236d1360c370c37cd36cf36ed36ea36dc36dc3662366236,9e36a03609370937103710371b371837163714371e371d37e336e4360b370c37,e8ff2600faffdaff1c00fefff0ffe0ff1c93bca19c74444a8e8aeed1886c0410,db36db3619371a37e336e436e736e936963696361b371e3712371237e236e436
12,12,0,e736e736dc36d936d036cb360b370c37cc36cc36ed36ed36dc36dd365e356536,a0369e3609370a371037103718371a37163716371d371d37e336e5360c370d37,d8ffc8fffaff8e00ceffdeff40001000b45e9ef194b5de2bd62e32b9deef5a5e,d836db3618371937e336e3361037e936953696361e371e3713371137e536e336
