Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,de36e236d936d936ce36cf360e371037a536cb3618371937d536d5364f355235,9d369b36093708371037113751384f38173717371f372137e636e4360d370c37,10001000eefffeff12000200e0ffe0ff66f984fdea0250f7ba0880f900063c02,da36da361e371e37e636e636113710378d3666362937293711371137e536e436
1,1,0,e036e136d936d836a436ce360d371037cd36a5361b371c37d536d43651355335,99369b3609370a371137103753382137173717371f372237e636e5360e370d37,000010000e00fefff0ff2400e0fff0ffe0fe280830f7d205a0f964fd5c0206f7,da36d8361e371e37e636e6361037123765368c362837283710371037e436e536
2,2,0,e036e036db36db36ce36cf360f370e37a636a63619371b37d636d4364e355335,99369a360737083710371037503851381737173720372037e636e4360c370d37,d0ff1000feff0e0002000200f0fff0ff4808a6f9e205fa0254fd8a0806f71006,da36d93620371f37e536e53611371137663666362a372b3711370f37e336e236
3,3,0,e036e136d836d836cd36cf360d370f37cc36ce361b371d37d436d63650354f35,9c369d360837083714371437213750381737173721371f37e536e8360d370b37,f0ff2000eeff0e000200f0ff5800f0ff76f9a2fefa0250f79a08d2f970064c02,d936d7361e372037e536e536113710378c368d362937293710371337e236e536
4,4,0,e136e036dc36d936ce36cf360d371037a336cb3619371b37d636d5364f355035,9c369c3608370837103713374f385238173718371e372037e736e5360d370d37,0000e0ff0e00fefff0ff0200f0ff480082fe480880f7b405d2f954fd3e0316f7,da36d9361e371d37e636e336113711378d368c36293729370f370f37e436e236
5,5,0,d836e036db36db36cf36cf360f370e37a536a73619371d37d436d3364d354d35,9c369d360837093711371037543822371737173721372037e736e5360b370d37,10002000feff0e001200f0ff6800f0ff280886f9a4051a0364fdba08f6f61006,db36da361f371e37e636e636113712378c368d362937293710371137e436e336
6,6,0,e136e036db36d936ce36cf360f370e37a536cd361b371b37d536d5364e354e35,9c369c3609370a37103711374e384e381737193720372037e636e6360e370b37,e0ff0000eefffeff0200f0ff0000b0ff86f972fe4a0340f78a08e2f920061e03,dc36dc361e371e37e736e736113711378b368c36273729370f370f37e436e636
7,7,0,e036e136d936d836cf36ce360e370e37a636a7361c371b37d536d53650354f35,9d369d3608370837103710374f3850381837173720372037e536e6360c370d37,30001000feff0e000200f0ffd0ff000072fe480830f7740534fabcfc0e03f6f6,da36db361e371d37e836e6361237113766368c36293729370f371037e536e536
8,8,0,e136e236dc36da36cf36cf360d370e37cd36a7361b371b37d336d4364d354f35,9c369b360937083711371137503850381737183720371e37e636e5360b370d37,e0ff00000e00fefff0fff0fff0ffd0ff4808a6f9b4053a0312fdba08f6f6f005,da36da361f371d37e536e436143711378c3666362a37293711371037e336e436
9,9,0,e036e236db36db36cb36ce360f370f37a536cd361c371937d436d3364f355435,9d369d360937083712371137493723371837153720372137e536e4360e370d37,10002000eeff0e001200e0fff0fff0ffc6f972fe580320f7ba08f4f900060e03,da36da361f371e37e536e636113712378d3665362a3729370f371037e236e436
10,10,0,e136e036d936d836a536d03610370f37cd36a63617371b37d336d43650354d35,9d369c360a3709371037103750385038163717371f371f37e636e7360a370b37,100010000e000e0012001200f0fff0ff24fe480820f7740534fa8afc1e03c6f6,da36dc361f371f37e636e436113711378c368d3628372a370e371137e436e536
11,11,0,e136e036d936d936c036d03610371037a736a6361b371837d336d33651355235,9c369d36083709371137103721374f381737173721372037e536e5360c370c37,100040001e00feff12003400e0ffe0ff4808d6f97405a8039afccc08f6f6c005,da36dc361f371d37e536e436103710378c368e362937283710371037e336e336
12,12,0,e036e136dc36db36d036d0360e370f37cc36a73618371837d736d43653355035,9c369b36083708371137103750384a37183717371f371f37e636e7360c370e37,10001000defffefff0ff02005800d0ff04fa24fe980310f7aa0866fac005b803,dc36db361e371e37e636e436103710378e3666362a37293711371137e336e536
13,13,0,e036e036db36dc36cb36ce360f370f37a636cb361c371b37d636d53652354f35,9c369a3609370737123710374f385038153718371f372037e536e4360e370d37,100000001e001e0024001200b0ff580084fd200930f7540586fa58fcb803e6f6,db36d9361e371e37e536e736113712376636643629372a3711371137e236e236
14,14,0,df36e136dc36d936ce36d1360e370f37cc36cd361b371b37d636d43651355235,9c369a3608370837123712374d3850381737163720372037e636e6360b370c37,e0ff20000e00feff0200f0ff0000f0ff780804fa440598036afcdc08f6f68005,d936da361f371d37e436e5361237103765368d362a37293710370e37e436e436
15,15,0,e136de36dc36dd36ce36cd360f370d37a736a6361b371937d636d63651355035,9c369b3609370937113713374f384f381737183720372037e636e5360c370c37,20002000defffeff0200f0ffe0fff0ff24fab2fdb80310f7cc0898fa60050804,da36dc361d371d37e436e636123710378c368d362937273711370e37e436e436
16,16,0,e136e036dc36d836ce36ca360f370f37a336cd361f371b37d436d5364f355035,9d369f360937073714371137523820371937183720372037e536e6360d370c37,10001000fefffeff0200f2ff4800f0ff54fd380820f71405b8fa18fcd803a6f6,da36da361e371e37e636e43612371237673665362837283710371037e436e436
17,17,0,e136e036d936d936cf36cf360f371037ce36a73619371b37d536d5364e355235,9b36983609370a37143711374f384f381837183720372037e636e6360c370c37,1000e0ff0e000e00f2ff0200e0fff0ff2e0944fa0405080418fcdc08d6f63005,dc36dc361d371c37e436e6360f37103765368e362937283710371037e336e536
18,18,0,e136e036dc36db36cf36cf360e370d37cd36cc361d371937d436d5364f355335,9b369b36083709371137103751384f381837183720372037e736e5360c370d37,c0ff0000feffeefff2ff1200f0fff0ff44fa14fd080420f7cc08b8fa50050804,db36dc361e371e37e536e536113711378e3666362a3728370f370f37e336e236
19,19,0,e136e136db36db36d036ca360e370f37a636cd361b371a37d536d5364f355035,9b369c360a3709371237103723374f38163718371d371f37e636e5360a370b37,0000c0ffeeff0e00f2ff02000000f0ff04fd3e0930f7e604c8fad6fb3804d6f6,db36db361d371d37e536e436103714378d368c362837273710370f37e136e336
20,20,0,df36e036d936dc36d036d0360d370e37cc36cd361c371b37d636d43650355335,9d369d36093709371137103747374c371737183721372037e436e5360a370e37,1000d0ff1e00feff22002200f0ffd0ff580854fa5604f803e6fbfc08e6f62005,dc36da3620371f37e536e536123711376736643629372a3710370f37e436e336
21,21,0,e036e136db36db36cf36cf3610370f37a536cb361c371d37d536d63651354f35,98369b3609370937113714372037513818371a3720372037e736e6360c370e37,d0ffe0ff0e00feff12000200f0ffe0ff74faf4fc560498f6ba0852fba8043804,dc36da361e371e37e436e5361037113767366736283729370e371037e436e336
22,22,0,e236e036db36d936cf36ce360d371037cb36cc361b371c37d436d63650355335,9b369c360a37093712371237223751381837183721372137e436e5360d370c37,d0ff00000e000e00020002000000e0ffc6fc2e0920f7660484fba4fb8804e6f6,db36db3620371d37e536e6361037103765368d362937293710370e37e436e336
23,23,0,e036df36d936d936cb36cf360f370e37cb36cd3620371b37d536d53651355335,9b369b360b3708371237113750385338193717371f372037e836e5360c370d37,000000000e00feff12001200e0ff00003e0964fa3604660494fbdc08e6f69804,dc36dc361d371e37e736e5360f371037663667362a372a3710371137e536e436
24,24,0,e036e036d936dd36ce36d1360e370d37a636a6361b371937d336d43652355135,9d369b36093709371137103720374f381637163720372137e736e5360d370e37,c0ff10000e000e0012001200f0ff580064fae6fc560420f7cc0884fb78046804,dc36da361c371f37e336e5361037123765368c362837293710371037e336e436
25,25,0,df36e236dc36dc36cf36cf360e370f37cd36a7361c371e37d536d43652355135,9b369c36093708371137113752384a37183718371e371e37e636e5360b370c37,00001000feff0e00f2ff0200e0ff5800c8fb200920f73604c6fb94fba804d6f6,dc36da361e371f37e536e5361137103765366636273728370e371137e436e536
26,26,0,e136e036d836d936cb36cf360e370f37a636a5361c371b37d536d4364e355335,9c369d360737083715371037523850381737173721372137e736e6360a370d37,000000000e000e0012001200f0fff0ff4e0930fb1804f60472fbcc08f6f63804,db36db361e371e37e536e63610371137673666362737283710371037e336e336
27,27,0,e236e236db36d836ca36d1360e370e37cb36cd361c371d37d636d53652355235,9b369c36093708371037113752382237173718371f372237e536e5360b370d37,00001000eeff1e0002000200e0ff000030fbb8fbe60430f7dc08d6fb38048804,db36db361f371e37e436e4361137113766368d362937273710370f37e436e536
28,28,0,de36e236d936db36d036d1360f370e37a536cb361c371c37d636d63652355135,9a369b3609370a3710371037513850381737183720372037e536e6360d370b37,c0ffb0ff0e00feff12001200e0ffe0ff40fb4e0930f73604d6fb72fb8804f6f6,d936db361f372037e536e5361237103764368d3629372a370f370f37e536e436
29,29,0,e036e236dc36dd36cf36ce360c371037cf36a73618371b37d536d4364f355035,9b369d360a3708371437123752382037193719371f372137e736e6360d370e37,0000c0fffefffefff2ffe2ff380058002e09d8fbd803140552fbfc08c6f63804,db36da361d371e37e136e436103710378f366636283726370f371137e336e536
30,30,0,e136e036d936d936c936cf360e370e37cd36cc361c371b37d436d5364f354f35,9c369c3609370b371137103722374a371837193720372137e636e7360c370c37,00000000defffeff12001200d0ff5800d8fbe8fb540520f7dc0806fc58048804,d936da361f371f37e636e536103710378c368c362637243710371037e436e436
31,31,0,e036e036db36d936cf36d0360c370e37cd36a6361e371c37d536d4364f354e35,9b369c36093708371137123749374a371737183721371f37e636e5360b370b37,d0ff1000fefffeff1200f2ff5800d0ff30fb200930f79803e6fbc8fa6005d6f6,da36da361d371f37e536e53610370f3765368c362937283710370e37e436e536
32,32,0,e136e036d936d936ce36cf360e370e37a736a6361b371d37d436d5364e355035,9b369b3609370937123712374e385038193717371f371e37e636e6360c370a37,2000e0ffeeffeeff0200f2ff480048004e09f8fbc8032405a8facc0806f7f803,da36db361d371d37e736e6361237113765368d3629372a370f371037e436e336
33,33,0,e136e036d936de36ce36cf360f371037a636a53619371b37d536d4364f354e35,9a369d3609370a371237113750384e381637173720372037e636e6360b370e37,f0ff2000eeffeeff120002000000c0ff18fc12fb640510f7cc0818fcc8035005,d736da361f371d37e536e636113711378f3665362a372a370f371137e336e336
34,34,0,e036e036db36d936d136ce360f370e37a636a7361d371c37d636d6364f355035,9b369b360a370837113710374a3722371737173721372037e436e4360c370c37,00001000fefffeff12001200d0ff000002fb4e0950f7980338fc76fa8005f6f6,da36da361e371e37e536e4361037103765368d362737263710371037e336e336
35,35,0,e236de36da36d936cf36cf360d370f37cd36a7361d371d37d536d5364d355135,9a369b360937093710371237523822371737183720372037e536e6360b370b37,100000000e000e0012001200e0fff0ff5e0918fc6803740586facc08f6f6b803,da36da361f371e37e636e436103710378c368e36293728370f370f37e236e336
36,36,0,df36e036d936d936ce36cd360d370e37a636a5361b371b37d636d23650354f35,9b369b3609370a37103714374f385138183717371f371e37e636e5360b370b37,c0ff2000eeffeeff02001200e0fff0ff38fcd2fa540510f79a0818fca8039005,da36da361f371f37e536e43610371037663664362b372a3711371137e336e336
37,37,0,df36e036dc36db36c936cf360e370e37a736a73619371d37d736d63650355035,9a369a3609370a371237143750385038183717371f372037e636e7360c370b37,1000e0ffeeff1e00d2ff1200d0fff0ffd2fa6e0920f72a039afc98fa7005f6f6,da36da361d371e37e436e536113710376536663629372a370f370e37e236e336
38,38,0,e136e136dc36dc36cf36d0360f370e37a736a6361e371937d536d5364f354f35,9c369a360a37093711371137233721371837183720371f37e736e6360c370b37,0000d0fffeffeeff1200f2ffe0ff58004e0948fc5803840556facc08f6f62e03,da36da3620371e37e536e63610370f3765368d362a3728370f370d37e336e436
39,39,0,e036e036dc36db36d236a5360e370e37cd36a7361b371d37d636d33652355235,9a369d360a37093710371137523854381a371a3720372037e536e6360b370c37,00000000deffeeff12001200f0ffd0ff66fcd2faa40510f7cc0822fd3e03b005,db36da361e372037e536e136103711378c368d36273728370f371037e236e436
40,40,0,e036e136d936d936cf36cf360f370e37a736a53619371c37d436d43651355035,9b369c3608370937103711374f38513816371a3720371f37e536e6360c370b37,10000000feffdeff22002200f0ffe0ff82fa4e0920f75803aafc24faa005d6f6,d836d8361d371f37e536e7361237103766368c362737293710370f37e336e436
