Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e4fff4ff0a000a001400f6ffdefffefff2ffe2ff2200f0ff2a00f8ffdeffeeff,0a002c0052001000100000004000e2ff060026001600160002000200f0ffd0ff,28002800c8ffe6ff46003600faff0a00ca43605a04a966b7d66182300c9d78ec,0e001e00eaffeaff04000400f0ff0000ecffecff0c00eeff1400f4ff12000200
1,1,0,f4ff06000a00ecff140024000e00deffd2ffe2ffceff34002a001a00deff2a00,f8ffe8ffd4ff200020000000f2ffc2ffe4fff4fff4ff160002000200e0ff2000,080018005c00e6ffe6fff6ff6c00faff429e64cfc862801390a5f60aa6482ed6,0e00fcff0c00eaffe2ff0400100040001a005a001c001c00e4ff040002000200
2,2,0,1600e4ff2a000a001400f6fffeffdeff3c00f2ffe0fff0fff8fff8ffceff2a00,0a00f8ff2000e4ffeeff0000d2ffe2ff160006000600f4ff12000200d0ff0000,0800eaff2400f6ff2600e6ff2a000a00905aa8f4aab616292c315abc48ece656,fcff1e003c000c00f2fff2ff200010004a002a00eeff2a00f4ff04002200f2ff
3,3,0,f4ff1600dcff2a00240024003e00feffc2ff1c00220002002a00e8ffeeffceff,c6ffe8ff0000100000001000f2fff2fff4ffe4ff06000600220012002000f0ff,38002800f6ffe6ff060036000a00eaff04cfee42c01494a9c60a4861bed64e9d,fcfffcff0c00faffe2ff0400000010003a002a00eeffdeff0400040012000200
4,4,0,260016000a00ecffe6fff6ff0e00fefff2ffd2ff1200f0fff8ff1a000a00ceff,f8fff8ffe4ffc2ff000010006000f2ffe4ff26001600d4ff02001200d0ff1000,daff18005c006c00c6ffc6ff0a00faff5af5429ee6283e6310bd30a566566049,fcff1e000c002c0004000400000000001a00ecfffefffefff4ff0400f2ff1200
5,5,0,06000600ecfffcffd6fff6ff1e001e003c00f2fff0ff1200f8ffd8ff2a002a00,0a000a00200020000000eeff5000c2ff1600c4ffe4ffd4ffe0ff0200f0ff1000,2800eaffd8fff6ff26002600fafffaff6e42c05a20aa1ab658613432cc9c0aeb,fcfffcffdaffeaff14000400f0fff0ff2a002a00eeff0c001400f4ff02000200
6,6,0,0600e4ff3a00fcff140004000e00eefff2ffd2ff0200f0ff0a00d8ffceff2a00,f8ff0a00d4ff20001000eeffd2ffd2fff4ff060006002600e0ffe0fff0ffd0ff,1800180014001400f6fff6ff1a00daff629e44ce5e63e014daa4560a0a4a3ed7,0e00fcff0c00faff240024000000e0ff3a003a001c00feff0400040002000200
7,7,0,06000600ecff0a00040014001e00eefff2fff2ff020002002a00f8ffeeffdeff,0a000a00d4ff200000000000e2ffd2ffe4ff0600e4fff4fff0ff0200f0ff0000,1800eafff6ff14002600e6ffeaff5c00e05a14f6eab55428743230beeaea2656,ecff1e00faff1c00f2ff0400000010000a002a00feff0c00040004000200e2ff
8,8,0,160026000a000a00140024001e000e004c00f2ff12003400f8ff1a00eeff3a00,f8fff8ffe4ff2000bcffeeff4000d2ffe4ffe4fff4ff1600f0ffe0ff0000f0ff,faff0800f6ffe6ff0600f6ffeaff1a0088cd5e42aa1550aac209486120d8fc9c,fcff1e00fafffaff24002400f0ff10001a001a002a000c0004000400e2fff2ff
9,9,0,060006001a00ecffd6ffe6ffeeff0e00f2ff1c0044001200f8ffc6ffeeff2a00,0a000a00f4ffd4ffdeff00006000f2fff4ff0600160006000200c0fff0ff1000,dafffaff5c001400c6ff06000a00faffb4f6329ef4274e6340beaaa426567a4a,fcffecff2c000c00240004001000f0ff3a003a000c002a0014000400d2ff0200
10,10,0,e4ff16001a003a001400e6ffeefffeffe2ff3c003400e0ff1a00f8ff9eff3a00,e8ff0a002000200000000000b2ffc2ff06001600060006001200020000000000,18001800e6ffe6ff360016000a000a006e41905b90aa3ab508614633dc9ca0e9,fcfffcffeaffeaff24000400100010001a003a00defffeff1400e4ff12000200
11,11,0,0600f4ffecff0a00140014000e001e00c2ff3c00f0fff0ff0a00f8ffeeffbeff,1a00e8ffb2ff1000deffceffd2ff30000600f4ff06000600f0ff320000002000,0800faff1400f6ffd6ff0600eaffdaff929ef8cc5e63ba165aa40608ea4a00d9,1e000e001c000c0004000400f0ff00004a002a000c00fefff4ff040012000200
12,12,0,06000600ecff0a0004001400defffefff2fff2fff0ff3400f8ff0a00deff3a00,0a00f8ff10003200eeffeeffe2ffd2ff0600160006000600f0ffe0fff0fff0ff,28000800e6ff14001600f6ff2a002a000a5cb0f780b44a26b63336bf50e99655,fcff0e00daff1c001400e2fff0ff10001a003a000c002a00e4fff4ff1200f2ff
13,13,0,06000600ecff1a00040014000e00feff2c003c00f0ff0200f8fff8ff2a003a00,0a000a002000c2ffeeff1000d2ff0200e4ffe4fff4ff060002002200f0ff0000,eaff1800f6ffe6ff36001600eafffaffa8cc2e41681734ab2608d8609ad9ac9c,fcff0e00eaffeaff240004000000f0ffecffecffeeffeeff040004000200f2ff
14,14,0,e4ff1600dcff0a001400e6ff1e000e00b2ff3c00e0ffcefff8ffe8ffeeffeeff,1a00f8ff10001000eeffdefff2ffc2ff1600f4ff0600f4ff020002001000f0ff,1800fafff6fff6fff6ff26001a001a0050f8129fca256e6376bf0aa40655a84b,fcfffcff1c00eaffb0ffe2ff3000f0ff3a003a00feff0c00f4ff2400e2fff2ff
15,15,0,1600f4ff0a00ecff0400e6ff2e003e003c003c00ceff0200f8ffe8ffeeffceff,0a000a0000001000000000005000f2ff1600f4ff060006000200f0fff0ff3000,380048001400e6ff1600f6ffdaff1a0018401a5cb4ab0eb4e8602c35ac9c46e8,0e00fcffeafffaff360024000000f0ff3a00ecffeeff1c00f4ff140012001200
16,16,0,060026002a002a000400d6ffeeff0e003c003c00e0ff1200e8ffe8ffbeffeeff,e8ff1a0010002000eeffdeffa2ff4000f4ff06000600e4ff0200f0ffd0ff2000,aaff18006c00f6ff060026000a00eaffe29e8ecb3e63d8179aa39607084cfad9,fcffdaff1c00faff040004000000e0ff1a002a002a00feff040004000200f2ff
17,17,0,f4ff0600fcfffcff0400f6ffeeffeeffd2ffd2ff120034000a001a00deffceff,0a001a001000320020000000c2ff5000f4fff4ff0600f4ff12001200f0ff0000,2800eaffe6fff6ff2600f6fffaff2a006a5c70f89eb34a25a63426c0e6e71655,0e00dafffafffaff0400f2ff300000002a001a00feff0c000400f4fff2ffd2ff
18,18,0,f4ff06000a00fcff140014001e000e003c00f2ff020002003c003c00eeffdeff,0a00f8ffd4ff100010000000f2fff2ff0600e4ff06002600f0ffe0ffd0ff1000,faff4800e6ffe6ff06000600daffdafffecab83f5818a4ab30069c60b6da7c9c,fcff30000c00faff04002400e0ffe0ff3a001a00feff1c00f4ffe4ff12001200
19,19,0,e4fff4ffecfffcff040004001e001e00e2ff3c00f0ffe0ff0a002a004a00eeff,0a00e8ffd4ffb2ffdeffdeffe2ffc2ff0600f4fff4ff0600d0ffe0ff00000000,eaffeaff04005c00f6fff6ff1a001a0062fa029f60246e6376c0eaa24454a84c,fcffecff0c000c001400e2ff100010003a003a000c000c00f4fff4ff0200e2ff
