Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,1a000a00ecffecfffcfffcffd8fff8ff3a002a00eaff3c0036001600b0ff1c00,eafffaffd2ffc4fff2fff2ffb6001e001e00fcffeafffaffe8ffe8ff0c00fcff,eeb942a564598649fc9b2ad09a644a12d4ffe4ff00000000100020001400f4ff,040004002400f2ff1c00daff2000e0ff0c003a000e0000000e00fcfff2ff1200
1,1,0,1a00f8ffccffdcffecfffcff180008002a003a00eaffcaffe4ffe4ff1c00f0ff,eaff1c005400e2ff040004000e006600ecfffcfffaffeafff8ff1a00a4fffcff,d463cc301c9ba2edc25b48f33ab6ba2bf4fff4ffeeff42001000ceffe4ff0400,f2ff04000400f2ff0c00faffe0ff0000deffdeff0000f0ff2e000e001200f2ff
2,2,0,f8ff0a000c00ecffdeffdeff0800e8ff0a002a000c000c00f4ff0600b0ff0c00,1c00eaffe2ff2600e2ff04000e00fefffcffecff0c001c00f8ffe8fffcff2c00,82a4200de649a4d42acf0446fa121aa90200d4ffeeffbcffeeff30001400e4ff,f2ff14000400f2fffafffaff000000002c00ceff000000001e00ecff1200f2ff
3,3,0,0a00f8ff0c00ecffecffecfff8fff8ffe0ffd0ffcaff0c000600f4ff2c00d0ff,0c000c00d2fff2ff0400040066000600fcfffcffd8ffeaff0a00f8fffcff0c00,dc318ebae2ec245948f34c9c8a2baa64d4ffd4ff10001000eeffdeffd4ff2400,f2ff040004001400faffdaff00000000feffdeff0e000000acff0e0002000200
4,4,0,e8ffe8ffecffdcffdeffecff0800e8ff1a002a001c001c0016000600e0ff2c00,1c002c0044000000f2fff2fffeffeeff0e00ecfffafffafff8fff8fffcfffcff,620cb46374d50c9b2445e25b1aa9aab5f4fff4ff000010000000eeffe4ffe4ff,0400040004001400faffdaff0000f0ff1c00deff0e000000fcfffcff1200e2ff
5,5,0,1a00e8ff1c00ecfffcffecff1800f8ff2a000a003c00faffd4ffd4ff0c002c00,fafffaffc4ffe2fff2fff2fffefffeff1e00dcffd8ff0c00e8fff8ffdcfffcff,ceba52a4b458964a3c9c9acefa64ca13d4ffc4ff5200deff000010001400a4ff,f2ff040004000400fafffaff000000002c00defff0ff0000ecff1e0012000200
6,6,0,f8fff8fffcffecffdeffdeffb8ff0800d0ffc0fffafffaff0600e4ff2c000c00,faffeafff2fff2ffe2ff0400feff1e001e001e00faffd8ff1a000a00ecff1c00,84632c32bc9af2eb425c68f4fab48a2af4fff4ffeeffeeff1000000004001400,04000400140014000c00faff00002000eeffdefff0ffe0fffcff0e00f2ffd2ff
7,7,0,0a00e8fffcffdcffceffdeff080008002a00c0fffafffaffe4ffe4fff0ffd0ff,faffeaff26002600d2ffe2ff0e001e00fcfffcffeaff0c00e8fff8ff0c00fcff,22a4a20b264b24d61ace44442a141aa9e4fff4ffeeffeeff30001000e4ffe4ff,f2ff0400f2ff0400faff0c002000f0ffdeffcefff0fff0ffecfffcff12000200
8,8,0,f8ffd8ff1c00ecfffcffecfff8ffe8ffc0ff2a001c00eafff4ffe4ff1c00d0ff,eaffeaff360026000400f2fff6ff1e000e001e00d8ffeafff8ffe8fffcff1c00,1c338ebb02ebf45748f53c9c7a290a65d4ffd4ffeeff5200000010000400f4ff,f2ff040004000400faff0c00200020002c00eeff0000f0ff1e00fcff02000200
9,9,0,d8ffe8ffecfffcff28001a00c8ffe8ffd0ff2a00eaff1c000600e4ff1c00d0ff,0c00faff260036000400f2fffefffeff1e000e00eaff0c00f8ff1a001c000c00,320b3463e4d6ac9af443f25c1aa98ab4f4ff3200000000002000eeff04001400,04000400040004000c000c00f0ff2000ceffc0fff0ff0e000e00ecff02000200
10,10,0,1a000a00ecffecff0a00fcff1800f8ffe0ffd0ffeafffafff4ff0600d0ffb0ff,eafffaff26001600f2ffd2fff6fff6fffcff0e00faff1c00f8fff8ff1c001c00,febbe2a3a457e44bcc9c7acd3a655a1568ff0200100010000000ceff0400b4ff,d0fff2ff1400f2ff0c001c00f0ff0000b0ffeefff0ff0e000e000e00f2fff2ff
11,11,0,1a00f8ff0c00ecfffcff0a00f8ff1800e0ffd0ff0c00faffe4ffe4ff2c00d0ff,eaff0c00e2ffd2fff2ff04000e00fefffcff1e000c00faff0a00f8ffecffa4ff,3463ca33bc9ae2e9025d98f6cab31a29f4fff4ffdeff10001000000024001400,04000400040004000c00faff20001000deffeeff0e000e000e00ecff02000200
12,12,0,e8fff8ff1c000c00fcffceffd8ffe8ff1a003a000c00daffe4ff2600f0ff1c00,fafffaff2600d2ff0400f2ff0e00fefffcfffcffeaff0c00d8ff0a001c00fcff,c2a3620a144c34d7caccc4432a161aa9d4ff12000000deff10001000d4ffc4ff,140014000400f2ffeaffeaff30002000eeffceff1e0000000e000e00f2ff1200
13,13,0,e8ffd8ffecffecffdeffecff080018002a002a002c00eaff060006000c001c00,fafffaff4400d2ff0400f2fffeffdeff0e000e00eafffaff1a00e8ffccfffcff,3a34bebc62e9645758f6cc9cfa271a65d4ffd4ff200020000000000024000400,f2fff2ff140014000c00faff00001000deffceff1e001e00fcff2e00f2fff2ff
14,14,0,e8fff8ffdcffdcffecffecffd8ff08003a00c0ffdafffaff06002600e0ff1c00,faff0c00e2ff2600f2ff040006000e00ecfffcff1c000c000a00f8ffdcffdcff,52095463e4d76c9a3443325d1aa98ab3f4ff1200eeffdeff300010000400f4ff,e2fff2ff040004000c000c0020001000deffeeffe0ff0000ecff0e0032001200
15,15,0,0a000a00ecfffcffecffecffe8ffe8ffe0ffe0ffeaffdaff16001600f0ffe0ff,0c001c003600d2ff1400f2fffeffdeff1e000e00eafffaff1a000a002c002c00,1ebd62a30457e44ccc9c0acb4a65fa16e4ffd4ff10000000eeff10001400e4ff,0400f2ff14001400faff2c0000000000eeffceff0e00f0ffdcfffcff12001200
16,16,0,1a00c6ff0c00ecffdeffc0ff0800e8ffe0ffe0ff3c000c00f4ffe4ff4c00d0ff,faffeaffd2ff360004000400eefffeffecff1e00fafffaff0a002c00fcfffcff,94620a357c9ae2e8a25db8f6fab2da27f4ff1200eeff1000deffdefff4ff0400,e2ff0400040014000c00daff1000f0ffceffceff1e001e00fcff0e0022000200
