Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,04002400eeffeeff2800eaff10001000caff1200080018002c000a00eeff1e00,eeffeeff2e00c6ff060006000800e8ff320012005400e2ff0800c6ff0200f2ff,881f92b2f400e0a322e30e9d9ec8f2a258003600b00004001e00ccff5600c6ff,f6ff1800f8ffe8fff0ffe0fff8ffe8ffbeff0a000e000e00faff1c001c00ecff
1,1,0,2400e2ff0000000008002800000000003000220018000800f8fff8fffeffeeff,eeff00000400e6ff160016000800080002002200d2ff1400e6ff180032007200,061cd6609237fc5c5a4f6450845bd839b2ff2600d2ff2400fcff3e00f6ff3600,08000800f8ff0a0002002200c8ff28001a0038000e000e00eafffafffcff0c00
2,2,0,f2ff240000000000080018000000f0ffd8ffd8ffeafffafff8fff8ff1e001e00,000000001e00e6fff4ff0600f8fff8ff1200c0ff0400e2ffd6ffe6ffd2fff2ff,42b2ecb0d0a334c60e9d3ee082a33efe2600d4ff0400d2ffbcffccffd6ffb6ff,f6ff08000a00f8ff12001200e8ffe8ffbeff1a000e001e00faffeaff0c00ecff
3,3,0,f2ff0400eeff1000faffeaff0000d0ff22002200eaffeaff1a001a00feff2e00,200010002e00e6ff2600f4ff0800080012003200140014003800280022002200,f6600e1e785cb400c65066e1a839ecc7f4ff5800f2ff34003e002e0046003600,0800e6ff0a000a0012000200180008001a00deff000000001c000c001c00ecff
4,4,0,e2ff140010002000eaff2800000000002200220008001800d8ff1a00fefffeff,00000000e6ff1e00e4ff1600e8ffe8ffe0ffe0ffe2ff0400e6fff6ff0200f2ff,d8b1641deec63e39e2e0484ffefe145cd4ffd4ffd2ffd2ff9affecffc6ffe6ff,f6fff6fff8fff8fff0ff1200e8ffd8ffdeffceff1e000000fafffaffecff0c00
5,5,0,0400f2ff20001000daffeaff2000f0ffcaff2200dcffeaff1a000a000e00feff,eeff1000e6ffe6ffe4ffe4ffe8fff8ff120002002400e2ff0800e6ff0200e2ff,0e1e08b2e6ff60a33ee2fe9c4cc792a38a003600340014001e00bcff4600b6ff,0800f6ff2a00f8ff02002200e8ffe8ff1a001a001e000e00eaffeafffcffecff
6,6,0,2400140000002000faffeaff10000000d8ff220018000800f8ff0a00eeff1e00,000000000400f6ff0600e4ff18002800f0ff1200f2ff240008002800f2ff0200,6e1e1661de38685cbc4f8650145c6839d4ff2600f2ff3400ccff1e0016004600,d6fff6fff8ffe8ff44001200e8ff2800beff1a001e000e00faff0c000c001c00
7,7,0,2400040000000000eaffeaffe0ff200022001200faff08000a000a00eeff0e00,eeff0000e6ff1e00e4ffe4ff3800e8ff1200c0fff2ff0400c6ffd6ffd2fff2ff,d8b1c8b170a30ec71e9d3ee2a2a34eff2600d4ff1400d2fffcffaaffb6ffa6ff,f6ff0800f8ff0a00f0fff0ff38000800deff1a002e00f0fffafffafffcffecff
8,8,0,040004000000100018002800f0fff0ff22001200eaff18001a002c00eeff1e00,200010002e00f6ff060006002800f8ff12004200240014001800080052000200,1661ae1d285c36ff2450dce1b838fcc616007a00240054003e001e0016001600,18000800e8fff8ff02000200f8ff2800deffdeff0e002e00faff1c00fcfffcff
9,9,0,f2ff240000001000eaff180010000000d8ffcaff1800eaff0a001a001e00feff,000010000400d6ffe4ff2600f8ff0800d0ff1200d2ff0400c6ff080012001200,08b2ae1e0ec89e39c0e208514000345c0600d4ffd2ff04008affccffb6ff0600,f6fff6ffe8ff1a0012000200e8fff8ff1a00ecff00000000fafffaffecffecff
10,10,0,e2ff14000000200028002800f0ff1000d8ffd8ff66fffaff0a00f8ff2e001e00,00000000f6ffd6ff1600e4ff0800f8ff320002003400f2ff1800c6ff2200d2ff,441cccb04cfe40a3a0e0fe9cacc612a4480026004400f2ff3e00fcff2600c6ff,180008001a00f8ff0200d0ffd8ffe8ff0a001a000e000e00faff0c00fcfffcff
11,11,0,140054001000eeffeaffeafff0fff0ff2200bafffafffaff0a000a000e001e00,00000000e6ff1e00e4ff0600e8ffe8fff0ff3200f2ff240008004a0042004200,1e1fd660503af85bf850f84e545c8637d4ff3600f2ff2400ecff6000f6ff4600,f6ff0800d8ff0a0012000200f8fff8ffdeffceff00002e00daffeafffcff1c00
12,12,0,f2ff0400000010001800eaff00002000d8ff020008003600e8fff8ff1e00eeff,20000000e6ffe6fff4fff4ffc8fff8ff1200c0ff0400b2ffb4ffb4fff2ffd2ff,acb058b200a3eac8ee9c0ce2f2a310010600f4ff2400d2ffccffaaffd6ffe6ff,f6ffe6fff8ffe8fff0fff0ffd8fff8ffceff1a002e000e00faff0c00fcfffcff
13,13,0,f2ff04000000defffafffaff000000004000d8ff180018000a002c00deff2e00,20003200f6ff1e00060006000800080042004200040024000800280012000200,0661a61ba85bbcfd844ebadef6361cc626004800900064005000500066004600,08000800e8ff1a0002001200f8ff080028001a00f0ff00000c00faff0c00fcff
14,14,0,240014001000defffaffeafff0fff0ffcaff12002600fafff8ff0a001e00feff,deffeeffe6ff2e00e4ff1600e8ff0800d0ff0200a2ff1400f6ffe6ffd2ff0200,a4b32a205ac97c3bfee3f8505202945cf4ff1600e2ffd2ffbcffdcffd6ffe6ff,18001800e8ff0a00f0ff0200e8ffc8ff28002800f0ff00000c00faff0c00dcff
15,15,0,1400140000000000eaffeaff00002000d8ffd8fffafffaff2c000a00feff2e00,000000001e00d6ff06000600e8fff8ff420012002400f2ff0800c6fff2ffd2ff,141b1cb02cfdd0a2fcde0e9daac482a4360006007400f2ff1e00ccff1600c6ff,f6ff1800f8fff8ff12000200f8ffe8ff2800deff0000f0ff0c00fafffcfffcff
16,16,0,1400040010002000faff1800f0ff10002200e8fffaff66ff1a002c00feffceff,deffdefff6ffe6fff4fff4ff18002800e0ff2200f2ff34000800280012002200,9a2052618c3b785bac51b64ef85cd63664ff0600d2ff5400ecff2e00f6ff5600,d6fff6ffe8ff0a00f0ff4400f8fff8ffdeff1a000e000000bafffaff0c001c00
17,17,0,0400140000000000faffeaffe0fff0ff220002000800faffe8ff1a00defffeff,2000deffe6fff6ff0600060008000800f0ffb0ff0400f2ffc6ffb4ffa2ffa2ff,ccaf94b3b0a29ac9ee9c86e5c2a4d2020600f4ff1400d2ffaaffaaff1600c6ff,0800f6fff8ff0a00f0fff0ffe8ffd8ff0a001a00e0ff00000c000c000c00fcff
18,18,0,240014001000eeff1800faff0000000012002200eaff0800d8fff8ffceffdeff,00001000e6fff6ff1600f4ff0800e8ff02003200240034002800080042001200,d660f419fc5ab8fbba4d8ade9835fac3480036003400a0006000600046004600,08000800f8ff0a001200e0ff2800e8ff1a00deff00001e000c00faff1c000c00
