Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,040004001400f2ff08001800eaffeaff000020002a001a001a00e8ff0c000c00,a4ff96ff18001800020012000c001c0012001200700062004a014a0110001000,0a00f8ffe0ff12001400f2ffe0ff00006c8dc671e260c8dbf20050b82e9ece77,aef09ef03c004c0004011601560056001af73af75e005e00aa049a0432003200
1,1,0,140004002400f2ffeaffeafffafffaff2000200074ff0a001a000a001c00dcff,96ffa4ff0800fafff4ffe4fffcff0c00f0fff0ff800080005a013a0100000000,c8ff0a001200e0fff2fff2fff0ff000008ffd6474261fc87048e8246be24ae25,9ef0aef03c002c0016013601660076001af71af75e005e009a049a0422001200
2,2,0,e6ffe6fff2fff2ff1800fafffafffaff10000000ecffecfff8ff1a00fcff2c00,a4ff96ff080008002000f4ffecff0c0002000200520062004a015a01e0ff0000,f8ff4a003200c0fff2ff360010002000c6711eba58db76daf0b87e72ae77ee9e,aef0aef04c002c002601260176006600cef60cf78c006e00bc049a0432004200
3,3,0,f6ffd6ffe2ffd2ff280018001a000a00000000000a001a00f8ff1a00fcffecff,b4ffb4ff0800faff020012000c00fcff12001200620062002a015a011000d0ff,3a00e8fff0ff0200d0ff14004000c0ff36470c8e0c881261c246b0ff2e258e9e,9ef09ef02c002c0004013601660036001af7bef640005e00bc049a0432000200
4,4,0,e6ffe6ff2400f2fffafffaffeafffaff20000000fcff1a001a002a000c00ecff,96ffa4ff1800faff020012000c00fcff0200f0ff700062004a012a010000f0ff,1a00d8ffc0ff2200040024004000c0ff4cb95a0098dbc260ee71148e5e9e9e25,cef09ef03c004c0048011601560056001af70cf76e006e0088049a0432002200
5,5,0,e6fff6ff04001400faff0800caffeaff000000000a00fcffe8ff1a000c00fcff,86ff96ff0800c2ff02000200ecfffcff12000200620070002a014a010000f0ff,d8ffd8ffe0ffe0ff2400c0ffd0ff10002c8e3672826186d910ff90ba5e9fbe77,bef09ef03c003c001601e400660066001af71af7400050009a04880412001200
6,6,0,040014000400f2ffeaff0800eaffeaff200010001a00ecff1a001a001c000c00,b4ff96ff0800080002000200fcffecff02001200800070004a013a0100001000,f8ff2a001200f0ff3600f2ffc0ff20000a016445b2603c88e48db2460e260e24,bef0cef02c002c001601360146005600def6cef67e006e009a049a0412001200
7,7,0,e6fff6fff2fff2fffaffeafffaff0a00b0ff1000ecff1a00f8ff1a000c001c00,b4ffb4ff1800d2ff0200f4ffecff6a00f0fff0ff620062004a014a0110001000,d8ff3a000200c0ffe2ff04001000000086724cb876d948dcd0ba4e71ce771e9e,9ef0bef04c001c00f4003601560046001af73af76e005000bc04bc0452003200
8,8,0,1400040004000400eaff0800eafffaff000020000a00ecff2a001a00ecfffcff,b4ff96ff0800180012001200ecffecff12000200800062001a014a0110000000,1a00d8ffe0fff0fff2ff46002000c0ff94445c8e0c88f2610248d0fe2e237e9f,bef0aef02c004c0026012601760066002af70cf76e008c00aa04880412000200
9,9,0,0400e6ff04001400faff18000a00eaff000020000a001a002a00f8ffecff1c00,96ff86ff2600d2ff020012007a001c00f0fff0ff520070005a014a01f0ffe0ff,f8ffc8ffc0ff9200040004004000d0ff3cb75a0208ddf25f5e71248dbe9d0e27,9ef09ef03c003c0016011601960066001af70cf76e006e009a049a0432004200
10,10,0,04001400040004001800eafffaff0a00000000002a000a00e8ff1a000c00fcff,a4ff96ff18002600f4ff0200fcfffcff1200f0ff700070003a013a01f0ff1000,d8ff0a00020012003600e2ffd0ff30008c8ea672d26286d870fd90bb3ea0be77,9ef09ef02c005c001601160156004600cef6fcf67e005e00aa04bc0432003200
11,11,0,f6ffe6fff2ffd2ff38000800faffeaff20001000ecff0a000a000a001c001c00,96ff96ff08000800e4ffe4ff0c00fcff12000200620052003a014a0110000000,a6ff3a001200f0fff2ffb0ffd0ff5000da020444425f0c88548d9449de272e22,8cf0aef04c001c0026010401460046000cf72af76e0040008804bc0432004200
12,12,0,1400f6ff04002400080028002a00eaff000000000a00ecff3a00e8ffdcff1c00,b4ff86ff2600d2ff02000200ccff0c0012001200700052004a015a01f0ff0000,1a003a001200c0ffe2ffe2ff10000000d672acb6a6d7f8dd60bc6e717e778e9d,aef09ef06c003c0016014801660066002af70cf78c0040008804cc0432004200
13,13,0,0400e6fff2ff04001800eaff1a00eaff200010000a000a00f8ff0a002c000c00,a4ff96ffe0ffd2fff4ffe4fffcffecff0200e0ff520062004a014a010000e0ff,4a0096ffd0ff0200f2ff14004000c0ffb4430c8f0c881263a449e0fb4e214ea1,9ef09ef04c003c0004013601760056002af72af76e007e00cc049a0432001200
14,14,0,e6ff04000400040008000800eafffaff10001000ecff1a000a00e8ff1c000c00,96ff96ff08000800e4ff02000c000c00f0ffe0ff620062003a012a0100000000,0a00c8ff02001200360014001000d0ff9cb5fa03e8de925e7e70f48c9e9c5e29,bef09ef02c005c0026013601660056000cf73af75e005e00bc04bc0422002200
15,15,0,f6ff1400e2ff040018001800faff0a0020002000fcff64fff8ff1a001c001c00,a4ff86ffe0ff080002000200fcff2c0012001200620052004a013a01f0ff1000,e8ff0a00020012001400d0ffe0ff1000ac8f3673f263c6d650fbf0bd8ea1be77,aef09ef02c004c002601f40086007600bef61af77e005e00aa049a0402003200
16,16,0,240024000400040018000800faff1a0000003000dcff0a001a000a00dcff0c00,96ffa4ff08000800120002000c00fcfff0fff0ff620052003a014a010000f0ff,d8ff3a001200e0fff2ffe2fff0ff10004c05b442025e1c88d48c044abe293e20,7cf0aef04c003c00f400f400560046000cf72af76e006e009a04aa0432003200
