Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,00000000eeffeeff180008000a000a003000e0fff2fff2fff2ff14001e003e00,f4ff06001c000c00ecff0e0020001000fcffccffeeffeeff1800e6fff8ffa0ff,24001400f4ff06001800f6ff1c001c001e000e0002006600d8ffd8ff04000400,2a005a0030006200360026003a000a00945fa8083e5456eaa04028cd922612b6
1,1,0,eeff400020002000ccffeaffdafffafffcff1e001000f2ffd2ffe2ffe4ff0e00,f4fff4ff0c000c00fcfffcff10002000dcfffcffeeffeeffe6ffe6ffc8ffe8ff,e2ff1400f4fff4ff1800f6ff0c00dcfffcff1e00f0fff0ffd8fff8fff4ff1400,b8ffd8ffa8ffecffc6ff0600caff1a0038bce02ed0d50a4794f25858a211c260
2,2,0,10001000eeff2000ccff18001a00eaff0e0030007efff2ff14001400d4ff2e00,e4fff4ff0c000c00ecff0e00c0fff0fffcffccffceffceffd6fff6fff8ffd8ff,f2ffe2ff8600f4ff080018000c000c000e00fcfff0ff0200d8ffc8ff24000400,3a000a004000fcff2600f6ff1a00aaff9010d4a80af2dc9faad438a0a2bb92a9
3,3,0,deff100020002000eaffdaff1a002a000e003000f2ff000014001400feff2e00,e4fff4ffa8ff0c00ecfffcfff0fff0fffcffdcffeeffeeffe6ffd6fff8ffe8ff,14000400f4fff4ff18001800ecff2c000e00fcff1200f0ff0a00e8ff1400f4ff,b8ff2a00dcff5000f6ff2600eaff3a009827c460a8412058b6549246c25f922d
4,4,0,1000deff00001000fafffafffaff1a001e00fcff1000e2ff14001400c4ffd4ff,060006001c00d8ff0e001e00f0ff0000fcffecffeeffdefff6ffe6ffa0ffc8ff,660024000600f4ffd6fff6ffecffecff1e001e0012000200f8ffe8ff2400c4ff,2a00b8ffecffa8ffd6ff96ffaaffeaffc8acb2b65ca10ccff69ec2eb92a6420a
5,5,0,deff100030002000eaffccffdaff0a00ceffceff10000000f2ff1400e4ffd4ff,e4fff4ff1c002c00ecffecffe0fff0ffecffecff1000eeffe6ffd6ff90fff8ff,f2ff0400360006001800f6ffdcff1c00ecff4000120022000a00c8ffe4ff2400,0a004a0050004000460036003a00faff6661e817e25aecf8344bccdb123462c1
6,6,0,1000ceff00000000080036001a00daff3000e0ff0000100014001400e4ff2e00,1600f4ffc8ffd8ff0e001e000000e0ffccffccffdeff000008000800d8fff8ff,24000400d4ff060028001800dcff0c00ecffccfff0ff0200f8fff8ff0400f4ff,a8ffa8ffa8ffdcffb6ff06009afffaff1eb2d2205ac8163c30e47651c202025e
7,7,0,000010003000deffdafffaffeaff1a00300030001e00e2ffe2fff2ff0e002e00,06000600e8ffe8ffdcfffcffd0ff1000dcffecff2000ceffe6ffd6ffd8ff0800,24003400f4ffd4ff0800f6ffdcff0c00fcff0e000200e0ff1a00e8ff04000400,3a00f8ff4000ecff2600f6ff3a00caff301fccb04000cca3aee2b69ec2c602a4
8,8,0,2000eeffdeff00003600eaffeaffeaffbeff1e009cfff2ffe2fff2ffd4ffa4ff,f4ffe4fffeff0c00fcfffcffd0fff0ffdcffccffeeff2000e6fff6ffe8ffd8ff,c2ffe2ff060026002800d6ffdcff0c000e00fcfff0ff2200e8fff8ff1400f4ff,98ff3a00ecff4000c6ff36001a002a00ba1996611436925dc44c944fb25b023a
9,9,0,00004000eeff2000eaffeaffdaffeaffceff1e0000000000f2ff040094ff2e00,060006002c00c8ffecffecfff0ff0000ccffbcffdeffdeffe6fff6ff0800d8ff,e2fff2ff06000600f6ffd6ff0c000c00fcff0e000200f0ffe8fff8ff14000400,f8ffc8fffcff98ffe6ff96ffbaffcaff70b518addea528c3e69e3cdde2a1f2fa
