Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0c0f8491b2e61a8d54c1629728a3e6aeb8ff1200e2ff0000deff1000e4fff4ff,020002002200e6ff12000200360076001000200052005200e0fff0ff8200a200,e8fff8ff1e001e00d8ff1a00e0ff00000800daff0000300008002800f0ff0000,dc36d93619371a37e536e136143710378b3668361e371e370f370e37df36e336
1,1,0,f412ae726c392e6b6458fe55826c6c352200c8ff1000f2ff0000100014001400,020022002200e6ff1200120086003600000020004200620002000200a200b200,160006001e000e001a001a000000e0ff0800caffdeffeeff1800f6fff0ffe0ff,da36dc361c371c37e636e236113712378c36653620371e370f370f37e336e136
2,2,0,66cc90925eab9aa5129650c4428dccea02001200e2fff2ff100010002400f4ff,1200f0ff2200d6fff0ff02005600460020001000520032000200020032009200,f8ffd8ffcaffecff2a00f8ff000000000800faff0000deff0800e6ffe0ff1000,d936da361a371a37e436e436123712378b368b361f371f370d370d37e236e336
3,3,0,9a4fbc5db667fc403e72721cce6e16f302001200f2ffd2ff10003000e4ffe4ff,02000200c4ff22000200e0ff460056000000200042004200f0ff120032009200,0600e8ff1e00ecffe8fff8ff0000e0ff0800faff00001000f6ff080010000000,da36d9361d371a37e636e536103714378b368b361f371e370e370c37e236e236
4,4,0,569bc8b9448ee2dd508f90059c9ede2d2200120010001000100030003400a8ff,2200f0ffe6ffe6ff0200f0ff560056004200000052004200f0ff020092008200,0600f8ffecfffcfff8ff0a0010001000faff080010001000f6ff080010001000,d936da361c371c37e536e636133710378a368c3620371e370d370e37e336e336
5,5,0,3270b0282672cc00366508d93c4b64b5b8ff12002000e2ffeeff20003400e4ff,02001200e6ff2200020012004600660010002000520042000200020032006200,0600e8fffcff2e00e8ff2a0000002000eaff0800200010000800f6ff10000000,db36da361c371b37e536e436153712378b368b3620371f370d370f37e236e236
6,6,0,7c8d8af88498142148af4e458ed1f460c8ffc8ff1000e2ff3000400014001400,120002002200e6ff220012004600660010000000520032000200120082008200,e8ffe8ff0e002e000a00e8ff000000000800080000000000d6ff1800e0fff0ff,db36da361c371b37e436e4361137123767368b36203720370e370e37e336e336
7,7,0,4e6a3ae594543ec0383518a3de0d1e91c8ff22001000300000000000d4ff0400,f0ff0200e6ff2200220022005600560020001000420042001200020062008200,d8ff0600fcffecfff8ff1a00e0ff00002800faff10000000f6ffd6fff0ff0000,db36db361b371c37e336e536143712378a368b361f3720370e370d37e336e336
8,8,0,84a67c3ad4c5da5804eb886c8c14d87202001200000000000000eeff0400e4ff,0200f0ff2200d6ff0200f0ff760056001000eeff42003200f0ff020062008200,f8ff3600ecffcaff1a00f8ff000000000800faff0000eeff0800f6ffc0ff1000,db36da361b371c37e436e536123713378b366736203721370e370f37e336e336
9,9,0,10404cabbe1b92956af3ac8c84cb3e93c8fff4ff0000e2ff10002000f4ffe4ff,02000200e6ffd6ff120002002600560000000000520042001200f0ff72008200,e8fff8ffecfffcff0a00f8ff10002000faff2800eeff2000f6ff18000000e0ff,dc36db361b371c37e136e3361237123766368c361d371f370d370e37e236e336
10,10,0,bcdec2675206c472b62de86e8650185d22002200e2ff0000100010003400f4ff,0200f0ffe6ff4400020012004600660020002000720072001200f0ff92009200,f8fff8fffcfffcff0a000a00000000001800faff0000eeff080028002000e0ff,d936db361a371c37e436e336143714378b368d3620371f370e370d37e336e336
11,11,0,bcff1c8e54d8528fbab5769ee29a9abac8ff120000001000000030005400f4ff,f0ff0200f6fff6ff22000200660086001000eeff52006200f0ff020082008200,0600e8ffdcff1e00f8fff8ff000000001800280010001000280018000000f0ff,da36d9361b371a37e236e536113713378b368b36213721370f370d37e336e236
12,12,0,3022ae71f244a464c860924b9e704827b8ff12000000100030002000f4fff4ff,120022002200440032003200460076000000000042002200120012008200b200,f8ff0600fcffecff2a000a0000000000fafffaff10002000d6ff180020002000,da36db361c371b37e236e1361037123767368a3621371e370f370e37e336e236
13,13,0,5ebf7498f8a2b0af589106d1a28d2afa1200c8ff1000100000003000f4ffe4ff,120002002200e6ff120022007600560032001000720032001200f0ff92007200,1600e8ff1e00ecffe8ff1a001000f0ff080008001000000018000800e0fff0ff,da36db361c371c37e436e436123714378a368d361d3720370e370f37e336e336
14,14,0,e2592e54346d4e34ac72240ef669f6e3220012003000f2ffeeff300004001400,0200f0ffe6ffe6ff220002006600460010001000620052000200020082008200,0600e8ffecffecff1a002a000000f0ff0800480000003000180028002000f0ff,da36dc361c371b37e436e43614371337673666361f371e370d370f37e336df36
15,15,0,08953ac6ca8c46ec42932e1472a7723b1200b8fff2ff30000000000024000400,12000200d6ff080022003200260036001000200032006200020012008200a200,f8ff2600fcfffcff1a00f8ff0000e0ff480008002000000018001800c0ff2000,d936da361b371d37e336e436133714378b368b361f3720370d370d37e336e336
16,16,0,6e72c419ee6efaf1525d2acbec3e1eaac8ffb8fff2ffe2ff200020000400a8ff,02000200f6ffe6fff0ff02006600660000001000420052000200220082005200,e8ffc8fffcfffcffe8ffe8ff100000000800faff0000eeff18001800f0ff1000,da36da361b371c37e636e436133712378a368a361e3720370e370d37e336e136
17,17,0,f88f3608309f322e8cba28500ce06a68120012001000e2ff200020001400d4ff,02001200340044001200f0ff4600860000002000520062000200e0ff92007200,260006002e00fcff0a001a002000f0ff080018000000eeffe6ff080000000000,d836da361b371b37e336e436113712378b368c3622371f370f370f37e336e236
18,18,0,aa63cad6c64970b4c427449b24fe2e8e2200b8fff2ff10001000100034002400,1200320022001200440002005600560000000000320032001200020062008200,f8fff8ffecffdcff2a000a00000010000800280010001000f6ff08003000e0ff,dd36da361c371a37e336e336123712378c366636213720370e370e37e336e136
19,19,0,5cb11a475ad2ae610afa707068234e712200b8ff0000f2ff20002000e4ff0400,02001200e6ff1200320002006600560000002000420032002200020082008200,1600e8ffdcfffcffe8ffe8ff00002000fafffaff1000eeff18004a001000f0ff,da36dc361c371b37e436e436143715378c368b361d371f370d370d37e336e336
20,20,0,9c3282a1000c909058e43c8d04be3899120002000000f2ff00002000f4ffd4ff,02000200e6ffe6fff0ff02006600560000001000520072000200320082007200,f8ff0600fcffecff3a002a00f0ff10000800daff1000eeffe6fff6ff2000f0ff,dc36da361b371c37e436e436123711378c368b361e371f370c370d37e336e336
21,21,0,d2ed866d701524737a3b286aea5a365312001200d2fff2ff000020000400d4ff,f0ff2200e6ffd6ff220044007600760032002000420052000200220072009200,e8ff1600ecfffcff2a00f8fff0fff0fffaff2800000000001800080020000000,da36dc361c371c37e536e4361237153766368b361f3722370e370f37e036e336
22,22,0,eeef2c8df0c97893acaa6aa78c94bac72200120000002000eeff2000e4ff2400,0200f0ff2200220032001200660066001000100082003200f0ff120092006200,0600f8ffecfffcff0a001a00000010001800eaff1000eeff28001800e0ff1000,dc36da361b371d37e536e636123711378b368c36213721370e370e37e236e136
23,23,0,b030066ea6503e5c6c681a3fb8728818120012000000f2ff1000100014001400,02000200f6ffd6ff120012006600660000003200420052002200020082007200,f8ffe8fffcfffcff1a002a000000f0ff1800faff2000200008001800f0fff0ff,db36dc361b371c37e136e136143712378b3666361e371f370f370d37e336e236
24,24,0,f8b236a09e9abcbbca8d94df3e906a09b8ff02002000e2ff1000000024001400,0200f0ff340022001200320076008600deff000042004200f0ffe0ff62008200,f8ff16000e00ecff2a00e8ff00001000eaff0800eeff100018000800f0ff0000,dc36db361b371d37e236e4361237143766368c361b371f370e370e37e436e336
25,25,0,ae6206490a716a267c71acfef0622cd51200020000003000eeff200014000400,12000200d6ff22001200020066004600eeff2000320032000200120082006200,c8ff16000e00fcff1a001a0020000000faff28000000100008000800d0ffe0ff,da36db361c371937e436e336123714378b368b361f371f3710370e37e336e236
