Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,fa4402657261344abe6fba299671ac000a00bcffdcfffcff34002400d8ffd8ff,1c00faff1400f2ff0c00faffeefffefffaff0c00faff0c000e000e001a00eaff,eafffafffcffdcfff6ff0800feffeeffdcff1e000000eeff040004000a00faff,dc36d9361c371c37e336e536113711378d368c361d3720370e371137e436e436
1,1,0,02a3a6af30910ad2428d52f75098f4201a001a00fcff58ff24001400c8ff1800,fafffaff0400f2fffaffeafffefffeffeaff0c000c000c000e000e00eafffaff,faff0c001e00fcfff6ff0800eeff3e00fcff1e00eeffeeff0400f2fffafffaff,da36db361b371c37e136df36103710378c368d361e371f3711370e37e336e336
2,2,0,b26cfe34c072820cae6ac2e6bc54fcbf2a001a00ecfffcffe2ff040018001800,1c00faff0400f2fffaff0c000e00ceff0c00d8fffaffeaff0e000e000a001a00,1c000c00fcff0e001800f6ffdeff3e001e001e000000000004000400caff0a00,da36da361a371937e336e336113711378c368c3620371d370e371137e336e336
3,3,0,628d32eb7a93a61422a6c838b2c508590a001a000a00dcff24000400d8ff2800,faff0c00040004002c00fafffeff0e00faff1c000c001c00fcfffcffdaffeaff,3c00eaffecfffcffe6ff0800fefffeffecfffcffdeffdeff2400e2ffeaffdaff,da36dc361a371c37e336e3360f3710378d368e361f371d3711370f37e036e236
4,4,0,de6e5af3525c80caec40ccabca1a94951a00f8fffcffecff0400f2ffd8ff1800,1c000c00f2fff2fffafffaff6c000e000c001c000c000c0030001e000a000a00,faff1c001e000e000800e6ffeeff2e000e000e0020001000f2fff2ffeaffeaff,d836db361a371c37e436e336103714378d368c361e371d3710370e37e336e236
5,5,0,cc9e722d5ebb3a502cddd266e20650720a001a00ecff0a00e2fff2ff08000800,faff0c00140014000c00faffeefffefffaff0c001c001c001e00fcffdaff1a00,1c000c00ecffecffe6ff1800eeffeeff0e00ecff00000000140004000a00eaff,db36da361c371c37e436e1360f370e378d368b361e37203710371137e436e336
6,6,0,9e4ba6b53a271e9bec00d88ec0d7968f0a00f8ffdcfffcfff2ff14000800e8ff,2e001c000400e2ff1c000c00fefffefffafffaffeaff0c000e000e00caff0a00,faff1c00ecfffcfff6fff6ff2e003e00fcfffcff000000002400f2ff0a00faff,da36db361a371a37e136e2360f3712378d368d361e371d370f370f37e336e236
7,7,0,62d1c060befabe70d42088712a4616641a000a00fcfffcfff2fff2ff18001800,faff0c0014002400dafffafffefffeff0c000c000c000c000e00fcffeafffaff,0c00faffecff0e002800f6ffeefffeff0e000e00ceffdeffe2ff0400eaff0a00,db36d9361a371b37e436e4361037113767368c361f371d3710371037e536e236
8,8,0,0a0eaa91b8e3d48d8cc0409820a27eb01a001a00cefffcffd2ff1400d8ffe8ff,0c000c00f2ff24000c000c00eeffeefffafffafffafffafffcfffcfffaff0a00,0c000c00ecfffcff0800f6ffeeff2e000e00ecffdeffcefff2ffe2ffeaff0a00,dc36dc361a371c37e436e436103711378b368d361c371d370e370f37e336e336
9,9,0,0a147a72ca3b046aa058c854fa6c86331a00f8fffcffecffd2ffc2ffe8ffe8ff,faffeaff140004000c000c00eeffeefffaffd8fffafffaffecff0e00fafffaff,0c001c00dcffdcff0800f6ff1e002e003e000e00100010002400f2fffaffeaff,da36d9361d371b37e536e236103710378c368e361c371b370f370d37e336e236
10,10,0,62cb4693c0a9d6a7da9528c51a8db2ecf8ff1a00fcffdcfff2ff14000800e8ff,1c00faffc8fff2fffaff1c00eefffeffeaff0c001c00fafffcfffcfffaffdaff,1c001c00fcfffcff2800f6ffeeff2e000e000e001000eeff2400f2ff0a00faff,dd36db361c371b37e136e1360f3710378d368c361e371c370f370f37e336e236
11,11,0,2650385db868243e18720c1b366e5ef10a000a00fcffecff14001400e8fff8ff,0c000c00040004001c00fafffeffeefffafffaffeaff0c001e00ecffeaffeaff,2c000c00fcfffcff08001800eeff3e002e000e0010001000f2ff0400eaffcaff,dc36db361c371e37e436e236123710378d368c361d371e3710371137e236e336
