Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,1a976e3f186bd6964abc706a76027ebcb2ff32000400f6ffd0ff1400a8fff8ff,100010001c000c000800f6ff1600e6ff1800180014001400f6ff1800f2fff2ff,e2ff0400f4fff4fff6ff28000000f0ff1800f6ff0e00fcff1a002a000e002e00,1c00faffdcffecffeeff3000eaff0a000600e8fffafffaffeeff100006000600
1,1,0,e0bbf06a12035cbcc03e3a03de96723f1200c2ff040032001400e2ffc8ffc8ff,00000000faff0c0018002800d6ffe6ffe6fff6ff140014000800f6ff1200d2ff,e2ff1400e4ff0600d6ffe6fff0fff0ff18001800fcffdcfff8ff0a001e001e00,0c00faffcaffecff000000000a00fafff8ffe8ffeaffeaffeeff0000f6ffe6ff
2,2,0,ce3ee602e696303fc06ad896c0bbfa6a4400c2fff6ff14002600040008000800,1000eefffaff0c00180018000600e6ff0800080024001400f6fff6fff2fff2ff,1400f2ff0600f4ffe6ff1800200020000800f6ff0e00fcff1a001a003e00eeff,fafffaffecfffcff200000000a001a00060026000800eaff0000eefff6ff1600
3,3,0,f06a3a9738bc766b1a03f8ba923ef6021200c2ff32001400040014000800e8ff,00000000faffeaff08000800160006000800280014001400e6fff6fff2ff0200,1400f2fff4ff06000800e6ff3000f0fff6ffd6fffcfffcfff8fff8ffeeff0e00,0c00eaffcaffecff100010001a000a00f8fff8ff1800faff100000000600e6ff
4,4,0,e20388bb543ef2034897a03e5a6bfe96c2ff1200420090ffaeff360008000800,1000eefffaff1c00f6ff3a0016000600f6ffd6ff1400f2ff0800080012000200,f2fff2ff060006001800f6ffd0ff2000e6fff6ffecffecff0a00f8fffeff1e00,0c000c00caff0e00100000001a000a00f8ff06000800faffeeff100006000600
5,5,0,5a976e3ece6bb49708bb766ba60380bbc2ff220090ff9eff2600260018000800,0000defffaffeaff08001800f6ffe6ff0800d6ff140014000800f6ff12000200,240004000600e4ffd6fff6ff3000000008002800fcffecffe8fff8ff0e000e00,0c00faffecffecff200010001a001a0006001600180038000000000006000600
6,6,0,62ba5c6b9804b0ba803d1a046e97323eb2ff1200f6ff14000400d0ffd8ff0800,eeffdeff1c00acff180008001600160018001800140014000800e6fff2fff2ff,e2ff1400e4fff4fff6ffd6fff0ff200018000800ecffecffe8ffe8fffeff0e00,faff1c00fcffecffdeff30001a00faffe8fff8ff0800faffdeff1000f6fff6ff
7,7,0,223dee04b497343d966bf09780ba8a6b2200b2fff6ff22001400aeff2800f8ff,eeffeeffeaffeaff180008001600f6ff28000800f2ffe2ffe6fff6ff12000200,440004001600f4ffe6ffe6fff0ffe0ff18002800ecfffcff1a002a00feffeeff,0c001c00ecfffcff000010001a002a00e8fff8ff0800080000000000e6fff6ff
8,8,0,9c6b9a9722bace6bca04d8ba263dd4041200a2ff14000400d0ff0400f8ff1800,eeffeeffeafffaff0800080006001600c6ff1800f2fff2ff1800d6ff0200d2ff,f2ff1400e4fff4ff1800d6ff20003000180018000e000e002a00f8ff1e00feff,0c000c00ecfffcff100000002a00fafff8ff1600eaff1800eeffdefff6ffe6ff
9,9,0,3e0542ba6a3cd0051098ae3ce86bae97c2fff0ff14000400d0ff14001800d8ff,000020002e00cefff6ff18003600e6fff6ff2800f2fff2fff6fff6fff2ff2200,2400f2fff4fff4ff08002800f0ffd0ff28001800fcffecfff8ff0a001e00eeff,0c00faff0e00fcff200000000a00faffd8fff8fffaffeaff00000000f6fff6ff
10,10,0,fa97923c0e6c1498e8b9a66bb005c6b9120054001400140004000400e8ff4800,eeff10000c000c002800f6ffd6fff6ff0800f6ff14001400e6ffd6ff22000200,0400d2ff16001600d6ffe6ff20002000f6ff08000e00fcff1a00f8ff0e000e00,1c00eaffecfffcffeeff1000faffdaff0600e8ff2800faff1000eefff6fff6ff
11,11,0,62b9ec6b5006b2b92e3cfa063e98663c3200120090ff14001400040008001800,00000000fafffafff6ff0800f6ff0600f6ff380004000400f6fff6ffd2fff2ff,140014000600160008000800f0fff0ff1800d6ffecffecff3a000a00eeff0e00,0c001c00fcffecff100010000a00eafff8ffe8fffaffeaff00000000f6ffd6ff
12,12,0,663bfe057498ba3bf66b209846b9186c3200120080ff50000400c0ff28002800,10001000eaff0c00f6ff08000600060008001800140014001800f6fff2ff0200,e2ff14000600f4ff0800e6ff2000200028000800fcffdcff0a000a00eeff1e00,faffeaffecff0e0010001000eaff0a00f8ffd8ff0800faff00001000f6fff6ff
13,13,0,0c6c2a9806b94e6cda067eb8883bb0063200b2ff04001400e2ff14003800d8ff,0000eefffaff0c000800f6ff26001600f6ff0800f2fff2fff6fff6ff0200e2ff,f2ffd2ff06000600e6ff180010001000e6ffe6ffecff1e002a00f8fffeff0e00,faff0c00ecff1e001000eeff0a00eaff1600f8ff080008000000100006000600
14,14,0,9a07e2b8e83acc07a0988e3b386c7e98a2ff120022000400e2ff260018000800,0000eeff1c000c00f6ff0800f6ff160008001800f2ff0400f6fff6ffc2ff0200,4400e2ff360006002800180010003000e6ff18001e001e000a00d8ff1e003e00,eafffafffcffecff200000001a000a0016000600fafffaff0000eeffd6fff6ff
15,15,0,8a98663b8e6cb4986eb8666c500766b8220044001400e6fff2ff2600e8fff8ff,100000000c000c00180018000600060008001800f2ff04000800f6ffe2ffe2ff,e2ff1400360016000800f6fff0fff0fff6fff6ff0e00fcff0a001a00feff2e00,faffeafffcfffcff100010001a00faff1600f8ff0800faff0000eefff6ffe6ff
16,16,0,06b82c6c0c08f8b7d83a5a07ee98183b120022000400f6ff2600e2ffd8ff2800,eeffeeff0c000c003a001800f6ff1600f6ff0800140014000800f6fff2ffd2ff,f2ff0400f4fff4ff2800080010003000f6fff6ffdcff0e00d8fff8ff0e00feff,eafffaffecfffcff000010001a000a0006001600faff08000000000006000600
