Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,dcfffcffe0ffe0ff0400e6ff140004001c000c00d0fff0ffdafffafffaffdaff,2600f6ffe2ff3c0032014401ac01dc01ee5bc01fb89d48f53e45b2db2cb51c27,30000000dcffecfff6fff6fff8ff0800faffcafffcfffcff200020000e00feff,c4ffd4ff16021602240004006a005a0016f938f92003fe02820192018a009a00
1,1,0,dcffdcff02000200f6ff1400f4ff04002a00c4fff0ff12001c00faffeaff5600,f6ff1600f2fff2ff64017401dc019c01f4a8d012603a38c844cf103e4cfb1c9a,f2ff1000ecfffcff0400e6ffe8ffe8ffdaff1800dafffcff0000deff1e00feff,b4ffb4ff06024402140024006a003a0028f906f90e033003a001ce01aa009a00
2,2,0,ecff2e000200e0ffe6ff040004000400c4ffc4ff120012003e002c005600faff,1600e6ffe2ff2c0044012201cc01bc01e02044b146f4ba5592db90926c264c52,1000e2fffcfffcfff6ffd6fff8ff1800faff0800fcffecff00000000feff1e00,d4ffa4ff24024402040024004a004a0006f928f90e033003b001b0018a00aa00
3,3,0,fcffecffe0ffe0fff6fff6fff4ff14001c001c00e0fff0fffafffaffeafffaff,06001600d2fff2ff860164019c019c0110120e5ce8c8889da03d7e457c9a7cb4,1000d2ffecfffcff14000400e8fff8ff18002800fcffdaff000020000e00eeff,d4ffb4ff34022402440004003a005a0016f928f90e03fe02a0018201aa00aa00
4,4,0,ecff0e000200e0fff6ffe6fff4ffd4ff1c00b4ff120022004e00faffeaff4600,f6ffe6ff3c002c0054016401dc01dc01e4b134a87a55303b909234ce5c524cfc,00002000fcff78000400f6ff280008001800faffecfffcff1000deff0e00feff,b4ffa4ff24022402f2ff24004a004a0016f906f9400330039201a001aa009a00
5,5,0,fcffecffc0ff0200f6fff6ff24000400b4ff2a00f0ff3200eafffafffaffeaff,36000600c2ff0c0064015401bc01bc010e5c4021489de6f34e4682dc9cb3bc25,30000000bcff1a000400040028002800eafffaffecff0e00100020000e001e00,b4ffc4ff24023402440034003a006a0006f938f90e033003c001a0019a006a00
6,6,0,fcffccffc0fff0ffe6fff6ff040024003a00b4ff02004200fafffaffeaffaaff,26001600e2ffc2ff54018601ac019c01e4a71011d03be8c9f4cd003d2cfdac9a,d2ff0000ecffdcfff6ff3400f8ffe8ff08002800daffecff200000000e00feff,c4ffa4ff34023402340004003a004a0028f9f6f80e033003b00192019a00aa00
7,7,0,fcff2e00f0ffe0ffe6ffd6ff0400f4ff1c00c4ff52003200faff0c00eaff5600,2600f6ffe2ff2c0044014401f4019c01002264b2c6f2285552ddb0920c259c52,e2ff20000a0068000400140028001800eaff1800fcffecff20003000eefffeff,92ffa4ff34023402040004003a006a0006f9f6f8fe020e039201a001ba007a00
8,8,0,fcff0e0002001200e6fff6fff4ff04001c001c00f0ff1200eafffaff0a00caff,16003600d2ffd2ff740164019c01e401a010ee5b98ca189da03cde460c9becb2,20002000fcffecff24001400f8fff8ff28000800ecff1e0010002000eeff1e00,b4ffc4ff24023402040034006a004a0016f938f9fe020e038201b001aa009a00
9,9,0,ecfffcffe0ff0200e6ffc6ff1400f4ff1c00b4ff22002200fafffaff0a00faff,d6ffd6ff1c00e2ff320144012a02cc0104b384a7d854e03bb09264cdbc52acfd,000000006800ecffb6ff04001800080018000800daffecff30001000eefffeff,c4ffb4ff24023402140034004a002a0016f906f920032003a001c001aa00aa00
10,10,0,0e001e00e0fff0ff0400f6ff240004000c001c00f0ff22000c00eaffeaffbaff,16001600a2ff0c0086014401cc01bc01de5be022f89cc6f11e47a2deacb29c24,20001000ecffdcff240004000800280018001800ecff3000eeff00000e002e00,c4ffb4ff24020602340034004a007a0016f938f920033003a0019201aa009a00
11,11,0,dcfffcff1200e0fff6ffe6ff3400b4ffb4ff2a0022003200faff1c00cafffaff,d6ff2600f2ffc2ff74016401bc019c0144a7e00fe03ce8ca74cc603c4cfe5c9b,00001000fcffecfff6ff1400f8fff8ffeafffaffdaff0e00eeff00000e001e00,d4ffb4ff34022402240024004a003a0038f906f90e03fe02a001a0018a00aa00
12,12,0,0e00ecffe0ffe0ffe6fff6ff14000400e2ffc4ff22002200faffdafffaffdaff,f6ff06002c002c0032012201bc01cc01402354b366f15854b2deb0921c24bc52,20002000fcff0a00e6ff14002800f8fffaffeafffcffecff10001000ceff0e00,c4ffd4ff34023402140034003a004a0016f938f9fe022003a00192019a009a00
13,13,0,ecff1e00020002000400f6fff4ff0400d4ffe2ff32003200eaff0c000a00faff,06002600e2ffd2ff64017401cc01bc01200f9e5bc8cb989ca03b1e478c9b3cb2,10000000ecfffcff2400f6ffe8ff0800faff0800fcff0e003000eeff0e00ceff,a4ffb4ff24022402340034003a004a0028f938f90e03fe02b00192019a008a00
14,14,0,fcffecffe0ff1200e6ffe6ffe4ff0400b4ffd4ff120012000c001c00daff1a00,e6fff6ff3c002c0032018601bc01cc01e4b3b4a63854b03de09294cbec522cff,f2ff0000fcfffcff0400f6ff0800f8ffeaff28001e00ecff00001000eeff0e00,b4ffb4ff44020602040044003a005a0016f916f9200320039201b0019a007a00
15,15,0,fcffacff02000200f6fff6ff1400f4ff2a00c4fff0ff0200fafffaffcafffaff,1600f6ffd2ff0c0054012201bc01cc01ce5b2024f89c56f0ae4772df7cb12c23,30001000ecff1a001400e6ffe8ff1800faff08000e000e0020000000aeffeeff,c4ffb4ff24023402240024006a003a0016f916f9fe020e03b001b0018a009a00
16,16,0,fcffecffe0ffe0ffd6fff6ffe4ffc4ffc4ffb4ff020012000c000c000a000a00,e6fff6ffe2ff1c00440154013a029c0134a6700e103e08cc04cbc03abcfffc9b,00001000ecff0a00f6fff6fff8fff8ff180008000e00fcff100010000e00ceff,d4ffc4ff24022402340014004a002a0028f928f90e030e03b0019201aa009a00
17,17,0,dcffecffe0ffe0ffe6ffd6ff0400f4ffd4ffd4ff22001200fafffaffeafffaff,0600f6ff0c002c00320132019c01cc01902424b4a6eff853c2dff0923c22fc52,e2ff0000ecfffcff1400e6ff1800f8ff1800eaff0e00ecffbcff00000e00feff,d4ffc4ff34022402140034004a006a0016f938f9fe020e03b001b001aa009a00
18,18,0,fcffdcffe0fff0ff14000400f4ffe4ff1c00d4ff22001200fafffaff0a00faff,36001600c2ffd2ff960164018c01bc01d00dce5b5acd289cc03a4e482c9c1cb1,20000000fcfffcff040004000800f8ff180018000e000e00eeff2000eeff0e00,b4ffb4ff24022402440014003a002a007af938f930033003b001b0018a008a00
19,19,0,ecffdcffe0ff02000400f6ffe4fff4ffc4ffc4ff2200f0ffeafffafffaff0a00,0600f6ff1c00f2ff44016401f401ac01a4b4d4a5a853803ef09286ca2c535c00,f2ff00006800ecffe6ffe6ff28000800eafffaff0e000e00deff00001e000e00,b4ffb4ff34021602f2ff04003a006a0016f9e6f820030e03a00192018a009a00
20,20,0,ecffecffe0ffd0ff04000400f4fff4ff2a00d4ff0200f0ffeaffeaff5600eaff,16000600c2ff1c00860132018c01e4019e5b4025489cc4eebe4870e15cb00c22,100000001a00ecfff6fff6fff8ff18001800cafffcfffcffdeff1000defffeff,c4ffb4ff34023402240024004a004a0028f916f930032003a001a0019a006a00
21,21,0,dcffecffe0ff1200d6ff0400f4fff4ff2a00b4ff020052000c001c00faffdaff,060006001c00e2ff32015401ac01ac01a4a5600c523fbacde6c9603a7c01ac9c,e2ffe2ffecffecfff6ff2400f8fff8fffaffeaffecffecff30001000feffeeff,c4ffb4ff44022402440034002a003a0016f928f90e030e039201a001ba009a00
22,22,0,fcff2e000200e0ff0400d6fff4ff04000c00b4fff0ff12001c00eaff0a00eaff,0600f6ff1c002c0064014401cc013a025026b4b564ee5853d0e120931c215c53,0000c2ff0a002a00f6fff6ff0800080028001800ecff0e001000eeffeeff0e00,b4ffb4ff44023402040034006a004a0016f916f920030e03b001a0019a00aa00
23,23,0,ecffdcff1200020014001400140004001c001c00f0ff22000c001c00caffeaff,16002600d2ff0c00540154019c01ac01d00b6e5bbace289c7039ce48fc9c1cb0,20003000ecffccff240004000800f8ff28002800cafffcff00002000eeffeeff,d4ffc4ff44023402f2ff24004a006a0028f906f920032003a001a0019a008a00
24,24,0,ecffecff1200c0ffb6ffd6ff140004001c00c4ff2200f0ffdafffaff4600eaff,f6ff06002c002c0044014401bc01cc01a4b534a5d852b23f109396c86c536c02,00000000fcff2a00f6ffd6fff8ff1800280008000e000e0000002000deffeeff,a4ffb4ff34021602240024006a006a0038f916f940030e03a001b0018a00aa00
25,25,0,ecfffcff0200e0ffe6ffe6ff14000400d4ffb4ff1200e0ff0c00faff36003600,36001600d2ff1c0064015401bc01bc015e5bc026c89b54ed0e4950e2acaf8c20,0000e2fffcffecff1400f6ff08000800daffdaff0e000e00200010000e00feff,c4ffb4ff24022402140024004a004a008af928f940032003a001a0018a009a00
26,26,0,fcffecffe0ff0200d6ff1400c4fff4ffd4ff1c00120032001c001c000a00caff,06001600f2ffd2ff44018601bc018c01d4a4700bf23f6acf66c8a038ec022c9d,0000f2ff1a00fcff04000400f8fff8ff18000800ecfffcff000000000e00feff,b4ffc4ff44021602440024006a003a0016f906f90e03fe029201a0018a00aa00
27,27,0,fcfffcffe0ffe0ff040014002400f4ffd4ffd4fff0ff3200dafffaffdafffaff,0600e6ff0c002c0044014401e4010402a02754b6b4ecc85240e34093ec1f8c53,1000c2fffcfffcfff6fff6ff28002800eaff0800daffcaff000030000e001e00,b4ffb4ff34021602140034002a004a0016f916f930030e03a00192018a007a00
28,28,0,dcff0e00e0fff0ff04000400f4ffe4fffeff1c00220012000c000c00caffeaff,f6ff2600d2ffd2ff640154019c01bc01900a5e5bbacfb89b9038de498c9dfcae,30000000ccffdcffe6ff04000800f8ff0800eaffdaffdaff300010000e000e00,c4ffa4ff34024402240024006a003a0038f916f940030e03a001c0019a006a00
29,29,0,ccffecfff0ff0200040004000400e4ffc4ffd4ff12002200faffeaffdaff0a00,e6ff06002c00f2ff320154015a02bc01c4b684a45852c2406093e6c7ec535c03,d2ff20001a00fcff1400f6ff2800f8ffdafffafffcffecff0000eefffeff0e00,b4ffc4ff24025402240024004a004a0016f97af920032003b001a001aa009a00
30,30,0,fcffecff120002000400040004000400c4ff2a0002002200dafffafffaffdaff,36000600d2ff1c0086015401ac01dc012e5b3028889bf4ebee49c0e44caecc1e,1000f2fffcff1a002400e6ffe8ff3800faffeaff0e00fcff0000eefffeff0e00,b4ffb4ff24024402240044004a004a0006f916f92003fe02a001a0019a008a00
31,31,0,fcfffcffc0ff0200e6fff6ffe4fff4ffc4ffc4ff0200f0ff0c000c004600daff,d6ff16002c00d2ff64017401cc01bc0124a4900952417ad0f6c62038cc04bc9d,10004e001a00ecff14001400e8ff08003800eafffcff0e0010002000eefffeff,a4ffb4ff16023402240024006a003a0006f928f9fe020e03b001b0019a009a00
