Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,00000000fcfffcff1600f8ff2e000e001200f4fff2ff000000001000deff0e00,faff0c00f4fff4ff06000600feff0e003426ee6df8464a60f060a446966e8622,e236e236d636d736e836e736af36ad360e370e3720371f37de36de361e371d37,140004001e000e00eaffdaff22002200feffdeffe0fff0ff0c001c00daff0a00
1,1,0,000020000e00fcffe8ff06002e000e00caffbaffe2fff2ff000010002e002e00,0c001c00060026000600e4ff0e00eeffa4bc0c9da4a286b4949268d6869016fe,e036e136d736d736e736e836ad36af360f370e371e372037e136e13620372037,04001400fcfffcff1800eafff2ff12000c001c00f0ffe0ff0c000c000a000a00
2,2,0,eeff1000fcff0e00d8ff06001e00eeff2200caff1000f2ff0000eeffdeff1e00,faff1c0006001600f4fff4ff0e00eeffa45ab84e8a6bd82fee6f7209f865b8e0,e136e036d836d836e836ea36ab36d2360b370e3721372037e036e2361c371e37,1400e2ffecff0e000800eaffe2ff2200feffeefff0ffe0ffecff1c00faff1a00
3,3,0,eeff00000e00fcfff8fff8ffeeff0e0012000200e2ff000030001000feff2e00,fafffaff26002600f4ff0600feff2e00be953eccb48ff6ef2697ee1758ac583d,e136e136d936d736e836e836af36af3610370f371f372037e136e1361e371d37,f2ff0400fcffecff2800dafff2ffd2ffeefffeffe0ffe0fffcfffcfffafffaff
4,4,0,eeffeefffcffdcfff8ffe8ffeefffeff22000200c2fff2ffeeff00000e00eeff,fafffaffe4fff4fff4fff4fffefffeffde6f6814ea6a86ee74582cc9183ac8a9,e336df36d836d536e636e836af36ae360c370c3720372037e236df361d371a37,0400f2fffcffecff08000800120002000c00feff0000e0ff0c000c000a00eaff
5,5,0,00001000dcff1e00e8ffe8ffeeffeefff4ff220000002000000010002e001e00,eaffeaff0600f4fff4ff0600fefffeffc0932c0da4a358319ebf6451a8e48867,e036e336d736d736e736e836af36ad360d370b371e372037e036e2361c371f37,f2ff1400fcff0e00eafffaff02000200b0ff0c000e000000dcff0c001a000a00
6,6,0,200000000e00fcffe8fff8ffeefffefff4ff2200d2ff100010001000deff2e00,faff0c0006002600060026000e00eeffd25eccd2c84596b3ac22869b48fa2890,e036df36d736d836ea36e736ac36d2360e3709371e372037df36e5361e371d37,14000400ecffecff0800faff02000200eeff3a0000000e000c00ecff1a00faff
7,7,0,2000eefffcff0e00acffe8fffeff0e0012002200f2fff2ff000000000e001e00,0c00faffe4ff260016001600feffdeffe4b65a4936d75a6164fec06e9826e86d,e136e136d636d836e936e936af36af360b370e3720371e37df36e2361d371f37,04000400fcff0e00eaffeafff2ff0200eefffeff000000001c000c002a000a00
8,8,0,eeff2000ecfffcfff8fff8ffeeffeeff300022001000b2ff000000003e000e00,eaff0c00f4fff4fff4fff4fffefffeff022ddca07808949298e0c69048bc589d,e036e236d936d536e836e736d336ad360e370c371d372137e236e2361e371b37,040014000e000e00dafffafff2ff0200defffefff0fff0fffcff0c000a000a00
9,9,0,2000eeff0e00fcfff8fff8ff0e001e001200caff0000c2ff000000002e000e00,0c00fafff4ffe4ff1600f4ff1e00deff22f37e6ce818ea6f883de065f85a884e,e336e236d836d936e936e736ae36af3610370c371f371e37e136e23620371d37,e2ff14000e00dcfffaff1800d2ff0200fefffeff0e000000ecfffcfffaff1a00
10,10,0,eeff0000fcff0e00e8fff8fffefffeff1200f4ff1000000030001000feffeeff,faffeaff060006000600f4ffeeffeeffd4ebe08f36c8749782a922ac989568cc,e436e136d636d636e836e636ae36b0360f370f371e371e37e036df361f371f37,f2ff0400dcffecff1800eaffe2fff2ff0c00eeff0e000e001c00fcffeafffaff
11,11,0,deffdefffcffdcffd8ff16000e002e002200120010001000eeff00000e000e00,faffeafff4ff0600060006000e000e000034106a08521a58b067183a28703814,e336e336d836d736e636e836ae36d3360e370e3722372137e236e0361d371d37,f2fff2fffcfffcffeaff0800f2ff0200feff1c0000000e000c00ecff0a00eaff
12,12,0,000000000e00fcffbaffd8ff1e000e00020012001000100010001000feffdeff,2c00eaff0600160016001600fefffefff6b05aa5f49a46c02890c8e4b893480d,e336e336d836d636e736e836d236ae360c370f371f372037e036e6361d371f37,f2ff1400ecff1e000800eafff2ff1200eeff1c001e000e00fcffecff0a000a00
13,13,0,deff10000e001e00e8fff8ffeeffdeff12002200f2fff2ff1000eeff0e000e00,0c00eaff06000600e4ff2600fefffeffd2627a43fa6ed821d06d34fa985e78d2,e236e336d936d736e736e636ae36ad360d370d371d372137df36e2361b372037,04001400fcffecffeaff08000200e2ff2a00b0ff0e002e000c00fcfffafffaff
14,14,0,00001000fcff1e00f8ff06002e000e00220022001000e2ffeeff20001e000e00,0c000c001600060016001600fefffeffb0911adaf49036ff649d9c2658b79849,e836e236d836d936e836e736af36d2360d370e371f372137e336e33621371f37,0400f2fffcffecff18000800120022000c00eeff000000002c00fcff0a00faff
15,15,0,0000eefffcfffcfff8ffd8fffeff1e00220012003000f2ff1000eeff0e003e00,faff1c002600060006000600deff0e007e6f6e058a65d6df844e30bca82ca8a0,e136e136d936d736e636e636af36af360a370b3721371f37e136df361e371f37,f2ff1400dcfffcff08000800d2ff4200feffeeff0000f0fffcffecffeafffaff
16,16,0,1000eeff0e00fcff1600e8ff0e003e00caff0200f2ff000030000000feff0e00,daff1c00160006000600f4fffeffceff7e98061cc6ac483e5cccf25a98f3686c,e036e136d736d636e936e836ae36af360c370a371f372137e036df361f371d37,f2ff04000e00fcff0800eaff12000200feff1c000e0000002c000c00daff1a00
17,17,0,20000000fcfffcffe8ff0600fefffeff12000200c2ff1000100000000e000e00,daffdaff0600f4ff3800e4ff0e000e00e655c0c5483934a90014b69518eba88f,e336e336d736d736eb36ea36af36af360e370c3720372137e036e3361e371f37,f2ff04000e000e00faff08000200f2ff1c000c00f0ff0000fcffecfffaff0a00
