Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,c2ff16001200f2ff2200e4ff1c00fcffe0ff380010001000100000001e00eeff,dcff0e001c000c001c00eaffceffeeff2ec8e8608c6722a9a4bf4005cae5d850,e4ff32001e00000030000000100010000a00eaffe0ffe0ffecff0e00beff0e00,e6fff6fff0ff120018002800e6fff6fffcfffcfff4fff4ff06000600f2ffe2ff
1,1,0,0600f4ff1200f2fff4ffd4ff1c001c003800e0ff10001000eeff0000feffdeff,fcff40001c00eeffdaff0c00deffbeff444272f9321aaaafbe9f206446575cda,220042006600000000000000f0ff62000a002a00e0ffe0ffdcfffcff0e000e00,f6ffd6ff120012000800f6fff6fff6ff0a00fcff1200f4ff0600e6ff22001200
2,2,0,f4fff4fff2ff02000200c6ff0c00fcff3800c2ff200020003000eeff9effeeff,ecffecff1c00eeff1c000c009600eeff9860fe9b76a8da25000624385850be98,0200e4fff0ffe0ffdeff30002000e0ffeaffeaff0200f0fffcfffcffdeffdeff,d6fff6ff1200020008001800f6ff1600ecffecfff4ffe4fff6ff26001200c2ff
3,3,0,0600f4ffe2ff220012000200fcfffcff4800d0ffeeff400010004200feffceff,3000baffacff1c001c000c00f6ffbeffd2f8bec8faafac6740648ebdb6d932e6,3200c4fff0ff0000000030001000d0ff1a001a0002000200fcfffcfffeffceff,0800e6fff0ff12001800e6fff6ffe6ff38005800f4fff4ffd6ff060022003200
4,4,0,060006001200f2fff4ffd4ff0c00fcff3800480000000000eeffeeffdeff0e00,fcfffcffeeff2a001c00dafffeffe6ffbe9b8442ea260a190437de9fce98fe57,02001200d0ff1e003000eeff100020001a000a00beffe0ff1e00fcff0e00feff,f6ff08002200f0fff6ffd6ff1600260038003800e4fff4ff0600f6ff0200e2ff
5,5,0,c2ff26000200f2fff4fff4ff0c000c00a2ff1a00eeff000000003000deffeeff,ecff30003a000c000c00eaffceff96002ec90860ac67d6a7aebdca0732e7804f,e4ff2200760000000000eeffe0ff52000a001a0002000200dcff0e00eeffceff,c6ff1800e0ff12003800180016000600ecffecff12000200260016000200f2ff
6,6,0,f4ffe4fff2fff2ff02000200fcff3c002a0038000000deff000010001e00eeff,fcff0e002a00eeffeaff0c000e000e00e44202f8ea187ab06ea070642e5846d9,22002200f0fff0ffceff2000200020001a002a001200f0ff0e00fcfffeffbeff,f6fff6fff0ff0200f6ffd6ff2600f6fffcffecff0200e4ff0600f6ff02000200
7,7,0,f4ff06001200f2ff0200f4fffcfffcff38001a001000eeff100010004a000e00,30000e001c009cffb8ff0c00feffdeff1860ce9b86a70a27fa072a36704fce98,220032001e00c2ffeeff0000300010005a000a00e0ffe0ff1e00fcffeefffeff,f6fff6ff02000200f6ff1800f6ff260038000a0002001200f6ff1600f2ff2200
8,8,0,2600f4ff12000200f4ffe4ff1c00dcffe0ffe0ffeeff00001000deffceffceff,1e00ecfffeff3a000c00eaffdeff9eff52f7cec996b18c67d6647ebd26d8c2e7,2200c4ffd0ff86002000000000000000eaffcaff0200f0ff1e00fcff0e001e00,d6fff6ff020002001800080016003600ceffecffe4ff120026001600f2ff0200
9,9,0,0600e4fff2ffe2fff4ff22002c001c00c2ff2a00000010003000deff4a00feff,ecffecff9cff1c001c000c00deff0e004e9b4243ea27ee170a36cea0de987e58,2200f4fff0ffe0ff100020000000f0ff0a00eafff0ff02002e00dcffdeffdeff,180008000200f0ff08001800260016000a00fcfff4ff02001600160002000200
10,10,0,f4ff060012002200220022001c003c00380048003000000000000000feff3a00,fcff1e002a001c00faffc8ff8eff8600c8caa85f5c6766a758bc6a085ae8b04e,020032001e000e00eeff2000f0ff20003a001a000200f0fffcfffcffcefffeff,0800f6ff0200f0ffd6ff0800e6fff6fffcfffcff1200e4ff0600f6fff2ff0200
11,11,0,e4ff0600220012001200f4ffccfffcffc2ff1a000000300000000000eeffceff,dcff30001c001c00eafffaffdefffeff624478f60e1716b2cea01665fe581ed7,020002006600000000003000e0ff0000eaff2a0002000200ecfffcffeeffeeff,080008000200f0ff08001800f6fff6ff4800fcfff4ffd6ff0600f6ff22000200
12,12,0,1600f4ffc2ff0200e4ffe4ff0c00fcff2a00d0ff0000deff00000000eeffdeff,4000ecff2a00baffc8ff3e00a600defffe5e1e9b86a6c6287e097a35404ece98,120002001e00f0ffeeff2000520010000a000a00e0ffaeffecff5000feffeeff,0800e6ff1200020008002800060016003800fcfff4fff4fff6ff06001200f2ff
13,13,0,160016000200e2ffe4ff1200fcff2c00d0ff380030003000000010009effdeff,1e00caff0c000c00eaff0c00eeffbeff58f5aecbc2b26c67f664e4baaed65ae9,0200020000001e00deffdeff200010003a000a00020012000e00fcfffeffeeff,08001800f0fff0ff0800d6ff160026003800ecfff4ff0200f6ff06000200d2ff
14,14,0,f4ff1600020012002200d4ff1c00fcffd0ff2a00eeff100010000000eeffdeff,dcffecffbaff3a006000faffdeffbeffee9a6244a6290e1634343ea10e995e59,d4fff4fff0ff86003000ceff0000e0ff1a001a0002001200ecffecfffeffdeff,0800e6fff0ff02000800f6ff160016003800ceffe4ff020016001600f2ffe2ff
15,15,0,2600d4ffe2ff2200f4ff12000c000c003800e0ff20005000eeff0000beffdeff,caffecff0c000c000c00faffdeff0e009eccde5e6c6716a6f4ba6c0b90ea784d,e4ff12001e00e0ff1000000000001000eaff1a00f0fff0ffecff0e000e00eeff,0800d6ff02001200d6fff6ff1600160058003800e4ff0200d6fff6ff22001200
16,16,0,e4ff16000200f2ffe4ffe4fffcff0c00e0ff380000000000deffeeffaeff5a00,0e0030003a00acffc8ffeaffdeff86005e45a6f48e1502b39ea146659e5986d5,120032006600f0ffceff0000e0ff72000a001a00f0fff0fffcfffcfffeffeeff,e6ff08002200f0fff6ffd6fff6fff6ffecff38001200e4ff0600e6ff02000200
17,17,0,e4ff1600120022002200d4ffdcffdcff1a002a003000100000002000deffeeff,0e00ecff0c000c00faff1c000e00ceff9e5eae9af6a5d22a6c0b0433084d1e99,0200c4fff0ff0000000062001000e0ff0a000a00f0ff0200fcffccffeeffeeff,f6ffc6ff020002000800180006001600ecff48000200e4ff06000600f2ff1200
