Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,eeff2000f8fff8fff0ff0e00faffdaffeaffdcfff0ff12001400f2fff0ff2c00,e6ff0800f8ffd8ff1a000a000000f0ff8cd65cd648530053ce295e29c6ac66ac,0000200044005400fcffdcff0e00eeffeaff18000600f4ff2200f0ff34001400,00000000cefff0ff0200f0ff0a00eaff0400e6fffaffdcff1c000c00f8ff1800
1,1,0,deff0000060006000000f0fffafffaffeaff3200e0ff120004000400f0ffd0ff,e6fff6ffe8ffe8ff0a001a00000020003cd60cd6d0520053cc2a2e2a96acc6ac,f2fff2ff6400fcfffcff0e000e00eefffaff08001600f4ff02000200d4ff0400,1000eeffe0ffe0ff0200f0ffdaffeaff04005000eaffdcff1c000c00f8fff8ff
2,2,0,1000ceff160016000e000e000a001a00ccff500032001200d2fff2ffd0fff0ff,e6fff6ffcaff2a001a000a00100020003cd68cd658535853de296e2966ac46ac,1000f2ffecff44001e000e000e00eeffeaffdafff4fff4ffe0ff0200d4ff0400,000000001200020002003200daff0a0004000400faffeafffaff0c00e8fff8ff
3,3,0,00000000160016001e00f0ff0a001a001400320062ff84fff2ff1400c0ff0000,f6fff6fff8ffcaff1a000a002000f0ffacd6bcd688536853ce29de2916ac36ac,e2ff00000a00dcff0e00fcff2e001e00eafffaff1600f4ffe0ff0200f4fff4ff,1000eefff0ff02000200f0ff2a00eaff04000400aeffdcff0c001c000800f8ff
4,4,0,00000000f8fff8fff0ff0e000a001a00dcff4000120084ffe2ffd2ffd0ffe0ff,e6fff6ff1c003a000a001a00d0ff0000acd6acd6885378533229122926acceab,f2ffe2ff0a00dcffecff0e00feff1e00faffdaff0600e4ff02001200d4ff0400,eeffeefff0ffe0ff120002001a001a000400f6fffaffdcff3c00eaff0800f8ff
5,5,0,00000000e8ff06000e001e00eaff0a0032003200f0ff0200040004000000f0ff,e6ffc6ff1c00d8ff1a00f8fff0ff7800ccd6ccd6a853985312297e2916ac26ac,e2fff2ff0a000a00fcff0e001e001e000800eaff16000600e0ff0200f4ff0400,100010000200020022002200eaffeaffe6ff50002600eaff0c000c000800c8ff
6,6,0,100010002600f8ff0e00f0fffaff0a0032003200f0ff1200f2ffe2ffc0ffe0ff,2800f6ff2a00cafff8fff8ffe0fff0ffd6d71cd7b85398532e29f228f6ab06ac,e2fff2ff74000a000e00fcffeeff0e0026002600f4fff4ffc0ff02001400e4ff,200000000200f0fff0fff0ffeaff1a0040005000eafffaff1c000c00e8fff8ff
7,7,0,00001000060016000000f0ff0a001a00dcff22000200f0ff040004000000f0ff,18000800e8ffcaff3c000a000000f0ffd6d746d7f853d853e22812299eabbeab,f2ffd2ff0a00fcffecffecff1e000e00daff0800f4ff26000200e0ff1400e4ff,1000eeff020002001200e0ffeaff0a00d8ffe6ffccffccff0c001c0018000800
8,8,0,eeffdefff8fff8fff0ff2c002a001a0022003200120072fff2ff1400f0ffe0ff,c6fff6ffe8ff1c00f8ff1a00e0ff0000f6d7e6d748540854022882277eab8eab,0000f2ffecffdcfffcfffcff0e00eefffaff2600f4ffe4ff02001200e4ff1400,0000100002000200120002000a00fafff6ffe6ff0800dcfffaff0c0008000800
9,9,0,000030002600f8ff1e00e0ffeafffaffeaffaeff84ff02000400d2ff0000d0ff,e6fff6ff2a00baff0a001a00e0ffe0ff16d826d81854f8532228c2285eab9eab,f2ff0000fcff1a00ecff0e000e002e00eafffaffe4ff62001200120004000400,1000000012001200020012001a001a00f6ff0400eaff0800fafffafff8ffe8ff
