Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f8ff0800e4ff02001600f8ffeaff1a002c00e4ffdaffeaffe8ff1a00fcff4800,fcfffcff0600f4ffecffecffd2ff0200e613f613c65ab65a14ec84ebfca41ca5,04001400faffdaffe2ff14000800e8ff2e000e00e6ff0400ecff0e00f2ff0200,d8ffe8ff0e00fcff1600f4ffe2ff12000800dafff6fff6ff0e00f0ff06001600
1,1,0,e8ff28001200e4fff8ff0600dafffaffc6ff2c000c000c00f8ff1a00dcff1c00,dcffdcff1600aeff1e00fcffe2ff020066144614e65ac65a44eccaececa40ca5,e6fff6ff0800080024000400e8ff08000e000e00e6ffe6ffecfffcfff2ffc2ff,d8ffd8ff0e00fcffd4fff4fff2fff2ffeaff28001400d6fff0ff0e000600f6ff
2,2,0,e8ffd8ffe4ffe4ff0600f8fffafffaffd6ff2c00faffeaff0a00f8ffdcffdcff,fcff0e00aefff4ffdcfffcfff2fff2ffb6149614c65ac65ad4eb84eb4ca51ca5,040024000800fafff2ff4600080018000e000e000400d6ff1e00fcffd2ffc2ff,1a00e8ffecff1e001600f4ff1200f2ffeafffaff040014001e00000016001600
3,3,0,d8fff8fff4fff4ff260006000a00eaffd6ff2c00eaffeaff0a00e8fffcfffcff,fcffbaff060006000e00fcffe2ff0200f614f614965aa65a14eb54eb4ca53ca5,04000400eaffeaff24002400080008001e002e00e6ffd6fffcffecff0200e2ff,e8fff8ffdcfffcff0600160002003200faffeaff240004000e000000d6fff6ff
4,4,0,e8fff8fff4ff12001600d8ff2a00daff3c003c00daffeaff1a000a00fcffecff,1e00fcff0600f4ff0e000e00f2ffe2ff7815f614965a965a04eb96ea4ca56ca5,d8ff040008000800f2ff24000800e8ff0e001e00f6ff0400dcff1e00d2ff0200,0a00f8ffecffecff060006001200f2ff1800eaff14000400f0ff0e00f6fff6ff
5,5,0,e8ffd8ff1200f4ffe8fff8fffaff0a002c00e4fffaff0c00e8fff8ffecff4800,dcff1e003600f4fffcffecfff2ff0200f6144815865a865ae4eae4ea8ca55ca5,e6ff24000800fafff2ff14000800e8ff0e000e000400f6ff0e00fcffe2ffe2ff,0a00f8fffcfffcff06000600f2ff1200dafffaff140014000e000000e6ffe6ff
6,6,0,d8ffe8ffd6fff4fff8fff8ff0a001a002c00d6ff1c001c000a00e8ff5800ecff,fcffecff06000600fcfffcffe2ffe2ff2816b815765a665a04eb36ea5ca56ca5,1400f6fffafffaff14000400e8fff8ff0e00fcfff6ff0400dcffdcff1200c2ff,f8ff0a00ecfffcff1600f4ff1200e2fffaff0800040004000e000000e6fff6ff
7,7,0,d8ff0800f4fff4ff160006000a00faffe4ffc6ffc8ffdaff1a001a000c004800,fcfffcff16000600ecfffcff0200f2ff48168816565a765a56ea76ea5ca5b8a5,f6ff0400fafffaff1400040008001800fcff1e000400e6ff0e000e00f2ff0200,d8fff8fffcffecff0600f4fff2ffe2fffaff08001400f6ff00001e001600d6ff
8,8,0,0800f8ff02000200e8ff06000a000a000e002c00b8ffeafff8ff3a0058004800,0e00fcff160016000e00dcffd2fff2ff58165816665a365a06ea82e87ca59ca5,f6ff0400eaff080004002400f8ff0800fcfffcfff6ff04001e000e00d2ffd2ff,f8ff0a00ecfffcff36001600e2ff1200fafffaff240004001e000000f6ffe6ff
9,9,0,f8ffe8ff02002200d8ff0600faff0a003c001e00c8ff1c000a001a00ecff3800,fcff0e0016001600fcfffcffd2ffe2ff6217b816365a365ae6e9a6e9aca5cca5,f6ffe6fffafffaff24000400080008000e001e00240004001e001e00f2ff0200,0a00d8ffdcff0e0006000600f2ff1200faff0800e6ffe6ff0e000000f6fff6ff
10,10,0,3800e8ffe4fff4ffc8ff26000a002a003c00d6ffeafffaffe8fff8ffdcfffcff,ecff0e00f4ff06000e000e00f2ff020082175217565a365a76e9e2e8c8a5cca5,e6fff6ffeaff0800f2ff2400e8ffe8ff1e00ecff040004002e001e00d2ffe2ff,0a00f8fffcfffcff16002600f2ff1200eaffeaffe6fff6ff0e000e001600d6ff
11,11,0,e8fff8ff020002001600f8ff0a000a000e002c00daffdaff1a000a00fcff6800,0e00fcff160006001e000e00f2fff2ffd2170218265a165ae2e842e9eca5dca5,c8fff6ffeafffaff04004600d8ff08000e00fcff0400f6ff0e002e00d2ffb2ff,e8fff8fffcffecff06001600e2fff2ffeaff0800040004000e002e00e6ff0600
12,12,0,e8fff8fff4ff0200e8ffe8ffeaffdaffe4ff1e00faff0c00f8ff0a00fcffdcff,0e00fcff0600f4ff2e00fcfff2fff2ffc2175218165af65972e8e2e730a6eca5,f6fff6fffafffaff3600f2fff8ff08000e00dcff0400f6fffcff0e00e2fff2ff,e8fff8fffcffcaff06001600e2ff1200daffeaffe6ff140000001e00e6ff0600
13,13,0,f8fff8fff4ff12001600e8ff1a00faff2c00e4ffeaffb8ff1a00f8ffdcff0c00,0e00fcff160026000e001e00d2fff2ffb217a217f459e45994e814e9caa536a6,0400f6ff0800eafff2fff2fff8fff8ff1e000e004400f6ff2e00fcfff2ffc2ff,0a00f8fffcffecff0600f4ff12001200faff0800e6ff140000000e00e6ffe6ff
14,14,0,e8fff8fff4ff120006000600faff0a003c00d6ffeaff0c000a001a00dcff0c00,ecffecfff4fff4fffcfffcfff2ffb2ff52185218d459e45954e8b4e736a6faa5,e6fff6ffeafffaff04000400e8ffe8fffcff1e000400d6fffcfffcffd2ffc2ff,f8fff8ff0e000e00f4ff06001200e2ffeafffaffd6fff6ff0e000e00e6fff6ff
15,15,0,f8ffe8ff0200e4ffe8ff1600eaff0a001e002c00eaffc8fff8ff1a00ecffdcff,fcff1e002600f4ff1e00fcffe2fff2ffc2184218c459c45924e844e852a682a6,1400f6fffaff1800f2fff2fff8ffe8ff1e003e00d6ff04000e001e00e2fff2ff,f8fff8ffecfffcff06001600f2ff22000800eaffd6ffd6ff0e000e0016000600
16,16,0,c8ff08000200e4ff060006000a001a00d6ff2c000c000c00e8ffe8fffcff4800,fcffdcff06000600fcff0e00e2ffe2ff0219e218d459d45924e8e4e652a652a6,d8ffd8ff2800080014001400d8ff1800dcffecff14003400ecfffcfff2ff0200,1a00f8ff3000fcfff4ff060022002200faffeaffe6ff0400e0ff000006000600
