Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,040014002a0018000c00feff0400f4ff26000600e0ff1e007a000000feffdeff,14002400eeff10003200d0ff1a002a000800d4ff120012000600f4fff6ff0600,3e000c00c0fffeff160006000a001a001c4ce84feaa670c15662ee20e2a3c203,fcff0e00f4ff26000a00d8ff02001200d2fff0ff1e003e00d6ff1400ecff0c00
1,1,0,e2ff040008000800deffdeff04001400060016002c001e00d0ffe0fffefffeff,1400d2ffeeffeeffd0ff12002a00eaffd4ff08001200d4fff4ffe4ffc6ff2600,caff0c001c00d0ff16003600faffcaff429f04e0205ece07beb0c81ba23802c4,fcff0e00e4fff4ff0a00f8ff02000200e0ff00000e001e00f6ff3400dcfffcff
2,2,0,d2ff0400f6fff6ff0c00feff0400f4fff4fff4ff00001e00f0ff0000eefffeff,e2ffd2ff000000003200f0ffeaffeaffe6fff6ff2200f4fff4ffe4ffd6ff2600,2c00faff0c002a00d4ffd4ff4a005a00f65190e330c17831a81f30b11201525d,ecff0e0006001600f8fff8ff32002200f0ff0e0000005c003400f6fffcfffcff
3,3,0,1400f2fff6fff6ff2c00deff1400140026003600f0ffe0ff00000e00feffdeff,c2ff1400000010002200e0ffdaff3a00f6ff0800d4fff4ffe4ff26000600f6ff,1c004e00deffdeff36003600baff0a0056dd2a4d1e075aa73a1c566272c552a4,fcff0e0016001600f8fff8ff0200120000001e002e00c0fff6ff3400dcfffcff
4,4,0,e2ff24000800e6ffeeff2c00a4ff1400f4ff26000e00f0ff0e00f0ff0e00deff,c2ff14000000eeff22002200faffeaff0800e6ff0200f4fff4fff4ff1600f6ff,daffcaff4a001c00d4ffe4ff4a001a009ee5329fa832905e46b21cb0d25cd237,0e00fcff26000600f8ffe8ffe2ff02001e0000002e001e00f6ffd6ff0c000c00
5,5,0,0400f2ff0800e6ffceffdeff04002400f4ff0600f0ff00001e000e000e000e00,14001400eeff1000e0ff1200daffeaff1800180032003200f4ff0600c6fff6ff,2c000c00eeff2a004800f4ffeaff1a00ec4bb6510aa770bf5662e41eb2a4f2ff,1e00fcff0600e4ffe8fff8ff220002001e000000e0ffe0ff0400c6fffcffecff
6,6,0,0400140008000800eeffeeff040004000600e4ff1e001e0000001e00feff2e00,3400040000000000e0ff22002a002a00e6fff6ff1200f4fff4ff1600e6ffe6ff,caffeaff3a00eeffc2ff3600faffeaff429f98dc905e4e0974aebc1c5237e2c7,0e00fcff3600e4ffd8ff0a00020022001e00e0fff0ffe0ff04003400ccffbcff
7,7,0,1400d2ff08000800defffeffe4ffe4fff4ff26001e00e0ffe0ffd0fffefffeff,040014001000eeff22002200daffdafff6ff0800020012000600f4ff3600e6ff,2c00eafffeff4a000600b2ff2a005a00b6511ce9f0bd3831de2034b23201c25b,fcffdcff06000600e8ff0a00320012000000f0fff0ff0000f6ffd6ff2c00ccff
8,8,0,14001400f6ff0800defffeff1400f4ff160006003c00d4000e000e000e001e00,04001400deffdeffd0ff4200eaffeafff6fff6fff4fff4fff4ff0600d6ffe6ff,2c004e00eeffeeff26003600baffeaffa6ddbe49300c0aa7fc1c346272c782a3,1e00fcffe4fff4ff2a000a0022002200d2fff0fff0fff0ff2400f6ffdcfffcff
9,9,0,d2ffd2fff6ffe6ffeeff2c0004000400f4ff06000e00e0fff0ff1e00deffbeff,d2ff040000001000f0fff0ffeaffdaff0800e6ff1200120016000600c6ff3600,faffeaff2a003a00a2ffe4ff5a000a001ce8629f262f805e72b130ada25b7238,0e00dcffe4ff06000a00f8fff2ff0200f0ff00000e000e00e6fff6ffdcff0c00
