Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,58bb602f642cd0b846f2dc58acec7c9dc6ff2800faff1800040004002a00eaff,02002200f0ff12002a00caffe8ff0800120012000200b8ff140034000600e6ff,08000800f8ff060002000200feff0e00f8fff8ff00000000f2fff2ff14001400,f0ff0200fcff1e000200f0ffe8ffe8ffe2ffd0fff4ffd4ff3200b6fff2ff7400
1,1,0,400e20a75a10c66164d16a9e7c485c56c6ffe6ff28002afff6ff0400eaff1a00,0200f0ff020002002a00bafff8ffe8ff32002200e4ff2000e2fff2ffd6ff1600,08000800e8ffe8ff120002000e00eeff1600f8ff100020001400140044001400,f0ff0200fcfffcff0200f0ff1800f8fff2ffd0fff4fff4ff3200c4ff02000200
2,2,0,122e7a6170b934a8dc582445bc9d9cd5e6ff0800fafe1800340004000a00eaff,12000200f0ff0200d8ff2a00e8fff8ff1200f0ffe4ffe4ff1400f2ff26001600,28002800060006001200f4ff1e001e00f8fff8ff0000100044000400f4ff3400,e0fff0ff5200fcff02001200d8fff8ffd0ffe2ffc4ffe4ffc4ffd4ff02000200
3,3,0,60a7e8bac661d42c7a9ef8f09c566cede6ffd6ff08003affd6ff34000a00faff,220002001200f0ffcaff2a001800e8ff1200f0ff12003000f2ff0400f6ff1600,1800180006000600f4ff1200feff0e00e8ff060000002000f2ff040014002400,f0fff0ffecfffcff0200f0ffe8ffd8ff1400f2ff220022003200320002000200
4,4,0,8a61100f06a88c0f344554d20cd54c48f6ff18002800280024003400faff2a00,12000200f0ff32002a00e8ff0800f8ff02002200d6fff4ff1400e2fff6ffe6ff,0800dafff8ff2600f4ff12000e000e00f8ff060020000000140014001400f4ff,02000200fcfffcffc0ff1200e8ff0800f2fff2ffd4ff3200d4ffb6fff2ff0200
5,5,0,58ba422d742d60baa8f05c585ceecc9dd6ff18001aff0aff140004000a00caff,f0ff120002003200d8ff2a00f8fff8ff02002200200002000400f2ff2600f6ff,08009aff2600060002000200feff1e004400baff200000001400140004000400,020002000e00fcff12000200d8ff0800d0ffe2ff3200d4ff2200320002001200
6,6,0,d00fd0a7cc0e966194d25a9e6c470c57d6ffe6ff080008000400f6ff0a001a00,02001200f0fff0ffcaff3800f8ff08001200d0ff020040002400f2fff6ff1600,08009afff8ff160012002200ceff0e0016001600eeff00003400340034002400,f0fff0ff0e000e001200f0ffe8ffe8ff04002400e4ff4200b6ffd4ffe2ff0200
7,7,0,122d9a61c0ba76a7ec5784461c9e9cd40800c6ff3aff1aff040004000a001a00,1200f0ff12002200d8ff2a001800080002000200d6ff12001400f2ff2600b6ff,18000800f8ff160012001200eeffeeff0600160010002000f2fff2fff4ff0400,020002001e00fcff02000200d8ff08002400f2ff2200e4ff3200d4ffe2ff0200
8,8,0,20a898b97661642e4a9e98ef7c574cefb6ffd6ff18000800e6ff04002a001a00,f0ffe0ff0200f0ff1a00d8ff080018000200f0ff12001200e2ff14000600e6ff,eaff180006000600f4ff02001e000e0016001600000010001400f2ff14002400,e0ff02000e000e000200f0ffb8ffd8ff0400040096ffc4ffb6ffb6fff2ff2200
9,9,0,ca610011e6a62c0ea44604d4bcd3dc46c6ffc6ff38001aff0400e6ff0a002a00,f0ff0200f0ff0200caff1a0008000800020022001200b8ff0400e2ff96ff1600,fafffaff1600060012001200eeff0e000600f8ff100010002400140014002400,020012001e00dcffd0ff0200080008000400f2fff4ffb4ffe2ffe2fff2fff2ff
10,10,0,48b9022c442f20bb38ef5c570cf03c9e080008002aff080034001400eaff2a00,32000200120002000a00380008000800f0ff02002000200014000400a6ff0600,daff08001600060012000200eeffeeff0600240010001000f2ff040014000400,02000200ecff0e001200f0ff0800f8fff2ff040096ff12004000b6fff2ff0200
11,11,0,3e1180a81c0d7661d4d31a9e8c469c57e6ffe6ff08004800d6ff2400eaff0a00,f0ffe0fff0ff02002a00cafff8ff080012002200a8ff02001400e2ffe6ff0600,080008000600f8ff020002000e00eefff8ffe8ffdeff0000140014001400f4ff,0200f0ffdcff0e0002002200180008001400d0ffe4ff6000c4ffc4ff22000200
