Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,dcff0a00d2ff0400fafffafffaff1a000000200050ff50ff26001800e6fff6ff,e0ff020022000200c8ff360010000000ee9d08d3c0613e1040a85211ac42ccce,9ef18ef1ecff0a00e8fff8ff00002000eaff46000000e2ff20002000fcfffcff,120012000a000a00040004001e000e00fcffecff3200defffeff2c000200f2ff
1,1,0,0a00fcff0400d2fffaffeaff0a001a000000200050ff4400eaff180016003600,1200e0fff0ff0200f8ffd8fff0ff1000f2586ef1e0b9b82d762b42b80cf5bc5a,8ef19ef1ecffecff1600f8fff0fff0fffaff08001000e2ff100000001c00fcff,f0fff0ff1a000a0004001400eeffeeffecffecffdeffdeff62ff1c000200d2ff
2,2,0,fcfffcffe2fff2ffeaffeafffaff0a00ceffeeff360050ff18001800b6ffe6ff,12002200f0ffceffd8ffe8fff0ffd0ff38d2be45de10fea6521100621ccf7c9e,8ef17ef10a00fcffe8ff06001000c0ff1800daff00000000000010001c00ecff,0200f0fff8ffe8ff04001400eeffdeff1e000e00deffc0ff82ff72ff02000200
3,3,0,fcff2a0004000400eafffaff0a001a0020001000440036000800eaff16000600,f0fff0ff12000200f8ffd8ff30001000cef1ee9dba2b2062c2b800a83c5a3c43,9ef18ef1ecffecff06002600c0fff0ff28004600000000000000deff1c000c00,f0ff0200f8ff58000400e2ffeeff0e000e00baffc0ff1c0072ff1c0002000200
4,4,0,fcfffcff04002400eaff08000a000a0000003000360050ff080008000600e6ff,12001200ceff0200f8fff8fff0ff00002e4542594ea750b9f061762c4c9eccf4,8ef19ef10a00dcffe8ffe8ffc0ffc0ffeaffccff00001000eeff00002c000c00,02000200f8ff1a000400f2fffeffdeff0e001e00eeff4200eeff2c00f2fff2ff
5,5,0,2a002a00240014001800faff1a00eaffeeff0000360026000800180016000600,d0fff0fff0ff02000600f8ff1000e0ff1e9e18d110622e1280a792109c434cd0,8ef18ef10a00fcff0600e8ff100020002800faff0000f2ff0000eeff2c00fcff,0200f0fff8fff8fff2fff2ff2e00eefffcffecffc0ffc0ff42ffeefff2ff0200
6,6,0,fcfffcffe2ff04000800faff0a00eaffeeffeeff540036001800eafff6ffe6ff,22001200f0ff2200f8ffc8fff0ff10008259fef282b8fa2a362d52b9fcf33c5a,bef17ef1fcffdcff0600f8ff100000002800eaff000000003000eefffcffccff,f0fff0ffe8fff8fff2ff0400deff1e00dcfffcff4200deffeeffeefff2ff2200
7,7,0,dcff0a002400e2ffeafffafffafffaffceff1000920050ff180008002600e6ff,12001200cefff0fff8ff2600f0ffd0ffc8d0ce443e12dea7421000621cd11c9e,8ef19ef11a000a00e8ff06002000f0fffafffaffe2ff1000deff10001c000c00,02000200f8ff1a001400f2fffeff0e00caffecffc0ffeeff32fffeff22003200
8,8,0,fcffecff1400e2fffafffaffeaffeaff1000000026004400eaff260026000600,0200e0fff0fff0ffe8ffe8ff100000009ef30e9e8a2a1062e2b900a7fc592c44,9ef19ef1fcfffcff2600f8ffc0ff2000080036001000f2ffeeff00000c001c00,020012001a00f8ff1400f2ffdeffdefffcffecffdeffdeff92ff72ff2200f2ff
9,9,0,1a000a0004000400eaff0800faff0a00eeff1000440050ff1800260006000600,02002200f0fff0ff36002600e0ff20000e44f2590ea882b85062562d0c9e2cf3,8ef17ef11a00ecfff8ff1600f0ff20003600faff0000100000003000fcffecff,02000200f8fff8ff0400f2fffefffeff0e00fcff92fffefffefffeffe2fff2ff
