Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,c0a436fd00cb5aa58e39aaca8e598e39e4ff16001000f2fffcffecff2a00daff,f2ff0000d4ff06004a002c00f6fff6ff0000200020001200eaff1c002c000c00,fcfffcff0400f6fff6ffe6ff080018000a000a0002000200d2ffe2fff0ff1000,f0ff12000c00fafff8ff1a001e004e00f2fff2ff020060003800faff0a001a00
1,1,0,163a86ca92590e3a18fd705996a414fdd2fff4ffd2ffd2ffdcff3000faff1a00,2e0000000600f4ffdeff1c0006001600200030002000e4ff0c00eafffcff1c00,dcfffcfff6ff240008000800f8ffe8ffecff1a00f4fff4ff14000400f0ff0000,f0fff0ffdaff36001a000a00eeff0e001200f2ff40000200caff0800faff0a00
2,2,0,f6fc40590aa5fafc0acbdaa4243af0ca060006004000d2ff0e00fcffeafffaff,1000200006000600deff0c00e6ffe6ff100020004e000200eafffaff0c00ecff,ecfffcff0400140018000800f8ff08001a00ecff020002000400f2fff0ff1000,f0fff0fffafffaff0a000a00fefffeff0200e2ff02000200daff18000a00faff
3,3,0,b8cbb0a48e3ae6cb5059de3a54fc4e59f4ffe4ff4000f2ff1e000e00faff1a00,10001000f4fff4fffefffeff06001600eeff1000f4fff4ff2c00faff0c00dcff,ecff0e0024001400f6ff180018000800ecff0a0012000200f2fff2ff0000f0ff,f0ff0200eaffeafff8ff1a00feffdefff2fff2ff22001200eaff0800eaff0a00
4,4,0,4059b63aecfb52598aa43cfce0cb56a41600e4ff1000d2ffcafffcff1a001a00,1000f2fff4fff4ffeeffeefff6ff1600100010000200f4ff1c000c000c002c00,fcffecff04000400e6ff0800f8ff0800ccffecfff4ff0200e2ffe2ffd0fff0ff,f0ff0200eaffeaff0a00f8ffeeffdeff0200f2ff2200f4ff28003800eafffaff
5,5,0,80a4e2fb36cceaa44e3b3accfe58b43a06000600100010001e00ecff1a00faff,000020000600e4ff3a00defff6fff6ff0000100020001200eafffaff2c00dcff,fcff8cff04000400d4fff6ff080008001a00fcff02001200f2ff0400f0ff0000,e0fff0fffaff0c00e8ff1a00eeff1e00020002001200e4ff1800daff0a00daff
6,6,0,483bc8cb16593e3bbafb505946a494fb0600d2ff3000f2ff1e00ecff1a001a00,0000f2ffe4ff1600eeff1c004200f6ff1000eefff4ff0200daff1c001c00fcff,0e000e00e6ff0400f6ffe6fff8ff08003a003a000200020004000400f0fff0ff,02001200fafffaff1a00f8fffeff0e00f2ff0200400040002800eafffaff0a00
7,7,0,62fbf058aaa4ecfb82cc4aa4443b60cc1600380020002000ecffecff3a001a00,100020001600f4ffceffeeff0600060020001000e4ffe4ffdaff0c002c001c00,ecff8cff04001400080008002800d8ffdcffecffe4fff4fff2fff2ff0000e0ff,020012000c000c002a000a00fefffeff1200320002001200faffeaffeaffeaff
8,8,0,54cd80a4d43b8accd058e03be4fafe58d2ff0600f2ff10001e000e001a001a00,f2fff2ff26001600defffeffe6ffe6ff1000eeff3e0002000c00daffecff0c00,ecffccfff6ffe6ff18000800080008003a002a000200f4ff1400040030001000,f0fff0fffaff0c000a000a001e000e00f2ff320002002200080046000a000a00
9,9,0,3658f83b88fa96584aa40afa10cde6a3f4ffc2ffd2fff2ffecfffcfffaffeaff,10001000f4fff4ffceff3a00f6ffc6ff00001000120012001c00eaff0c00fcff,ecffecff140004000800d4fff8ff08001a002a00f4ff02000400e2ff10001000,220002000c00fafff8fff8fffefffeff02002200f4ff22000800eafffaffeaff
10,10,0,30a4c0f96acd3aa4903ceccdbe58a43c280028001000d2ffecff0e002a00faff,2e001000f4ffe4fffeffeeff0600f6ff30001000e4ff0200eaffdaff1c001c00,dcffccff140024002a00f6ff08000800ecff2a00f4ff220004002400f0ff1000,f0ff0200eaff0c00f8fff8ff1e001e0022001200400040002800eafffaff0a00
11,11,0,483ce4cd5658703c9af91458c6a314fa0600160020001000ecff0e00eaff1a00,f2ff200016000600deff2c00e6fff6ffdeff00002000f4ffeaffeaff0c00ecff,ecff7afff6ff1400080008002800f8ff3a001a00f4fff4ffe2ff04001000f0ff,e0fff0ffeafffaff0a001a00fefffeff120002001200f4ff0800eaff0a000a00
12,12,0,30f926586aa4b8f906cefaa3843c60cd3800f4fff2ff10001e003000faff1a00,f2fff2ffd4ff16002c004a00f6ffe6ffeeffeeffe4ffd6ff0c000c00fcff0c00,fcff0e00f6ff0400e6ffd4ff0800f8ffdcffdcff1200f4ff1400140000000000,020002004600dafff8ff0a000e003e000200020040005000faff38000a001a00
13,13,0,14ce10a4c03cdacd14588c3d7ef91258f4ff1600f2fff2ff30000e003a003a00,e2ff00000600f4ffeeff0c00f6fff6ff0000deffd6ffb8ffeaffeaffecffecff,ccffecff04000400e6ff0800f8fff8ff0a00ccff42000200140004000000f0ff,f0ff22000c000c002a000a00deff3e0012005200f4ff2200faff0800eafffaff
14,14,0,06584c3d68f91658baa3faf86ece96a31600160030004000ecffecfffaff1a00,e2ff0000f4ff16003a00deffe6fff6ff1000eeff20001200c8ffeaff0c00dcff,ecffecff2400f6fff6ffd4ff2800f8ff0a00dcfff4fff4ff140014002000f0ff,0200f0ff0c00faff2a001a001e001e001200d2ffd4fff4ff080038000a000a00
15,15,0,d0a3d0f8d8cefaa39c3de6cef257443dd2fff4ff200050003000ecff74002a00,e2fff2ff060006002c003a00060006001000ceffe4ffe4fffaff0c00ecffbcff,ecfffcff340004000800e6ff080018000a002a00e4fff4ff1400e2fff0ff1000,1200f0fffafffaff0a00f8fffeff2e000200f2fff4ff0200cafffaff0a000a00
16,16,0,bc3d2ccfd657703d9af8d45746a3def816001600f2ff1000fcff0e002a002a00,00002000f4fff4fffeffeeff0600060010002000e4ffb8fffaff0c002c00ecff,0e00ccff040014002a00e6ff1800f8ffecff0a0012000200f2ff040000000000,560012002600eaff1a00f8ff1e00feff02000200f4ffd4ff08003800faff0a00
17,17,0,d6f78657faa32cf886cfa6a3f43d1ecfe4ff2800f2ff0000fcff4000faff1a00,10001000060016003a00eeffe6ff06001000100020002000eaffeaffecff1c00,fcfffcff040004000800080008000800ecffecff0200e4ff0400040000000000,f0fff0fffaffeaff0a000a000e000e00f2ffd2ff12000200daff0800faff0a00
18,18,0,cccfa0a3f03ddacf9457623e92f77257e4ffe4ff10002000ecff1e00faff2a00,e2ff0000f4ff0600eeff1c000600e6ff1000deffd6ffe4ff0c00eaff0c00dcff,fcffecff04000400f6ff18000800f8ff2a00fcff0200020004000400e0ffe0ff,12003200fafffaff1a000a00feff1e00c2ff12000200020028001800eafffaff
19,19,0,86574c3edcf7545786a3fef6d2cf36a32800f4ff10001000fcff0e00fafffaff,00000000e4ff0600eeff3a000600e6ffeeff10001200f4ffdaff0c000c000c00,dcffecff1400f6fff6ff0800080028001a00ecff02001200f2ffe2ff10001000,f0ff1200eaff0c001a001a000e000e000200d2ffd4ff12003800fafffafffaff
