Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f0ff1200ecfffcffe6ff2400f6ff2600d0ff2200e2001200daff0800d2fff2ff,02a63c3fdcad445a26d53c52ac0cc02ac6fff8ffd2ff3e00d8ff3a00ceff4e00,fcfffcff0600f8ff1000c4ff080018000000c2fffefffeff0400d2ffecffdcff,fcff0e00eeff10000000eeff0000f0ff1800180012002200a0005200eeff3e00
1,1,0,020002000e000e00f6ff2400e6ffe6ffd0ff320002001200fafffafff2ff1200,80d51e52f80c302a1440f4f24e5a20c0c6ff2c00f2ff3e00b8ff1a00defffeff,1e00a4ff1600e8fff2fff2ffcefff8ff0000e2fffeffe0fff2fff2fffcffecff,0e00ecff00000000bcff000000000000080018002200e4ff72004200feffeeff
2,2,0,020012000e00fcff1400e6ff0600f6ff32002200e20012001800dafff2ffa2ff,54403af2645a2ec0f451b2a5202a94adc6ff0a00f2fff2ff1a00f8ff2e00eeff,fcff0e00e8fff8fff2ff000008001800b2fff2ff0c000c000400d2ffdcfffcff,fcfffcff100010000000eeff1000f0ff2800280048000200220052002e000e00
3,3,0,020012000e00ecff04000400060016002200befff200f4ffeaffdaffd2ffd2ff,ee51d2a5d0294aae0cf296d590bf4c0d3c00d6ff2000e2ff1a00e8ff0e00deff,fcfffcffe8fff8ffe2ff100008000800f2ff10000c00eeff14001400ecffecff,ecffecff00004c0000000000100020000800080012002200c8ff4200deff0e00
4,4,0,120012000e000e0004002400f6ff06001200d0fff200f4fffaff0800e2ffe2ff,8af1c4d6a0bfd60da2a52441e4ad4e5a0a00d6ffd2ffe2fff8ffd8fffeff3e00,fcfffcfff8ff0600e2ff100028001800000010001c00feff040014001c00ecff,5200ecffdeff100000002000e0ff3000e6ff180002003a0062009200deff0e00
5,5,0,020002000e000e00e6ff1400e6ffe6ffd0ff0200e4fff200eafffaffc2ff3200,b2a57440aaae745a76d6e4511c0e4429e8fff8ffd2ff3000b8ff2a00beff1e00,fcfffcff0600e8ff1000f2ff3800aeff40002000feffeefff2ffe2ffecffccff,ecffecff000000000000100000001000f6ff18003200f4ff52006200eeff1e00
6,6,0,f0ff2200fcfffcfff6fff6ff1600f6ff9eff220000013000fafffaffd2ffc2ff,84d7be51660ed828a440aef05e5a10bfa4ff3c00f2ff3000f8ff3a00feff0e00,0e00fcffe8ff1600100000001800180020000000feff0c00f2fff2ff0c00fcff,1e000e0000000000000010001000f0ff0800180002001200620032000e00feff
7,7,0,020002000e00fcff1400f6ff26001600120002002000f4fffaffeaff2200d2ff,4441c4f0645adabe365192a5842884aef8ff2c00200010006a00f8ff4e00beff,c4ffb4ffe8fff8ff00000000beff080000001000feffeeffe2fff2fffcff0c00,fcfffcff000000000000100000001000080028001200c4ff6200a000fefffeff
8,8,0,22000200fcff0e001400e6fff6fff6ff32000200000102003800eaffe2ffd2ff,1e5190a56828daae80f006d810bfbc0e1a00d6ff3e00d2ff1a00e8ff0e00deff,0e00b4ff06000600b4ff00001800280030004000feff1c000400d2ff0c00fcff,ecff1e00000000000000100000002000f6ffe6ff12000200520052002e000e00
9,9,0,02000200fcff1e002400f6ff06000600120012001200f4ffdaffeaffd2ff0200,26f094d76abeac0f92a55441f4ae7e5a2c00e8ff00000000e8fff8ffdeff4e00,0e00dcfff8ff06001000f2ff2800f8ff2000f2ff0c000c00e2fff2ffecff0c00,0e000e002000000000000000f0ffe0ff180028002200f4ff620042000e001e00
10,10,0,f0ff0200fcfffcff24001400f6ff0600d0ff1200e4ff2000eaff2800d2ff3200,80a5e24170afa45ac6d75650ec0fa827a4fff8fff2ff0000d8ff2a00feff3e00,ecffecff06000600000010003800f8fff2ff10001c00feff0400f2ff0c00dcff,fcff0e000000eeff00000000f0ff00001800280012001200620062001e002e00
11,11,0,0200f0fffcfffcfff6ff2400f6fff6ffd0ff4400f4fff2003800faff42000200,6cd8de50cc0f18287441aef0ae5a30bec6ff3c0020003e00f8fff8ff2e001e00,a4ffecfff8ffd8ff0000f2ff18000800f2fff2ff1c000c002400f2ffdcffecff,0e00ecff0000000000000000000010001800f6ff48002200420072000e00eeff
12,12,0,0200e0ffecff1e00f6fff6ff0600060012000200f200d6ff2800eaff2200d2ff,22424eefd45a7cbd865032a5082734afd6ff3c00000020001a00e8ff6e00ceff,fcffc4ff060006000000100008002800f2ff0000eeff0c00d2ff2400fcfffcff,0e00fcff0000deff100000000000f0fff6fff6ffe4fff4ff72006200fefffeff
13,13,0,02000200fcfffcfff6fff6ff0600e6ffe0ffd0ffd400d400fafffaffe2ff1200,9e5060a59827a0af50efc6d700be68101a00d6ff2000c4fff8ffe8ffeeff0e00,fcff0e000600160020002000f8ff1800f2fff2ffe0ffeeffd2ffe2ff0c00ecff,0e00fcff1000deff00000000e0ff10000800f6ff3a00120042004200deff3e00
14,14,0,12000200ecfffcff140024000600160012000200d6ffd400eaffdaffc2ff6c00,6eee2cd96cbd7c1042a5fc4254afce5a8a00e8ff0000c4fff8ff1a00deff0e00,fcffdcff06000600000010000800f8fff2ff2000feff0c000400f2ff0c001c00,1e000e000000100010000000f0ff00001800e6ffb6ff3a00520062000e00feff
15,15,0,02000200dcfffcfff6fff6fff6fff6ffaeff12000200300008003800d2ff1200,60a5d242f0af945a26d9565058117826a4fff8fff2ff2000f8ff5a009eff3e00,ecfffcfff8ffe8ff0000e2ffe8ff08000000f2ff1c000c0014001400dcffecff,0e000e00eeffccff00000000f0ff3000080008002200e4ff62006200defffeff
