Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0000e0ff10001000fefffeff1800d8ff32003200feffd0ffe4ffd4ff44000400,905f3423c85c0006c250a8e71c3d38cdf4ff4600f6ff34005e003c004e000e00,0200e0fff4ff2200faff18000800e8ffd2ff0000fcffecff060026000400f4ff,000000000000eeff0a00f8ff1600e6ff0000000034002400e0ff680038003800
1,1,0,e0ff1e0000001000feffeeffe8ffd8ff9affbcffa2ffd0ff92ffd4fff4ff2400,26af5e173ac3ac32c0dc28494ef9f658d4ffe4ffb8ffc8ff94ffd6ff9efffeff,3400340002001200280008001800aeff0000f2ff0a00fcfff4fff4ff04000400,0000deffdeff00000a001a00f6ff0600000020001600d2ffd0ff58000800f8ff
2,2,0,0e000000eeff1000feffdefff8ffe8ff20002000eeffd0ffe4ff92ff0400d4ff,e422e8b5200608a7d8e84ea0d8cc8ca3560046004200e6ff7000e8ff1e00ceff,0200120012001200faff080008000800e2fff2ffecff1a002600f4ff04000400,00000000100000001a00e8fff6fff6ff100010004400e0ffe0ffd0ff08000800
3,3,0,f0ff0000000000000c000c000800180000000000c0ffd000e4ff26008e004400,4618805f4c33b85c7849025146591c3dd4fff4ff98ff3400c6ff3c00feff4e00,1200120002000200fafffaff0800aeff000030000a000a00f4ffe4ffe4ff1400,10000000000010000a00e8ffe6ffc6ffeeff10002400d2ffe0ffe0ff0800f8ff
4,4,0,0e00f0ff1000beffdeff0c00f8fff8ff0000ccff0c00c0ffb2ffe4ffc4ffe4ff,d8b586af08a75ac35ea030deaca3bafa4600b4ff0400e6ffe8ffd6ffceffaeff,f0ff120012000200080018000800180000003000dcfffcff0600260014001400,10000000eeff1000f8ff0a00060006000000eeff34002400d0ffd0ff18000800
5,5,0,1e000000000000002a001c000800e8ff00001000de000c001600f4ff44003400,e85f6821585c6204f24f48e70c3c20cc16005600040052003c003c006e003e00,f0ff02004200e4fffaff1800e8ff0800e2fff2ff0a00fcfff4ff0600f4ff0400,1000eeff00000000f8ff0a00e6ff0600eeff0000f0ff6200c2ffb2ffe8ffe8ff
6,6,0,00000e00eeff0000eeff0c00d8fff8ffacffccfff6fec0ffb2ff0600e4ff4400,e6af26195ac4643480dec24a6afb6659d4ffb4ff8affc8ff82ffe8ff5effceff,f0ff120022000200180028001800f8ff3000d2fffcff0a00060006002400f4ff,eeff0000eeffeeff1a00f8ff0600f6ff100010005200e0ffc2ffe0fff8fff8ff
7,7,0,1e00f0ff0000deff4600eefff8ffe8ff10001000ee00f6fe1600b2ff2400c4ff,782198b53204a8a638e75ea046cccca356002600700014009200f8ff2e00ceff,02002200e4ff0200faff08000800f8ff00002000fcff0a00f4ff060004000400,0000000000001000f8ff1a00e6ffd6ff00002000f0fff0ffe0ff48000800f8ff
8,8,0,f0ff0e00deff0000feff0c00e8ff1800ccff3200d0ffb2ff1600f4ff04002400,6619905f2434585c924a824fd2599c3bc4ff1600e6ff1400b4ff1a00beff4e00,12000200020002000800eaffe8ff08000000e2fffcffecff0600f4fff4ffe4ff,0000100010000000f8ff0a000600d6ffdeff100034000000f0fff0ffe8fff8ff
9,9,0,2e0000001000eeffdeffeeff0800f8ff0000ccffe6fec8feb2ffa2ffc4ffe4ff,08b55eb098a6aac47ea080dddca38afb1600d4ff14006affe8ffa4fffeff9eff,1200340022000200fafffaff0800280000003000ecffdcff060006000400e4ff,eeff1000eeffeefff8ff0a00e6ff06002000eeff4400f0ff7600e0ff38002800
10,10,0,00001e00deff100054000c000800080042006400d0ff0c002600f4ff8e002400,f85ff820185cba02a24f68e52c3b2ccb16005600040042000a003c004e002e00,12000200f4ff0200eafffaffe8ff0800e2fff2fffcfffcffe4ff0600e4ff1400,200000000000eeff0a00e8ff0600e6ff20000000d2ff3400d0ffc2ff7200f8ff
11,11,0,f0ffe0ff00000000eeffdefff8fff8ffacff0000b2ffdeffb2ff0600f4ff0400,6eb0e6197ac5243570df824accfcc259b4ffe4ff8aff98ff94ffd6ff9effceff,2200340002000200faff080028002800f2ff00000a000a00f4fff4ff14001400,1000eeffeeff00000a000a00260006001000100000000000760000000800f8ff
12,12,0,1e001e001000deff1c00eefff8ffd8ff74002000deffdeffe4ffc4ff2400c4ff,f81f98b40a0338a628e55ea07ccaeca3b2002600620034005e00d6ff5e00deff,1200020002001200180028000800280010001000fcfffcff0600f4fff4ff1400,eeff10000000defff8fff8fff6ff0600000020002400e0ff5800e0ff08000800
13,13,0,00000e00eeff0000eeff0c000800f8ffbcff2000c0ffde00d4ff160024003400,461be85fc235f85b824b424f325a0a3ad4ff360098fff6ff94ff7000deff2e00,12000200020002002800fafff8ffbefff2ffe2fffcfffcfff4fff4ff14000400,20000000100000001a001a001600f6ff20001000e0ff00005800c2ff18000800
14,14,0,00000e00eeff2000c0ffeeff1800080000009affeeffd0ffd4ffe4ffd4ffe4ff,a8b41eb1caa538c65ea0d0e03ca41cfe4600a4ff340098fff8ff82ffdeff8eff,1200120022003200180028001800e8ff00000000fcffecffd4ff16000400f4ff,10000000eeff3c000a002a00e6ffe6ff00000000f0fff0ff68006800f8ff1800
15,15,0,0e000000200000000c00eeff18000800420042000c000c001600c4ff8e001400,f85f001fc85b5a02c24e38e5ba392cca2600b200140052003c003c002e000e00,2200e0ffe4fff4ffdaffeaff18000800e2fff2ffecffecff0600e4ffe4ffe4ff,10001000100000001a00f8ffe6ffd6ffeeffeeffe0ff24004800e0fff8fff8ff
16,16,0,0000f0ffeeff00000c000c00e8ff0800bcffacffd0ff0c00b2ff2600f4ff1400,aeb1961b08c64236f0e0324c5cfe625ab4ffc4ffa8ffc8ff94ffe8ff7effceff,1200220022001200faff08001800f8ff1000e2ff0a00fcfff4ff160034000400,eeff10001000eefff8ff0a00f6fff6ff20002000f0ff00004800380008000800
17,17,0,0e000e000000eefffefffeff0800080064000000de00feff1600c4ff240084ff,b01e82b3fa006aa5d6e34ea030c97ca4a00016004200f6ff5e00a4ff0e00ceff,b6ff12001200f4fffaff0800f8ffe8ff000020001a00fcfff4ff2600f4ff1400,1000eeff000000002a000a001600f6ff1000000024000000e0ffc2fff8fff8ff
18,18,0,f0ff1e00eeff0000eeff0c0008000800deff4200eeffeeff2600260014003400,bc1ca05f4837505b624c724dc25ace38c4ff4600a8ff2400f8ff2c00deff5e00,0200120022001200faffeaff1800aefff2ffe2fffcffecff1600f4fff4ff1400,2000deff00001000f8fff8fff6fff6ff0000100024004400e0ffc2ff28000800
