Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,16371637dc36dd36cd36cc36f3361837a736a836de36de36df36de3618371937,d536d33600400040a936a8369c369d36dd36dd3654385438e036e136d136d236,9c369c36e036df36e136e036d036d236961821055d08910aed02a8229601d634,ce36ce36e736e936a936ce36a436a536163714379b369a3606370b37e036e136
1,1,0,17371537de36dd36cd36ce36f536f436a736a836de36de36e036de3618371a37,d836d43600400040a836a7369c369e36dd36de3630385438e036df36d236d136,9c367236df36e036e036e136d036cf365f662c66626ad24c4f6be042606adb28,ce36cf36e936e936a936aa36a336a5361637163798369a3608370737e036df36
2,2,0,15371537de36dd36cd36ce36f436f236a836a736dd36df36dd36de3619371837,d436d53600400040a836aa369c369e36df36df3630385438e036e136d036d236,71367036df36df36e136e036d236d1361805a5188701e628190319439e101555,cf36cc36e936eb36a836a936a136a336143714379936983608370737df36e036
3,3,0,13371537de36df36cd36ce36f536f436a636a736df36de36de36e03619371837,d436d63600400040aa36a8369a369c36dc36df3654383138df36e136d036d136,98369c36dd36de36e136e236d236d036a06cec46d96a9034a9666e2225576811,cd36cc36ea36ea36a936aa36a336a336133714379936993605370737e036df36
4,4,0,16371737dd36dd36ce36cd36f2361937a836a836dd36df36de36dc3617371937,d336d53600400040aa36a6369c369c36dd36df3655385538e036df36d236d036,9a369c36df36df36e236de36d136d0362003e0388b06604ae314a8629626df68,cf36d136e936e936aa36a936a436a23616371737983699360b370637e036df36
5,5,0,18371637de36de36d036cd36f536f336a736a736df36dd36dd36dc3618371a37,d536d63600400040aa36aa369b369f36de36dc3631383038dd36de36d436d136,9c369b36df36df36e036e136d036d136f36898268f62a014194957051d37a702,cf36ce36e836e736aa36aa36a336a136153716379936983609370937e036df36
6,6,0,16371637de36de36cd36cf36f436f436a736a836df36df36df36df3618371837,d436d73600400040a836a8369c369e36de36dd3631382f38de36df36d236d136,99369836df36e036e036e236d236d136e80ae458d622e066b034e36a1047266b,cf36ce36eb36ed36aa36a936a336a636163715379836973606370937de36e036
7,7,0,16371337df36df36cd36ce36f336f636a636a736de36de36de36df3618371937,d436d43600400040a936a9369c369c36dd36dc3631385638e036e036d036d136,9b369936de36df36df36e036d336d1361f55a208d5420e03a22867021017df04,ce36cd36e936eb36ab36a936a336a336163714379736993608370b37e336de36
8,8,0,15371737de36df36cf36ce36f3361837a736a736de36df36de36dc3617371737,d236d43600400040a736a9369a369b36dd36dd3631383038df36de36d136d236,9c369b36de36de36e036e236d136d2369229df6a4a434e6c1455556a1a66a264,cf36cf36e936ea36a936ab36a436a336153716379a36983608370937e036df36
9,9,0,15371537de36dc36ce36ce36f536f436a936a836e036e036df36de3619371837,d436d23600400040aa36aa369d369c36de36df3630385638e036df36d136d036,71369b36dd36df36e136e536d136d036db34e50287211e03550971089c047120,cc36d036e736e936aa36aa36a336a23614371437963698360a370937e136e036
