Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,4c085e08e4ff04001a00faffb605e605f6ff2600f6ffd6ff90fe80febe009e00,11370f3716371637ee361237b036d436e836e736a236a236de36e0369e369e36,d436d736d436d436e636e536ce36ce369e369d36e536e83620371f37dd36de36,e436e436ed36ed36e536e736e136e036e506a524d264883657148f46a2559e1a
1,1,0,4c087e08c4fff4ffeaff0a00b605b6051600f6fff6fff6ff80fe72fe9e00ae00,1137103717371737ee36ef36af36d636e936e936a536a436e036de369b369f36,d436d536d336d336e836e636d036cd369a369c36e636e6361f371e37e036e036,08370937eb36ed36e636e636e136e13656649f2a0e172854a4481b15eb369e65
2,2,0,6e086e0804000400fafffaffa605b60516000600e6fff6ff90fe90febe00ce00,11370f37163717371337ef36af36b036e936ea36a836a536e036e1369d369f36,d536d536d536d536e736e736ce36cf369a369836e636e43622371f37df36e136,e23608371037eb36e636e736df36e0369e2465589836e5065a465468a41ae208
3,3,0,7e084c080400d4fffafffaffd605b605060006000600e6ff72fe72feae009e00,10370f371537163713371137d336d436e636e936a336a836e136e0369c369e36,d836d536d636d436e636e636d036cf369d369f36e836e6361e371f37e136df36,e336e436ec36eb36e436e536e036e036a52ae5062254d4641a1557149d65ac56
4,4,0,5e085e0814001400eaff0a00a605d605d6fff6ff1600160090fe72fe7e00be00,0f37113717371437ec361237af36d336e936eb36a936a436df36e2369e369c36,d636d636d636d536e736e736ce36ce369c369b36e836e63621372037e036e036,0937e436ec36ed36e836e536e036df365d585b640c07e4165868d048e008e636
5,5,0,6e085e08f4fff4ffeaff2a00b605c6050600f6fff6fff6ff52fe72fe9e00ae00,1037113716371637ee36ee36b136b036e936ea36a536a636e136de369c369d36,d736d436d436d736e836e736cf36cf369d369a36e436e5361f371f37e136e036,e236e436ed36eb36e536e936de36df36e8069724d764a33652145646d556ae1a
6,6,0,6e089008e4fff4ffeaffeaffd605d60536002600c6ffd6ff72fe72feae00ce00,0f3711371637173712371437b036af36e936e836a436a536e136e0369d369c36,d836d836d636d236e536e136ce36d0369d369f36e736e5361f372037e136e136,e436e436eb36ec36e436e436e436e4365c64d532e5161753df481e15db369865
7,7,0,7e087e0804001400eaffdaffc605c605160026002600060044fe90feae009e00,103710371537163712371237d536b036ea36e836a436a536df36e1369b369d36,d536d436d436d636e736e736ce36ce3699369c36e736e6361e371f37e036df36,e3360937ed36ea36e736e736e336e33665245558d0360c0759465868d51adc08
8,8,0,1a082a08f4ff2400faff1a00a605c6050600f6ff2600f6ff90fe52fe8e009e00,103710371737173714371137b036af36e936eb36a736a536e036df369b369c36,d436d636d536d336e636e736ce36d0369d369b36e536e4361f371d37e036e036,e336e336ed36eb36e436e636df36e136e332ea061353d76451154c149665e156
9,9,0,4c086e08f4ff0400faff0a00e605b60526000600f6ff160052fe90fe8e000e01,11370f371637173712371137b036b136e736e936a636a836e136df369c369b36,d536d436d336d336e836e536ce36cf369d369a36e536e7361f372137e036df36,e736e236ec36ed36e936e636e036e0362f5862640f07d8165868de48d708a835
10,10,0,5e083c082400f4ff0a00faffc605d605160006000600e6ff80fe80febe009e00,10371137153713371237ee36ae36d436ed36eb36a436a836de36e0369e369a36,d636d536d536d436e736e636d036ce369d369a36e636e6361f372137e136e236,e536e4361037eb36e536e836e236e036ea065d24da64d4364c141e3de856e71a
11,11,0,4c085e08f4ff3400faffeaffc605b6052600d6ff1600360090fe72fe9e009e00,1037113717371737f036ee36af36b136ec36e936a236a836e236de369d369f36,d636d636d536d536e736e636ce36cd369d369c36e636e6361e371f37e036df36,e436e336ea361037e536e436e136e33665641033ce16e8520f4950159f359165
12,12,0,6e083c08040004001a001a00c605b605160036000600e6ff52fe72feae00be00,1137ec3616371737ee361337b136af36e936e936a336a536e236e1369d369d36,d536d636d736d636e636e936cf36ce369f369b36e436e83620372037e036de36,e436e336eb36eb36e736e736df36e23654231c57e6361407093d5068101bd708
13,13,0,5e087e081400f4ffeafffaffd605d605d6ff2600e6fff6ff72fe52fe8e009e00,0f370f3716371437ee36ef36d336d436e936e936a736a436de36e0369e369e36,d536d236d436d736e736e636ce36ce369d369d36e636e83620372037e036df36,e136e436ec361037e436e536e436df3619331007df52e1645c161f148e651157
14,14,0,5e085e08040004004a000a00d605d6050600e6fff6fff6ff72fe72fe7e005e00,10371137183716371237ed36af36af36e936e836a536a536e036e0369b369f36,d436d636d436d536e736e836ce36cd369e369e36e736e73621371f37df36df36,0937e436ec36ea36e736e736e036e236175791641507a61651681949d3089435
15,15,0,6e085e08e4fff4ff0a00faffa605b60526000600c6ffe6ff80fe72fe0e017e00,0f370f37143717371537ee36af36af36e936e636a536a736e236de369d369c36,d836d536d436d536e736e636ce36cf369a369d36e536e53620372037df36dd36,e136e336eb36ed36e536e736df36e23612072823e3640f371d14e33c1757151b
16,16,0,3c08900804001400faff0a00b605d605160016001600360072fe90feae00ae00,13370f371537153711371137d636d536ec36eb36a636a636de36e1369f369e36,d536d636d636d436e736e736ce36d1369a369a36e736e73622371f37de36df36,e336e436eb36ed36e636e536e336e136956420339f16d8522749631692356765
17,17,0,5e083c08140014001a002a00c605c605f6ffe6fff6ffd6ff72fea0fe6e006e00,1337133717371737ed36ed36af36d436e936eb36a636a136df36e0369c369e36,d536d536d436d436e936ea36cf36cd369b369d36e636e8361e371f37dd36de36,e436e436ea36e936e736e936e136e0361c23125713371807d93c53681e1bd308
18,18,0,5e085e08f4fff4ffeaff0a00f605b605060016001600e6ff72fe90fece006e00,0f370e37173717371437ee36af36b036e736eb36a236a436df36e0369a369d36,d836d536d336d436e636e736d236cf369c369a36e636e4361f371f37de36de36,e436e336ec36ec36e436e436e336e4362e331607cd52e0649316181460652457
19,19,0,7e085e082400e4ffdaffeaffd605e60536003600d6ff160052fe52fe7e009e00,1337eb3615371637ec361437af36d436e936e936a536a736e036e236a0369c36,d636d836d636d436e936e336cf36cf369c369936e636e6361f371f37dd36df36,e436e436ea36eb36e736e536e136e036e85699641d07911652684d49aa085a35
20,20,0,5e085e08e4ff34001a000a00b605c605f6ff06000600e6ff90fe80fe6e009e00,0f37113717371537ed36ef36b136d536ea36ea36a636a736e036df369e369d36,d536d436d436d436e636e936ce36ce369b369b36e636e6361f372037de36e036,e436e536ed36ed36e436e736e136e036150713230b651f370f14d13c2d57281b
21,21,0,5e085e08f4ff04000a000a00d605e60526000600e6ffe6ff62fe90febe009e00,ec36ec36193719371137ef36af36af36e936eb36a836a836e236de369c369c36,d836d836d536d436e636e836d436cf369e369d36e536e6361e371f37e036e036,e536e436ec36ec36e636e536e436e4369b645d348c16a252544a951654355e65
22,22,0,90085e0814001400faff1a00b605d605160006001600d6ff72fe62fe9e00ce00,0f371037133718371337ed36af36d536e536e736a236a436e036e2369e369d36,d836d736d736d436e636e536d136d1369b369d36e636e7361f371c37e036df36,e636e536ec36ec36e636e636e036e236e622de56523722079c3c4d68581ba708
