Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,800db40d0c00fcffe2ffe2ff5e097e09eeff000082f552f5a6ffa6ff44006400,1037133716371537ed36ef36b136b036eb36e936a236a036e136e2369d369d36,d536d536d636d736e636e636ce36cf36a036a236e636e63620372237de36df36,e636e336ea36ec36e536e736e036e2361b639a1699528906983a9104a0282a04
1,1,0,800d920decfffcff0200f2ff5e097e0910003000b2f552f5c6ffb6ff64006400,0f371137193718371337ef36d436af36e836eb36a036a236e136e1369f369b36,d536d536d536d636e736e736ce36d13699369c36e636e83622371f37de36de36,e336e336ed36ea36e636e636df36e336d92014651529db6860469b6c0f57666a
2,2,0,a20d800d0c00fcffe2ff12005e098e0910000000b2f5b2f5a6ffa6ff54006400,1237113719371637ef36ed36d436d336e936e936a136a036de36e2369d369d36,d536d636d536d536e636e536ce36cf369f369e36e636e73622372137dd36de36,e436e436ec36ec36e536e436e036e136d54468041e291e0269221305970a980a
3,3,0,800da20decfffcfff2ff22006e096e090000100072f5b2f5d6ffe6ff64007400,1337113716371837ed36ed36b036af36ec36eb36a336a436de36e0369c369f36,d536d536d636d436e636e636cf36cc36a136a036e636e73620372137df36de36,e436e536eb36e936e936e536e036e036eb400c6b9852e568a65ca666686ae956
4,4,0,800db40dfcff0c00120012006e094e09eeff0000b2f5a2f5a6ffd6ff84006400,1137113718371837ee361437af36d536eb36eb36a136a236df36e0369f369b36,d536d536d436d736e636e536cf36ce369e369f36e836e63620372237e036de36,e336e436ec36eb36e636e736e236de369024e3028e0a62059d0623172a04a228
5,5,0,800d700decfffcff1200f2ff2e097e091000eeffc2f5c2f5c6ffe6ff64005400,13371037183717371237ee36d536af36e936eb36a036a036e136e0369c369b36,d436d636d636d536e536e736cf36ce36a1369e36e736e83621372137de36df36,e436e336eb36eb36e636e736df36df36d06014679d665157636cd848606ce436
6,6,0,800da20dfcffccfff2fff2ff6e094e0910003000d2f582f5e6ffd6ff64005400,1137113716371737ee36ee36d336d436e936ee36a136a036df36e1369c369c36,d436d536d436d636e536e536cd36cf369f36a236e536e83622372237de36dd36,e4360837eb36eb36e736e536e036df36e80622138a021e2354041d37ac051349
7,7,0,800d800d0c000c00120002006e094e09eeffdeffa2f5b2f5e6ffd6ff84004400,1237113716371637ed361137af36d336eb36ec36a036a236e136e4369d369b36,d436d536d736d536e636e536cc36cf369f369d36e736e63622372337de36de36,e236e436eb36ec36e536e736e236e136626ae052896a5d375c6a632892640f17
8,8,0,920d800dfcff0c00e2fff2ff4e095e09eeff300092f5b2f5c6ffc6ff84006400,1037133717371637ee36ee36d436b136e836ea36a036a036e036e0369c369b36,d536d536d536d536e736e736ce36cd369d369d36e736e6361f372337de36dd36,e636e436ed36ea36e636e736e336df369702d03210038e44cf124d58a01ad566
9,9,0,700da20d0c000c00f2ff02005e096e090000100082f5a2f5b6ffb6ff7400e400,1337113719371637ec361137b036af36eb36e836a336a336e136e1369b369e36,d536d536d536d436e236e536ce36ce36a1369f36e736e63621372037df36e136,e436e336ec36eb36e436e636df36de365c6aa12a95642417d95665122245e804
