Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,c001d0010200220000000000ec10ec10520f700f04f214f2e4fde4fdf6ffe6ff,12370e3716371837ec36ec36ae36b036e736eb36a0369b36e136e03698369b36,d636d536d536d836e636e636cd36cb369d369c36e936e73624371f37df36e036,e536e436eb36ed36e436e436e136df3612579812e444240311354b04221bb104
1,1,0,c001c00122001200f0ff1000dc10ec10240f700fd4f124f2d4fd94fd06000600,1137113718371737ee36ed36d336ad36e836e9369c369f36e236e2369b369a36,d636d536d836d536e736e736cd36cc369d369a36e636e8361f372137df36df36,e536e436ec36e936e436e536e036e03654269068d936606a0e4c4a6c1f642267
2,2,0,e001e001f2fff2ff00000000fc10dc10420f240f04f204f2c4fdd4fd16001600,1137103717371737ef36ee36ae36ae36e836e936a0369d36dd36de369b369936,d836d736d536d636e936e836cd36ca369c369836e936e53621371f37e036e036,e236e3361037ed36e536e436e136e0361b37a80291245a025316280715079415
3,3,0,c001c001d2ffe2ff2000f0ffdc10dc10700f520fe4f1e4f1d4fda4fd16002600,11370f37193719371137ed36af36b036e836e736a0369e36df36e0369b369e36,d536d436d636d636e636e536ce36a8369f369936e836e83621372237de36df36,e336e636ec36ea36e736e536e136e036a046db6acf56d4666368db5a536b994a
4,4,0,2c02e00102000200f0ffe0ffbc10ec10420f420fe4f114f2b4fd94fd0600e6ff,10371137163716371237ec36af36d436e936e5369e369d36e136e2369b369836,d536d536d736d636e736e736cd36ce3698369b36e636e73621372037dc36de36,e336e636ec36eb36e436e736e436df361517d404a6061509a704952426035a35
5,5,0,d001c001f2ff020010002000fc10ec10340f520f04f244f294fd94fd06000600,0e371037163718371237ee36ae36af36e836ea369e369b36e036e0369a369d36,d536d236d636d536e536e636cb36ce369a369836e536e83620372037df36de36,e336e436ea36ec36e336e436dc36de36a3649164a1680e539f6c4c3ca36a2e29
6,6,0,c001e00122000200f0ff1000ec10ec10340f160fe4f124f2d4fdd4fd26000600,1037123718371837ec361237af36af36e836e8369b36a136e036e4369d369936,d636d336d736d536e636e836cd36ce369c369b36e636e73623372037df36e036,e336e336ec36eb36e536e236e136df36a5042e171e028f28e004d13c27098e55
7,7,0,d001f0011200020000002000fc10dc10240f240fe4f114f2e4fda4fd06001600,1237123717371837ed361437af36ae36ea36e7369f36a036e136e0369d369d36,d336d336d536d736e736e736cd36cd3699369836e936e73621372037df36e036,e636e336e936ec36e436e436df36e036df6a5d460969d432176716248d57ea0a
8,8,0,f001e00102000200e0ffe0ffdc10ec10700f420f04f214f2d4fdd4fde6ffe6ff,1137123717371637ee36ee36af36b036ea36eb369d36a136e136e0369d369c36,d636d536d736d736e536e636ce36cd369c369936e636e73620372537e036df36,e236e336eb36ed36e436e236e036df36d50265381e051952a616585c1c272869
9,9,0,e001f00102000200e0ff1000ec10cc10420f420f34f2c4f194fdc4fd1600e6ff,11371137193717371237ed36ac36af36e836e8369d369b36e036e03699369d36,d536d636d736d736e736e736cd36cd369b369936e936e83621372137df36df36,e336e236eb36eb36e336e536df36df365c68e824965813138c4a0c0790375a04
