Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e636e536d236d336aa36ab364b374b371d371937df34e234b936b8360a37e236,103711371637183711371137d536b036ea36e736a0369f36de36de36a0369b36,d536d736d536d736e736e836ce36cc369e369d36e736e9361f371f37dd36df36,e536e636ed36eb36e636e636dd36df36a302d0266102273793086854ea166e64
1,1,0,e636e736d336d536ab36aa364a374a371a371b37e334e634b936b836e236e536,1037113717371637ee36ee36af36d336e936e9369e36a036e036de369b369e36,d936d736d736d536e536e736ce36ce36a136a036e536e6361e371f37dd36e036,e436e436e936ec36e536e736e036df36da6aa436a1662423635adb141949ae05
2,2,0,e636e536d336d336ab36ac364c374e371c371937e034df34b536b7360a37e536,1037103716371737eb361337d536af36e936e8369e369c36e036e0369d369a36,d636d736d836d836e836e436cc36cb369d369c36e736e6361f371f37e136dd36,e53609371037ec36e636e436de36e03610051a47560a10570d25a168dc36606c
3,3,0,e636e636d436d436ab36aa364c374f3719371a37e034e534b736b836e436e236,10371037163718371337ee36b036d436e936e9369d369f36de36dd369d369936,d536d236d636d636e736e936cc36cd369f369c36e836e6361f372037dd36df36,e636e436eb361037e536e636de36df362063a316a6529106a03a9704a7284f04
4,4,0,e436e336d336d336aa36ac364e374d371d371937e334e034b636b536e736e736,11370f3716371637ef361137b036d336ec36e8369e369b36df36df369c369c36,d436d536d636d836e936e936cd36a8369d369a36e536e83621371e37dd36dd36,e536e636ed36ec36e636e436de36e036d0201065db28d4685646996ce856686a
5,5,0,e236e536d336d236ab36aa364a374e3719371c37de34df34b636b636e636e636,1137103718371937ef36ec36af36b036e836e836a0369f36df36dd369b369d36,d636d736d636d636e536e836cc36ce369b369a36e736e5361f372137e036e036,e636e436eb36eb36e736e536e036e136e24469042a2a1c0294220f059b0a940a
6,6,0,0b37e536d336d336a936ab364d374c371a371837de34e334b936b836e536e636,1337eb3617371637ed361337d336d536eb36e9369d369f36dd36dd369d369936,d636d536d636d736ea36e536cc36cc369c369b36e536e63620372137de36dd36,e536e536ed36ec36e336e636e036df36de38106b5f52de68a15ca966646a1157
7,7,0,e636e536d436d336ab36ab364d374c3719371a37e434e334b636b936e636e436,0f37113718371737ec361237ae36d336e936e9369f369e36de36dd369c369f36,d636d636d836d436e636e636ce36ce369d369d36e736e6361d372037e036df36,e336e436ec36ea36e636e536df36dd369c24df02980a5505a3061e174f04a028
8,8,0,e636e636d336d336ab36ab364d374e371c371937e334e334b536b836e536e436,1137113717371537ed36ee36d536b036eb36eb36a036a136de36de369d369f36,d536d836d536d736e536e636ce36cf369d369c36e536e83621372037df36e036,e236e336eb36eb36e636e636df36de36a56019678e665557686cdf48616ce836
9,9,0,e336e736d336d336a936ab364a374b371a371a37e634de34b636b936e436e336,0f37103717371737ee36ee36af36ae36e836e8369d369e36e036dd369c369c36,d736d736d636d736e536e536cc36cf369d369f36e636e5361f372137df36e136,e436e436e836eb36e636e736dd36df3610071a138c02da2256041a37ab051049
10,10,0,e436e636d436d236ab36ab364d374c3718371837de34e234b636b6360a37e436,1337ec3616371637ee361337d436b036ea36ea369f36a036df36de369c369b36,d536d736d736d836e836e636cd36cd369c369e36e736e7361e372037de36dc36,e636e436ed36ec36e536e536e136dd365e6ae8525f6a9038606a902898641617
11,11,0,e436e436d336d336ad36a8364d374d3719371a37e234de34b636b836e536e436,0f370f37183717371237ef36ae36d336e836ea369f369c36de36de369c369f36,d836d736d736d736e736e636cd36ce369d369f36e636e7361f372037e036df36,e636e636ec36ea36e536e536df36dd3695029f2ae0022543d01221589d1aaf66
12,12,0,e536e536d136d236ab36ac3650374c3719371c37e034de34b636b736e636e636,1037113718371737ed361237af36af36e936e9369d369e36de36e1369c369d36,d436d436d736d636e536e636cc36cc369f369f36e536e63620372037df36df36,e636e436e936ea36e536e536e036e136616ad032a0645517de5694122b451005
13,13,0,e436e436d236d436ac36ae364c374b371a371937e234df34b436b636e2360c37,0f37123717371737ef36ee36af36b036eb36ea36a1369f36e036e0369c369b36,d736d636d636d736e836e736ce36cd369b369d36e736e6361f372137e036df36,e536e636ed36eb36e436e636e136de36e706e352e1149562d528956ad5429c6c
14,14,0,e536e536d336d336aa36ab364d374b3719371c37e334e534b436b736e636e536,1237113716371737ee361237af36b036eb36e9369e369d36de36de369d369d36,d536d536d736d836e736e636cb36ca369d369c36e636e73621372037e036df36,e436e436ed36ed36e536e436e136e036d1602313d1469404d5365004df1c9904
15,15,0,e436e436d436d236af36ab364c374e371a371837df34e234b836b6360b37e436,1137113716371837ed36ed36b036b036e936e9369c369b36df36e0369d369c36,d736d536d636d636e736e836cd36cd369c369d36e736e53620371f37e036e036,e536e636ed36ee36e736e636e036df3690241467e2344e6a2349606c915a9768
16,16,0,e436e636d436d436ac36aa364c374b371c371937e334e334b836b736e436e236,0f371037173716371237ee36b036b136ea36ea36a2369e36e136de369c369e36,d536d736d636d636e836e936d036cc369e369c36e336e7361e372237df36e036,e436e436eb36ec36e536e536df36de36eb40e20262252602de16db066407e414
17,17,0,e336e536d336d536aa36ac364c374e371d371c37e234e234b636b836e436e536,1337103717371737ec36ed36af36d536ea36e8369e36a036dc36de369d369a36,d536d436d436d536e736e736cc36cd369e369c36e636e4361f372037e036e036,e436e536ec36ec36e536e436db36e036d244106b10554b67e5665f5c166b5a54
18,18,0,e436e236d436d136aa36a9364c374c371b371c37e434e534b936b936e636e136,1237113717371737ed36ed36b036b036ea36eb369e36a036df36dd369b369b36,d636d536d736d736e836e736cb36ce369d369d36e736e63620372137df36df36,e536e536ec361037e636e636dd36de36d92069044f076207e604d9221e039234
19,19,0,e336e536d436d236aa36ab364f374c3719371c37e234e634b736b836e436e436,13371337173716371237ee36ad36d436e836e8369d369e36df36dc369b369e36,d836d636d536d636e736e536cd36cd369d369d36e436e43620371f37de36df36,e436e436eb36ec36e436e536de36e036196314655767d754a06c113de26a122b
20,20,0,e636e436d236d436ad36ab364e374b371c371937e534e234b936ba36e236e536,1137123716371637ef36ec36b036d436e936e9369f369e36dc36e0369c369a36,d636d736d736d636e736e536cd36cc369d369e36e636e5361f371d37dd36e036,e536e436ec36eb36e536e536df36e0361305991624029e269e040f3cac08b054
21,21,0,e436e636d336d436aa36ab364e374d371a371c37e034e334b736b936e636e536,1237133716371637ec361237d236d436e936eb369e369e36dc36e0369e369e36,d636d636d636d636e736e636ca36ce36a0369d36e636e53621371f37df36df36,e436e536e936eb36e636e536de36df36d76a2747246aa5346868ce242059940c
22,22,0,e536e636d336d436ac36ab364e374c371b371c37e234e634b836b7360a37e336,14370f3717371737ed361337b036af36e936e9369f369e36de36de369d369736,d636d736d736d536e536e536cb36ca369f369d36e636e73620372137de36de36,e536e536ec36eb36e636e536df36df36a5029736a0040f471415a35a5c25db68
23,23,0,e436e536d436d336a936ac364d374d371a371c37e234e234b636b536e036e636,123712371737153712371237ae36d436e836e9369f36a236dc36df369c369c36,d636d536d636d536e736e736ce36ce369c369d36e536e6361f372237e036e036,e436e636ed36eb36e536e436df36de36cb68db268862d01449545608583a6a04
24,24,0,e636e436d436d236aa36aa364f374c371c371a37e034e034b636b536e536e536,1137103716371737ee361237b036b036e936ea369c369f36df36de369b369b36,d436d836d736d836e936e836cd36cd369d369d36e536e43621372137e036e136,e536e336ec36ed36e536e436e036df361c1197568d17d164aa34216ca445976c
25,25,0,e636e536d336d536ac36a9364c374e371a371c37e234e434ba36b836e636e236,0f37133717371837ed36ed36d536af36ea36e8369e36a136dd36db369e369d36,d636d636d536d636e836e736cd36cd369b369d36e636e4361e372137de36e036,e636e536ed36ec36e436e636dd36de362055d8081143de020834250421192305
26,26,0,e536e536d336d236aa36ac364e374d371c371a37e234e234b836ba36e436e636,11371037173718371337ee36d436af36ea36eb369e36a136de36df369d369b36,d636d636d636d736e836e636ce36cc369a369d36e736e63621372137df36e036,e636e636eb36ec36e636e736dd36e1363027e368ce38616a0c55dc6ae3648c65
27,27,0,e436e436d436d436ad36ab364b374c371c371a37e534e234b836b736e436e436,1237123717371737ef36ee36d436af36ea36eb369e369f36de36de369b369f36,d736d536d636d536e636e836cc36cd369e369d36e636e4361e372137e136de36,e436e336eb36ec36e636e736e036df3617359c028b1a96026214e21091056417
28,28,0,e636e336d336d236aa36aa364c374d371e371d37e034e334b936b736e436e436,1337123716371737ef36ef36b036af36e936e9369f369d36df36de369a369c36,d436d536d736d836e836e736cc36cc369f369c36e736e6361f371f37de36e036,e636e536eb36ea36e436e536df36e0369f48cd6a8c585e66e4680f596a6c9148
29,29,0,e436e636d436d336ac36aa364c374d3718371937e634e434b636b536e636e536,113711371837163712371137b036d336ea36e9369d369f36de36dc369b369c36,d636d736d636d536e736e636cd36cd369e36a036e536e6361e371f37e136df36,e336e636e936ea36e636e536de36dd3625152d052405e7126604922658046537
30,30,0,e736e636d336d336aa36ac364f374e3719371837e234e534b836b936e436e536,1137103715371837ed36ee36b036b036e736e936a136a036de36dd369d369a36,d236d736d536d636e736e936a736cc369e369936e736e73621372037dd36df36,e336e636ec36eb36e636e636de36dd365766d062e0682452996c1e392b692127
31,31,0,e336e636d336d336ab36aa364d374c371b371c37df34e434b436b736e636e636,0f371137173717371337ef36af36b036e836e9369c36a036dd36dc369c369d36,d636d636d636d636e536e736ce36cd369b369e36e736e4361f372137e036dd36,e336e536ea36ec36e636e636de36de3631032f221e025e2a2a05e246e80a6457
32,32,0,e436e636d336d336ad36ac364d374b371a371b37e234e334b836b736e636e536,1237103715371837ec361137d236d436eb36e6369e369c36dd36de369c369836,d636d436d636d736e636e736cc36cd369f369d36e536e7361f371e37df36de36,e336e436eb36ea36e636e536dd36de36106b5e44cd68a12864660f1996552d09
33,33,0,e336e336d236d436aa36ab364d374e371c371937e534e434b736b836e636e536,10371237173716371237ee36af36d336e836eb369f369936df36dc369c369b36,d536d536d636d636e836e636cd36cf369f369e36e436e4361f371f37de36df36,e436e3361037e936e536e536de36de3612036a42a006de52981819662429a06a
34,34,0,e636e536d336d336aa36ac364d374f371b371b37e034e234b836b836e3360a37,123711371537163711371237af36d436e836e9369d369f36e036e0369c36a036,d536d536d736d636e836e636cd36cc369e369d36e736e83620372037df36dd36,e636e336eb36eb36e536e436e036e136d6661423e05621095c4864065f352803
35,35,0,e636e536d436d536aa36aa3648374c3719371937e234e434b636b936e736e636,11370f371637173711371037d336d436e936e8369e36a236de36dc369b36a036,d636d436d636d536e536e636cc36cd369b369d36e536e6361f372137de36e136,e436e436eb36eb36e636e736df36df36911420626024d566a238926c964a546b
36,36,0,e636e336d436d436aa36ab364e374d371c371937de34e234b736b736e436e736,113711371737153711371237d336d436e736ea369e369d36dd36e0369b369b36,d536d536d636d636e836e936cc36cb369c369a36e736e63620372037e236e036,e336e436eb36ec36e536e636dc36dc366c52a7060c3758020c275e049b150e07
37,37,0,e336e636d436d336ab36ab364d374c3719371c37e434e334b836b836e3360a37,eb360f37183718371237ed36af36d436e736eb369e369d36df36dd369a369d36,d736d636d536d836e536e536ce36ce369e369c36e736e63620372237de36e036,e436e536eb36eb36e436e536dd36de362233926ad244596a9d581d691b672264
38,38,0,e436e636d436d336aa36ab364b374c3719371b37e234e334b836b636e336e536,1137133715371537ed361137d336d436e936e9369b369d36df36e0369e369d36,d436d436d736d636e936e636cc36cc369e369c36e636e73621372137df36e036,0837e336ec36ec36e336e536dc36e03620299602db161c0323121f14d7041c1b
39,39,0,e536e536d436d536aa36ab364c374d3719371c37de34e434b836b736e536e436,1037113716371937ee361237ae36d336e736e9369e369d36de36dd369d369f36,d736d636d636d536e836e836ce36cc369e369f36e636e63621371f37dd36df36,e336e336eb36ec36e536e436e136df36645426690c635864cf6a60569e6ca244
40,40,0,e536e236d436d636a936aa364a374c3718371837e034df34b736b836e6360a37,1337113716371637ec361337d436af36ea36e9369f36a036e136de369f369c36,d736d736d636d636e836e536cf36ce369e369e36e436e43622372037de36de36,e436e3361037eb36e736e536dc36e036d2122c075503601523046332ab046244
41,41,0,e636e636d436d336ac36aa364d374d371c371937e334e534b736b736e436e536,11371037173716371237ee36d536ae36e936e936a136a136de36de3698369b36,d636d536d636d536e736e736ce36d0369d369e36e536e73622372137e036dd36,e436e436ed36ec36e536e636dd36df365b685558566a4d454d6c4d362e675c1b
42,42,0,0937e436d436d436aa36aa364c374e371c371c37e234dd34b736b336e536e436,10370f3718371637ee36ec36d336d336ea36eb36a0369e36dd36df369b369d36,d436d636d736d636e836e636cd36cc369d369d36e736e53621372037df36e036,e636e436ed36ec36e536e636dd36e036d802ea2451028a361c07a64a5c15e662
43,43,0,e536e336d336d436aa36ad364d374c3719371b37e334e334b736b836e436e536,1137113716371637ef36ee36af36d336e736e8369c369e36de36de369b369b36,d636d736d836d436ea36e836cd36cd36a0369d36e536e63622372137df36df36,e436e636ec36ea36e636e436da36dd36e56a64380b67dd24145c6a16d54a2207
44,44,0,e536e636d436d236a936aa364f374d371a371a37e534e834b636b836e236e636,1037113717371737ee361137b136af36eb36e836a0369f36de36df369c369d36,d436d636d536d636e736e736cc36cd369e369d36e636e73620372137e036df36,e336e436eb36ec36e636e636de36df36a3045e46d5086056592452681a352a6b
45,45,0,e636e536d236d336a936a9364c374d3719371a37e534e434b836b836e336e236,1037113717371737ef36ed36b136af36e936e9369d369f36db36e0369d369d36,d636d336d536d536e636e636cc36cd369d369c36e636e7361d372037e036df36,e336e536ec36ed36e836e636df36e036a664581758540d07673cce046a2a2203
46,46,0,e636e536d336d336aa36a8364d374c371b371937e234e334b736b636e436e436,1037ec36173717371237ed36d436af36ea36e6369f369f36dc36de369c369c36,d636d536d636d736e536e736cd36ce369e369c36e536e6361f371e37df36dd36,e636e436eb36eb36e636e836de36de361517906416278d68963c9f6c5355ad6a
47,47,0,e336e636d336d336aa36ab364c374c3717371c37df34e634b836b836e536e536,1237103717371637ee36ed36d636af36e936e636a036a036e036df369c369e36,d736d636d336d436e836e536a636ce36a0369c36e836e53620372037df36df36,e336e436ed36eb36e536e536df36df36a246d40422331e024d24d304200b1a09
48,48,0,e636e436d436d436ab36aa364e374c371d371a37df34e434b636b636e436e536,13371137163718371237ef36d336d336e936ea36a0369c36dd36de369c369c36,d536d636d536d636e736e736cd36cd36a0369b36e436e6361f371f37de36df36,e3360937eb36ec36e836e636df36dc361c37df6a0052156a1a5c48681c69a658
49,49,0,e436e536d436d436ab36ac364b374e371d371c37e534e334b636b636e736e436,0f37113718371737ee36ee36af36d236eb36eb36a0369e36e136dd369b369f36,d536d636d836d636e736e536cc36ce369d369d36e536e5361f372037e036de36,e436e536eb36ed36e636e636df36e0362f26d1025913df04100797165c04de26
50,50,0,e436e336d536d336aa36ab364c374d371a371b37e534e634b836b736e636e436,1337113716371837ed36ee36d536b036ec36e9369e36a036de36de369c369d36,d736d536d636d536e836e636cd36cd36a0369936e736e5361f371f37de36df36,e436e336ec36ed36e636e536de36dd36115769681765d758536c9f4a926cad38
51,51,0,e636e536d336d436aa36ac3649374c371c371937e734e234b836b436e336e636,0f3712371a371637ee36ee36d336d236e736ea369f369e36de36de369a369c36,d536d536d636d236e536e736cd36cc36a0369d36e636e5361e372137e036de36,e236e436eb36eb36e636e636df36e03668089712a0020c192404573663052c47
52,52,0,e436e336d336d336ab36aa364c374d371a371937e334e534b836b8360a37e636,1037113716371737ec36ef36d436b036e936e936a0369d36e036e1369d369b36,d836d636d736d636e836e836cc36cd369f369d36e536e73620371f37df36de36,e536e4361037ec36e836e536e036e0361d69a754866a8a42a56a59321b65a618
53,53,0,e436e436d436d436a936ab364d374c3719371937e234e334b836b736e436e336,1037113717371637ee36ec36b036b036e836ea369e36a136df36de369c369c36,d536d536d636d536e836e636cf36ce369f369f36e536e5361f371f37de36dd36,e636e6360f371037e636e636e336dc369802dc28a2028e4251126a56e2183065
54,54,0,e536e436d336d336ac36ac364e374b371b371737e534e534ba36b836e436e536,1137103718371637ef36ef36b136b036e936ea36a1369d36de36df369b369d36,d636d636d636d536e736e736cc36cc369c369e36e636e73620372037e136df36,e436e436eb36ec36e536e536de36df369b6a91341865e71896581814ea465305
55,55,0,e636e636d436d536ac36ab364b374d371a371a37e434e034b636b736e536e536,1037123715371637ed36ee36b036b036ea36e8369d369e36dc36df369d369d36,d536d436d736d636e536e636cc36cd369f369f36e536e63620371f37df36e036,e736e336ec36eb36e736e536dc36e03695061e495e14dd5816274b6a1239956c
56,56,0,0b370b37d336d336ab36ac364d374c371b371a37e334e234b736b636e536e436,11371037173716371237ee36b036d536ea36e7369f36a036dd36e0369f369d36,d736d336d436d636e636e636cd36ce369d369f36e436e6361f372037dd36df36,e536e436eb36eb36e536e536dd36dd365c62d0140052e504963859049c256204
57,57,0,e636e336d536d536ab36ab364c374d371b371c37e334e034b836b636e436e636,1237103715371637ec361137d336d436ea36ea36a136a436dd36de369b369d36,d736d636d636d636e536e636cc36ce36a3369c36e836e43621372137de36df36,e336e436eb36e936e536e736df36de36d022a1661f33166a6648906ce458e968
