Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,00001000fcffcaff1200e4ffe6ff06000200f0ffa8e958e9e0ffe0ff74008400,1237113718371737ef36ef36d436d436e836e936a136a136df36e1369e369e36,d736d436d636d636e736e736d136d2369c369936e636e7361f372337e136df36,e236e336ee36ed36e836e736df36df369220e7044c071b091d0554246a041035
1,1,0,000000000e00ecff1200e4ff06001600f0ffe0ff78e978e91200120044002400,12371037143717371237ef36b036af36e936e936a436a436e136de369e369c36,d736d936d536d636e736e736d036d036a0369d36e836e7361f371f37df36e036,e436e336ec36ec36e736e636df36df362663636452672153576c9b3c686aa22a
2,2,0,eeff0000fcffecff1200020006000600f0ffbeffa8e978e92200f0ff64006400,1337133715371537ed361137b036af36e736eb36a336a036de36e03699369e36,d636d836d536d536e736e736cf36d1369e369e36e836e7361f371f37e036e036,e436e436ed36ed36e636e536e036de3619052b178d0254271105523c2e091455
3,3,0,00000000ecfffcff02000200e6ff1600f0ff020078e938e9beff220084007400,13371237183715371437ee36ae36d336e836e836a236a436e136df369c369b36,d736d636d436d536e836e636d136d036a0369e36e836ea3620371f37df36dd36,e336e636ec36ed36e736e636df36dc36976a9446d0682633126796249958660c
4,4,0,00000000dcffecff020012000600160022003400b8e9a8e9d0ff120044007400,103710371637163712371137af36d436e736e736a036a436df36dd369b369b36,d636d636d636d536e536e736cd36cd369a369c36e736e73620372037e036de36,e536e4361037eb36e736e536de36e03619031a374f058e489816a35adf26ac68
5,5,0,10001000fcff0e000200f4fff6fff6fff0fff0ff98e988e90200e0ff54005400,1037123716371637ee361137d436af36e936e836a336a036e136df369f369d36,d736d636d636d536e636e636ce36cf369d369c36e636e8361f371f37dd36df36,e336e436ec361037e636e836df36e0361f676326a0589814cd4a6508dd38a804
6,6,0,10001000fcffecffe4ff0200f6fff6ff0200120098e988e90200320054007400,11370f37163716371337ef36d436b036e836e936a336a236e136df369c369f36,d536d436d636d636e636e736cf36cf369c369c36e936e8361e371f37df36e036,e436e236ea361037e636e536de36de36d212db562a1adf6419350a6c1547286b
7,7,0,000000000e000e000200f4ff0600060002000200a8e978e91200d0ff74005400,1237113716371637ee361237b136b036e836e836a036a436e036e1369d369c36,d436d636d636d736e736e736cf36cf3699369d360e37e7361f371d37dd36df36,e436e336ed36eb36e836e636dd36e0369054cc08634217039e3291040f19a305
8,8,0,0000eeff0e000e00f4fff4fff6ff060002001200b8e958e90200120074005400,1237103714371537ef36ee36d336d536e736e836a236a036de36e2369f369b36,d536d736d636d536e736e936ce36ce369d369a36e736e6361e371e37de36e136,e236e436ec360f37e836e736dd36de36e228d4689042206a1e56676ae864e664
9,9,0,000000000e000e00120022000600e6ff02000200a8e998e9e0ff220074005400,1237123715371637ee361137b036af36e836e936a436a036e036df369d369d36,d236d636d536d736e836e536cd36cf3698369836e736e73621371f37e036de36,e336e536ec36ec36e836e736e036df369234de022019150366145c12a005eb18
10,10,0,eeff2000fcfffcff020022001600e6ff1200f0ffa8e978e91200220074007400,1037103715371437ee36ee36b036d436e836e836a336a036df36e0369c369d36,d536d436d536d536e836e736cf36cf3699369c36e536e83621372237de36df36,e436e3360f371037e736e836e036dd3615492a69cd58dc64d8689158286b1147
11,11,0,0000eeff1e000e00e4ff12000600f6fff0ff020098e998e91200220054005400,1037123716371537ed361337d336d536e936e736a136a136e136de369c369e36,d436d536d536d536e736e936d036cf369a369836e436e5361f372137e036df36,e336e336ec36eb36e636e736df36e036e714d9064d05a314a7040a27aa04e238
12,12,0,20000000ecffecff0200e4fff6fff6ff0200f0ffa8e9c8e90200f0ff74007400,1237113716371737ef36ee36d536af36e836e636a236a036e036df369d369b36,d236d436d636d536e836e836cf36d0369a369d36e536e5361f371d37e036de36,e136e236ed36ec36e936e736df36df365c662062d5685e47496cd438ac68dc26
