Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,d8f2b8f2fcff0e00b2f1b2f108000800ecff0c0012ede2ecf2ffc0fffeffbeff,12370f3716371637ed361237ab36d436ea36e936a0369f36dd36de36a0369d36,d736d736d536d436e836e736cf36d03699369936e736e63621372037e036e136,e536e436ed361037e736e536e136e1362f42a26acc528968a3645066526a9155
1,1,0,b8f2d8f20e00fcffa2f1a2f118001800ecff0c0022ede2ece2ffd0ffdeffaeff,133713371537163711371237b136b036e936ea36a136a036e036e0369f36a036,d536d436d536d536e636e836d036ce3699369c36e536e8361d371f37df36df36,e236e436eb36eb36e636e736e036e03630235803870ae006d906981898042029
2,2,0,d8f2e8f20e00fcffc2f1a2f1f8ff2800fcfffcff12ed22edf2ffe2ffeeffdeff,103712371737163712371237af36d436ea36eb36a036a436df36dd369e369d36,d636d736d636d636e836e936ce36ce369b369c36e636e73621371f37e136de36,e636e436eb36ec36e636e636e136df36d0609a668e66a656226c6848ea6a9935
3,3,0,b8f2e8f2fcfffcffa2f1a2f1f8fff8ff2c001c0022ed62ed0400e2ffeeffceff,1337113716371537ed361137b036af36eb36e836a536a136e036e0369d36a036,d436d736d636d536e836e936cf36d1369a369a36e636e6361e371f37df36e036,e436e436ed36eb36e636e736e336e13615079f14a2028f249e0460382a07554a
4,4,0,a8f2c8f2dcffecff92f192f1f8fff8ffccffecff12ede2ecd0ffe2fffefffeff,10371137163718371437ef36ae36b036e836e936a336a436de36dc369d369c36,d236d536d436d436e736e636cc36cd369a369936e836e83620372237e036df36,0937e536eb36ea36e536e636e236e2361e696a52196a1037e26854281563e616
5,5,0,e8f2e8f2ecff1e0092f1ecf1d8fff8ffdcffdcff12ed02edd0ffe2ffdeffdeff,113713371737163711371137ae36af36e836ea36a2369e36de36de369d369d36,d536d636d636d636e836e836ce36d1369a369936e936e6361f371e37df36e136,e536e336ed36ea36e536e536e136e136e00219336404a84425144e581e1bad66
6,6,0,f6f2c8f2fcfffcffc2f1a2f1f8fff8fffcffecff12edd2ec9effd0ffdeff1e00,1237113716371637ee36ee36d336d336e936e936a436a236de36e0369f369f36,d636d536d536d636e836ea36cf36ce369c369a36e636e73621371f37de36e136,e436e236ed36ed36e736e436e136e136e5685b291563181765569812b0442705
7,7,0,c8f2c8f2ecff0e0092f1a2f1f8fff8ffccffecffd2ece2ece2ff2600ceffceff,1337103717371737ee361237d336d336eb36ea36a136a036e036de36a1369e36,d636d436d436d636e736e836cf36ce369a369936e636e83620372137e036e036,e336e4360f37ec36e736e536e136df366a081b539c16cc6228295c6a2444546b
8,8,0,b8f2d8f2fcfffcffa2f1a2f10800d8ffecffccff02ede2ec0400d0fffefffeff,123712371937183712371437af36ae36e936ea369e36a236de36de369b369d36,d636d536d436d536e936e736cf36ce3699369936e736e63623372137dd36de36,e236e4361037ea36e636e636e136e23626571d134c45a30466369404a01c1205
9,9,0,d8f2e8f2fcfffcffa2f1b2f1f8ff0800dcffecff42ed22edf2ffd0ffbeffceff,1037113716371937ed361237b036af36e936e9369f36a236df36de369f369c36,d636d636d636d536e736e636cd36cf369b369836e836e83620372137df36de36,e436e436eb360f37e736e736e336df36e924e7668d360f6a5f4a0e6c9c5a1867
10,10,0,e8f28af2ecff0e0092f192f108001800dcffecff12ed32ed04004800defffeff,1137113715371737ec361137ae36b036e936e936a1369f36de36e036a036a136,d736d436d536d636e836e936ce36ce3699369936e536e43623371f37e236de36,e436e436eb361037e636e636e036e136973822030d259c02d516500892076615
11,11,0,c8f2c8f20e000e00b2f182f10800e8ffdcffdcff12edc2ece2ffd0ffdeffceff,11371237163717371437ee36d336b036e936e8369e36a136df36dd369c369d36,d636d536d436d436e836e936ce36cf3698369d36e836e6361e371f37e336e436,e436e336ed36eb36e636e636df36e1361e459b6a5656d066d9660b5cde6ada4a
12,12,0,d8f2d8f2dcffecff82f1a2f1f8ff0800ecffecff12ed02edf2ffd0ffceffceff,12371237163716371337ee36b036b036e836e936a036a136de36de369f369f36,d636d536d536d536e836e936cc36cf369d369736e736e63620371f37de36e136,e136e436ec36ed36e736e536df36e036a420e5044b07130917054e246f04e934
13,13,0,d8f2b8f20e000e0092f1c2f1f8fff8ffecffecffb2ecd2ec0400f2ffdeffbeff,12370f3717371737ee361237b036b036e836e9369d369d36de36df369f369f36,d636d536d836d536e936e836cf36cd369c369d36e636e83620371e37e036e136,e336e336ed36ed36e536e736e036e236196391644c672553556c9a3c6c6aa92a
14,14,0,c8f2e8f20e000e00a2f1a2f1f8fff8ffecff0c00e2ec02ed0400d0ffbeffeeff,113710371637163712371437af36af36ea36e936a0369d36e036dd369e369f36,d336d436d636d536e736e736cf36cd369a369c360d37e83621372037e036e136,e536e436ec36ed36e636e536e336e03623051c178d024b271105533c51091155
15,15,0,d8f2d8f2fcff0e00b2f1a2f10800f8ff1c00ecff22ede2ece2fff2ffceffceff,11371337173718371237ee36af36af36e936eb369c36a036e036df36a0369e36,d636d636d436d636e736e936ce36ce369d369c36e836e73621372137df36e036,e336e336eb36ed36e736e636e036df36946aa446d068263314679924a0586a0c
16,16,0,c8f2d8f20e00ecff92f192f10800f8fffcff0c0032ed02ed14002600deffceff,11370f3717371837ee36ed36af36b036ea36e9369d36a036e236df369c369d36,d636d436d536d336e836e736cd36ce3698369936e836e73621372137e036e036,e536e2361237ec36e836e536e136e1361703e4364f055b479416a65adb26aa68
