Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e336e336d536d536ab36ad364a37473715371437ec341935e036e036e436e536,0d370e371437153712371237d536af36ea36e836a936a636e136e0369e36a436,d736d836d436d236e536e036cf36d236a236a236e636e6361d371b37e036e036,e6360937eb36eb36e536e536e436e436116ba444e4681f2998665e22e456940a
1,1,0,e236e336d836d636aa36ab364a3749371537163716351b35e136b936e436e736,0f370f37143714371237ed36d436d336eb361037a936a836e036e036a2369f36,d636d736d436d536e536e436d236d1369f36a136e636e5361e371b37df36de36,e636e6361037ed36e736e436e436e436ea02244296069f521517995ca828666a
2,2,0,e436e336d536d836ac36ad3649374c37143713371635ef34ba36e036e636e436,eb36eb3615371537ee361137b036d336e836ea36a536a836e236e136a136a136,d736d736d536d436e436e436d136d136a136a236e836e6361a371e37df36df36,e436e636eb36eb36e536e736e136e536ea665f244f579b0ad1489606d8362804
3,3,0,e436e336d736d736aa36ad3649374b371437143719351835e036b836e436e536,0f3711371537143712371137af36d536ed36ea36a936a236e236e036a036a136,d536d536d536d636e436e336cf36cf36a1369d36e536e8361e371c37e136de36,e436e436ec361037e536e736e336e1363013de602123cb661137596c16495a6c
4,4,0,e236e036d636d636ac36ad364b374a37133714371b351c35ba36e036e536e436,eb36eb3616371437ee36ee36d336d436eb36ec36a536a636e036e1369f36a636,d536d536d436d436e436e536cf36d136a136a136e836e7361d371f37df36e036,e536e436ec360f37e636e636e536e236d352de068a3790025d284804e716ad05
5,5,0,e336e436d636d836ab36ad364a374b371537163719351b35e036e036e636e436,0f37103714371437ee36ee36b036d336ea36ec36a936a536dd36e136a436a136,d436d636d536d636e536e336d136d1369e36a136e636e8361e371d37de36de36,e436e53610371037e836e636e236e236dc32686a9344926a1b57516ad6666864
6,6,0,e336e336d536d736ac36ad364b3749371437143718351635e136bb360a37e536,ec36eb36183716371237ef36b036b036ed36eb36a936aa36e436e036a036a036,d536d636d336d436e436e636d236d236a136a336e536e53619371e37e236e236,e436e4361037ec36e436e536e336e136912a9402551718036112a412e904a11a
7,7,0,e236df36d736d736ac36ac3649374737153715371a351835bb36b936e536e436,0f370f3717371537ef36ed36af36d336eb36ec36a936a636e236e036a636a436,d236d536d236d636e536e236d136cf369f36a136e636e6361e371c37e036e036,e336e436ec360f37e736e836e436e3361e53596ad8629b64656ace569e6c1c45
8,8,0,e236e336d736d636ae36ae364a374837143714371935ee34e036e036e336e536,ea360f37153717371237ef36af36b136e936ea36a836aa36e236e036a0369f36,d636d736d436d236e136e436d236d036a0369f36e736e7361d371d37e136df36,e436e536ed36ed36e636e636e336e43610131b07990451151f04d3289904de42
9,9,0,e336e336d736d736ad36ab3649374a37133714371b351c35df36e036e436e736,eb360f3715371537ee36ec36af36d536eb36ec36a436a836df36e036a036a136,d536d736d436d436e636e536d136d236a136a036e836e7361d371e37e136e036,e436e436ec36ed36e636e636e436e136246797585f6aa746526ca0366c68d31c
10,10,0,e136e236d536d536ac36ae364a3748371237113718351835bb36e136e636e136,ec36ec3614371637ef36ef36b036b036e936e836a936a836e236e236a136a036,d636d736d636d336e336e536cf36d136a436a136e836e6361b371c37df36e036,e436e436ea361037e536e536e336e336e002a52454024b35cd062249eb14985a
11,11,0,e136e336d836d536af36ac3649374a37133714371a351b35e036ba36e436e536,ec36ed361437143711371137b036d336eb36ec36aa36a636e036e036a036a536,d736d636d436d536e636e736d136d236a636a236e536e7361c371c37df36de36,e636e6361037ec36e436e636e036e3360d6bd3384f675625565cd11629545d07
12,12,0,e536e136d636d636ac36af364a374937143713371e351835df36e036e536e136,0f37eb3613371637ed361137d536b036eb36e836a636a536e436e036a436a136,d536d736d436d536e536e436d236d036a136a136e836e7361c371d37de36e136,e536e4361037ec36e636e536e336e53696041345cc084f56a922da669b34196b
