Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e536e436d636d536a936ad36233748371337143718351d35ba36df36e536e536,0e370f371637143711371137d336d536ec36eb36a936ab36e036e0369d369e36,d736d536d536d536e636e436d136d236a336a336e636e7361b371e37dd36e036,e636e436ec36ea36e536e836e336e5361869cd281e639f161b55e4105a44a504
1,1,0,e336e336d436d636ac36ac3647374837143714371d351e35de36df360b37e536,0f370f371637173711371237d536d336ee36eb36ac36ac36e236e236a136a036,d336d636d536d436e336e536d136d236a136a136e736e7361d371b37de36de36,e436e536ec36eb36e736e536e436e5369308d354dc1657649a32cd6a9f449d6c
2,2,0,e236e336d636d736d136ad3649374937143714371c352035ba36df36e636e536,0f370e371537153711371237d336d336ec36ed36aa36a936e136e236a136a136,d336d636d536d636e736e636d136cf36a236a036e636e6361d371c37df36e036,e336e536ec361037e636e536e436e336e65668120b455203df341504191baf04
3,3,0,e536e336d536d436ae36ac3649374937143713371d351a35e036e036e636e636,eb360e371537163713371237af36d536e936ec36ab36a936e036e2369d36a036,d536d736d636d436e536e736d036ce369f36a136e636e5361e371f37df36e036,e436e436eb36eb36e636e736e436e336642697680e378c6adb4a1d6c1c641667
4,4,0,e536e336d636d636ad36ab3648374737133714371e351e35e036b936e636e636,eb361037153714371337ee36d336d436ec36ea36ac36ac36df36df369e36a036,d536d636d636d536e636e636cf36d136a036a136e536e6361b371e37de36df36,e436e436eb36ec36e736e736e336e4361037a9029e24620225151d07e8069215
5,5,0,e336e336d736d536ab36ad36473746371337163720351d35de36de36e436e736,eb360f371437143713371237d236d336ec36eb36a836a836df36de36a4369e36,d536d436d636d736e636e536d136d136a536a036e836e8361d371d37de36de36,e336e536ec36eb36e736e536e436e136d546e06adf56e7665468ce5a516b924a
6,6,0,e336e336d636d636ab36ad3647374737133714371b351f35de36e036e636e636,12370f371437173712371137d336b036eb36eb36ad36ac36e236e136a136a036,d536d536d636d436e336e636d136d236a236a036e636e6361c371c37de36e036,e336e536eb36e936e436e536e436e236e816dc04d7064f0a9904652420035c35
7,7,0,e436e336d636d636ae36ac3647374937133713371c351c35df36de36e736e436,0f370f371637153712371237d436d436e936ea36aa36ab36e136de36a136a136,d536d436d536d536e536e536d236d136a236a136e836e7361d371d37de36df36,e436e436eb36ec36e536e636e436e636d1646364d5681553936c1d3c9d6a2429
8,8,0,e236e336d636d636ab36ad3647374737133715371b351c35e136ba36e536e636,1037eb361437143712371137af36d436eb36ed36ab36aa36e036e036a336a036,d736d636d636d536e336e536d236d136a036a236e836e5361d371b37e036de36,e236e436ec36ed36e536e536e436e6369e0467182202a328d304a53c29098f55
9,9,0,e636e436d436d636ac36ae3649374a37133714371e351e35df36e036e736e436,1137eb36163716371237ee36b036b036eb36ee36ae36aa36e336e036a0369e36,d536d636d536d536e536e636cf36d136a136a136e636e7361d371c37de36de36,e236e336ed36ec36e636e836e436e536e76a2e461e6ada320a67e1226157e60a
10,10,0,e336e536d636d436ac36ac3649374737133713371e351b35ba36b936e736e436,0f37eb3615371637ef36ee36d336d336ea36eb36a836a836e136df369f36a336,d636d836d736d436e536e336d336d336a2369e36e636e6361c371937de36de36,e436e436ec36ec36e636e536e436e236d902973851051f529816465c1f272769
11,11,0,e136e436d536d536ac36ab3646374937163713371d351c35df36b936e436e536,eb360f3715371537ec361237d436b036ea36eb36ab36a736de36e436a036a036,d536d736d436d436e536e536d236d236a336a136e536e63619371d37df36de36,e336e336eb36ec36e536e536e336e3365568e224a1581e13584ad80662375204
12,12,0,e236e336d636d736ac36ac3623374637153715371b351d35ba36df36e736e636,0f37ec361537153711371437d336d536eb36ea36a836ac36de36df36a3369d36,d536d636d536d536e636e436d336d136a136a236e636e6361c371c37e036df36,e336e336ec36ed36e736e536e536e436dc126558901a626667364f6c8e47666c
13,13,0,e536e136d636d736ac36ab3647374837143715371b351e35df36ba36e636e736,eb3610371537163711371237d336b036e936ed36a736ac36e136e136a336a336,d536d736d336d536e536e636d036d0369e36a336e536e4361c371b37df36df36,e636e436ed36ec36e736e536e336e536595428071d429d02e3281b0460178d05
14,14,0,e236e336d536d736ac36ae3623374637163712371e351d35e036df36e736e536,0e37113716371637ee361137d336d236ed36ea36aa36ac36e236e1369f36a036,d536d836d436d536e536e436d036d336a136a236e736e6361b371837df36df36,e336e436ed36eb36e636e736e236e5365329306ae642966a9856926a6665e064
15,15,0,e436e336d736d536ac36ae3648374837143715371d351c35e036e036e736e536,10370f37143715371437ef36b036d336eb36eb36aa36aa36e336df36a236a036,d736d436d536d536e536e436d136d136a136a336e736e8361c371e37df36dc36,e536e336eb36ed36e636e436e336e4361a339602d518dc02d11252121d051d19
16,16,0,e336e436d536d536ad36ad3647374937143714371c351e35df36e136e736e536,0f3710371537163714371237af36d536ea36eb36ac36aa36e036e036a136a236,d636d636d436d536e536e536d136d036a036a036e636e9361d371e37df36de36,e436e436e936ed36e736e436e636e4369952916a6162e3644b6a4d58956ca245
17,17,0,e436e236d636d736ad36ac3647374c37133714371f351c35e036e136e3360c37,eb360f371737163711371137d536b136ec36ec36aa36aa36e236e0369f36a036,d536d536d436d736e636e436d236d136a336a236e436e6361d371d37dd36de36,e436e536eb36eb36e536e636e436e3366314d206d504d614490425276404533a
18,18,0,e436e036d636d736ab36ac364a374737143713371e352035df36df36e636e836,1037ec361637153713371337d436af36e836e936a736a836e136e0369f36a336,d536d436d436d536e536e536cd36d136a336a236e736e5361c371a37de36df36,e336e136eb36eb36e736e736e536e336e0661461526a4c475f6c4d38d3685625
19,19,0,e336e436d636d636ad36ae3648374837143713371b351e35b936e036e536e736,1037113713371637ef36ed36d236d336e936eb36a836a636e036e2369f369f36,d336d236d536d636e836e536d136d036a2369d36e736e5361e371d37df36dd36,e636e336ec36ec36e636e636e636e436100320232602a43469069b486e0c1b59
20,20,0,e136e236d736d536ac36ae36463723371237153722351a35de36e036e736e336,10370e371537153711371137b036d436ec36ea36aa36a836e236e0369d369d36,d636d536d536d636e336e536d136d136a236a036e736e5361c371d37e136df36,e436e336ec36ec36e536e636e436e436116b5e428f68dd26d0642717ad54a508
21,21,0,e536e536d636d536ad36ab3648374937133712371c351e35b936ba36e636e336,0f3710371637163711371237b136b036ea36ea36a936a636df36e4369c369f36,d636d536d536d436e836e336d236d236a036a336e536e7361e371a37df36e036,e436e436ec36ec36e436e536e336e43659036a445b07cf544b229166eb2ae36a
22,22,0,e036e336d536d536ac36aa3647374737133713371f351c35e036bb36e5360b37,0e370e371637143712371237af36af36eb36eb36ac36ab36df36e0369f36a236,d536d436d436d436e536e436d136d136a236a336e736e7361d371d37df36e036,e536e236eb36eb36e636e536e436e4362e661e214b55a6088f4611056c341d03
23,23,0,e536e436d736d536ab36ae36233747371237123722351a35de36df360a37e436,eb360f371437163712371237d336b036e936eb36a936a936e036e036a1369e36,d536d536d636d636e536e436d136d136a136a036e836e7361f371f37dd36df36,e536e436eb36eb36e436e636e336e2365916dc625d2655685d3a916c5654166b
24,24,0,e436e336d836d636ac36ac3649374837143714371e351b35df36df36e336e436,eb3610371537153710371237d436af36eb36eb36ae36a636e036e136a036a136,d536d736d436d536e736e536d136d136a036a236e636e8361c371d37df36de36,e636e436ec36e936e536e636e436e436944825051e35500223256404df146407
25,25,0,e236e336d736d536ab36d13647374837153712371c352035ba36b936e536e536,0f371137143716371237ee36af36d336ec36ea36aa36ac36e236e1369e369f36,d536d536d536d436e636e336d336d136a236a136e436e63619371d37de36de36,08370937eb36ec36e736e736e536e5362435d06ad4465e6a2359a96894686d5a
26,26,0,e236e336d836d536ab36ab36493747371237143720352035e036df360a37e436,10370f3716371637ee361237af36d436ea36eb36a836ac36e136e2369f369f36,d636d636d536d636e436e536d036d236a136a136e436e5361b371c37dd36df36,e536e536eb36ec36e536e536e336e43624279f0226159c049d109c149404d81c
27,27,0,e336e236d436d736ab36ad364a3723371337143718351d35e236e036e636e536,0f370f37143714371337ee36b036d436ea36eb36a836a936e036e236a136a136,d736d536d536d636e336e436d236d136a236a336e636e7361e371e37de36de36,e336e536ed36eb36e736e636e436e3363256e168a264d062086c9c54986cb142
28,28,0,e436e436d636d636ac36ac3648372437123713371b351e35df36e036e536e536,0e370f371537153711371137d536d536ea36ea36aa36aa36e136df369f369e36,d236d536d436d536e536e636d136d136a1369f36e436e5361d371d37dd36de36,e336e436ec36ed36e536e536e436e4361609e20814035d1719041d34e8042745
29,29,0,e336e336d736d536ab36ad3646374937143716371c351c35b936df36e636e436,11370f3714371637ef36ee36d336d336ea36e836a936ac36e436e2369d36a336,d536d636d436d536e736e636cf36d136a136a136e636e6361b371c37dd36de36,e636e236ed36e936e536e536e436e436d4686b56926a87440b6c5834a966971a
