Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e536e436d436d336ab36ab364b374c3718371c37e034dd34b736b236e536e236,11370f3715371437ee36ec36b036d336956a1d53ac6a0d42dd682027df625e16,ae36d636d536d536e836e936cd36ce369f369d36e736e93620371f37e036df36,e536e436e936ec36e636e436e036df36d436d236503551356738623861376137
1,1,0,e536e636d436d436ab36aa364c374a3717371837e534dd34b236b836e536e436,0f370f3715371637ed361437d536b136ab02dc2a51039c44f6086a56da20e364,d536d636d536d636e636e736ce36cd3699369f36e736e93622372037df36df36,e336e336e936ea36e536e536df36e036d336d636503554356038653862376137
2,2,0,e636e536d636d236ad36ab364c374b371a371937e334e034b536b536e036e436,1037113717371637ef36ef36af36d3366d6ada2a0a66a4186656f20892445403,d436d336d636d636e636e536ce36ce36a036a036e736e73624372137e136e136,e536e336ea36ea36e336e736e136de36d336d4364c3553356138613860376137
3,3,0,e436e436d436d436ac36ab364b37493718371737df34e034b436b436e236e136,11370f3715371537ee36ef36d436b03625071f535d16e6622527e068e538d16a,d436d536d636d636e836e836cd36cf369e369e36e6360e3720372237df36e036,e436e436eb36e936e536e536df36e136d336d5364f355035603863385e376037
4,4,0,e636e536d336d536ae36ab364b374a371a371937e034e034b736b736e036e136,113710371637163714371237d336d336da5858131e47e5045d35d3022723dc02,d536d636d636d736e836e636cf36cf369d369d36e836e7361f372237e036e036,e636e436ec36ed36e636e736de36e136d636d336503553356338633860375f37
5,5,0,e736e536d436d436aa36ad364b374b371a371a37e034e034b236b336e036e036,1337103714371737ed361037af36af36a824296758369a6a7048d96ace60d766,d436d536d636d636e636e736cc36cd369f369c36e736e73623372037e036df36,e436e436eb36ed36e636e536df36dd36d736d7365235503561385f3860375f37
6,6,0,e436e636d436d436ac36ab364b374a3718371937e334de34b536b636e236e436,1037133717371637ef36ee36ae36af361a391b03aa2696026e153005d0061e13,d636d436d536d736e836e736ce36cf369d369c36e636e83620372137df36e036,e336e236ec36ec36e536e636e036e136d636d336513551356538623860376237
7,7,0,e436e636d236d436ab36ab364b374b371a371837de34e034b536b536e436e236,1137133717371737ee36ef36d336d4361145196b5d569b682f65ee624f69a552,d336d436d636d736e536e736ce36ce369c369c36e736e73621372337df36e036,e436e236e936eb36e536e636e036e036d336d63653354f356738633861375e37
8,8,0,e636e636d236d536ac36ab3649374c371a371a37e034dd34b636b336dd36e136,0e3710371637193711371237af36d336e518a404a808e0086c0320196701cd32,d536d536d636d836e736e836cd36cf369b369b36e736e83622372137df36de36,e336e436ea36ed36e536e536df36e136d536d43650354f35663863385f376137
9,9,0,e5360b37d536d136ab36ac364a374a3719371937e034df34b436b236e436e436,1137103715371437ec361237ad36d43655632065a9681c56f36aa4441f695829,d536d536d636d736e936e736cf36cf36a0369e36e636e83621372137df36e036,e336e436ec36ec36e336e736e136df36d536d336523555356138653862376137
10,10,0,e336e436d536d536ad36ab364c374b3718371737e234e434b536b736e336e236,1137103716371737ed361237d336ae362505d61690021427f7025f42e606e552,d536d336d636d536e736e836ce36cc369d369e36e836e73620372037df36e036,e536e436ea36ea36e336e636df36e236d436d536533553356338633860376237
11,11,0,e636e436d436d536ac36ab364b374b3718371a37df34e434b536b536e236e236,0f371037183714371237ec36b036b036ea6a5647926a0e36ed6636239460e312,d736d536d436d836e636e536ce36ce369c369d36e836e8361f371f37e036e136,e636e436ed36e936e536e736e336e036d536d43651354f356638663861376137
12,12,0,e336e636d336d436ae36aa364b374a3718371837e034de34b436b336e236df36,11370f3716371737ee36ee36af36b036de02af3617065d48640cf0589224e866,d536d636d736d736e736e536cd36cc369e369d36e6360d3725372037e136df36,e336e436eb36eb36e736e636df36de36d736d6364f354f356138663860375f37
13,13,0,e2360b37d536d136a936ab364b374c371a371a37e234e034b736b536e436e336,1237123716371637ed36ef36ae36d336d868e926aa621c16d152e5069838d502,d636d636d636d536e736e536cf36ce369e369f36e636e93620372237e036e236,e436e436eb36eb36e736e636e036dd36d636d5364e3552356038613861376337
14,14,0,e636e436d536d336ac36ad364a374c3717371c37e034e034b736b436e236e536,1037ea3615371637ed361337d436b0365c09af56e8181966f332946ada44ce6a,d536d836d636d736e936e636cf36cc369b369f36e736e83621371e37df36e036,e336e33610370f37e836e436de36df36d736d6364c354c356038663862376137
15,15,0,e636e536d436d236aa36aa364b374c371c371837e034e334b336b536e036e236,0f371137193717371137ef36b036d2365455e808564424036729a6029a206503,d736d536d636d636e536e836cf36cd369d369d36e736e63621372237e136e136,e436e336eb36ea36e436e636e136dd36d436d536503550356138633864376337
16,16,0,e636e536d136d336aa36ad364e37483719371637de34de34b836b936e236e036,1137113715371737ef36ed36d336b036902719695742ab6a33535c691963cd64,d336d536d736d636e836e636cc36cd369e369f36e736e63621371f37e036e036,e436e336eb361037e736e836df36e036d536d4364e354d356438623862376037
17,17,0,e636e636d536d236aa36ac364b374c371a371937e334e034b236b136e236e236,1137113718371437f036ed36af36af362535d702ec22e302e90a2e07d9049d16,d536d436d536d736e836e736cd36ce369e369f36e836e8361e372037e036df36,e236e336ec36ea36e536e836e036e036d536d6364e354f35643862385f376237
18,18,0,e736e236d336d336ac36af364b374d3717371737e334ea34b536b536e236e136,13371037153717371237ef36b036b036dc48d96adb58a86631679658a06ad546,d536d536d436d736e536e736ce36ce369a369d36e736e83622372137e036e036,e536e336ed36ec36e736e736de36df36d436d5364e354c356338613862376137
19,19,0,e436e636d436d436ac36ab364a374b371a371c37e234de34b236b336e336e436,0f37123716371637f036ec36af36b0365b156b069a065713e902e0249d019c36,d636d736d636d536e736e736ce36ce369c369c36e536e83620372137df36e036,0937e436eb36eb36e336e736de36e136d436d4364e354d356738643860376137
20,20,0,0b37e336d336d436ac36ab364c374b3719371837dc34e034b636b336e236e136,11370f3716371537ec361437d436af366d66dd6258696952ed6aae408b688a26,d336d536d536d636e636e636ce36ce369c369f36e736e83621372237e036df36,e336e236e9361037e636e736e336e136d536d5364c3552356338683861376137
21,21,0,e436e436d536d536a936aa3648374b371a371a37dd34e334b536b236e436e536,1037123716371637ec36ed36af36af368d0367196602ec32a7042a451e099956,d636d436d636d636e736e636ce36cc369d369a36e836e93621372237e136e036,e636e436e936ea36e536e736dd36df36d236d636533550356738613860376237
22,22,0,e536e436d536d436ab36ad364b374a3719371a37df34df34b736b336e536e336,1037103714371637ed361237b036d4361d6b644315692332e1649c18d9549408,d436d636d636d736e936e636ce36ce369c369d36e936e63621372237e036e036,e436e436ec36ec36e436e836df36e036d536d63653354e35653861385f376037
23,23,0,0b37e636d336d336ab36aa3649374a3718371837de34dd34b636b636e436e436,10370f3717371537ed36ec36b136af362c03a74216074c54ec1665645627d368,d536d536d536d636e736e536cf36ce369a36a036e736e73624372237df36de36,e3360937eb36e936e636e636df36de36d336d4364f355235633860385f376137
24,24,0,e636e436d336d436aa36aa364b374a371a371837de34e234b736b836e436e036,0f37103715371537ef36ee36b036b036e2661f1b2358980ae846eb04cc346d01,d536d536d636d636e736e736d036ce369c369c36e636e93621372137e036e036,e536e536eb36ed36e736e636dd36dd36d336d63652354d356538603860376337
25,25,0,e436e636d436d536ac36ae364c374a3717371737e234e034b236b636e236e436,1137113714371737ed36ee36af36d436b0145961d5241d68e736e56aa2488b6a,d636d536d636d636e736e636ce36cf369d369d36e636e73620372337de36df36,e236e136eb36ec36e636e536de36dd36d436d5364f354d356538613860376137
26,26,0,e436e336d336d436ac36ad364b37493718371637e034de34b536b736e036e036,1237143717371837ef36ef36b036af36704add065838a7029a26db02e4142b05,d636d536d736d636e636e636cf36cf369e369b36e936e93622372137e136de36,e436e436eb36ec36e536e736e036df36d636d43650354c356538633860376037
27,27,0,e536e636d236d436ab36aa3649374c371a371837e234df34b436b736e136e136,12370f37153716371337f036af36b0366333a56a1f46a86ae5569e6853666761,d536d536d436d536e736e836cf36cd369d369c36e936e93622372337de36e136,e436e336ea36e936e636e536dd36df36d536d5364d354c356538633860376037
28,28,0,e636e536d536d436ae36ab364a374b3719371a37e534e034b636b336e236e236,0f37103715371837ee36ed36b036b0362e29af022c179304a9086a091f035721,d636d636d636d636e836e836ce36ce369c369d36e936e73620372237e036df36,e636e436ec36ed36e536e636dd36e236d436d5364e354a356138613861376137
29,29,0,e636e336d236d536ac36a9364d374c371a371837e334e434b436b536e436e336,1337103717371537ee361337b036b036a2545c6954649e641d69e654d46a0f43,d436d436d536d536e736e536ce36d0369d369d36e636e73620372137df36e036,e536e336ec36ec36e536e636df36df36d636d53650354f356238643862376137
30,30,0,e636e436d336d336a936ab364b374b3717371837e234e334b636b236e136e236,12371237163715371137ef36b036b036dd0a8f07a604d916a602aa28ed028e3a,d436d536d636d636e736e836d136cf369d369f36e636e8361f372137e036e036,e436e436ec36eb36e836e636dd36e036d436d6364e3550356538633862376337
