Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,ccffeaff0c000c00220002001e001e00ecffecfffeff0c00140004001800f8ff,0600e4ff2e00faff12001200e2fff2fff8fff8ff000000000a00f8ff0600e6ff,e636e536d536d636e636e736d336d4365d58632267232d62d23a6608e144d668,dd36dd361b371937e336e136ea360d3792369136173718370f370f37e236e036
1,1,0,eafffaffdaffeafff4ff02000e000e00ecfffcffdeff56002400d2ff08001800,0600e4fffaffeaff02000200020002000a00e8ffdeff10000a00e8ff0600e6ff,e536e736d436d636e736e636d236d136dc34a866eb2a6906e352926870141a09,dc36dd3618371a37e336df36e936ea3691369036163717370d370e37e236e136
2,2,0,3200daff0c00eaff12001200eeffeeff1e00fcff56000c0024002400f8ff2800,16000600eaffeaff020012002200e2fff8ff0a001000eefff8fff8fff6ff0600,e336e336d936d436e536e736d336d2368f2296062462636690081616d5682949,dc36da3619371a37e036e336ea36ea3694369036183718370e370e37e236e536
3,3,0,faffdaff0c000c0002001200feffeeff0e00fcfffeffdeffe2fff2ff18000800,1600e4ff1c00fafff0ff02001200f2ff1a000a0010001000e8ffe8ff06001600,e536e736d336d736e936e536d336d736a66663586c0662239568d83af408d944,dc36dc3618371837e436e136ea36ea3692369236183718370d370d37e336e436
4,4,0,daffeafffaff0c0002000200eefffeff2e000e00fefffeff040004001800f8ff,f4ffe4fffaff1c000200020002001200f8ff0a00eeff00000a00e8ffb6ff0600,e336e436d736d636e736e936d536af369606d2346b66f32a0b16da5251499914,db36dc361c371837e336e236eb36ea3691369136173719370e370f37e236e236
5,5,0,eaffeaff1c00eaff02001200defffeffecfffcfffeff64001400040028002800,060006001c000c00120022000200e2ff0a000a0000000000e8ff0a000600f6ff,e636e436d436d636e536e436d336d73690589e2257231d62e4429108a744d468,da36dd361a371937e136e336e9360e3791369236173718370e370f37e136e336
6,6,0,eaff4200eafffafff4ff1200feff0e000e00fcffcefffefff2ff1400e8fff8ff,f4ff2600faff1c00e0ff1200120002001a000a00deff1000f8ffe8ff0600e6ff,e836e836d536d436e836e636d336d436a234a066262b6c06a7529568a414ec08,db36dc3617371737e336e136ea36ea36923695361737183711371137e336e136
7,7,0,faff0800faff0c0012000200defffefffcffecff6400560024000400f8ff3800,e4fff4ffeafffaff1200f0ff1200f2ff0a000a00100010000a000a00f6fff6ff,e536e336d636d536e436e636d536d336a222940616626c6691080a16d3686551,dc36dc3619371a37e036e336ea360e37913691361837173710371037e336e336
8,8,0,eafffafffafffaffe4ffe4fffefffeffecfffcfffeff46000400240008001800,060006001c00faff02001200e2ffe2ff1a00f8ff00000000d8fff8ffe6ff2600,e936e736d436d436e736e536d236d3369a669558940624239768eb42e7089e44,de36da361a371837e436e136e736e936943692361737173710370f37e236e136
9,9,0,eafffafffaff0c00d4ff0200eefffefffcffecffdefffeff0400240018001800,f4ff0600eaffeaff120012000200e2ff0a001a00000000000a000a00e6ff0600,e336e736d636d436e436e736d336d2368f069b3493662c2be214a1527052d014,dc36dd361a371937df36e4360f37ec36913691361737163710370e37e236e336
10,10,0,ccfffafffaff0c00e4ff0200feffdefffcffecffdeff0c0004001400f8ff2800,060016000c000c000200f0ffe2ff02000a00d8ff000020001a00f8fff6ff2600,e836e736d336d736e736e636d436d736a258d1221c23e7604a439e086c44d568,dc36da361a371a37e436e136ea36e936923692361937143711370e37e136e236
11,11,0,eaffeaff2c001c00020012000e00defffcfffcffeefffeff040024000800f8ff,16000600faff1c0002000200e2ffe2ff1a000a00eeff2000f8fff8ff0600f6ff,e536e836d536d336e836e736d336d336903499665f2b93069b529a68d614e308,dd36db361a371937e436e036ec36ea3692369336163717370f370f37e236e236
12,12,0,0800fafffafffaff0200e4fffeff0e00ecff1e00feff56000400340008000800,f4ffe4fffaff0c00f0ff020012001200f8ff1a00eeff0000f8fff8ff0600f6ff,e536e636d736d736e436e636d536d236d8226806de609866a808d214d0689d52,dd36db361b371937e336e236eb36ea3693369136183716370f371037e336e236
13,13,0,eaffeaffeaff1c000200e4ff1e000e00ecfffcff6400fefff2ff0400f8ff0800,260006001c00faff1200020012000200f8ff0a00eeffeeff0a000a0006001600,e736e536d136d636e736e736d336d4369366ad609506ef2298682d44dd086344,dd36dd3619371937e236e2360d37ea3692369236183719370e370f37e136e036
14,14,0,0800fafffafffaff0200f4ff1e000e000e000e00feffdeff1400f2fff8ff2800,060016000c000c0002000200e2ffe2ff1a00e8ff0000eeff0a00e8ff0600f6ff,e136e636d636d536e636e736d336d33668065f349e66672ba8146a52a552de14,db36dd3619371937e436e436ea36e83692369236183717370e371037e236e236
15,15,0,4200fafffaff0c00f4ff1200feff0e00fcffecffdeffdefff2ff24002800f8ff,f4fff4fffafffaff0200120012000200e8ff1a0010001000f8ff1a0006001600,e336e636d436d636e636e436d536d636d860e422e722d8605644aa085a44ac68,dd36dd361a371937e336e136e936eb3695369636173718370d370f37e336e436
16,16,0,eaff32000c00fafff4fff4ffeefffeffecff0e0064000c0004002400e8ffd8ff,260026000c000c00e0ff0200f2ffd2ff1a000a00000020000a00e8fff6fff6ff,e536e836d536d636e636e536d236d43655348e666f2b98065e529968e514d908,dc36dc3619371937e436e4360e37e936903694361637173710370c37e236e236
17,17,0,080008000c000c001200d4fffeff0e00fcff1e004600deff140014002800f8ff,e4ff06000c00eaff0200020002000200f8fff8ff000000000a000a00b6ffd6ff,e636e436d636d536e336e536d436d2360f236506af60a266d108a714a868d352,dc36da361c371937e336e1360e370e3792368f36183717370f371037e136e336
18,18,0,faffdaff0c000c00f4fff4fffeff0e000e000e00ceff64000400f2ff08000800,1600e4ff0c00faffe0ff1200e2ff02001a00f8ff10001000d8ff0a00f6ff1600,e836e436d436d536e736e336d236d536656607629a06dc229e686344d0082d43,dd36dc3618371937e336e136ea36e83695369236183719370e370f37e336e236
19,19,0,6000eafffaff1c000200f4ff0e00deff0e00fcfffeffeeff1400040018001800,f4ff2600faff0c001200f0ff02000200f8ff0a0010001000f8fff8ff0600e6ff,e336e536d736d536e736e836d436d33660064934a866a02c9c143152e352ee14,dc36dc3619371837e336e336eb36e936923692361837193710370f37e536e436
20,20,0,fafffaffeaff0c00e4fff4ffeefffefffcff0e00eeff0c00e2ff140008001800,1600e4ff0c00faff12002200020022000a00e8ffeeff0000f8ff0a0006002600,e636e536d736d936e636e636d436d73608621a23af22a6609744d5082143a768,dc36dc3619371937e336e236ea360f3792369436183719370f371037e236e336
21,21,0,eaffeafffafffaffe4fff4ffeeff0e00fcffecffdefffeff140004000800e8ff,160016000c000c0002000200e2ff0200f8ffe8ff100020000a00f8ff16001600,e636e836d536d436e936e836d236d23618336166ae349c062e529d68f514a908,dc36dc3617371737e136e436e936eb3692369336163716370f370f37e336e336
22,22,0,faffeafffaff0c00f4ffd4ff0e000e000e000e000c00eeff1400140008001800,060006000c00faff020002001200e2ff0a00f8ff10001000f8ffe8ff0600f6ff,e236e236d836d736e436e736d536d336222363069f60ac66de089314a868e952,dc36db361a371a37e336e0360f37ea36923694361537173711370f37e236e336
23,23,0,fafffaffeaff0c00e4fff4ff0e00fefffcfffcff56000c000400040028001800,f4ff26000c001c000200f0ff2200f2fff8ff0a00100000001a00f8ffe6fff6ff,e536e936d336d536e736e536d236d2365c6610629f06aa229e689c44a808f542,de36de3617371937e236e636e836ea3694369236163717370e370e37e336e236
24,24,0,0800dafffafffafff4ffe4ff1e00eeff0e000e007400eeff040004002800f8ff,f4ff1600eaff0c0012001200f2ffe2ff2a002a0010000000f8ff1a0006000600,e536e336d936d536e536e736d336d33660060f33b066d93462142251f1521f15,d936dd3619371837e236e436ea36e93694369236173717370e370d37e336e336
25,25,0,faffeaff1c000c00f4ff02001e000e00fcff1e00fefffeff2400240018001800,060006000c00eaff02000200020002000a002a0000000000f8fff8ff0600f6ff,e636e236d536d836e636e236d636d53619624d2499229558a744e408e33aa468,de36dd3619371937e136e236eb36ea36923695361837173710370e37e236e236
26,26,0,0800eafffafffaff1200e4ff3e00feffecfffcfffeff0c00140014002800f8ff,26001600fafffaff02000200020022001a000a00eeffeeff0a000a0006000600,e636e836d636d536e836e736d236d436e2325a66e934a0061151a1682915a208,dc36dd3619371837e436e236e836eb3692369436173714370f370e37e336e236
