Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,e936ea36de36dd36d336d2360d370d37cb36cc36ee36ed36da36da3656355635,a236a036073709371137103718371837143712371b371a37e636e3360b370737,e736e536d736d636e736e536d436d43611370f371f371e37e336e5361f371d37,10396a6adf52286aa262dd6490685b5592368f361b371c370f371137e136e336
1,1,0,e936e636dd36dd36d236d3360e370d37cc36cb36ef361437dd36dc3657355a35,9e369f360a3707371037123719371837133715371b371b37e436e13609370937,e436e436d636d636e636e736d536d33610370f371e371e37e736e3361e371e37,d4248f04e20ca408af06db1661035727903691361a371a370f371037e236e236
2,2,0,e836e936dd36de36d136d1360c370d37cb36cb361337ef36dc36da3659355635,9f36a136083708370e37123719371837133713371a371b37e336e2360a370937,e536e536d836d936e836e636d436d3360e3710371d371d37e336e3361c371d37,65609f66da66d4585f6a61478a6a9e3690369036183719370e370e37e336e336
3,3,0,e836ea36dc36dd36d136d1360e370d37cd36a736ee36ef36de36dc3658355936,a036a036083707371037123719371937133714371c371c37e536e33609370a37,e136e236d736d636e736e536d336d3360f3711371f371f37e236e4361c371f37,8e089614d404df2451036535d6065f48903690361a371a370e371137e336e236
4,4,0,e936ea36dd36de36d436d2360d370d37cb36cc36ee36ee36db36db3655355735,9f369f360637093711370e3719371737133714371c371d37e336e3360a370a37,e136e536d636d636e636e736d436d33613370e371f371c37e536e4361f371f37,e768d04ad06a5c3a68685c27d35a0e178e36903619371a370f370e37e236e236
5,5,0,e936e936dd36df36d336d1360e370d37ca36ca36ee36ef36da36db365a365635,9f369f36073706371037103719371937143711371b371c37e236e4360a37e536,e436e236d836d736e736e836d536d3360e370c371e371f37e536e6361d371e37,2003d9322d05e44470112955891ae064903691361937193710371037e236e136
6,6,0,eb36e936de36df36d236d1360c370d37cb36cd36ef361337da36da365a365935,9f36a336083708370f3711371a371937133712371b371b37e336e13609370837,e136e536d736d736e836e836d436d3360d370f371d371e37e536e4361e371a37,e368d632e764692228559611cf441d058f3690361b371a370e370f37e436e336
7,7,0,e836e936dd36dc36d236d3360c370d37cb36cc36ef36ef36db36dd3654355535,a236a036093708371137103719371837143712371a371e37e136e3360a370937,e336e536d836d736e736e936d536d4360f370f371f371e37e336e5361b371f37,9008d44a1f17e56258276868573aa26a913691361a371c3710370e37e336e336
8,8,0,e936ea36dc36dc36d136d2360a370f37cc36cd361537ed36d936dd3659365735,a136a13609370837123710371a371937133714371c371b37e236e23609370837,e536e636d736d836e936e636d336d5360e3711371d371d37e436e2361d371b37,626097146348e0066a355603ce24a704903691361b371a370f371037df36e136
9,9,0,e936e736dd36dd36d236d0360e370e37cd36cb36ed36ee36da36dc3658355835,a036a136073707370e37103718371a37133714371b371d37e536e43609370737,e136e236d936d736e936e736d536d536103710371d371f37e536e5361f372037,d524a166d236996a5c475f6acc58cc6691368f3617371a370f371137e436e336
