Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,94b5344120d5b45a9af9ea68761fc669f6b680447cd7885d20fdda6af022b26a,0d380f380d370a3715371537ca36cc369b369c3656375537a936d136de36dc36,dc36d936e636e536213722370e370d370e370e3721372037633660369f36a136,d036ce360d370d37de36df36dd38e43894369536ea36e9362637263751375238
1,1,0,8c30e6a8340cbc9868e6569510c47e9f202eb0a54809609610e3549488c0b89f,1038e9360c370c3714371437cd36ca369a369b3652375437ab36aa36dc36df36,da36d936e636e63625372137e8360f370f370e371f3721375c3660369d36a036,cf36cf360d370d37de36dc36e138dd3893369336ea36e9362437253753385237
2,2,0,caedae659013026b0c3716638c539e4e72f0f26708172a6c623a2c639056724d,1138e7360c370d3714371537c836ca369b369b3657375437d036d036dd36dd36,d936dc36e636e636203724370e370e370e370f371f371e3760365f369f369e36,d036d0360e370d37de36dd36dd38dc3895369536e936e9362537233752375337
3,3,0,acf21c9598ced89a90b04cadb49c16ca22ef949332cb749a5aad3aae2a9a38cc,e9360e380b37103715371537ca36c9369a369c3651375237d036d036dc36de36,d836db36e536e436213722370d370d3711370e3723372137613660369f369e36,cf36d1360d370c37df36de36dd38de3894369736e936e8362737253754375638
4,4,0,d22bee66444b64560c61063bd66a5e187e2f8267964eba55bc634239806c9015,0e38e9360b370e3715371537cd36cb369c369c3656375437d036d136de36de36,da36db36e636e536233720370d37ea3611370f372137203760365f369f369e36,cf36ce36e7360c37da36dd36dd38dd3895369636e836ea362637243753375538
5,5,0,5ab900a6aca124c01496ace190975407f8b5a0a62e9f84c1f49376e4b896b20a,0c380c3810370b3714371437cd36cb369b369b3654375137ce36ce36dd36e036,db36da36e636e536253723370d370d370f37103721371e375f365e36a1369f36,cd36cc360c370e37de36dd36db38d93893369536e836e8362337253754375337
6,6,0,225b2645f0681e24e469f0fe3e5da6d9ee5d60431a6b9e215a6a94fbf45c38d6,eb36e9360c37103714371337cc36cd369b369b3655375237d036d136dc36df36,db36da36e636e636213722370e37ea360e370f371f3721375f365c369c36a136,d136ce360c370c37db36dc36dd38e03894369636e736ea362537253752375037
7,7,0,4c98fcd59895f2fa0ea0602058b62442269668d87c9424fe1ea02024eab77645,0c380e380c370e3715371437cc36cb369a369b3656375137ab36a936dd36dc36,da36d836e636e536213725370e370f370f370e371f371e375f365d369f36a036,d036d0360b370c37de36dc36dd38e23895369336e836e9362737273751375237
8,8,0,246b420ba0627ee51a4ee8c2502f24a8446c1c08a462f2e19c4c9abf682d2ca5,0b380e380e370d3715371337cb36cc3699369a3651375337d036d036da36dd36,da36db36e536e63623372237e9360f3710370e37203720375c365e369e369e36,d036d2360d370c37dd36df36db38de3895369436ea36e8362637213750375438
9,9,0,0e9bc214f8add03704cb325488ee3c66b49a1418eeae543b38cd245792f13068,1038ea360c370d3715371437cd36cd369a36993657375637aa36d036dc36dd36,d836d936e636e636203725370e37ea3610370f37223720375e3660369e369e36,d036d0360e370d37de36da36e138e13893369336e836e9362637253755385237
