Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0600f8ff04000400feff1c00dcff0c00e8ff0a00a200ccfffeff0c0010001000,f0ff0000faff0c000a00ecff20000000f2ff0400e8ff0600140014001a00eaff,0000000000000000000000000000000000000000000000000000000000000000,240014000800c6ff04000400f6ff06000400f2fffcfffcff120002000600e6ff
1,1,0,0600baff0400f2ff0c001c00fcffccff0a000a00ccffaeff1c00feff00000000,0e0000000c000c00fcffecff100010000400e2fff8fff8ff24000400faff2a00,0000000000000000000000000000000000000000000000000000000000000000,f2ff140018000800040004000600f6ff1400f2ff6400fcff32003200f6fff6ff
2,2,0,16000600f2fff2ff0c00eefffcffecffd8ff1a00daffccffeeffdeff0000f0ff,0e00e0ffeaff1c001a00ecff200010001400e2ff24002400240014002a000a00,0000000000000000000000000000000000000000000000000000000000000000,140004001800f6fff2ff1400f6ff060024001400defffcff32004200e6ff2600
3,3,0,160006000400e2fffeffeefffcffdcff0a00e8ff9effdafffeffeefff0fff0ff,0e000000faff0c00ecffecfff0ff1000e2ff360006004200040024001a001a00,0000000000000000000000000000000000000000000000000000000000000000,0400f2ff08000800f2fff2ffc6ff0600e2ff0400fcffdefff4ff62000600e6ff
4,4,0,f8ffc8fff2ff14000c00feff0c00fcfff8ff3c00bcffdaffeeff0c00f0fff0ff,0e000e00eaff0c001a000a0020002000e2ff040006001600040004000a002a00,0000000000000000000000000000000000000000000000000000000000000000,1400040008000800040004000600c6ff04000400fcff1a00b4ff4200e6ffe6ff
5,5,0,e8fff8ffe2fff2fffeff2c000c00fcffd8ff0a009effbcff2a00feff20002000,e0ff0000eafffaffecff1a00e0ff00000400f2ff42000600f2ff14001a00faff,0000000000000000000000000000000000000000000000000000000000000000,04001400f6ff1800e2fff2ff0600e6ff04000400fcff8200120002000600e6ff
6,6,0,060006002400f2fffeffeefffcfffcfff8fff8ffaeff8efffefffeff0000e0ff,00000e000c00eaff0a00ecff00000000e2ff040016002400e2ff0400daff1a00,0000000000000000000000000000000000000000000000000000000000000000,040034000800e6ff040004002600f6ff040004006400deff1200320006000600
7,7,0,e8fff8ff0400f2fffefffefffcfffcff0a000a00ccff9eff0c000c0020002000,00000000faff0c00ecff1a001000200024000400f8fff8ff040004000a000a00,0000000000000000000000000000000000000000000000000000000000000000,1400140008000800f2fff2ff1600f6ffe2fff2ffecff5600a4fff4fff6fff6ff
8,8,0,06002600f2ff1400feff0c00ecffecff2a00e8ffccffdaff1c00eeff30000000,00000e00fafffafffcffecff00000000240004000600e8ff140024002a00caff,0000000000000000000000000000000000000000000000000000000000000000,0400f2fff6ff1800d0ff0400f6fff6ff0400e2ff0a00fcffc4ffb4ff2600d6ff
9,9,0,0600f8fff2ff1400fefffeffecfffcfff8ff0a00c000dafffeff1c00e0ff3000,0e00f0ff0c00fafffcfffcff100000002400040006000600040014000a001a00,0000000000000000000000000000000000000000000000000000000000000000,04000400f6ff1800e2ff0400f6ffd6ffe2ff1400ceff56001200c4ff2600d6ff
