Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0c000c001a000a00240034000400f4ff2e00fcff060006000200020032002200,840e4471f634d26ada53ba55706e103c240ae46fa633bc6a7451ac5424680434,100010000200f0fff6ff1800eeff0e00200010000000f0ff140042002600d6ff,fcff0e00220002000c001c002e004e00ceff5e00e2ffd2ff080018001600e6ff
1,1,0,0c00faff0a00f8ffe2ff040034001400fcfffcff1600e4ff02000200f2ff1200,e6ce8891ceae8ea3709620c0a09140ebe2c70889f2a77c9d388f4cb9ea84bae0,2000000012001200d6ffd6fffeffb8ff1000100000000e001400e6ff06001600,dcff30000200f0ff1c002c000e00eeff3e004e00d2ff42002800f6ff26001600
2,2,0,faffeaffe8ff1a003400f2fff4ff14000e002e000600060002000200f2ff0200,524c6a5e32642443846f841dc07290fac848e85b90647441226ef21a826c6ef0,eeff0000f0ff0200c4ff0800feffeeff1000eefff0fff0ff0400040006000600,0e000e001200f0ff1c00eaffceff0e004e001e00e2fff2ff18004a0026000600
3,3,0,0c001c001a003a0014000400f4ff1400fcff2e00260006000200020022002200,ce9c5ab6908f8cd9de8dca0030a1002e9e9452afc6888ed5f2855cfba4941026,1000320002001200f6ff080098ff3e00000010001e000000f6ff140006000600,fcffecff0200f0ff1c00fafffeff4e00ceff3e0004000400280018002600e6ff
4,4,0,0c00d8ffe8fff8ff2400440004009efffcffecfff4fff4ff02000200e2fff2ff,326ea22a927028045064aada305140bc686c62269c7014000863c6d5bc492cb0,100000000200ceff18001800eeff0e000000100000000000240024003600e6ff,3000dcff12002200eaff1c00eeff4e00ceff3e00f2fff2ff3a00280026001600
5,5,0,1c000c00f8fff8ff04002400e4ff0400fcff2e001600d4ff0200020002000200,e68c78f4c096981ce8ab524070d2506230840cef04907a1a74a4023d5cc7ee5b,eeff20001200f0ff0800e6fffeffa8ff100000000e0000002400240016001600,3000fcff12002200eaffeaffeeff0e003e002e00f2ff0400e6ff180026003600
6,6,0,0c000c00e8ff1a00f2ff24000400f4ffecffecffe4ff0600020002000200f2ff,606ac2e764568cc3be3516a4b0149096ee67b4e1525540bd0634389dd00bb289,0000000002000200f6fff6fffefffeff200010000e001e002400340016001600,dcffecfff0ff02003c002c002e000e00ceff2e00f2fff2ff1800280026004600
7,7,0,0c00faff2a00f8ffe2fff2ff040004000e001e00160006000200020012003200,30a478360cc2b45560e63269e014e075609cd232f0bc245558e0c867000cd46f,200010003400e0ffe6fff6fffeff0e00100020001e00000014003400d6ff1600,fcff0e001200f0fffafffaff0e00eeffbeff5e00f2ff04002800e6ff2600e6ff
8,8,0,1c00faff0a002a004400f2ff9efff4ff0e000e00f4ff060002000200d2ff0200,5e4284ac181e709754f45c8c50d29096043e16a5ba1a2490a4f0d48420c78289,0000deffceff34003a001800feffa8ff000000000e00f0ff42001400f6ff0600,0e000e0002001200eaff1c00eeff2e002e003e00e2fff2ff2800e6fff6ff4600
9,9,0,0c000c001a001a00e2ff0400040024002e00fcff2600d4ff0200020012000200,ecdaee64980262705829f26c60515062d8d4f062a4ff8c705e25306cec49be5b,ccff1000e0fff0ffc4ff1800feff3e00200010000e00e0ff2400f6ffc6ff0600,dcfffcff020022002c00faff3e000e006e00deff520004001800180036004600
10,10,0,0c000c002a003a0014002400f4fff4ffdcffdcfff4ff06000200020002001200,2e02768efcda708f3cb6229cd0a040bc88fca0859ed5e68882b05c9444940cb0,eeffeefff0ff02000800f6ff1e00a8ff000098ffd2ff0e002400c6fff6ffd6ff,0e00ecffe0ff02001c003c000e00eeff2e005e00e2fff2ff3a00180036003600
