Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,12001200fcff0e0002000200140024001c00d8fff0ffe0ffe2ffc2fff2fff2ff,f8fff8ff0600e4ffcaff340014001400e8ff70000000d2ffd4ffe6ff0a000a00,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,6e00d4ff70000200e6ff2800eaff1a001cd69c43eabca2191ae532d7a82e08bd
1,1,0,02001200fcff0e001200020024001400eaffeaff0200f0ff04000400e2ff0200,0a00d8ffe4ffd4ff3400e8ff140004000600f8ffd2ff10000800e6ffeaff0a00,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,d4ffc6ff1200c4ff1800e6ff1a002a00dc42d6e70618d829d0d6ac4348bd0814
2,2,0,32001200fcff0e00f0fff0ff24002400eaffeaff0200e0fff2ffc2ffe2fff2ff,f8fff8fff4ffe4ffbcff340004001400700016000000100018001800eaff0a00,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,e4ff7e00c4ffd4ffe6ffd6ff1a00caff06ea4cd38a2e48bd7c439ce728115830
3,3,0,02000200fcff0e00f0ff0200340014001c00d8ffe0ffe0ffc2fff2ffe2ffe2ff,f8fff8ff060006003400daff1400040070005200f2ffe2fff6fff6ff2a00eaff,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,7e00f4ff02001200f6ff2800caff1a000cd26c42a8bd2e156ee92ed4a831e8bd
4,4,0,02000200fcff0e000200e0ff040014002e00eaffd0ffe0ff0400c2ffe2fff2ff,f8fff8ff0600e4ff16003400240014000600f8ffd2ffe2fff6ffe6ffeaffeaff,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,e4ffd4ff6000b6ff2800e6ff2a00faff0c4294ec96126630aed21c43f8be280f
5,5,0,020002000e00fcff1200020004001400fafffaffd0ffd0ffd2fff2fff2ffe2ff,f8ffd8ff0600f4ffcaff3400e4ff140070000600e2ffd2ff180018000a00eaff,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,f4ff8c00c4ff4200e6fff6ff1a00caffd4ee4cd0e23116befa42b0ebc80c7833
6,6,0,12001200caff0e000200f0ff1400f4ff1c00fafff0fff0ff14002400f2ffd2ff,0a00f8ff060016001600420014001400daffe8ff2000d2fff6fff6ff1a000a00,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,8c00f4ffe4ff6000c6ff1800eaff1a009ece2c4134bfea1050eeecd0483598bf
7,7,0,f0ff02000e00fcff0200e0fff4ff04003e001c000200e0ffc2ff0400e2fff2ff,f8fff8ffd4ffe4ff3400acff14000400f8ff060020001000f6ff1800eaffeaff,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,e4ffd4ff7000d4ff1800c6ff2a001a005c4054f1700e6e334ccfba41d8c09809
8,8,0,020002000e00fcfff0fff0fff4fff4ff2e001c00f0ffe0ff0400c2ffe2fff2ff,f8ffe8ff1600e4ff1600340004000400f8fff8ff10000000f6ff0800eaff0a00,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,e4ff6e00b6fff4fff6ff18003a00caff62f38ecc683580c01a4114f298057837
9,9,0,2200c0fffcfffcfff0ff020004002400faff1c00d0fff0ff0400f2ffe2ffd2ff,f8fff8ffe4ff0600caff34001400e4ff06000600c4ffe2fff6ff1800fafffaff,82fa44fab2f8a2f8c201d20170fd60fd20ff20ffc8014a018202900250007000,7e00e4ff50007000e6ff1800daff1a004ecaec3f1ec13e0956f42acdf83828c2
