Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,fafffafff6ffd6fff6ff14001a000a00d8fff8ff4a007a0028002800d8ffd8ff,0c001c00f8fff8ffeefffeffeeffeefff8fff8ff0e001e00d8fffaffceff0e00,0000000000000000000000000000000000000000000000000000000000000000,fcff0e001400f2ff000020000400e4ff08000800120042002c00d2ff0c00fcff
1,1,0,1800daffd6ff18000400f6ff0a00faff0a002a007a006a00faff0800f8fff8ff,1c00fefff8ffd8ffeeff1c00fefffeff1a000a004a000e00c8ff1c002e001e00,0000000000000000000000000000000000000000000000000000000000000000,0e000e0014000400eeff2000e4fff4fff6ffe6ff32005200a4ff0e00ecff0c00
2,2,0,0800faffd6fff6ffe6fff6ffeaff0a00f8fff8ff7cff5cff28004600d8ffd8ff,eeff0c000a001a003a00eefffefffefff8ff0a003c002c00eaffb8ffdeffceff,0000000000000000000000000000000000000000000000000000000000000000,0e000e00f2fff2ffdeff0000f4ffe4ff28000800a4ffa4ff1e00e0ff0c00ecff
3,3,0,fafffafff6ffe6ff040004001a000a00d8ff1a006cff7cffeaff0800f8fff8ff,eeff0c000a000a00eefffeff0e00eefff8fff8ff0e00f0ffd8ffd8fffeffdeff,0000000000000000000000000000000000000000000000000000000000000000,0e00ecfff2ff140020000000d4ffc4fff6ffe6ff020022001e002c00ecffdcff
4,4,0,eaff0800d6fff6ff0400e6fffaffeaff2a002a006a007cffdaff36000800d8ff,0c00feff0a00f8ff0c00e0ff1e000e00d8ffd8ffc2ffe0fffafffaff4e001e00,0000000000000000000000000000000000000000000000000000000000000000,0e00ecff1400040000000000e4ffe4ff18000800f4ffd4ffb4ffb4ffdcffecff
5,5,0,1800eafff6ff1800f6fff6fffafffafff8ff1a007cff2cff28003600d8ff4800,feff0c00d8ffe8ff0c00eeff0e00fefff8fff8ffe0ff0e00faffd8ffdeff2e00,0000000000000000000000000000000000000000000000000000000000000000,fcffdcff04001400000010001400e4ffe6ff3a0094ff1200d2ff3c000c00ecff
6,6,0,08001800f6fff6fff6ff0400faff0a000a00f8ff7cff7a000800eaff2800f8ff,1c000c000a000a00feffeeff0e000e00f8ff1a00f0ff0e00d8fffaff0e00deff,0000000000000000000000000000000000000000000000000000000000000000,0e00ecfff2fff2ff0000eeff1400040018000800f4ff12001e002c000c00fcff
7,7,0,eafffaff0800e6fff6ff1400fafffaff0a000a006cff6a0028001800d8ffe8ff,0c00eeff1a00f8ff1c00eeffeefffeffd8ff0a001e000000eafffaffdeffeeff,0000000000000000000000000000000000000000000000000000000000000000,0e001e000400140000002000f4fff4ff08000800220002001e001e003c00ecff
8,8,0,eaff1800f6ff0800e6ff24001a001a000a00f8ff7cff8cfffaff0800f8ff1800,0c002a000a001a000c00feffeeff0e001a00d8ffd2ffd2ffc8ffb8ff1e00feff,0000000000000000000000000000000000000000000000000000000000000000,1e000e00e2fff2ff00001000f4ff14000800f6ff2200a4ff2c00d2ffdcfffcff
9,9,0,faff1800f6fff6ffe6ffe6ff2a000a002a00f8ff5cff7a0008000800e8ff2800,eeff1c001a000a00fefffeff0e001e001a001a00f0ff0000d8ff0c002e00deff,0000000000000000000000000000000000000000000000000000000000000000,1e000e0004002400000010000400f4ff08001800a4ff02001e002c001c003c00
10,10,0,fafffaff08000800e6fff6ffeaff1a00f8fff8ff4cff7a003600faffe8ff0800,eeff0c00e8fff8ff0c00fefffeff0e00d8fff8ff0e00a4ffc8ff0c000e000e00,0000000000000000000000000000000000000000000000000000000000000000,0e00ecfff2ffe2ff100000002400f4fff6ffd6ffd4fff4ff3c00d2ff1c00fcff
11,11,0,0800faffd6ff28000400f6fffaff1a00f8ff1a007cff6cffeafffaffe8ff0800,d0fffefff8ffd8fffeffeeff0e000e00f8ffe8ff0e00d2ffd8ff2e00eeff3e00,0000000000000000000000000000000000000000000000000000000000000000,ecfffcfff2ff1400deff1000040014001800f6ffb4ffa4ff2c002c00fcffdcff
12,12,0,eaffeaff0800f6ff040024002a000a000a000a006a007cff3600080008000800,feffe0ffe8ff0a00eeff0c00eefffeff3a001a001e00d2fffaffd8ff1e00ceff,0000000000000000000000000000000000000000000000000000000000000000,fcff1e00f2ff6400eeff100014001400f6ff080012001200b4ff2c00fcfffcff
