Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,0a000a00f8ffe8fffcffecfffefffeffecff0e00eafffaff08001800eaff2a00,1e000e00900190010e00e0fff4ff04000a00f8ff160034000000eeff1a000a00,14003600e6ffe6ff0c003e00fefffefff8ff1600060006000a00eafffcffdcff,1c001c000a001a0000001000300010003245624522d372d396ba96ba522c122c
1,1,0,e8ff0a000a00e8ffecff0e001e00fefffcff0e000c000c00faff0800faff2a00,1e000e00aafdaafd00001e00f4ff1400f8ff1a00e8ffe8ff10000000fafffaff,04001400280008001c001c001e002e001600f8ff060006000a000a00ecff0c00,2c002c002a00fcff00002000200010004245524502d3b2d2b6bac6ba022d822c
2,2,0,d8fff8fff8ffe8fffcfffcffeefffeffecfffcff1c00fafffafffaff1a001a00,1e00fcffbafd9afd0e001e00240014000a000a002400e8ffeeff0000faff2a00,04001400180008000c00faff0e002e000600060006002600faffdaff0c00fcff,1c002c00fcff0a001000000010002000e2440245d2d252d306bbb6baa22cd22c
3,3,0,f8ffe8fff8ff0a00ecffdcff0e00feff0e00ecfffaffeafffaff18002a00faff,1e00ecff900190011e000e00f4ff0400f8ff0a004200e8ff00000000fafffaff,04001400180008002e00faffeeffeefff8ff0600d8fff8fffafffaff0c00dcff,1c002c00ecfffcff1000100010001000f244d244e2d232d316bb36bbe22cd22c
4,4,0,0a00f8fff8ffe8ffdcffecff0e000e000e000e00faff0c00daffdaff1a003a00,0e000e0090019afd1e001e00e4ff0400d6ffd6fff8ffe8ff1000eeff0a00eaff,f2ff3600f6fff6ff0c000c003e00eeff0600c8ff0600f8fffaff0a00ccfffcff,0c00feff0a00fcff1000eeff00001000c244d244e2d2b2d256bb56bb022d022d
5,5,0,1a00f8ff0a00f8ffecffdcfffeffeeff0e000e00fafffaff18000800faff0a00,dcff0e009001aafd00000e00e4ff04001a000a003400e8ffeeffdefffafffaff,1400f2fff6ff18000c000c00eeff1e0006000600f8ff0600faffdafffcff1c00,1c003c001a002a000000100000002000a244724482d2c2d296bb86bb422e222d
6,6,0,f8ff0a00f8ffe8ff0e00ecffeefffeff1e00fcfffaff1c00fafffafffaff1a00,1e001e007cfd90010e000e000400e4fff8ff0a00f8ffdaffeeffeefffafffaff,1400f2ffd6ff08001c000c001e00eefff8ffc8ff0600f8fffafffaffdcffecff,3c000c001a001a0010001000000020009244d24492d202d356bb26bb222dc22d
7,7,0,0a00f8ffe8fff8ffecfffcfffeffdeff0e000e00fafffaffeafffaff1a000a00,ecffecff7cfdaafd0e000e00f4ff0400e8fff8ffdafff8ffeeff1000faffdaff,04001400f6ff18000c000c001e00eeff1600f8fff8fff8fffaffdaff0c00fcff,3c000c000a002a00000000001000200042449244f2d152d286bba6bb922de22d
8,8,0,0a001a00f8fff8ff0e00dcff0e00eefffcff0e002e001c00080018001a000a00,0e00ecff900190011e000e00f4ff24000a00e8ffe8ffcaffeeff00002a00faff,f2ff0400180008000c000c001e00eefff8ffe8fff8ff0600eaffeafffcfffcff,feff4c00fcff0a00eeff00002000100014443444e2d1e2d1f6bbf6bb022ee22d
9,9,0,0a001a000a001a00ecffdcffeeff4e001e00ecff1c00faffdafffafffaff1a00,ecff0e00900190010e001e00f4ff14000a000a00e8ffdaffeeff00000a00faff,04000400180008000c000c00eeff0e00e8fff8ff1600e8ffdafffafffcfffcff,1c001c000a000a0020000000000030001444044492d1c2d1f6bb46bc422e522e
10,10,0,0a001a000a000a000e00fcff0e000e00fcffecff1c00faff08000800eaff0a00,1e000e006cfd90011e002e0004001400f8ff1a0016003400deffeeff0a00faff,04000400180008001c00d8ffeeffdefff8fff8fff8ff06001a00faff0c00fcff,1c000c002a000a001000000010000000c4432444d2d1e2d1d6bb16bc522e722e
