Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,06001600faff28000400f6ffe4ffe4fff0fff0ff1400140000000000e2ffe2ff,16002600f8fb6200fafffaff100020000200f0ff1800eaffecfffcff12001200,12000200fcffecffe8ff0600eeffeeff2c000c00c2fff2ffdaffdaff1e001e00,561eb61d624f024ff8e288e1a6b166b10600f6ff0a00ecff1e000e00f8fff8ff
1,1,0,160006000800eafff6ff1400040004000200f0fff2fff2fff2ff20001200f2ff,060006006200f8fbfaffeaffe0ff0000f0ffcefffaff18000e000e001200f2ff,f0ff12001e000e000600f8ff0e00ceff0c000c0010002000faffdaff0e00feff,061e261e824e224fb8e198e166b1a6b1e6ff0600ecfffcff0e000e000800e8ff
2,2,0,f6fff6ff28000800e6ffe6fff4fff4ffe0ff02001400f2fff2fff2ff02000200,0600e4ff62006200daff0800100000000200120018000800ecfffcff02000200,0200d0fffcff1e00f8ffe8fffefffefffeffeeff00001000faff18001e00feff,361f761e824e024e88e196e096b166b12600f6ffdeffdefffcff1e00f8fff8ff
3,3,0,06000600faff08000400e6fff4ffe4ff0200f0ff040014001000f2ff22000200,1600260062006200faffcafff0fff0ff1200f0ff0800eaffecff0e000200f2ff,020002000e00dcfff8ff16002e000e001c00eeff00000000baffdaff0e00feff,761e061f024f124fa8e158e1b6b1e6b1e6ffe6ff0a001a001e000e00f8fff8ff
4,4,0,1600260018000800140004000400f4fff0ff12001400f2ff4000000012001200,0600060062006200080008001000e0fff0fff0ff18002800fcffecff02000200,f0fff0ffecff0e00f8ff3600feffcefffeff0c00e2fff2ff0800daffeeff1e00,761e161e224ec24df8e046e046b196b106000600fcffdefffcff0e00f8ff0800
5,5,0,f6ffe6ffeafffaff14000400f4ffe4ffd0ffd0ff14000400000020001200f2ff,06001600620062002800faff0000e0ff0200120008000800ecffccfff2ffe2ff,02001200ecffecfff8ff06002e000e001c001c000000f2fffaff28000e00feff,2620061f524ed24d16e046e0b6b156b1f6ff0600ecff0a001e0030001800f8ff
6,6,0,160006001800080004001400f4ff14000200f0ff0400f2fff2ff000002001200,e4ffe4ff62006200eaff3800d0ffe0ff02000200bcff2800fcfffcff1200f2ff,f0ff02000e001e00f8fff8ffeeff0e001c00feff0000f2ff1800fafffefffeff,761f961f524e524e48e106e036b226b20600f6ffecffecffecffecff0800e8ff
7,7,0,f6ff1600eaff180004001400f4ff04000200f0fff2ff0400200020000200e2ff,0600160062006200eaffeafff0ff200002000200faff3800fcffdcffd2ff0200,020002000e000e0006000600eefffeff1c005c00d2fff2fffaffeaff0e000e00,461f561f524e124e46e066e0c6b126b2f6ff0600fcff0a001e00ecfff8ff0800
8,8,0,16000600eaff0800040014000400f4ff2200f0fff2ffd2fff2ff2000f2fff2ff,2600e4ff620062002800eaff000020000200f0ff18001800fcff0e000200e2ff,020022001e00fcfff8fff8fffeff0e00feff1c00f2ffe2fffaffdaff0e000e00,661f661f024e424ec6e0a6dfd6b1d6b1f6fff6ff1a000a000e000e00f8fff8ff
9,9,0,f6ff06000800faff140014001400e4ff0200f0ff140004002000e2ffe2ff1200,0600260062006200eaffeafff0ff1000f0fff0ff1800fafffcffecff02000200,22002200ecfffcff16002600feffdeff3c00fefff2fff2fffaffeaff0e000e00,661f261fd24dd24dc6df86df96b106b206000600ecfffcfffcffecffe8fff8ff
10,10,0,060006001800faff1400140004000400f0ffe0ffe2ffe2ff1000f2ffe2ff1200,d4ff060062006200cafffafff0fff0ff02000200faff18000e00fcfff2fff2ff,220012000e00ccffe8fff8ffceffeeffeeff0c00e2ff0000daffdaffdeffdeff,5620f61fa24d924dd6dfa6dff6b1d6b1d6fff6ff0a00fcff0e00fcfff8fff8ff
11,11,0,e6ff06000800faff14000400f4ff14001200020014000400e2ffd2ffe2fff2ff,0600c4ff620008fcfaff08001000f0ff0200020008001800fcff0e00e2ffd2ff,02001200ecffecfff8fff8ffeeffeeffdefffeffd2fff2fffafffafffeff0e00,96205620c24dc24dc6df76df46b266b2f6ffd6fffcfffcff3000ecfff8ff1800
12,12,0,d6fff6ff0800080024002400f4ffd4fff0fff0fff2ff2400100000000200f2ff,f4ffe4ff62006200dafffaff1000100002001200faff0800dcffdcfff2ff1200,320022001e00dcffe8ff2600feffeeffdeffdeff0000c2ffdaffeaff0e00feff,f6206620924d624de6de76de06b226b2e6ff0600ecffecff1e001e00f8ff1800
13,13,0,2600060008000800d6ff040004001400f0ffd0ff140014001000000032001200,f4ffe4ff62006200faffcaffd0fff0ff020002001800faffecff1e000200d2ff,12002200dcffecff0600f8ffdeffdeffdefffeffe2ffe2ff0800dafffeff0e00,66211621f24dd24dc6df06dfa6b296b20600f6ff0a00ecffecff30000800f8ff
14,14,0,e6ffc6ff0800faff14001400e4ffe4fff0ff0200040004002000e2fff2ffd2ff,f4ff260062006200faffcaff0000d0fff0ff12002800eafffcff0e00f2ffd2ff,12001200ecffdcff06000600feffeeffeeffeefff2ff1000faff18001e000e00,d620f620324dd24db6ded6de46b2a6b2f6ff0600ecffecff3000fcffd8ffe8ff
15,15,0,f6fff6ffeaffeaff04000400f4fff4ff02000200f2fff2fff2ff000002001200,0600d4ff620062003800faff0000f0ff1200f0ffeaff08000e00ecfff2fff2ff,020012000e00ecfff8fff8ffeeff0e000c00fefff2fff2ffdaff0800defffeff,56210621124d024d86dee6dd96b246b2f6ffe6fffcffecff0e000e002800f8ff
16,16,0,f6ffe6ff1800eaff0400f6ff0400140002002200f2ff0400f2ff0000e2fff2ff,0600060062006200eafffaff0000f0fff0ff120018002800ecff0e00d2fff2ff,0200e0fffcff0e001600d8fffefffeff0c00eeffe2ff0000faffeaffeeffeeff,b6219621524d624df6dd36def6b206b3f6ff06001a00fcfffcfffcff1800f8ff
17,17,0,06000600faffeaff040004001400e4fff0fff0fff2ffe2fff2ff0000f2ff0200,06000600620008fc0800eaff1000f0ffe0ff0200180008000e000e00f2fff2ff,f0ff0200fcffecff1600e8fffeffeefffeff0c00f2ffe2fffaffeafffeff0e00,8621d621a24c324da6dda6dd06b3c6b2f6ffe6fffcffecffecff0e0008000800
18,18,0,0600f6fffaffeaff1400e6ffe4fff4ff1200220024000400e2fff2ffe2ff3200,1600060062006200eaffeaffe0ffe0ffe0ff120008001800ecff0e001200e2ff,12001200ecfffcfff8ff0600eefffefffeff2c0000001000faff08002e000e00,9622b621024df24c96dd46dd46b386b20600f6fffcffecff1e0030001800f8ff
19,19,0,0600f6ffdaff080014000400f4ffd4ff0200f0ff0400f2ff00002000f2ff0200,0600160062006200daffdaff100010000200020008001800fcfffcfff2ffd2ff,2200f0ffecffccff06000600eeffeeff1c001c000000d2ffcaff0800feff0e00,8622a622524d324d16dea6dd86b366b3f6ff0600ecff0a001e000e00f8fff8ff
20,20,0,060016000800fafff6ff0400f4ff0400e0ff0200e2ff1400f2fff2ff02001200,0600f4ff16fce8fbfaffeaff2000f0ff02000200bcff08000e00fcfff2ff0200,0200e0fffcfffcff4600f8ffeefffeffceffcefff2ff2000dafffaff0e000e00,36229622a24c024d56dda6dd56b356b31600f6ff1a00fcfffcff0e0008001800
21,21,0,f6fff6ff0800daff040014000400e4ffe0ff02002400040030001000f2ff1200,e4ff060062006200faffeaff100000000200f0ffbcff2800ecff0e00f2ffe2ff,02001200ecfffcff0600f8ffeeff2e00eefffeff00000000fafffaff0e00feff,9622f622924c824cc6dc16dc46b326b3e6ff1600fcff1a003000fcffd8ffd8ff
22,22,0,f6ff16000800180004000400f4ffd4ff12001200f2ff040000000000e2fff2ff,0600e4ff62006200eafffafff0ffe0ff02000200180018001e00ecffd2ff0200,02001200fcff1e00f8ff06001e00feffeeff1c00e2fff2ffeaffeafffefffeff,e6223622704c704c96dc86dc26b306b3f6ffe6fffcff0a000e001e00e8ff0800
23,23,0,f6ff160008001800d6ff0400f4fff4ff0200f0fff2ff0400f2ff0000f2fff2ff,1600060062006200dafffaffe0ff2000f0fff0ff0800caffecff1e0002000200,e0ff12000e00ecff060006000e00eeff0c001c00f2fff2fffaff0800fefffeff,96236623b04ca04c46dc16dce6b356b3f6ff16000a00fcffecff0e00f8ff0800
24,24,0,0600e6ffeaffeaff040004000400e4ff0200f0fff2ff04000000100012001200,3600f4ff62006200daff0800f0fff0ff1200f0ff08001800fcff1e00f2fff2ff,f0ff1200fcfffcff2600e8ff1e00eefffeff0c00f2fff2ffdafffaff0e000e00,a623b623c04ce04ca6dc26dcd6b336b4f6fff6ff0a000a00fcfffcff0800f8ff
25,25,0,d6ff1600080008001400f6ff04000400120012000400f2ff0000f2ff0200f2ff,0600260016fc6200caffeaffe0ff10001200020018001800ecff1e00f2ff0200,32000200fcffecff1600f8ffdeffeeff0c00fefff2ff0000faffdafffeff1e00,f6230624504c804c46dce6db36b436b40600f6ff0a00fcff0e00ecfff8fff8ff
26,26,0,d6ff1600daffeaff14001400f4fff4ff1200f0ffe2fff2ffe2ff000002001200,f4ffe4ff620062000800daff1000f0fff0fff0ff08000800fcfffcfff2fff2ff,12000200fcff0e00c8ff0600deffceff0c00feffe2fff2ff0800daff1e00feff,e623c623d04b504c86db46dbc6b3c6b30600f6fffcff0a000e000e00e8ff1800
27,27,0,e6ffe6fffaffeafff6ff0400f4ffe4ff120022000400f2ff1000200002001200,f4ffe4ff620062000800faff0000e0fff0fff0ffeaff0800fcfffcfff2fff2ff,f0ff02000e001e000600f8ff0e00deff0c00feff0000e2ff0800fafffeff2e00,e623d623c04bb04ba6db26dba6b386b30600f6fffcff1a000e000e0008002800
28,28,0,f6ff06002800faff04000400040004001200e0ff140004000000f2fff2ff1200,0600f4ff620008fcfaffeaff1000f0ff1200120008001800fcfffcfff2ff0200,f0fff0fffcffdcfff8ff1600feffeeff0c003c00f2ffe2fffaff08000e00feff,e623e623c04bd04b06db16dbb6b326b4f6ff0600fcffdeff1e00ecfff8ffe8ff
29,29,0,0600f6ffdaffdaff040014001400f4ff020012001400f2ff2000000002000200,0600f4ff62006200faffdaff2000f0ff02000200faff2800fcfffcff0200f2ff,e0ff0200ecffecff1600f8ffeeffeeff5c00defff2ff00000800fafffeff1e00,66242624304c304c86db26db66b426b4f6ffe6fffcff0a003000ecff18000800
