Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,1e000000ecfffcff0400f4ff0a00faff0c000c0010001000060026000a00faff,0800faff38003800e2ff2000fcff2c00b41eb41eaab8eab826e0b6e0c8466847,04001400e2ff14000800fafff6ff0600aeff2600f8ffe8ffecfffcffeeffeeff,e4ff120000000000000000000c000c000c00fcff10000000e8ff0a00eefffeff
1,1,0,1e001e00fcff0a000400e4ff0a00eaff0c00faff0000000006000600daff2a00,1800280038003800f2fff2ff2c002c00e41e641f4ab99ab9c6e1f6e10848c847,14000400e2fff2ffeaffeaff06001600eaffeaff0600f8fffcff0a000e001e00,f4fff4ffe0ffd0ff100000002c00fcfffcffccfff2ff0000f8ff1a00feffeeff
2,2,0,2e001e00fcffecffe4ff0400eaff1a000c00faff00001000e4ff06000a000a00,18000800380038000000e2ff2c00fcffe41d641e4ab80ab926e1c6e1a8471848,7cff2200d2ff0400faff0800f6fff6ffdcffccffe8fff8ffecff0a00feffdeff,e4fff4fff0ff0000eeff00002c00fcfffcff1c000000f2fff8ff1a00feffeeff
3,3,0,00000e000a000a0014000400faffeaff0c00eaff0000eeffe4ff0600faffeaff,0800180038003800f2ff10000c000c00741ec41d7ab85ab846e1c6e1a8474847,0400220014001400dcff0800e6ffe6ffdcfffaff0600f8ff0a00ecffeeff1e00,f4ffe4ffd0ff0e0000000000fcff2c000c00fcff000000000a000a000e00eeff
4,4,0,000000000a001a0004001400faffdaffeafffaff20000000060026000a00faff,080028003800380000000000fcff1c00341e341e0ab9bab8c6e1a6e15848c847,d8ff0400f2fff2fffaff08003600e6fffafffaff0600f8ff2a00ecff0e00feff,0200f4ffe0ff0000eeff10001c00fcffdcffecff4000f2ff0a00f8ffeeffeeff
5,5,0,00000000fcff0a00f4ffe4fffaff0a00fafffaff200000001600e4ff1a001a00,08001800380038003e0010000c000c00241ec41e9ab8fab8e6e186e228481848,04001400e2ff040008000800f6fff6ffeaff08001600f8ffecffecff0e00eeff,f4ffe4ff0e00000020001000fcff1c00ecff0c00f2ff2000f8ff0a00deffdeff
6,6,0,000000000a000a00f4ff0400daffeafffafffaff100010000600f4ff0a000a00,eaff080038003800f2ff0000fcfffcffe41df41d4ab87ab846e2c6e1e847d847,0400140004000400080026001600f6ffeaffeafff8ff06000a000a00deff0e00,020002001e00f0ff00000000fcfffcffdcff1c0000000000f8fff8ffeefffeff
7,7,0,1e00f0ff0a000a001400f4ff1a00fafffafffaff20001000f4ff16000a000a00,0800daff38003800e2ff1000ecff0c00441da41d1ab87ab876e2d6e20848f847,14003200f2fff2fffaffeafff6ff06001800080006000600fcfffcff1e00feff,02000200e0ff0000200000003c000c00ecfffcffe2fff2fff8ff0a000e00feff
8,8,0,0e001e00fcff1a00f4ffe4ff1a00daffeafffaff1000eeffe4ffd4ffeaff0a00,0800080038003800f2ff1000fcff0c00641d941deab70ab8b6e216e20848e847,04000400f2ff1400fafffaff36003600dcff4400f8ffd8ffecff0a00eeff1e00,e4ff02000e000e00100000001c001c00ecff0c00000010000a00f8fffeff0e00
9,9,0,00000000dcff0a00040004000a000a00faff1c00000000000600f4fffaff0a00,08001800d8fb38002000f2ff2c00ecffa41c041d0ab8eab7d6e236e318480848,3200d8ff0400e2ffeaff18000600260044001800e8ffc8ffecff0a00eefffeff,98ff1200f0ff0000200030000c00fcffecfffcff000010000a00e8ff0e00eeff
