Sample in Buffer,Sample in Window,TRIGGER,u3_adc_analysis/data_out1[255:0],u3_adc_analysis/data_out2[255:0],u3_adc_analysis/data_out3[255:0],u3_adc_analysis/data_out4[255:0]
0,0,0,f0ff0e000000000010000000f2ff1200f2ff0400f2ff100002001200deffeeff,000010000e000e000000deffe6ff1600faff2c00f4fff4fff2ff0400f8fff8ff,e4fff4ff0600f6ff0000e0ffecfffcffeafffaffe8ff0a001800080010000000,fcfffcff120012001a001a000400f4ffde3dae3d0e33ce3266c206c2feccdecc
1,1,0,e0fff0ff000000001000f2ff120002000400240000000000e0ff4200defffeff,10000000d0ff1e00deff2000160006001c000c001600060004001400e8ff0800,020002002600f6fff0fff0ffecff2c000c000c000a00f8ff1800e6ffe0ff0000,fcfffcff220012000a000a00f4ff04000e3eee3d7e32ce3226c276c21ecdeecc
2,2,0,00000000deff0000f2ff00003200f2ff04002400e2ffd4fff0fff0ffeeff2e00,00001000e0fff0ff0000000006000600fafffafff4ff1600e2ff1400e8ff1800,020012001600f6fff0ff00001c00fcff0c00faff1a001a003800180000001000,ecffecff34002200c8ff1a00040004000e3efe3d3e32ae3236c296c16ecd5ecd
3,3,0,f0fff0ffceff20000000200012000200240014001e00d4fff0fff0ffceffdeff,000000000e00e0ff0000eeffe6ff0600faff0c00f4ff0600140004000800f8ff,02001200160026001e00f0ff0c000c00b8fffaff0a00e8ffe6ff18000000c0ff,0e000e00f0ff2200d8ffd8ffc4ff04007e3e3e3e4e328e32c6c126c29ecdbecd
4,4,0,f0fff0ff100000001000f2ff02003200140014001e00a6ff12000200ceffdeff,000000003e00f0ff000000002600e6ff0c00fafff4ffe4fff2fff2fff8ff0800,020012002600f6ff1e000e00fcff0c002e001c000a00f8ff2800180030001000,0e000e0002002200f8ffe8ff040024008e3e6e3e4e320e3276c166c1eecdcecd
5,5,0,0e00f0ffdeffdeff0000100002001200e2fff2ff1e001000f0ff12001e00beff,1000eeff1e00e0ff10002000f6ff0600faffeafff4ffe4ff1400e2ffe8ff0800,1200120006000600f0ff0e000c00fcffeafffaff1a00f8ff28000800d0ffd0ff,fcffecff0200f0ff1a00f8ff1400f4ff9e3e9e3ede310e3256c136c1decdcecd
6,6,0,f0ff0e00000010003000f2fff2ff020014000400a6ff2e002200f0ffcefffeff,deff0000e0ff1e00000010000600e6ff1c003c000600d4ff1400f2fff8ffd8ff,f4ffe4fff6fff6ffe0ff00000c00ecff2e00faffd8ffe8fff6ff1800e0ff0000,ecffecff22002200e8ffe8ffc4ff0400de3e8e3ede31de3116c126c12eceeecd
7,7,0,00000e0000000000e2ff100012001200c0ff2400a6ff2e00f0fff0ff1e000e00,deff2000c0ff1e0000001000f6fff6ff0c000c000600c2ff1400140018002800,0200e4ff260006000000e0ff0c00fcffeaff0c00d8ffe8ff0800f6fff0ffd0ff,ecff0e0002000200f8ff0a00c4ff0400ee3eee3e6e315e31e6c016c13ece2ece
8,8,0,0000f0ff1000deff200000000200f2ff14000400d4ffa6fff0ff0200feffeeff,0000eefff0ffd0ffeeffeeff160006000c00eaff06000600e2ff140008000800,0200f4ff0600f6ffe0ff00000c000c00faffeaffe8ffe8ff0800380010000000,ecffecff220034000a00e8ff14000400ce3e0e3fbe312e3116c1d6c05ece6ece
9,9,0,f0ff0e001000100020001000e2ff0200040014001000e2ff0200f0ffdeffeeff,1000eeffe0ff2e000000eeffd6ff06000c002c00160016000400f2ff0800f8ff,220002001600f6ffe0ff0e000c00fcfffafffaff0a000a000800080000000000,0e000e00120012000a00d8ff1400b4ff3e3fbe3e6e312e3106c1f6c07ece8ece
10,10,0,0000f0ff00002000f2ff10000200f2ff1400040010002e00e0ff0200eeff0e00,0000deff1e001e000000200016000600faff1c00f4ff06001400e2ffe8ffe8ff,22002200f6ff060000000000fcff1c00eaffdaffe8ffe8ff28002800f0ff0000,fcff0e0002001200d8ffd8fff4ffc4ff5e3f3e3fde30ee3086c0a6c01ecf8ece
11,11,0,e0fff0ffeeff0000e2fff2ff02000200140004001e00c4fff0fff0ffaeff0e00,eeffeeff1e00f0ff10000000e6ff06000c00fafff4ff06001400040008001800,1200f4fff6fff6ff0e00e0ff1c00fcffdaffeaffc8ffd8ff08000800e0ff0000,1e003000f0ff0200f8ffe8ff040004008e3f1e3fde30ce3096c096c04ecf5ecf
12,12,0,e0fff0ff100010000000e2ff120032002400f2ffc4ff1000e0fff0ffeeffdeff,deffeeffe0ff0e0010000000f6ff06002c001c00060016001400f2ff18000800,400022000600f6ff0e00f0fffcff1c00c8fffaffe8ffd8ff0800f6ffe0ffd0ff,0e000e00120012000a00e8ffb4ffb4ff9e3f8e3f6e309e3076c006c05ecf6ecf
13,13,0,00000000deff0000100010001200f2ff14000400b6ff3c00f0ff0200deffaeff,00001000e0fff0ffdeff100006000600eafffaffe4ffe4ff14000400e8ff0800,02000200f6ffe6ff0e002e000c00ecff0c000c00e8fff8ff180018003000e0ff,0e00300012002200f8fff8ff1400d4ffbe3fee3fce305e3066c046c09ecfbecf
14,14,0,000000000000deff10000000120022001400f2ffd4ff100002000200deffceff,000000000e00f0ff1000deff06000600faff0c000600060014001400f8ffb8ff,020022000600d6ffe0fff0fffcfffcfffaff0c00d8ffe8ff28000800e0ff0000,fcfffcff020002001a00f8ff1400b4ff0e40de3f5e303e3006c006c0becf8ecf
15,15,0,0e00f0ff00000000000010002200f2ff240014001e001e0012000200eeffceff,000000001e000e00000020000600e6ff0c000c0016000600f2fff2ff08001800,120012000600f6ff000000000c000c000c000c001a00c8ff2800280000001000,0e00fcfff0fff0fff8fff8ffd4ffc4ff0e40de3ffc2f3c30f6bf16c00ed00ed0
16,16,0,0e00f0ff10001000f2ff000002000200e2fff2ffe2ffc4ff1200f0ffceffbeff,1000eeffe0ff0e00100010001600f6fffaff0c00e4ff26001400e2fff8ff0800,0200e4ff160016000000f0ff1c00fcffeaffdaffd8ffe8ff380018001000e0ff,fcff0e0002000200e8ffc8ffc4ffc4ff5e403e40bc2fec2ff6bfa6bffecffecf
17,17,0,f0fff0ffeeffeeff1000f2ff0200f2ff14001400d4ff1e00e0fff0ffbeffdeff,eeff10000e001e00eeff10001600f6ffeafffaff060006001400f2ff08000800,e4fff4fff6ffe6ff0000f0fffcff0c00dafffafff8fff8ff2800f6ffe0ff0000,0e000e00f0ff12000a000a00040014007e407e40bc2fdc2fa6bff6bf3ed03ed0
18,18,0,0000f0ffeeffeefff2fff2ff2200f2ff0400c0ff10001e0002000200ceffaeff,0000eeff0e000e00eeff1000060016000c001c00f4fff4ffd2ff040008000800,d4ffe4ff16000600d0ffd0fffcff0c00c8fffaff0a00e8fff6ff08002000e0ff,fcffdcff020002000a00e8ff0400b4ff9e409e40cc2fac2f86bf56bf7ed04ed0
19,19,0,00000000200020000000100032003200240024002e00c4ff02000200deffeeff,bcff0000e0ff1e001000eeffe6ff06002c002c000600f4fff2ff0400f8ff1800,f4ff32000600f6ff00000000fcffecffdaffeaff1a00f8ff28001800e0ffe0ff,0e000e000200f0ff0a00f8ff1400c4ff7e40be404c2fec2e46bf76bf8ed04ed0
20,20,0,f0ff000010001000000000000200f2fff2ff2400c4ff10001200f0fffeffbeff,deff00000e001e0010001000f6ff06001c00fafff4ffe4ff14001400f8ff1800,0200f4ff0600e6ff00000e000c000c00faffeafff8ffd8fff6ff08001000e0ff,1e00fcff1200f0ffe8ff0a00a4ff0400de40ce402c2f0c2f36bff6be1ed1aed0
21,21,0,0000f0ff10001000f2ff10000200120014000400e2ffc4fff0ff0200ceffceff,deff1000e0ff0e0010001000d6fff6ff1c00faff1600f4ffd2ff240038001800,12000200e6ff1600e0ff0000fcff1c00faff0c00e8fff8fff6ff080000000000,fcfffcff22002200f8ff1a00c4ff04001e410e419c2eec2e16bff6be0ed1ced0
22,22,0,0e0000001000defff2ff100002000200f2fff2ff10001e0022000200ceffeeff,0000deffe0ffd0ff0000100016000600faffeaffe4ff16000400e2ff0800f8ff,e4ffe4ffe6ff0600f0fff0ff0c00fcfffafffafff8ffd8ff08001800e0ff0000,0e00fcfff0ffe0ffd8ffe8ffc4ff14004e412e415c2e6c2ec6be76bebed15ed1
23,23,0,d0ff1e0000000000f2ffd2ff1200f2ff14002400c4ffd4ff02000200beffdeff,eeff0000e0ff0e001000eeff0600f6ffeaff0c0006000600e2ff1400f8ff0800,f4ffe4ff1600e6ff0e00f0ff0c000c00eaff0c000a00f8fff6ffe6ffe0ffd0ff,0e000e002200f0ffd8fff8ff0400c4ff5e41ce41cc2d5c2e76bee6beced19ed1
24,24,0,f0ff0e0020000000f2ff10002200f2ff04002400d4ff1e000200f0ffdeffaeff,deff0000f0ff1e0010000000e6ff06002c000c00e4fff4ffe2ffe2ff08001800,12000200f6fff6ffe0ffd0fffcfffcffdafffafff8fff8ff1800f6ffe0ff1000,0e00fcff12001200d8ff0a00c4ff04006e413e410c2edc2d66be46beced1ded1
25,25,0,f0ff00002000deff10000000d2ff120004000400e2ffd4ff120012000e00ceff,eeffeeff1e002e001000eeffe6ff06001c000c000600e4ff0400f2ffe8ff0800,22000200f6fff6fff0ff0000ecff0c000c001c00d8fff8ff3800d6ffd0ffe0ff,0e00dcfff0ff22000a000a000400c4ff4e415e41fc2dfc2d86be96be0ed20ed2
26,26,0,f0fff0ff100010000000f2fff2ff02001400240010001000f0fff0ffdefffeff,00000000f0ffd0ffdeff000006001600faff1c00f4fff4fff2ff04000800f8ff,02000200f6ff16002e00f0fffcfffcfffaffeaffd8ffd8ff080018000000d0ff,ecffecff12001200f8ff0a0004001400ae417e41bc2ddc2d46be36be4ed21ed2
